UNITID,LPBOOKSP,LPMEDIAP,LPSERIAP,LEBOOKSP,LEDATABP,LEMEDIAP,LESERIAP,LSALWAGP,LFRNGBNP,LEXMSBBP,LEXMSCSP,LEXMSOTP,LEXOMTLP,LEXPTOTF,LTOTLFTE,LLIBRFTE,LPROFFTE,LPAIDFTE,LSTUDFTE
217925,11,0,0,80,0,0,8,38,0,8,48,0,6,384,13.00,3.00,3.00,0.00,7.00
217934,21,1,0,79,0,0,0,70,0,1,15,0,14,296,7.00,4.00,1.00,0.00,2.00
217961,18,3,0,80,0,0,0,64,0,2,20,1,13,348,9.40,4.00,2.00,0.25,3.15
217989,90,8,0,1,0,0,0,58,23,0,17,1,2,299,4.00,1.00,1.00,1.00,1.00
217998,32,11,0,53,0,4,0,34,8,1,47,0,10,699,15.50,1.50,3.00,0.00,11.00
218025,0,0,0,84,0,0,16,45,18,1,27,0,10,204,3.50,2.00,1.50,0.00,0.00
218061,25,0,0,69,0,0,6,52,0,2,42,0,4,604,39.00,9.00,0.00,11.00,19.00
218070,14,1,0,64,0,5,16,42,0,3,43,2,11,1475,33.00,13.00,0.00,12.50,7.50
218113,3,0,0,92,0,0,5,68,4,4,18,0,5,116,16.38,4.88,1.00,10.00,0.50
218140,10,0,0,78,0,12,0,54,21,5,15,0,6,141,10.92,4.44,4.24,2.24,0.00
218229,13,0,0,63,0,22,1,52,22,4,14,0,7,237,23.00,4.00,4.00,0.00,15.00
218238,4,0,0,35,0,25,36,57,0,1,38,0,4,305,8.96,4.00,0.00,2.38,2.58
218335,2,0,1,91,0,0,6,28,11,4,32,15,11,2773,42.10,16.00,9.00,16.60,0.50
218353,11,0,0,89,0,0,0,58,23,10,5,0,4,245,18.75,9.75,9.00,0.00,0.00
218399,26,63,0,10,0,0,0,52,14,2,29,1,2,942,6.00,2.00,3.00,1.00,0.00
218414,8,0,0,91,0,0,0,61,0,0,0,32,7,214,6.65,2.25,1.00,1.40,2.00
218441,6,0,0,51,0,37,5,58,17,0,19,4,2,225,10.17,3.00,0.00,5.90,1.27
