UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
169479,414,1299,32,316,0,0,316,246,78,54,0,0,54,19,35,15
169503,,,,14,0,0,14,14,100,,,,,,,20
169521,537,2049,26,799,0,0,799,455,57,468,1,0,467,178,38,14
169576,,,,1,0,0,1,1,100,,,,,,,19
169655,,,,375,0,0,375,248,66,,,,,,,14
169716,543,1266,43,399,0,0,399,330,83,20,0,0,20,13,65,11
169761,172,172,100,60,0,0,60,25,42,,,,,,,10
169798,2245,3347,67,1855,0,0,1855,1289,69,67,0,0,67,25,37,15
169813,,,,2,0,0,2,1,50,,,,,,,14
169910,1364,2385,57,503,0,0,503,387,77,15,0,0,15,7,47,15
169974,114,443,26,123,0,0,123,66,54,67,0,0,67,30,45,23
169983,305,345,88,338,0,0,338,298,88,2,0,0,2,1,50,12
169992,133,397,34,173,0,0,173,94,54,36,0,0,36,22,61,13
170000,89,380,23,67,0,0,67,52,78,11,0,0,11,0,0,16
170037,368,464,79,227,0,0,227,221,97,0,0,0,0,0,,15
170055,1483,4490,33,1399,0,0,1399,802,57,1167,1,0,1166,556,48,18
170082,3785,5118,74,3744,0,0,3744,3105,83,42,0,0,42,23,55,15
170091,30,57,53,38,0,0,38,23,61,3,0,0,3,2,67,15
170240,1132,3560,32,0,0,0,0,0,,0,0,0,0,0,,21
170286,396,427,93,336,2,0,334,313,94,5,0,0,5,4,80,8
170301,834,898,93,787,0,0,787,683,87,0,0,0,0,0,,11
170444,264,1246,21,0,0,0,0,0,,0,0,0,0,0,,12
170532,382,407,94,383,0,0,383,325,85,1,0,0,1,1,100,10
170541,480,2328,21,530,0,0,530,337,64,493,0,0,493,235,48,14
170550,234,1234,19,285,0,0,285,182,64,228,0,0,228,108,47,8
170587,91,259,35,85,0,0,85,46,54,78,0,0,78,29,37,16
170611,,,,22,0,0,22,17,77,15,0,0,15,11,73,16
170620,303,955,32,290,0,0,290,235,81,292,0,0,292,145,50,14
170639,362,518,70,284,0,0,284,190,67,6,0,0,6,1,17,16
170657,981,3111,32,1154,0,0,1154,735,64,792,0,0,792,391,49,12
170675,470,928,51,365,0,0,365,267,73,6,0,0,6,3,50,11
170736,,,,2,0,0,2,1,50,8,0,0,8,6,75,20
170790,1308,4602,28,1570,0,0,1570,1061,68,1275,0,0,1275,658,52,25
170806,253,639,40,274,0,0,274,186,68,4,0,0,4,1,25,11
170967,156,336,46,190,0,0,190,108,57,6,0,0,6,1,17,11
170976,7251,8783,83,6835,0,0,6835,6659,97,44,0,0,44,40,91,12
171012,,,,7,0,0,7,4,57,,,,,,,33
171100,9041,10631,85,7978,2,0,7976,7347,92,250,0,0,250,189,76,16
171128,1475,1675,88,1196,0,0,1196,1013,85,4,0,0,4,3,75,13
171137,1052,1654,64,959,0,0,959,801,84,44,0,0,44,26,59,16
171146,458,1583,29,520,0,0,520,365,70,39,0,0,39,18,46,14
171155,263,655,40,330,0,0,330,174,53,120,0,0,120,49,41,25
171225,226,881,26,238,0,0,238,135,57,147,0,0,147,64,44,15
171234,98,601,16,93,0,0,93,47,51,101,0,0,101,47,47,12
171304,467,1388,34,482,0,0,482,315,65,263,0,0,263,95,36,18
171395,170,569,30,183,0,0,183,98,54,67,0,0,67,24,36,16
171456,1480,1978,75,1046,0,0,1046,758,72,9,0,0,9,7,78,19
171483,385,963,40,24,0,0,24,20,83,3,0,0,3,2,67,12
171492,275,647,43,247,0,0,247,209,85,16,0,0,16,8,50,9
171535,907,6481,14,1571,0,0,1571,841,54,1665,7,0,1658,644,39,20
171571,1957,3547,55,2213,1,0,2212,1616,73,45,0,0,45,21,47,17
171599,207,347,60,290,0,0,290,163,56,8,0,0,8,3,38,15
171775,,,,12,0,0,12,9,75,5,0,0,5,5,100,10
171881,11,21,52,14,0,0,14,8,57,2,0,0,2,1,50,8
171988,,,,45,0,0,45,32,71,,,,,,,15
171997,,,,68,0,0,68,39,57,,,,,,,14
172015,,,,75,0,0,75,43,57,,,,,,,14
172033,1,34,3,1,0,0,1,1,100,0,0,0,0,0,,5
172051,1326,1789,74,1350,0,0,1350,990,73,33,0,0,33,9,27,16
172200,546,2884,19,0,0,0,0,0,,0,0,0,0,0,,21
172264,272,514,53,244,0,0,244,172,70,4,0,0,4,1,25,12
172291,325,1209,27,360,0,0,360,218,61,230,0,0,230,107,47,16
172307,316,523,60,341,0,0,341,170,50,73,0,0,73,28,38,14
172334,231,364,63,208,0,0,208,167,80,0,0,0,0,0,,12
172422,,,,4,0,0,4,3,75,,,,,,,7
172440,136,194,70,84,0,0,84,34,40,,,,,,,13
172495,,,,40,0,0,40,22,55,36,0,0,36,36,100,20
172608,,,,,,,,,,,,,,,,12
172617,592,2485,24,747,0,0,747,508,68,639,0,0,639,245,38,17
172635,199,3712,5,175,0,0,175,112,64,424,0,0,424,167,39,22
172644,2610,4353,60,3019,3,0,3016,2453,81,101,0,0,101,45,45,14
172671,93,202,46,120,0,0,120,70,58,67,0,0,67,15,22,11
172680,,,,16,0,0,16,12,75,1,0,0,1,1,100,14
172699,2086,3353,62,2542,0,0,2542,1963,77,76,0,0,76,36,47,16
172866,16,32,50,3,0,0,3,3,100,0,0,0,0,0,,6
172918,373,1415,26,400,0,0,400,267,67,47,0,0,47,24,51,20
172954,153,804,19,127,0,0,127,83,65,96,0,0,96,48,50,16
172963,511,3678,14,524,0,0,524,295,56,357,0,0,357,150,42,25
173045,538,707,76,562,4,0,558,387,69,1,0,0,1,0,0,13
173063,311,1491,21,313,0,0,313,209,67,183,0,0,183,86,47,19
173115,84,416,20,64,0,0,64,37,58,29,0,0,29,10,34,16
173124,525,1204,44,492,0,0,492,331,67,12,0,0,12,6,50,16
173142,198,254,78,154,0,0,154,113,73,0,0,0,0,0,,12
173160,501,842,60,474,0,0,474,409,86,5,0,0,5,3,60,11
173203,346,2306,15,349,0,0,349,204,58,86,0,0,86,35,41,18
173258,555,573,97,453,1,0,452,429,95,,,,,,,8
173300,473,538,88,498,0,0,498,407,82,0,0,0,0,0,,12
173328,287,1263,23,385,0,0,385,235,61,11,0,0,11,3,27,18
173416,364,1210,30,357,0,0,357,233,65,102,0,0,102,46,45,21
173452,151,203,74,185,1,0,184,152,83,0,0,0,0,0,,12
173461,375,2102,18,402,0,0,402,239,59,210,0,0,210,104,50,19
173470,,,,3,0,0,3,2,67,,,,,,,14
173559,549,2231,25,545,0,0,545,344,63,272,0,0,272,129,47,22
173638,280,1561,18,268,0,0,268,160,60,95,0,0,95,55,58,17
173647,551,585,94,587,0,0,587,491,84,,,,,,,12
173665,467,597,78,455,4,0,451,323,72,0,0,0,0,0,,13
173708,274,1936,14,226,0,0,226,149,66,193,0,0,193,87,45,18
173735,146,455,32,110,0,0,110,59,54,32,0,0,32,11,34,14
173744,,,,76,0,0,76,61,80,,,,,,,16
173799,272,1785,15,305,0,0,305,144,47,177,0,0,177,79,45,19
