UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A
100654,303,2038558,6728,48,460888,9602,351,2499446,7121,7,29702,4243,2,6000,3000,9,35702,3967
100663,311,2700048,8682,156,1730027,11090,467,4430075,9486,14,30906,2208,15,33351,2223,29,64257,2216
100690,6,51347,8558,12,101745,8479,18,153092,8505,10,24250,2425,14,39700,2836,24,63950,2665
100706,285,2208664,7750,43,298373,6939,328,2507037,7643,5,13500,2700,7,25750,3679,12,39250,3271
100724,86,358363,4167,8,29093,3637,94,387456,4122,13,25772,1982,0,0,,13,25772,1982
100751,827,9148727,11063,152,1111383,7312,979,10260110,10480,94,321484,3420,26,60740,2336,120,382224,3185
100760,9,29330,3259,,,,9,29330,3259,0,0,,,,,0,0,
100812,45,221711,4927,6,45656,7609,51,267367,5242,6,15047,2508,1,1500,1500,7,16547,2364
100830,172,1411670,8207,23,113156,4920,195,1524826,7820,26,64500,2481,11,35788,3253,37,100288,2710
100858,689,8181149,11874,132,1683629,12755,821,9864778,12016,13,40250,3096,20,66350,3318,33,106600,3230
100937,17,266826,15696,,,,17,266826,15696,0,0,,,,,0,0,
101028,89,275281,3093,,,,89,275281,3093,6,8778,1463,,,,6,8778,1463
101116,23,158731,6901,5,34344,6869,28,193075,6896,1,1180,1180,0,0,,1,1180,1180
101143,67,239249,3571,,,,67,239249,3571,0,0,,,,,0,0,
101161,115,391660,3406,,,,115,391660,3406,8,12787,1598,,,,8,12787,1598
101189,79,613237,7762,41,446743,10896,120,1059980,8833,9,27594,3066,5,14250,2850,14,41844,2989
101240,47,161147,3429,,,,47,161147,3429,2,3127,1564,,,,2,3127,1564
101277,0,0,,,,,0,0,,0,0,,,,,0,0,
101286,57,138936,2437,,,,57,138936,2437,8,12350,1544,,,,8,12350,1544
101295,142,729991,5141,,,,142,729991,5141,6,1729,288,,,,6,1729,288
101301,12,29756,2480,,,,12,29756,2480,0,0,,,,,0,0,
101365,40,261913,6548,1,9012,9012,41,270925,6608,1,4000,4000,0,0,,1,4000,4000
101435,34,706704,20785,0,0,,34,706704,20785,2,4750,2375,0,0,,2,4750,2375
101453,0,0,,1,4470,4470,1,4470,4470,0,0,,0,0,,0,0,
101462,27,99470,3684,,,,27,99470,3684,0,0,,,,,0,0,
101471,0,0,,,,,0,0,,0,0,,,,,0,0,
101480,110,799628,7269,28,127014,4536,138,926642,6715,5,15500,3100,3,5250,1750,8,20750,2594
101505,107,326627,3053,,,,107,326627,3053,3,5187,1729,,,,3,5187,1729
101514,136,386841,2844,,,,136,386841,2844,6,4366,728,,,,6,4366,728
101569,38,125161,3294,,,,38,125161,3294,4,7502,1876,,,,4,7502,1876
101587,40,209553,5239,45,257206,5716,85,466759,5491,5,8500,1700,6,19750,3292,11,28250,2568
101602,33,93677,2839,,,,33,93677,2839,0,0,,,,,0,0,
101648,4,19108,4777,,,,4,19108,4777,2,5339,2670,,,,2,5339,2670
101675,13,87830,6756,,,,13,87830,6756,0,0,,,,,0,0,
101693,24,290993,12125,5,57947,11589,29,348940,12032,0,0,,0,0,,0,0,
101709,107,442561,4136,0,0,,107,442561,4136,19,85036,4476,0,0,,19,85036,4476
101736,38,112668,2965,,,,38,112668,2965,0,0,,,,,0,0,
101879,298,2281980,7658,56,270860,4837,354,2552840,7211,2,5250,2625,9,18750,2083,11,24000,2182
101897,12,34017,2835,,,,12,34017,2835,0,0,,,,,0,0,
101912,10,111017,11102,1,5044,5044,11,116061,10551,0,0,,0,0,,0,0,
101994,2,6568,3284,,,,2,6568,3284,0,0,,,,,0,0,
102030,42,107968,2571,,,,42,107968,2571,14,36342,2596,,,,14,36342,2596
102049,53,1075525,20293,27,403066,14928,80,1478591,18482,0,0,,0,0,,0,0,
102058,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
102067,149,207052,1390,,,,149,207052,1390,6,5280,880,,,,6,5280,880
102076,22,43014,1955,,,,22,43014,1955,2,2194,1097,,,,2,2194,1097
102094,224,2043580,9123,107,900810,8419,331,2944390,8895,13,36250,2788,7,9250,1321,20,45500,2275
102234,10,238798,23880,2,8610,4305,12,247408,20617,12,9585,799,50,123059,2461,62,132644,2139
102270,14,79688,5692,,,,14,79688,5692,0,0,,,,,0,0,
102298,20,118460,5923,1,27692,27692,21,146152,6960,0,0,,0,0,,0,0,
102313,43,137012,3186,,,,43,137012,3186,0,0,,,,,0,0,
102368,765,5119205,6692,249,1365835,5485,1014,6485040,6396,901,2102884,2334,1164,2385908,2050,2065,4488792,2174
102377,38,583780,15363,3,72419,24140,41,656199,16005,0,0,,0,0,,0,0,
102395,27,217750,8065,9,78722,8747,36,296472,8235,21,34154,1626,2,5250,2625,23,39404,1713
102429,46,95648,2079,,,,46,95648,2079,0,0,,,,,0,0,
102553,764,5858650,7668,22,138530,6297,786,5997180,7630,190,324633,1709,6,11436,1906,196,336069,1715
102580,1,9700,9700,,,,1,9700,9700,0,0,,,,,0,0,
102614,432,2650713,6136,27,209086,7744,459,2859799,6230,181,334615,1849,9,8750,972,190,343365,1807
102632,70,320673,4581,7,44445,6349,77,365118,4742,10,36130,3613,4,17040,4260,14,53170,3798
102669,21,256947,12236,13,94696,7284,34,351643,10342,0,0,,0,0,,0,0,
102711,4,25718,6430,,,,4,25718,6430,0,0,,,,,0,0,
102845,240,3149659,13124,,,,240,3149659,13124,0,0,,,,,0,0,
103501,35,282001,8057,,,,35,282001,8057,0,0,,,,,0,0,
103741,2,13533,6767,,,,2,13533,6767,0,0,,,,,0,0,
103893,56,558631,9976,,,,56,558631,9976,0,0,,,,,0,0,
103909,32,384630,12020,,,,32,384630,12020,0,0,,,,,0,0,
103927,32,372585,11643,,,,32,372585,11643,0,0,,,,,0,0,
103954,2,13350,6675,,,,2,13350,6675,0,0,,,,,0,0,
