UNITID,GRCHRTYR,GRTOTLT,GRGNDRUN,GRGNDRAN,GRGNDRUA,GRGNDRKN
127884,1,233,0,,0,233
127909,1,558,1,,1,557
127918,1,486,0,,0,486
127945,1,44,0,0,0,44
127954,1,6,0,0,0,6
128106,1,816,0,0,0,816
128258,1,228,0,0,0,228
128328,1,1103,0,,0,1103
128391,1,464,5,,5,459
128498,1,129,0,0,0,129
128586,1,14,0,,0,14
128744,1,482,0,,0,482
128771,1,1258,0,,0,1258
128780,1,1,0,,0,1
128902,1,472,0,,0,472
129020,1,3808,0,,0,3808
129154,1,61,0,0,0,61
129215,1,995,0,,0,995
129242,1,1056,0,,0,1056
129525,1,1296,0,0,0,1296
129774,1,119,0,0,0,119
129941,1,1117,0,,0,1117
130110,1,7,0,,0,7
130183,1,168,0,,0,168
130226,1,1900,0,0,0,1900
130253,1,1322,0,,0,1322
130314,1,125,0,,0,125
130493,1,1371,0,,0,1371
130590,1,572,0,,0,572
130624,1,297,0,0,0,297
130697,1,774,0,,0,774
130776,1,824,0,,0,824
130794,1,1367,1,,1,1366
130907,1,2094,0,,0,2094
130934,1,941,0,,0,941
130943,1,4360,1,,1,4359
130989,1,158,0,,0,158
131113,1,276,6,,6,270
131159,1,1677,70,0,70,1607
131283,1,723,0,,0,723
131399,1,239,6,,6,233
131450,1,245,0,,0,245
131469,1,2517,0,,0,2517
131496,1,1573,0,,0,1573
131520,1,900,0,,0,900
131803,1,11,0,,0,11
131876,1,221,0,,0,221
132408,1,32,0,,0,32
132471,1,479,0,,0,479
132602,1,1161,0,,0,1161
132657,1,555,0,,0,555
132693,1,1495,0,,0,1495
132709,1,3676,0,,0,3676
132842,1,6,0,,0,6
132851,1,877,0,,0,877
132879,1,35,0,,0,35
132903,1,6146,1,0,1,6145
133021,1,355,0,,0,355
133386,1,383,0,,0,383
133465,1,23,0,,0,23
133492,1,574,0,,0,574
133508,1,1661,0,,0,1661
133526,1,231,0,0,0,231
133553,1,1255,0,,0,1255
133650,1,1271,0,0,0,1271
133669,1,3016,0,,0,3016
133702,1,1570,0,,0,1570
133711,1,600,0,,0,600
133809,1,176,0,,0,176
133872,1,64,0,,0,64
133881,1,757,0,0,0,757
133951,1,4157,0,,0,4157
