UNITID,TUITION1,FEE1,HRCHG1,TUITION2,FEE2,HRCHG2,TUITION3,FEE3,HRCHG3,TUITION5,FEE5,HRCHG5,TUITION6,FEE6,HRCHG6,TUITION7,FEE7,HRCHG7,ISPROF1,ISPFEE1,OSPROF1,OSPFEE1,ISPROF2,ISPFEE2,OSPROF2,OSPFEE2,ISPROF3,ISPFEE3,OSPROF3,OSPFEE3,ISPROF4,ISPFEE4,OSPROF4,OSPFEE4,ISPROF5,ISPFEE5,OSPROF5,OSPFEE5,ISPROF6,ISPFEE6,OSPROF6,OSPFEE6,ISPROF7,ISPFEE7,OSPROF7,OSPFEE7,ISPROF8,ISPFEE8,OSPROF8,OSPFEE8,ISPROF9,ISPFEE9,OSPROF9,OSPFEE9,CHG1AT0,CHG1AF0,CHG1AY0,CHG1AT1,CHG1AF1,CHG1AY1,CHG1AT2,CHG1AF2,CHG1AY2,CHG1AT3,CHG1AF3,CHG1AY3,CHG1TGTD,CHG1FGTD,CHG2AT0,CHG2AF0,CHG2AY0,CHG2AT1,CHG2AF1,CHG2AY1,CHG2AT2,CHG2AF2,CHG2AY2,CHG2AT3,CHG2AF3,CHG2AY3,CHG2TGTD,CHG2FGTD,CHG3AT0,CHG3AF0,CHG3AY0,CHG3AT1,CHG3AF1,CHG3AY1,CHG3AT2,CHG3AF2,CHG3AY2,CHG3AT3,CHG3AF3,CHG3AY3,CHG3TGTD,CHG3FGTD,CHG4AY0,CHG4AY1,CHG4AY2,CHG4AY3,CHG5AY0,CHG5AY1,CHG5AY2,CHG5AY3,CHG6AY0,CHG6AY1,CHG6AY2,CHG6AY3,CHG7AY0,CHG7AY1,CHG7AY2,CHG7AY3,CHG8AY0,CHG8AY1,CHG8AY2,CHG8AY3,CHG9AY0,CHG9AY1,CHG9AY2,CHG9AY3
101471,3990,690,123,3990,690,123,3990,690,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716,684,5400,4788,684,5472,4788,684,5472,3990,870,4860,,,4716,684,5400,4788,684,5472,4788,684,5472,3990,870,4860,,,4716,684,5400,4788,684,5472,4788,684,5472,3990,870,4860,,,612,612,612,510,,,,,,,,,,,,,,,,,,,,
101480,9990,1962,333,9990,1962,333,19950,1962,665,9840,1000,410,9840,1000,410,19680,1000,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9720,1400,11120,9720,1400,11120,9720,1400,11120,9990,1962,11952,,,9720,1400,11120,9720,1400,11120,9720,1400,11120,9990,1962,11952,,,19440,1400,20840,19440,1400,20840,19440,1400,20840,19950,1962,21912,,,1204,1196,1196,998,8000,8110,8320,8640,1507,2003,1997,2400,11367,9648,9927,9972,2753,2692,2680,3318,4882,4843,4812,3318
101505,3990,1230,133,3990,1230,133,7680,1230,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860,930,5790,4920,930,5850,3690,1230,4920,3990,1230,5220,,,4860,930,5790,4920,930,5850,3690,1230,4920,3990,1230,5220,,,8790,930,9720,8910,930,9840,7380,1230,8610,7680,1230,8910,,,2162,1614,1552,1444,,,,,,,,,14184,14580,15066,15921,4850,4826,4759,4871,4850,4826,4759,4871
101514,3750,1250,125,3750,1250,125,7500,1250,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,950,4880,3990,950,4940,3690,1250,4940,3750,1250,5000,,,3930,950,4880,3990,950,4940,3690,1250,4940,3750,1250,5000,,,7860,950,8810,7980,950,8930,7380,1250,8630,7500,1250,8750,,,2500,2650,2650,2650,,,,,,,,,4500,4500,4500,5500,3200,3200,3200,4200,3200,3200,3200,4200
101569,3750,1170,125,3750,1170,125,7500,1170,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,870,4800,3990,870,4860,3690,1170,4860,3750,1170,4920,,,3930,870,4800,3990,870,4860,3690,1170,4860,3750,1170,4920,,,7860,870,8730,7980,870,8850,7380,1170,8550,7500,1170,8670,,,2300,2300,2300,2300,4760,4760,4760,4760,3000,3000,3000,3000,7560,7560,7560,7560,5807,5807,5807,5807,5807,5807,5807,5807
101587,9100,1890,352,9100,1890,352,18200,1890,650,6678,190,371,6678,190,371,13356,190,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9100,1890,10990,9100,1890,10990,9100,1890,10990,9100,1890,10990,,,9100,1890,10990,9100,1890,10990,9100,1890,10990,9100,1890,10990,,,18200,1890,20090,18200,1890,20090,18200,1890,20090,18200,1890,20090,,,1200,1250,1216,1216,7510,7510,7594,7820,3505,3505,3505,3600,7200,7200,7200,7200,3505,3505,3505,3600,3505,3505,3505,3600
101602,3750,1170,125,3750,1170,125,7500,1170,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,870,4800,3990,870,4860,3690,930,4620,3750,1170,4920,,,3930,870,4800,3990,870,4860,3690,930,4620,3750,1170,4920,,,7860,870,8730,7980,870,8850,7380,930,8310,7500,1170,8670,,,1192,1192,1192,1192,5550,5550,5550,5550,3625,3625,3625,3625,9450,9450,9450,9450,3625,3625,3625,3625,3625,3625,3625,3625
101648,6000,3538,200,6000,3538,200,12000,3538,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,3418,9418,6000,3418,9418,6000,3218,9218,6000,3538,9538,,,6000,3418,9418,6000,3418,9418,6000,3218,9218,6000,3538,9538,,,12000,3418,15418,12000,3418,15418,12000,3218,15218,12000,3538,15538,,,1800,1800,1800,1800,4950,4950,4950,4950,2400,2400,2400,2170,,,,,,,,,,,,
101675,11164,1550,470,11164,1550,470,11164,1550,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11164,1300,12464,11164,1550,12714,11164,1300,12464,11164,1550,12714,,,11164,1300,12464,11164,1550,12714,11164,1300,12464,11164,1550,12714,,,11164,1300,12464,11164,1550,12714,11164,1300,12464,11164,1550,12714,,,250,250,250,250,7348,7348,7348,7348,2832,2832,2832,2832,10845,10845,10845,10845,2992,2992,2992,2992,2992,2992,2992,2992
101693,23860,1920,855,23860,1920,855,23860,1920,855,13405,630,550,13405,630,550,13405,630,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22250,1610,23860,22700,1610,24310,23160,1695,24855,23860,2020,25880,,,22250,1610,23860,22700,1610,24310,23160,1695,24855,23860,2020,25880,,,22250,1610,23860,22700,1610,24310,23160,1695,24855,23860,2020,25880,,,1800,1800,1800,1800,9700,9886,10088,10676,4750,4750,4750,4750,9000,9000,9000,9000,4800,4800,4800,4800,4800,4800,4800,4800
101709,12090,1620,403,12090,1620,403,25110,1620,837,10512,1404,438,10512,1404,438,25128,1404,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12090,1618,13708,12090,1620,13710,12090,1620,13710,12090,1620,13710,,,12090,1618,13708,12090,1620,13710,12090,1620,13710,12090,1620,13710,,,25110,1618,26728,25110,1620,26730,25110,1620,26730,25110,1620,26730,,,1020,1020,1020,1020,9810,9810,9936,10135,3180,3180,3180,3180,9810,9810,9810,10135,3180,5984,3180,3180,3380,6085,3380,3440
101736,3750,1261,125,3750,1261,125,7500,1261,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,841,4771,3990,841,4831,3690,1141,4831,3750,1261,5011,,,3930,841,4771,3990,841,4831,3690,1141,4831,3750,1261,5011,,,7860,841,8701,7980,841,8821,7380,1141,8521,7500,1261,8761,,,2000,1600,1600,1600,,,,,,,,,5500,5625,5500,5500,4370,2460,4370,4370,5826,2310,3060,3060
101879,10200,1020,340,10200,1020,340,20400,1020,680,6600,540,370,6600,540,370,13320,540,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9600,1020,10620,9600,1020,10620,9600,1020,10620,10200,1020,11220,,,9600,1020,10620,9600,1020,10620,9600,1020,10620,10200,1020,11220,,,19200,1020,20220,19200,1020,20220,19200,1020,20220,20400,1020,21420,,,1500,1500,1500,1500,7830,7966,7966,7730,2800,2800,2800,2800,7830,7966,7966,7730,2800,2800,2800,2800,2800,2800,2800,2800
101897,3750,1170,125,3750,1170,125,7500,1170,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,870,4800,3990,870,4860,3690,1170,4860,3750,1170,4920,,,3930,870,4800,3990,870,4860,3690,1170,4860,3750,1170,4920,,,7860,870,8730,7980,870,8850,7380,1170,8550,7500,1170,8670,,,2400,2400,2400,2400,,,,,,,,,3500,3500,8500,8500,1000,1000,1000,3300,2000,2000,2400,3300
101912,18974,1066,767,18974,1066,767,18974,1066,767,13680,836,570,13680,836,570,13680,836,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18974,1016,19990,18974,1016,19990,18974,1016,19990,18974,1066,20040,,,18974,1016,19990,18974,1016,19990,18974,1016,19990,18974,1066,20040,,,18974,1016,19990,18974,1016,19990,18974,1016,19990,18974,1066,20040,,,1500,1200,1200,1200,9374,9374,9374,9384,6900,6800,8000,8000,9374,10820,12840,12840,6900,7752,7170,8370,6900,6800,6800,8000
101994,3750,1200,125,3750,1200,125,7500,1200,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,930,4860,3990,930,4920,5535,1800,7335,3750,1200,4950,,,3930,930,4860,3990,930,4920,5535,1800,7335,3750,1200,4950,,,7860,930,8790,7980,930,8910,11070,1800,12870,7500,1200,8700,,,1125,1125,1125,1125,,,,,,,,,5000,5000,5000,5000,1500,1500,1500,1500,1500,1500,1500,1500
102030,3750,1170,125,3750,1170,125,7500,1170,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,870,4800,3990,870,4860,3690,1170,4860,3750,1170,4920,,,3930,870,4800,3990,870,4860,3690,1170,4860,3750,1170,4920,,,7860,870,8730,7980,870,8850,7380,1170,8550,7500,1170,8670,,,1500,2000,2000,2000,,,,,,,,,3000,4000,6150,6150,3500,2700,3000,3000,3500,2700,2700,2700
102049,35750,975,1196,35750,975,1196,35750,975,1196,21265,656,924,21265,656,924,21265,656,924,,,,,,,,,,,,,,,,,,,,,34900,1756,34900,1756,,,,,,,,,43662,656,43662,656,32000,850,32850,33248,950,34198,34410,950,35360,35750,975,36725,,,32000,850,32850,33248,950,34198,34410,950,35360,35750,975,36725,,,32000,850,32850,33248,950,34198,34410,950,35360,35750,975,36725,,,1000,1000,1000,1000,10980,11260,11260,11264,4804,4856,4894,4945,10800,11250,11250,13950,5350,5452,5490,5525,5250,5302,5340,5475
102058,4800,0,200,4800,0,200,4800,0,200,4800,0,200,4800,0,200,4800,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,0,4800,,,,,,,,,,,,4800,0,4800,,,,,,,,,,,,4800,0,4800,,,,,,800,,,,,,,,,,,,6000,,,,2400,,,,2500
102067,3750,1230,125,3750,1230,125,7500,1230,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,611,4541,3990,570,4560,3690,897,4587,3750,1230,4980,,,3930,611,4541,3990,570,4560,3690,897,4587,3750,1230,4980,,,7860,611,8471,7980,570,8550,7380,897,8277,7500,1230,8730,,,2000,2000,2000,3000,,,,,,,,,9000,9000,9000,9000,4050,4050,4050,4050,3320,3320,3320,3320
102076,4000,1408,125,4000,1408,125,8000,1408,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,1020,4950,4256,1088,5344,3936,1408,5344,4000,1408,5408,,,3930,1020,4950,4256,1088,5344,3936,1408,5344,4000,1408,5408,,,7860,1020,8880,8512,1088,9600,7872,1408,9280,8000,1408,9408,,,2250,2735,2735,2250,3611,4675,4675,4675,3042,3939,3939,3939,5850,7575,7575,7575,3042,3939,3939,3939,3042,3939,3939,3939
