UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
100654,27,19,32,50,0,0,0,27,47,24,22,0,100,34,13,23,27,19,32,50,0,0,0,27,47,24,22,0,100,34,25,25,39,39,29,29
100663,64,59,67,55,82,82,100,57,53,66,66,67,63,15,44,61,64,59,67,55,82,82,100,57,51,65,66,60,63,15,56,55,60,60,73,73
100690,50,0,100,,0,0,,,,100,,,,50,50,50,50,0,100,,0,0,,,,100,,,,50,,,50,50,,
100706,63,59,69,33,69,69,,48,55,64,59,74,68,21,39,60,63,59,69,33,69,69,,48,55,64,59,74,68,21,50,50,49,49,70,70
100724,28,19,33,50,40,40,,27,25,38,20,50,67,35,14,24,28,19,33,50,40,40,,27,25,38,20,50,67,35,26,26,25,25,34,34
100751,73,70,74,58,71,72,57,60,67,75,67,68,73,19,55,70,73,70,74,58,71,72,57,60,67,75,67,68,73,19,59,59,68,68,77,77
100760,22,24,20,50,40,40,,13,13,24,40,0,0,19,,,,,,,,,,,,,,,,,15,,0,,37,
100830,36,27,41,14,40,40,,37,38,37,24,,8,31,15,31,36,27,41,14,40,40,,37,38,37,24,,8,31,35,35,31,31,40,40
100858,81,77,84,57,82,81,100,69,77,82,74,100,70,13,56,77,81,77,84,57,82,81,100,69,77,82,74,100,70,13,71,71,76,76,83,83
100937,65,63,66,,71,71,,44,67,68,50,,,27,59,64,65,63,66,,71,71,,44,67,68,50,,,27,60,60,70,70,65,65
101028,26,29,24,0,0,0,,17,43,32,25,0,,22,,,,,,,,,,,,,,,,,19,,22,,45,
101116,9,13,7,,0,,0,8,,14,0,,,,7,7,7,17,0,,0,,0,11,,0,0,,,,6,8,0,,33,0
101143,29,31,27,0,,,,17,24,36,14,50,,30,,,,,,,,,,,,,,,,,24,,,,37,
101161,22,22,23,19,47,43,100,19,29,23,29,33,0,21,,,,,,,,,,,,,,,,,20,,,,25,
101189,33,22,46,,0,0,0,14,25,43,0,0,64,40,21,31,33,22,46,,0,0,0,15,25,41,0,0,64,39,22,22,41,41,51,47
101240,25,27,24,0,100,100,100,15,27,29,30,11,47,4,,,,,,,,,,,,,,,,,23,,,,30,
101277,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,67,,69,
101286,29,30,29,33,50,50,50,22,24,33,23,,100,17,,,,,,,,,,,,,,,,,25,,,,37,
101295,45,43,47,63,55,55,50,28,40,47,50,22,67,11,,,,,,,,,,,,,,,,,37,,43,,58,
101301,37,40,32,,,,,39,25,39,0,14,,13,,,,,,,,,,,,,,,,,34,,,,50,
101365,30,50,25,,,,,25,,50,0,0,,,0,0,0,0,0,,,,,,,0,,,,,33,0,0,,,
101435,50,42,63,,100,100,,51,64,48,46,67,,,38,48,50,42,63,,100,100,,51,64,48,46,67,,,46,46,45,45,60,60
101453,0,0,,,,,,,,0,,,,100,0,0,0,0,,,,,,,,0,,,,100,,,,,0,0
101462,12,8,16,0,,,,8,25,21,13,0,,19,,,,,,,,,,,,,,,,,11,,,,17,
101471,10,11,5,0,0,0,,7,50,13,,,,,,,,,,,,,,,,,,,,,3,,,,11,
101480,52,43,60,29,57,67,0,37,60,56,,44,49,27,31,48,52,43,60,29,57,67,0,37,60,56,,44,49,27,43,43,51,51,61,61
101505,22,20,23,0,18,18,,15,1,29,55,9,0,38,,,,,,,,,,,,,,,,,19,,9,,27,
101514,36,38,34,39,47,47,,26,32,40,42,15,29,17,,,,,,,,,,,,,,,,,27,,28,,45,
101569,23,24,22,33,0,0,,20,50,33,25,17,0,16,,,,,,,,,,,,,,,,,21,,,,33,
101587,38,36,40,0,0,,0,35,20,41,64,42,25,36,29,29,35,34,37,0,0,,0,33,20,37,60,44,25,36,37,34,44,40,38,34
101602,34,34,33,0,,,,36,23,32,47,,,,,,,,,,,,,,,,,,,,29,,,,43,
101648,27,23,37,33,13,17,0,25,10,29,33,,,55,,,,,,,,,,,,,,,,,24,,29,,28,
101675,26,24,30,,0,0,,27,40,50,0,50,,,15,24,26,24,30,,0,0,,27,40,50,0,50,,,25,25,42,42,36,36
101693,46,38,51,0,0,0,,48,33,97,13,11,33,,42,46,46,38,51,0,0,0,,48,33,97,13,11,33,,53,53,41,41,,
101709,55,44,60,0,50,50,,56,64,55,50,40,56,23,40,51,55,44,60,0,50,50,,56,64,55,50,40,56,23,47,47,51,51,61,61
101736,27,31,24,14,0,0,,14,35,29,23,8,25,6,,,,,,,,,,,,,,,,,21,,39,,39,
101879,52,44,58,70,67,67,,31,45,56,51,64,50,24,30,48,52,44,58,70,67,67,,31,45,56,51,64,50,24,39,39,50,50,64,64
101897,45,43,46,70,80,100,50,40,52,43,28,,,6,,,,,,,,,,,,,,,,,41,,26,,57,
101912,47,42,50,,100,,100,48,36,0,42,0,54,,34,42,46,41,50,,100,,100,47,38,0,36,0,54,,35,35,55,55,67,66
101994,44,48,37,,,,,38,0,56,0,,,,,,,,,,,,,,,,,,,,42,,,,50,
102030,22,28,17,40,14,14,,23,8,20,10,0,0,19,,,,,,,,,,,,,,,,,13,,,,48,
102049,78,75,79,,56,56,,70,69,78,89,92,64,,69,77,78,75,79,,56,56,,70,69,78,89,92,64,,68,68,77,77,80,80
102067,23,26,20,40,25,25,,12,18,29,31,16,17,20,,,,,,,,,,,,,,,,,27,,,,17,
102076,40,38,41,67,83,83,,33,41,41,32,23,100,16,,,,,,,,,,,,,,,,,43,,30,,35,
102094,48,40,54,53,58,58,,45,38,53,48,52,14,30,32,44,47,40,53,53,58,58,,45,37,53,48,52,14,30,45,44,49,49,50,49
102234,62,60,62,,44,43,50,52,77,66,39,55,43,30,55,59,62,60,62,,44,43,50,52,77,66,39,55,43,30,45,45,61,61,74,74
102270,25,8,37,,0,0,,22,,71,,,,18,7,25,25,8,37,,0,0,,22,,71,,,,18,22,22,100,100,0,0
102298,35,25,45,,0,,0,32,58,0,29,67,56,,33,37,37,27,46,,0,,0,33,64,0,29,67,56,,34,34,42,42,36,42
102313,20,23,17,0,0,0,,18,36,25,0,,,11,,,,,,,,,,,,,,,,,20,,,,20,
102368,46,43,48,17,46,55,0,37,30,54,34,53,37,26,24,39,45,42,47,17,46,55,0,36,30,53,33,49,37,26,38,37,45,45,53,53
102377,67,59,71,,50,50,,74,80,50,,22,,,33,63,67,59,71,,50,50,,74,80,50,,22,,,97,97,92,92,46,46
102429,36,35,37,0,33,33,,23,28,38,33,13,,16,,,,,,,,,,,,,,,,,30,,,,45,
102553,30,27,33,8,33,34,25,22,30,34,20,29,58,19,14,25,31,29,32,7,34,35,20,24,32,34,23,41,59,19,23,25,27,26,34,34
102580,50,50,50,,,,,,100,33,,,,50,50,100,100,100,100,,,,,,100,100,,,,,50,100,,,,
102614,39,38,39,22,50,57,33,27,30,48,33,29,67,20,25,38,41,39,43,11,43,60,0,17,31,51,40,28,71,21,27,25,30,30,44,47
102632,25,26,24,9,20,25,0,,40,31,11,21,,23,14,23,26,30,23,17,20,25,0,,0,28,25,31,,29,12,11,30,33,32,30
102669,36,31,39,75,50,100,0,0,67,32,20,0,,25,3,3,3,8,0,0,0,0,0,0,33,0,0,0,,25,15,8,0,0,92,0
102711,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,76,
102845,55,51,56,41,41,67,40,55,59,61,49,51,,0,40,40,40,36,100,,0,,0,,,75,,0,,,54,27,70,50,47,100
103501,70,61,72,72,73,73,71,54,63,77,69,83,,,,,,,,,,,,,,,,,,,81,,69,,47,
103741,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,100,,50,
103893,53,43,54,50,60,60,,32,57,51,33,62,80,1,,,,,,,,,,,,,,,,,52,,75,,50,
103909,45,48,45,38,50,100,33,26,52,41,60,67,100,4,,,,,,,,,,,,,,,,,44,,78,,42,
103927,53,43,55,0,33,50,0,44,56,54,,,100,3,,,,,,,,,,,,,,,,,56,,100,,39,
103954,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,
103963,53,53,58,53,67,67,67,38,49,63,55,63,,,,,,,,,,,,,,,,,,,51,,67,,58,
104090,57,46,60,64,75,67,100,31,65,54,100,,,1,63,63,63,50,67,,,,,100,0,80,,,,,61,100,57,100,29,0
104151,67,64,70,46,76,78,44,49,61,70,61,100,75,19,53,64,67,64,70,46,76,78,44,49,61,70,61,100,75,19,60,60,62,62,72,72
104160,21,15,25,0,0,,0,0,21,23,25,9,30,6,,,,,,,,,,,,,,,,,19,,33,,25,
104179,68,65,71,45,75,76,50,56,63,70,69,80,71,18,54,66,68,65,71,45,75,76,50,56,63,70,69,80,71,18,60,60,64,64,72,72
104346,18,15,21,21,20,17,25,15,14,18,22,10,44,15,,,,,,,,,,,,,,,,,18,,0,,18,
104391,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,25,
104425,25,23,28,0,0,0,0,17,25,26,40,0,28,17,,,,,,,,,,,,,,,,,14,,0,,48,
104443,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,0,,33,
104568,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,89,,78,
104577,49,56,40,42,33,60,0,46,56,48,54,29,57,11,,,,,,,,,,,,,,,,,14,,,,62,
104586,71,69,75,67,74,73,100,33,61,76,66,53,74,,48,67,71,69,75,67,74,73,100,33,61,76,66,53,74,,64,64,68,68,76,76
104708,12,10,14,11,17,16,50,9,11,14,5,13,21,18,,,,,,,,,,,,,,,,,11,,10,,13,
104717,45,41,48,26,55,62,36,41,43,47,46,39,,,37,43,45,41,48,26,55,62,36,41,43,47,46,39,,,40,40,43,43,53,53
105145,19,23,15,8,80,75,100,32,18,14,0,13,,24,,,,,,,,,,,,,,,,,22,,0,,15,
105154,13,13,13,9,15,16,11,9,10,15,6,38,19,19,,,,,,,,,,,,,,,,,13,,8,,13,
105206,26,37,14,0,,,,33,24,28,13,100,,12,,,,,,,,,,,,,,,,,28,,0,,23,
105215,58,57,63,50,80,67,100,50,58,58,64,42,100,0,,,,,,,,,,,,,,,,,58,,58,,57,
105297,18,26,11,18,,,,,,0,,,,14,,,,,,,,,,,,,,,,,17,,,,21,
105330,59,53,63,33,67,72,39,42,55,63,55,61,50,,47,57,59,53,63,33,67,72,39,42,55,63,55,61,50,,52,52,54,54,66,66
105349,8,19,0,11,0,0,0,0,0,6,0,0,,10,,,,,,,,,,,,,,,,,9,,,,0,
105428,12,11,14,9,0,0,,9,13,16,10,7,0,19,,,,,,,,,,,,,,,,,13,,18,,11,
105525,18,15,21,4,17,19,9,17,18,21,10,24,,14,,,,,,,,,,,,,,,,,16,,15,,23,
105534,69,63,70,63,93,92,100,55,70,73,61,42,,0,,,,,,,,,,,,,,,,,70,,73,,65,
105543,46,44,46,33,0,0,,50,52,45,32,100,,1,,,,,,,,,,,,,,,,,44,,61,,44,
105589,55,45,64,50,,,,100,50,57,50,33,100,21,49,53,55,45,64,50,,,,100,50,57,50,33,100,21,50,50,83,83,52,52
105659,61,61,62,60,86,100,60,44,64,62,58,55,,,,,,,,,,,,,,,,,,,60,,63,,67,
105668,10,7,12,0,0,0,,0,12,15,0,,,22,,,,,,,,,,,,,,,,,11,,0,,7,
105677,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,100,,100,
105747,22,19,27,14,27,27,,11,15,25,35,25,42,21,,,,,,,,,,,,,,,,,24,,35,,20,
105792,17,12,21,13,33,20,100,6,18,33,0,11,0,20,,,,,,,,,,,,,,,,,16,,20,,19,
105899,45,38,58,0,,,,45,35,55,25,0,50,,43,44,46,38,58,0,,,,45,36,55,25,0,50,,27,28,44,44,64,64
106041,50,51,36,43,48,38,55,35,45,53,42,55,,1,,,,,,,,,,,,,,,,,47,,62,,50,
106148,39,38,40,8,50,67,33,11,38,41,34,44,75,13,,,,,,,,,,,,,,,,,31,,33,,48,
106245,42,38,44,33,74,74,,31,46,42,45,67,75,25,24,35,38,36,40,33,74,74,,29,42,38,39,67,75,25,36,33,26,21,55,51
106306,8,9,7,,0,0,,8,20,13,,,,,0,0,0,0,0,,0,0,,0,0,0,,,,,9,0,8,0,0,0
106315,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
106324,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,100,,9,
106342,38,30,51,33,60,60,,8,54,40,,31,0,44,31,36,38,30,51,33,60,60,,8,54,40,,31,0,44,39,39,36,36,39,39
106351,0,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,0,,,,,
106360,63,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,63,,100,,50,
106397,69,66,72,56,72,74,20,62,63,70,63,72,77,,53,67,69,66,72,56,72,74,20,62,63,70,63,72,77,,54,54,65,65,74,74
106412,41,36,44,0,50,50,,41,33,45,36,,83,25,27,37,41,36,44,0,50,50,,40,33,45,36,,83,25,38,37,28,28,62,61
106449,38,42,36,33,33,33,,13,36,41,21,50,,12,,,,,,,,,,,,,,,,,37,,42,,40,
106458,53,45,59,43,64,64,,43,50,57,31,44,29,29,38,49,51,44,57,43,64,64,,41,48,56,24,44,29,29,45,43,51,49,61,60
106467,49,45,53,44,50,52,0,17,54,52,49,,33,20,32,41,44,38,49,27,47,47,,15,50,48,37,,28,22,41,37,54,44,59,52
106485,39,37,40,,50,50,,24,41,47,29,,100,14,18,25,26,19,33,,0,0,,12,29,33,27,,100,16,32,20,41,25,56,41
106494,50,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,53,,,,0,
106546,75,100,67,,,,,,,75,,,,25,,,,,,,,,,,,,,,,,0,,100,,100,
106625,34,40,29,0,33,50,0,50,43,33,29,,,6,,,,,,,,,,,,,,,,,28,,24,,51,
106704,50,47,52,56,77,77,,41,49,54,45,0,31,23,36,47,50,46,52,56,77,77,,41,49,53,45,0,31,23,42,41,49,48,59,58
106713,39,32,49,100,67,100,50,5,43,45,,,,43,18,19,19,20,19,100,50,100,0,14,33,17,,,,41,25,12,42,53,61,7
106795,46,53,41,100,0,0,,10,64,43,45,,,,,,,,,,,,,,,,,,,,46,,,,44,
106810,31,23,44,,,,,33,100,30,,,,46,28,45,45,44,45,,,,,50,100,42,,,,31,23,43,25,57,55,38
106883,41,53,32,,50,50,,37,80,43,25,25,0,8,,,,,,,,,,,,,,,,,24,,,,98,
106908,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,73,,95,
106980,26,25,26,40,40,40,,18,41,24,,30,50,7,,,,,,,,,,,,,,,,,25,,0,,32,
106999,62,53,67,0,100,100,,100,83,58,57,,100,2,,,,,,,,,,,,,,,,,52,,44,,96,
107044,69,65,73,67,88,88,,42,69,70,66,,82,21,53,68,69,65,73,67,88,88,,42,69,70,66,,82,21,57,57,66,66,77,77
107071,39,35,43,40,50,50,,25,43,45,36,100,17,19,28,36,39,35,42,40,50,50,,24,43,45,36,100,17,19,34,34,34,34,49,48
107080,69,64,73,100,70,70,,81,63,67,65,62,100,,67,69,69,64,73,100,70,70,,81,63,67,65,62,100,,65,65,58,58,76,76
107099,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,100,,,
107141,71,67,74,67,50,50,,50,68,73,46,80,80,18,64,70,71,67,74,67,50,50,,50,68,73,46,80,80,18,62,62,69,69,77,77
107220,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,80,,60,
107293,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,
107318,43,31,49,100,,,,41,50,38,67,,,16,,,,,,,,,,,,,,,,,44,,,,39,
107327,42,43,40,,100,100,,34,69,42,0,,,10,,,,,,,,,,,,,,,,,38,,,,48,
107442,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,
107460,32,37,27,,0,0,0,50,28,33,20,,100,19,,,,,,,,,,,,,,,,,25,,43,,43,
107488,70,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,100,,,,54,
107512,65,59,70,50,0,0,,31,64,69,100,,86,,62,65,65,58,72,50,0,0,,31,62,70,100,,86,,53,53,65,64,74,75
107521,36,28,39,0,,,,25,50,40,0,,,4,,,,,,,,,,,,,,,,,30,,100,,58,
107549,47,58,41,50,,,,,60,46,,,,4,,,,,,,,,,,,,,,,,47,,0,,55,
107558,41,40,42,75,0,0,0,31,40,39,45,25,62,38,34,40,41,40,42,75,0,0,0,31,40,39,45,25,62,38,35,35,33,33,52,52
107585,36,32,38,0,33,33,,12,47,35,45,40,100,7,,,,,,,,,,,,,,,,,30,,36,,44,
107600,30,19,38,,0,,0,29,100,,50,100,67,,16,26,30,19,38,,0,,0,29,100,,50,100,67,,30,30,39,39,28,28
107619,46,51,41,100,100,100,,37,100,53,50,,,8,,,,,,,,,,,,,,,,,42,,,,68,
107637,24,27,20,0,50,,50,12,35,38,0,,,8,,,,,,,,,,,,,,,,,16,,33,,47,
107655,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,67,
107664,23,23,23,0,36,36,,14,58,30,12,18,44,12,,,,,,,,,,,,,,,,,19,,25,,33,
107725,42,52,36,50,100,,100,23,65,44,50,,,6,,,,,,,,,,,,,,,,,42,,,,42,
107743,57,56,58,75,,,,33,60,61,60,100,38,2,,,,,,,,,,,,,,,,,62,,33,,47,
107789,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,63,,78,
107831,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,50,,100,
107840,11,7,13,,,,,12,0,0,,,,,,,,,,,,,,,,,,,,,12,,,,0,
107877,45,42,49,,0,,0,33,50,53,17,,25,31,32,44,45,42,49,,0,,0,33,50,53,17,,25,31,46,46,50,50,43,43
107974,28,31,26,,100,100,,18,45,34,18,,20,11,,,,,,,,,,,,,,,,,26,,25,,33,
107983,45,40,49,57,56,60,50,31,45,49,85,100,35,30,24,31,33,31,35,57,44,60,25,23,41,35,69,100,30,30,38,27,47,36,56,42
107992,63,72,53,100,,,,67,75,60,53,0,,16,,,,,,,,,,,,,,,,,62,,100,,63,
108065,71,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,71,,,,,
108092,42,37,47,32,50,50,50,35,38,44,36,,33,,29,39,42,35,47,30,47,47,50,27,42,45,33,,33,,38,37,51,48,46,47
108232,44,36,51,67,40,42,33,31,39,42,33,33,56,17,13,35,43,35,48,100,41,43,33,29,33,42,11,32,56,17,26,22,38,33,55,55
108667,35,30,44,,52,52,0,31,25,28,38,33,33,15,,,,,,,,,,,,,,,,,41,,,,31,
108807,29,25,32,50,30,32,20,25,28,34,24,34,0,4,,,,,,,,,,,,,,,,,30,,50,,27,
108852,58,53,63,100,,,,44,60,68,0,,56,4,,,,,,,,,,,,,,,,,53,,74,,53,
108977,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,50,,50,
109040,64,49,67,50,78,74,100,30,69,50,57,0,,,,,,,,,,,,,,,,,,,62,,83,,67,
109208,27,26,28,17,37,38,19,15,23,31,19,25,22,7,,,,,,,,,,,,,,,,,25,,33,,29,
109350,30,28,33,,38,38,,14,30,35,48,40,0,8,33,100,100,100,,,,,,,100,100,,,,,27,,33,,37,100
109651,75,69,79,,78,78,,67,78,66,67,100,77,,30,67,75,69,79,,78,78,,67,78,66,67,100,77,,83,83,81,81,72,72
109721,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,5,
109730,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,0,
109785,61,57,63,75,71,71,71,34,55,67,55,69,71,,44,59,61,57,63,75,71,71,71,34,55,67,55,69,71,,41,41,46,46,91,91
109819,22,20,24,43,25,26,0,18,20,28,28,10,25,10,0,0,0,0,,,,,,,0,,,,,,20,,33,,25,0
109907,31,21,37,0,25,27,20,15,37,29,27,25,33,10,,,,,,,,,,,,,,,,,35,,,,24,
109934,42,33,43,,0,0,,50,43,0,50,,,,,,,,,,,,,,,,,,,,39,,100,,40,
110060,0,0,0,,,,,0,0,0,,,0,22,0,0,0,0,0,,,,,0,0,0,,,0,22,0,0,,,0,0
110097,72,73,72,67,70,70,67,35,64,78,64,75,80,,60,69,72,73,72,67,70,70,67,35,64,78,64,75,80,,64,64,75,75,75,75
110194,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,96,,73,
110219,33,34,31,0,33,33,,29,45,35,13,33,,1,29,33,33,29,37,,50,50,,39,50,29,0,27,,,31,30,43,50,38,40
110246,34,31,36,15,35,36,0,23,24,40,34,39,67,8,,,,,,,,,,,,,,,,,27,,33,,41,
110334,33,30,36,0,50,52,0,40,28,45,40,13,30,8,,,,,,,,,,,,,,,,,32,,0,,34,
110361,63,61,64,50,66,71,46,43,56,75,57,57,52,23,43,60,63,61,64,50,66,71,46,43,56,75,57,57,52,23,57,57,67,67,68,68
110370,72,62,77,0,78,77,100,47,70,55,,33,83,,54,68,72,62,77,0,78,77,100,47,70,55,,33,83,,52,52,90,90,77,77
110404,94,92,96,,99,99,,100,87,93,87,,100,3,81,92,94,92,96,,99,99,,100,87,93,87,,100,3,90,90,100,100,94,94
110413,73,70,76,100,82,86,50,61,76,73,69,65,58,23,68,72,73,70,76,100,82,86,50,61,76,73,69,65,58,23,74,74,72,72,73,73
110422,85,82,89,86,87,88,71,92,79,87,81,84,81,1,60,82,85,82,89,86,87,88,71,92,79,87,81,84,81,1,81,81,85,85,86,86
110486,50,41,55,50,64,65,0,43,49,50,44,67,48,3,22,43,50,41,55,50,64,65,0,43,49,50,44,67,48,3,46,46,46,46,60,60
110495,55,51,57,67,59,61,33,56,53,63,58,49,44,3,25,47,55,51,57,67,59,61,33,56,53,63,58,49,44,3,54,54,56,56,58,58
110510,54,49,58,50,66,66,0,45,54,53,52,63,56,1,25,46,54,49,58,50,66,66,0,45,54,53,52,63,56,1,53,53,52,52,58,58
110529,66,64,69,71,78,78,57,50,60,76,69,64,60,2,27,57,66,64,69,71,78,78,57,50,60,76,69,64,60,2,62,62,68,68,70,70
110538,64,60,67,40,57,58,43,47,61,69,63,73,61,4,34,59,64,60,67,40,57,58,43,47,61,69,63,73,61,4,58,58,65,65,71,71
110547,46,39,51,,56,58,0,44,48,46,36,28,32,4,17,38,46,39,51,,56,58,0,44,48,46,36,28,32,4,46,46,46,46,47,47
110556,56,50,60,56,50,51,33,38,57,66,55,55,49,2,21,47,56,50,60,56,50,51,33,38,57,66,55,55,49,2,54,54,58,58,60,60
110565,69,64,73,60,75,75,57,63,66,75,69,80,65,2,33,61,69,64,73,60,75,75,57,63,66,75,69,80,65,2,66,66,67,67,74,74
110574,46,39,49,50,56,56,50,44,42,55,39,51,37,5,13,37,46,39,49,50,56,56,50,44,42,55,39,51,37,5,43,43,56,56,47,47
110583,73,68,76,71,78,78,40,62,70,77,70,66,66,2,38,66,73,68,76,71,78,78,40,62,70,77,70,66,66,2,70,70,73,73,75,75
110592,51,46,55,0,67,67,29,38,51,46,47,46,47,3,17,43,51,46,55,0,67,67,29,38,51,46,47,46,47,3,51,51,49,49,53,53
110608,56,50,61,25,66,66,57,41,53,68,58,51,53,6,23,47,56,50,61,25,66,66,57,41,53,68,58,51,53,6,53,53,59,59,61,61
110617,54,48,60,13,57,57,58,43,53,58,57,57,57,3,22,46,54,48,60,13,57,57,58,43,53,58,57,57,57,3,52,52,52,52,58,58
110635,94,93,95,100,96,96,93,81,87,95,92,95,94,,82,92,94,93,95,100,96,96,93,81,87,95,92,95,94,,89,89,92,92,96,96
110644,86,84,88,100,91,91,76,78,80,88,90,89,85,,66,84,86,84,88,100,91,91,76,78,80,88,90,89,85,,81,81,87,87,89,89
110653,87,84,89,100,92,92,82,77,81,87,85,96,86,7,72,85,87,84,89,100,92,92,82,77,81,87,85,96,86,7,85,85,86,86,88,88
110662,92,91,93,81,95,95,80,84,90,93,93,94,91,3,84,92,92,91,93,81,95,95,80,84,90,93,93,94,91,3,89,89,93,93,94,94
110671,76,73,78,67,83,83,75,72,74,75,69,69,65,15,62,74,76,73,78,67,83,83,75,72,74,75,69,69,65,15,75,75,80,80,76,76
110680,88,85,90,43,92,92,92,74,82,88,87,95,86,,72,86,88,85,90,43,92,92,92,74,82,88,87,95,86,,84,84,88,88,90,90
110705,86,84,87,86,90,90,85,81,81,88,83,94,84,,73,84,86,84,87,86,90,90,85,81,81,88,83,94,84,,82,82,87,87,88,88
110714,77,75,79,83,79,79,80,70,75,77,78,78,75,5,62,75,77,75,79,83,79,79,80,70,75,77,78,78,75,5,77,77,74,74,78,78
110875,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,67,
110918,0,0,,,,,,,,0,,,,,0,0,0,0,,,,,,,,0,,,,,0,0,,,,
111054,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,100,,90,
111081,64,61,66,50,58,58,,50,68,63,27,73,82,19,55,62,64,61,66,50,58,58,,50,68,63,27,73,82,19,50,50,63,63,67,67
111188,63,63,62,100,64,65,60,25,60,74,50,56,0,6,49,60,63,63,62,100,64,65,60,25,60,74,50,56,0,6,63,63,64,64,63,63
111434,35,36,35,50,38,44,25,50,25,52,63,38,59,11,,,,,,,,,,,,,,,,,34,,,,36,
111461,43,36,51,0,60,60,56,25,38,54,40,31,45,9,,,,,,,,,,,,,,,,,40,,50,,45,
111513,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,88,
111638,43,44,43,,80,75,100,40,32,46,,,,,,,,,,,,,,,,,,,,,47,,38,,29,
111708,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,88,,94,
111717,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,43,,11,
111726,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,83,
111744,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,100,,50,
111762,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,100,,66,
111799,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,0,,59,
111887,29,24,34,33,46,49,8,25,27,34,47,20,36,9,,,,,,,,,,,,,,,,,26,,25,,35,
111896,29,27,31,17,67,67,,8,31,28,25,33,100,12,,,,,,,,,,,,,,,,,28,,100,,29,
111920,35,32,38,0,51,54,18,22,28,40,33,17,42,9,,,,,,,,,,,,,,,,,35,,0,,35,
111939,28,27,29,50,45,46,0,25,25,37,32,16,43,9,,,,,,,,,,,,,,,,,25,,,,31,
111948,84,80,86,100,93,93,,75,85,82,80,86,75,,76,82,84,80,86,100,93,93,,74,85,82,81,86,75,,81,80,86,86,83,84
112075,63,58,66,0,52,54,0,52,59,71,74,78,32,,54,62,63,58,66,0,52,54,0,52,59,71,74,78,32,,61,61,60,60,65,65
112084,35,32,38,0,,,,0,35,45,0,0,0,27,33,33,33,32,35,0,,,,0,35,43,0,0,0,27,39,36,8,8,50,50
112172,42,36,46,33,58,58,67,33,38,53,44,31,51,6,,,,,,,,,,,,,,,,,41,,0,,42,
112181,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,24,,36,
112190,37,34,42,67,52,52,31,10,25,29,27,43,39,8,,,,,,,,,,,,,,,,,41,,100,,36,
112260,91,90,92,,84,84,,100,91,93,92,100,87,,83,90,91,90,92,,84,84,,100,91,93,92,100,87,,100,100,100,100,89,89
112288,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,22,,19,
