UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
212911,91,91,91,,98,98,,96,85,90,67,100,95,5,83,90,91,91,91,,98,98,,96,85,90,67,100,95,5,93,93,94,94,91,91
212975,90,90,89,,100,100,,94,88,91,0,100,,,,,,,,,,,,,,,,,,,88,,,,91,
212984,59,62,57,,68,67,100,49,41,62,,62,50,27,42,55,58,62,57,,68,67,100,49,44,61,,62,50,27,51,51,62,61,67,66
212993,40,33,50,,,,,0,,67,,,,,50,50,50,0,100,,,,,,,50,,,,,,,,,40,50
213011,61,53,64,0,100,100,,42,47,63,67,0,100,31,50,58,61,53,64,0,100,100,,42,47,63,67,0,100,31,54,54,100,100,15,15
213020,52,45,57,50,57,59,0,24,43,60,43,31,45,24,38,50,53,45,57,50,57,59,0,24,42,61,42,50,45,25,38,38,64,65,63,64
213163,100,,100,,,,,,,100,,,,,,,,,,,,,,,,,,,,,100,,,,,
213181,50,33,52,,100,100,,26,75,53,43,0,,0,,,,,,,,,,,,,,,,,47,,58,,67,
213233,54,59,35,0,67,67,,63,42,55,50,,,3,,,,,,,,,,,,,,,,,48,,59,,63,
213251,71,64,76,,80,80,,38,81,73,50,57,63,8,66,70,71,64,76,,80,80,,38,81,73,50,57,63,8,66,66,73,73,72,72
213303,43,34,49,50,50,50,,30,47,47,20,35,,,32,42,44,34,52,50,50,50,,31,45,49,20,33,,,36,37,56,58,46,48
213321,58,50,67,50,79,79,,36,51,64,36,53,23,,49,57,58,50,67,50,79,79,,36,51,64,36,53,23,,55,55,63,63,53,53
213330,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,40,
213349,56,50,62,75,47,47,,28,44,61,41,56,71,26,41,54,56,50,62,75,47,47,,28,44,61,41,56,71,26,50,50,58,58,61,61
213358,55,52,58,,67,60,100,45,50,60,54,60,41,26,45,55,55,52,58,,67,60,100,45,50,61,54,60,41,26,57,56,63,63,48,49
213367,62,59,64,100,67,67,67,49,51,71,78,50,50,24,57,64,65,61,67,100,67,67,67,49,63,71,78,50,58,25,55,58,67,68,69,73
213376,38,36,42,,60,60,,31,40,41,20,45,67,30,,,,,,,,,,,,,,,,,34,,45,,48,
213385,89,88,91,,79,79,,86,93,90,100,90,85,9,86,88,89,88,91,,79,79,,86,93,90,100,90,85,9,89,89,94,94,88,88
213400,68,68,69,,,,,50,40,73,50,61,,17,59,67,67,67,67,,,,,50,40,71,50,61,,18,53,52,72,71,86,85
213455,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,91,,82,
213473,71,100,67,,100,100,,,,67,,,,,,,,,,,,,,,,,,,,,100,,50,,50,
213491,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,40,
213507,68,63,73,,50,43,100,25,43,73,60,0,100,,60,68,68,63,73,,50,43,100,25,43,73,60,0,100,,56,56,69,69,78,78
213525,21,15,25,20,18,18,,6,13,26,20,30,50,21,,,,,,,,,,,,,,,,,18,,,,24,
213534,44,52,38,0,25,25,,42,39,59,15,0,,,,,,,,,,,,,,,,,,,36,,56,,67,
213543,91,89,94,100,94,94,100,82,88,92,94,89,94,,83,91,91,89,94,100,94,94,100,82,88,92,94,89,94,,91,91,92,92,91,91
213570,56,44,58,100,100,100,,49,50,68,23,60,,,,,,,,,,,,,,,,,,,55,,57,,57,
213589,43,44,33,,64,64,,37,38,65,31,50,,,,,,,,,,,,,,,,,,,41,,41,,77,
213598,45,31,52,0,,,,44,40,25,33,37,94,31,30,41,45,31,52,0,,,,44,40,25,33,37,94,31,42,42,47,47,55,55
213622,38,,38,,,,,,,38,,,,,,,,,,,,,,,,,,,,,50,,50,,0,
213659,18,20,16,0,20,25,0,10,6,23,12,23,,16,,,,,,,,,,,,,,,,,13,,25,,26,
213668,64,55,74,,100,100,,49,66,68,54,60,63,25,55,63,64,55,74,,100,100,,49,66,68,54,60,63,25,64,64,59,59,70,70
213774,36,35,36,67,57,57,,26,36,44,0,50,,30,,,,,,,,,,,,,,,,,35,,32,,45,
213826,76,74,76,,86,86,,43,90,75,33,92,67,17,57,72,76,74,76,,86,86,,43,90,75,33,92,67,17,66,66,77,77,81,81
213914,72,88,70,,100,100,,50,100,71,75,,,,,,,,,,,,,,,,,,,,62,,93,,73,
213987,63,56,70,78,64,64,,36,62,66,,64,83,25,61,65,68,60,74,100,62,62,,46,63,68,,79,82,25,59,58,63,71,75,72
213996,78,76,79,100,47,47,,57,73,80,76,100,77,16,74,78,78,76,79,100,47,47,,57,73,80,76,100,77,16,71,71,77,77,83,83
214023,0,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,
214041,57,51,62,33,57,57,,47,43,60,62,43,60,24,38,54,57,51,62,33,57,57,,47,43,60,62,43,60,24,49,49,60,60,60,60
214069,75,60,84,0,86,100,0,41,64,78,55,100,,,67,74,75,60,84,0,86,100,0,41,64,78,55,100,,,62,62,68,68,95,95
214111,23,22,25,0,25,25,0,13,19,27,11,24,23,13,,,,,,,,,,,,,,,,,21,,24,,24,
214148,61,,61,,100,100,100,50,100,62,67,25,100,6,53,61,61,,61,,100,100,100,50,100,62,67,25,100,6,64,64,69,69,38,38
214157,70,62,75,100,90,90,,48,63,74,57,81,58,21,67,70,70,62,75,100,90,90,,48,63,74,57,81,58,21,58,58,73,73,78,78
214166,46,53,43,50,,,,0,0,53,,35,19,24,35,41,41,48,36,100,,,,0,0,52,,29,21,21,34,30,61,61,47,39
214175,83,79,86,,88,88,,87,80,84,71,60,74,13,79,83,83,79,86,,88,88,,87,80,84,71,60,74,13,92,92,82,82,81,81
214272,54,42,61,,57,57,,52,36,58,27,54,86,,31,51,54,42,61,,57,57,,52,36,58,27,54,86,,48,48,62,62,54,54
214290,72,73,63,,,,,62,50,74,,0,,,,,,,,,,,,,,,,,,,67,,91,,86,
214379,21,19,23,11,32,38,0,11,14,28,18,29,56,15,,,,,,,,,,,,,,,,,15,,29,,33,
214476,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,100,
214528,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,100,,93,
214582,74,60,78,,100,100,,81,,73,100,64,,11,,,,,,,,,,,,,,,,,100,,100,,14,
214591,42,41,44,0,24,24,,31,45,52,44,40,5,25,29,40,42,41,45,0,24,24,,31,47,52,47,40,5,26,44,45,51,52,35,34
214625,28,28,29,,0,0,,0,33,31,17,50,0,24,14,23,24,25,22,,0,0,,0,33,26,17,50,0,27,27,21,28,22,29,26
214634,23,8,33,,,,,0,50,22,0,50,,20,3,10,10,0,18,,,,,,0,12,0,,,39,15,13,32,0,27,11
214643,20,20,21,,0,0,,18,20,23,0,0,0,42,16,19,19,19,21,,0,0,,18,20,22,0,0,0,42,19,19,23,23,20,17
214652,34,28,41,,44,44,,17,31,34,33,100,0,26,22,33,33,27,40,,44,44,,17,33,33,33,100,0,27,35,35,30,30,37,33
214670,12,11,17,0,15,15,,0,12,13,18,25,0,49,8,10,12,10,17,0,15,15,,0,13,12,18,25,0,50,13,13,12,12,13,12
214689,16,14,18,,2,2,,13,11,19,10,0,5,47,10,15,16,14,18,,2,2,,13,11,19,10,0,5,48,17,16,20,19,13,13
214698,20,17,26,,0,0,,6,27,24,23,,0,38,17,20,20,17,26,,0,0,,6,27,24,23,,0,38,23,23,21,21,15,15
214704,33,34,33,0,44,47,0,26,28,38,24,29,0,25,22,30,32,33,29,0,44,47,0,26,27,36,24,29,0,26,32,31,36,32,33,32
214713,25,26,24,,27,27,0,22,31,41,25,18,5,46,18,24,25,25,24,,27,27,0,22,31,41,25,18,5,46,34,34,37,37,18,18
214731,26,17,37,,24,24,,23,41,24,44,0,0,30,15,24,26,17,37,,24,24,,24,41,24,44,0,0,30,28,28,27,27,23,23
214740,27,22,37,,0,0,,0,33,29,0,0,0,38,15,17,17,11,32,,0,0,,0,0,19,,0,0,46,34,21,27,14,21,17
214759,30,19,38,100,50,0,100,0,29,33,29,0,0,25,25,28,30,18,40,100,50,0,100,0,29,34,29,0,0,27,24,22,49,51,27,28
214768,16,16,17,,5,6,0,8,17,20,0,25,,50,10,13,13,15,11,,0,0,0,8,15,16,0,25,,52,16,15,20,15,12,9
214777,83,80,86,63,79,80,50,68,76,85,74,87,84,1,69,82,83,80,86,63,79,80,50,68,76,85,74,87,84,1,73,73,84,84,85,85
214786,21,18,25,,33,33,,15,17,24,0,0,25,34,13,20,21,18,25,,33,33,,15,17,24,0,0,25,34,28,28,13,13,17,17
214795,27,18,36,,25,25,,6,22,32,0,0,0,38,16,20,21,9,32,,25,25,,7,19,23,0,0,0,43,29,21,29,23,24,19
214801,28,24,34,100,26,26,0,23,35,37,27,71,5,32,17,26,28,23,33,100,26,27,0,22,34,35,27,71,5,33,32,31,40,39,19,19
