UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A
223463,16,187358,11710,,,,16,187358,11710,0,0,,,,,0,0,
223472,8,119388,14924,,,,8,119388,14924,0,0,,,,,0,0,
223506,91,174685,1920,,,,91,174685,1920,3,3195,1065,,,,3,3195,1065
223816,2076,3639038,1753,,,,2076,3639038,1753,4360,5441034,1248,,,,4360,5441034,1248
223852,1,16000,16000,,,,1,16000,16000,0,0,,,,,0,0,
223898,83,232641,2803,,,,83,232641,2803,4,2730,683,,,,4,2730,683
223922,3,6319,2106,,,,3,6319,2106,0,0,,,,,0,0,
224004,91,1151956,12659,8,26025,3253,99,1177981,11899,5,13500,2700,0,0,,5,13500,2700
224013,0,0,,,,,0,0,,0,0,,,,,0,0,
224110,124,286850,2313,,,,124,286850,2313,7,5180,740,,,,7,5180,740
224147,250,2261321,9045,86,474667,5519,336,2735988,8143,14,38639,2760,25,45389,1816,39,84028,2155
224156,9,121574,13508,,,,9,121574,13508,0,0,,,,,0,0,
224226,97,1645696,16966,49,743533,15174,146,2389229,16365,0,0,,1,2250,2250,1,2250,2250
224244,6,78698,13116,,,,6,78698,13116,0,0,,,,,0,0,
224271,18,170000,9444,,,,18,170000,9444,9,36000,4000,,,,9,36000,4000
224305,,,,61,682582,11190,61,682582,11190,,,,2,2250,1125,2,2250,1125
224323,22,460988,20954,50,654749,13095,72,1115737,15496,0,0,,0,0,,0,0,
224350,549,671896,1224,,,,549,671896,1224,6,3638,606,,,,6,3638,606
224527,10,162559,16256,1,6100,6100,11,168659,15333,0,0,,0,0,,0,0,
224545,48,305165,6358,2,8484,4242,50,313649,6273,1,750,750,3,4181,1394,4,4931,1233
224554,235,1367399,5819,97,461258,4755,332,1828657,5508,23,24346,1059,33,47185,1430,56,71531,1277
224615,707,801826,1134,,,,707,801826,1134,56,41072,733,,,,56,41072,733
224642,597,1174263,1967,,,,597,1174263,1967,264,295353,1119,,,,264,295353,1119
224660,51,511136,10022,1,9518,9518,52,520654,10013,0,0,,0,0,,0,0,
224679,179,2300020,12849,,,,179,2300020,12849,0,0,,,,,0,0,
224712,,,,1,14951,14951,1,14951,14951,,,,0,0,,0,0,
224758,1,5138,5138,,,,1,5138,5138,0,0,,,,,0,0,
224776,45,683376,15186,0,0,,45,683376,15186,0,0,,0,0,,0,0,
224828,1,7983,7983,,,,1,7983,7983,0,0,,,,,0,0,
224891,11,31296,2845,,,,11,31296,2845,0,0,,,,,0,0,
224961,37,50672,1370,,,,37,50672,1370,0,0,,,,,0,0,
225043,1,17381,17381,,,,1,17381,17381,0,0,,,,,0,0,
225070,67,122719,1832,,,,67,122719,1832,0,0,,,,,0,0,
225201,260,3805360,14636,22,172172,7826,282,3977532,14105,1,1500,1500,1,3000,3000,2,4500,2250
225247,47,661746,14080,21,368154,17531,68,1029900,15146,0,0,,0,0,,0,0,
225308,46,76865,1671,,,,46,76865,1671,0,0,,,,,0,0,
225371,40,72311,1808,,,,40,72311,1808,1,261,261,,,,1,261,261
225399,72,1059525,14716,52,435065,8367,124,1494590,12053,0,0,,0,0,,0,0,
225414,192,1174207,6116,57,359978,6315,249,1534185,6161,6,16166,2694,4,9750,2438,10,25916,2592
225423,778,1759094,2261,,,,778,1759094,2261,48,19220,400,,,,48,19220,400
225432,272,1515589,5572,34,204980,6029,306,1720569,5623,11,27152,2468,0,0,,11,27152,2468
225502,52,211697,4071,12,39012,3251,64,250709,3917,0,0,,0,0,,0,0,
225511,536,5263251,9819,75,1169858,15598,611,6433109,10529,15,52250,3483,6,20250,3375,21,72500,3452
225520,53,164879,3111,,,,53,164879,3111,4,6394,1599,,,,4,6394,1599
225548,10,94259,9426,0,0,,10,94259,9426,0,0,,0,0,,0,0,
225575,66,423245,6413,0,0,,66,423245,6413,0,0,,0,0,,0,0,
225627,489,6286688,12856,218,2170372,9956,707,8457060,11962,222,498075,2244,196,353625,1804,418,851700,2038
225876,3,12000,4000,,,,3,12000,4000,0,0,,,,,0,0,
225885,9,54480,6053,,,,9,54480,6053,0,0,,,,,0,0,
225991,9,118508,13168,,,,9,118508,13168,0,0,,,,,0,0,
226019,102,297177,2914,,,,102,297177,2914,1,1431,1431,,,,1,1431,1431
226091,176,1136682,6458,111,475113,4280,287,1611795,5616,8,20508,2564,11,19311,1756,19,39819,2096
226107,23,59597,2591,,,,23,59597,2591,0,0,,,,,0,0,
226116,16,36414,2276,,,,16,36414,2276,1,808,808,,,,1,808,808
226125,0,0,,,,,0,0,,0,0,,,,,0,0,
226134,44,71791,1632,,,,44,71791,1632,0,0,,,,,0,0,
226152,56,353464,6312,44,215437,4896,100,568901,5689,3,8705,2902,16,47028,2939,19,55733,2933
226204,105,243292,2317,,,,105,243292,2317,0,0,,,,,0,0,
226231,74,1234984,16689,3,44028,14676,77,1279012,16611,3,4500,1500,0,0,,3,4500,1500
226277,222,2579800,11621,,,,222,2579800,11621,0,0,,,,,0,0,
226383,28,425425,15194,1,11010,11010,29,436435,15049,0,0,,0,0,,0,0,
226408,64,103042,1610,,,,64,103042,1610,0,0,,,,,0,0,
226471,200,4397200,21986,48,821616,17117,248,5218816,21044,3,5250,1750,0,0,,3,5250,1750
226578,250,530975,2124,,,,250,530975,2124,0,0,,,,,0,0,
226587,69,959878,13911,0,0,,69,959878,13911,82,158250,1930,0,0,,82,158250,1930
226675,1,4683,4683,,,,1,4683,4683,0,0,,,,,0,0,
226806,87,176770,2032,,,,87,176770,2032,0,0,,,,,0,0,
