UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C142,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1MHOP,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1E12,F1E121,F1E122,F1E13,F1E131,F1E132,F1E14,F1E141,F1E142,F1E15,F1E151,F1E152,F1E16,F1E161,F1E162,F1E17,F1E171,F1E172,F1FHA,F1H01,F1H02,F1H03,F1H03A,F1H03B,F1H03C,F1H03D,F1N01,F1N02,F1N03,F1N04,F1N05,F1N06,F1N07
100654,121792342,139692768,58299121,197991889,319784231,34808821,0,49916707,49916707,12994785,123353589,136348374,186265081,30095027,184997105,4129435,0,-50893596,138232944,5598192,0,234054444,45805711,49511079,334969426,147303107,0,10315568,344304848,224296793,120008055,17158049,1066840,138232944,48885898,85458788,1097896,561953,0,561953,29141562,0,834768,0,0,165980865,3799251,47976861,0,19661416,225276,0,2158277,59770,104443132,178323983,344304848,0,0,0,0,0,344304848,40721719,22450482,12843275,5156941,17011985,6238927,8352837,4008167,31261801,5139403,10252873,7148615,73569442,18459400,3996525,0,0,0,0,11823461,110060,224296793,54249120,16586188,34774077,7775603,533420,110378385,1,8288567,86756000,3365000,20211803,1,2902635,35751021,26730027,14597018,18848881,53356055,225276,0,0,25403479,97833691,24264249,0,24264249,73569442,0,0,0,92492,92492,0,33721,33721,0,0,0,0,0,0,0,24138036,24138036,0,2,,,,,,,,67540917,344152626,121074895,17158049,-46764161,12994785,224144571
100663,2589430410,1785434034,2003879431,3789313465,6378743875,862615016,37443982,740299511,777743493,1063644857,2131819829,3195464686,3973208179,525445555,783857828,600618098,390693182,967536049,2742705157,171241350,100144465,2828974515,1177882783,46679169,4324922282,2539488248,0,0,4487600971,3686200598,801400373,1941304784,0,2742705157,243476387,431152917,10601840,84972253,2733401,82238852,36611584,2472801416,67666602,0,40280077,3387563076,412719,314953056,0,105038570,54884,0,61112310,548182026,11551113,1041304678,4428867754,0,1645260,33163130,23924827,58733217,4487600971,297402764,201713260,340868357,158080180,200468331,85995925,161643081,122571824,39825997,21779597,227696322,72954489,55053095,73658228,12883832,2132063933,744558698,0,0,157520490,0,3686200598,1420537805,446651383,87571729,146867434,31252660,1553319587,1,132530000,1245083000,59318000,300345000,1,24990489,271431941,466127555,550188926,23435204,41263004,211686,21456,11856091,71763002,148550443,91726065,1771283,93497348,55053095,17249835,17249835,0,12759393,12759393,0,155814,155814,0,15793,15793,0,7474791,7474791,0,55841722,54070439,1771283,1,539858544,711616804,171758260,25387483,146370777,0,0,849345814,5272748966,887764971,4962059885,3751572918,35225414,4423403152
100706,133502792,287080032,144869922,431949954,565452746,98710616,5521000,82661330,88182330,141912317,254728687,396641004,484823334,54300752,162862000,15014882,14741173,-67578779,125039276,37630801,0,462445400,112364667,2332774,614773642,312759600,301291,0,333235592,300530524,32705068,92443507,-109299,125039276,71283876,122034844,4609046,1808959,0,1808959,11512344,0,4363351,0,0,215612420,0,57378734,0,27651693,0,0,7868683,22472701,0,115371811,330984231,1059960,1191401,0,0,2251361,333235592,70504706,43811274,111733437,57397883,10130820,3288361,13659301,7021899,21096450,7778590,20464053,10066994,14399645,15799698,2307170,0,0,0,0,22742414,0,300530524,131672171,52749980,14287985,18273914,5962315,77584159,1,19774359,192513000,7650000,48405739,1,2968055,61424456,39110728,50304877,8746360,10257140,133619,0,3066651,42029965,64233735,47878093,1955997,49834090,14399645,8737154,8737154,0,357900,357900,0,0,0,0,0,0,0,980953,961334,19619,39758083,37821705,1936378,1,75837207,100321016,24483809,3293894,21189915,3623821,-3623821,46751346,344050336,58948742,355914062,211605447,147433317,304772228
100724,98591004,246758765,312649,247071414,345662418,54027120,5105000,21882801,26987801,51735000,124161743,175896743,202884544,35959500,194911763,24430650,250000,-58746919,160845494,21259653,87364761,282811496,27256859,162273,418855042,177968285,5872009,0,299393222,135185400,164207822,-40477756,37115428,160845494,33380046,43162052,4180182,3774543,0,3774543,10294363,0,0,0,2754468,97545654,0,50609823,0,13801912,92353,0,324609,2236397,134191850,201256944,298802598,590624,0,0,0,590624,299393222,36994782,23249888,3647276,1350568,3570270,1708191,12717006,4905746,15444208,7573207,33563994,9649273,18786872,10093722,1732860,0,0,0,0,367270,0,135185400,50169733,14753071,13816974,10951424,1862637,43631561,1,-183856,79354026,4572000,16253010,1,551127,47188557,31387500,37637045,13467395,4083350,92353,0,713557,17171943,35528598,14483380,2258346,16741726,18786872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16741726,14483380,2258346,1,111315175,130589167,19273992,273633,17850184,1008060,142115,179094369,315287829,179094369,273669058,0,51735000,136193460
100733,5152535,15199185,15832716,31031901,36184436,11579686,0,6136266,6136266,0,28903993,28903993,35040259,5148558,15199185,0,0,-7623880,7575305,106750,76802,16861828,171565,2183715,19400660,4201475,0,0,24229417,21250663,2978754,4596551,0,7575305,0,0,0,0,0,0,0,,0,,21848974,21848974,0,0,0,0,0,0,0,2375365,5078,2380443,24229417,0,0,0,0,0,24229417,0,0,0,0,0,0,0,0,0,0,18197475,13253119,0,0,0,,,,,3053188,0,21250663,13253119,4731098,0,409352,0,2857094,1,2704421,21932000,639000,5949000,1,348768,6971993,4509558,5630628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2978754,24229417,2978754,4596551,7623880,0,21250663
100751,872925391,2160032136,2393983679,4554015815,5426941206,410568293,43028018,514014179,557042197,1157022377,1048736638,2205759015,2762801212,211194813,1355627568,653094564,543461482,311329860,2863513474,180519459,177783198,2542011960,391403104,144052143,3435769864,1019481956,60388167,3439357,1712077550,1171932223,540145327,2323368147,0,2863513474,481899451,72754341,31175136,8238371,1137504,7100867,207244020,0,11262637,0,55566533,868140489,0,190568533,0,118029635,0,0,64036452,409930867,2699876,785265363,1653405852,657766,19291609,34292210,4430113,58671698,1712077550,312776287,182296415,118097592,55331292,57449310,30494764,112389476,49914976,57923784,27490321,130061502,54133355,63985872,217511863,69162174,0,0,0,0,101736537,0,1171932223,468823297,203793420,87737858,87143990,37183704,287249954,1,86319581,739566000,21370000,173781744,1,11249807,276972007,181191162,220624298,28070534,42052852,978342,0,20528077,254969347,346599152,271660919,10952361,282613280,63985872,28070534,28070534,0,4532283,4532283,0,978342,978342,0,0,0,0,12898997,12898997,0,236133124,225180763,10952361,1,939393269,1242660775,303267506,58017191,245671242,-420927,0,175339969,1354013316,627849136,3280653168,1851680910,1304637775,1178673347
100760,11279097,19971151,0,19971151,31250248,4881148,270000,3330854,3600854,5644157,19036975,24681132,28281986,5148097,14056994,1340665,0,-12696346,2701313,1699274,2366988,33447814,8859074,0,46373150,26401999,0,0,20580640,18642584,1938056,767463,-4206,2701313,1719264,4997721,1472781,14040,14040,0,0,,0,,41922,8245728,0,9799654,0,2339054,0,0,107257,4122,84825,12334912,20580640,0,0,0,0,0,20580640,8040909,4566117,0,0,80480,42107,908418,569540,2655716,1276343,4103076,1303198,1294613,0,0,,,,,1559372,0,18642584,7757305,2059968,1946941,1369286,225239,5283845,1,1058342,13355000,916000,2702639,1,501030,5202078,4232097,2178509,2253434,83145,1588034,0,0,751263,4675876,3381263,0,3381263,1294613,2197677,2197677,0,49345,49345,0,382978,382978,0,0,0,0,0,0,0,751263,751263,0,1,433325,146977,-286348,0,444,0,-286792,1596191,20580640,1591985,2359448,-12549226,5914157,18300718
100812,27172754,42625402,8975893,51601295,78774049,13952118,1450000,7073790,8523790,7745000,45779497,53524497,62048287,8927877,33430402,994617,200000,-12875016,21750003,2593856,2633789,52970590,3905498,592698,62696431,20071029,0,0,47991176,43148695,4842481,16907522,0,21750003,15232489,5909844,3232828,0,0,0,240653,0,0,0,0,24615814,0,17199091,0,5346740,0,0,0,384480,445051,23375362,47991176,0,0,0,0,0,47991176,17817770,12669698,0,0,0,0,4343896,2003119,3487856,2224951,8331931,3492843,4876768,461556,178120,0,0,0,0,3828918,26878,43148695,20595609,7402091,1523025,1280660,285210,12062100,1,3768000,32950000,1201000,8483430,1,-377824,11782148,7726877,5233422,5238455,1671028,311147,0,0,1392852,8613482,3736714,0,3736714,4876768,1883225,1883225,0,600735,600735,0,111857,111857,0,0,0,0,0,0,0,1140897,1140897,0,1,4496491,5701551,1205060,0,0,0,1205060,-17794458,47252753,4842481,21750003,-11880398,9195000,43148695
100830,23087148,97794326,76362303,174156629,197243777,38854639,47574,29332357,29379931,16562,173352852,173369414,202749345,20098870,19533060,30106954,5268271,-41658084,13250201,15344044,9225944,135597415,34056575,649721,194873699,97079373,0,0,116354156,101943206,14410950,-1160749,0,13250201,37370041,1423196,2905728,24723,0,24723,6930205,0,1330204,0,1113004,51097101,0,27703179,0,24075013,1370058,0,930230,11165983,0,65244463,116341564,0,0,12592,0,12592,116354156,33390207,22257497,489642,277105,4761262,2332613,5460204,3559029,8671842,4723963,15261794,6411863,10059100,6537131,1519722,0,0,0,0,17312024,1279245,101943206,42361037,15876453,6846500,4906481,3077821,28874914,1,3160732,72282981,1719097,16806224,1,284008,27724121,18379772,22048415,10269179,6480592,132040,0,2112138,8730206,27724155,15824173,1840882,17665055,10059100,10269179,9199024,1070155,515018,461348,53670,132040,118280,13760,0,0,0,2022214,1811478,210736,4726604,4234043,492561,1,52113787,64217660,12103873,733445,13861435,-2491007,0,14398358,116341564,14410950,13250201,-11551130,78023190,101943206
100858,409001160,1785311497,1925878286,3711189783,4120190943,480048007,49130963,395475069,444606032,1100801555,1230093446,2330895001,2775501033,229631125,1359724393,224977083,25052691,-14647375,1595106792,210075680,287106989,2074831342,515766555,169169049,3256949615,1251691893,0,2806740,1447526392,1235943184,211583208,1383523584,0,1595106792,509998572,123547867,14213672,20840188,2861962,17978226,182015228,0,47899583,0,25610957,924126067,0,270965767,0,88697621,0,0,42231953,79099169,0,480994510,1405120577,0,42172503,233312,0,42405815,1447526392,241503442,138667284,238033142,117985725,102496404,50075631,145294102,83956754,37321348,19586549,115951221,63566265,45178894,209731926,70566676,0,0,0,0,100432705,0,1235943184,544404884,209616910,79100455,106669731,32770270,263380934,1,92766661,791417210,17491313,192773330,1,7666043,350143587,211367386,252498929,15825428,73929345,81826,6379,81327918,13751213,184922109,131753054,7990161,139743215,45178894,15825428,14920570,904858,3812009,3594048,217961,352600,332439,20161,0,0,0,17883495,16860962,1022533,101869683,96045035,5824648,1,784621493,993955140,209333647,31509204,211551092,33726649,-67453298,169177393,1405120577,211583208,1595106792,210329708,1138611854,1235943184
