UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,APPLCN,APPLCNM,APPLCNW,APPLCNAN,APPLCNUN,ADMSSN,ADMSSNM,ADMSSNW,ADMSSNAN,ADMSSNUN,ENRLT,ENRLM,ENRLW,ENRLAN,ENRLUN,ENRLFT,ENRLFTM,ENRLFTW,ENRLFTAN,ENRLFTUN,ENRLPT,ENRLPTM,ENRLPTW,ENRLPTAN,ENRLPTUN,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR50,SATVR75,SATMT25,SATMT50,SATMT75,ACTCM25,ACTCM50,ACTCM75,ACTEN25,ACTEN50,ACTEN75,ACTMT25,ACTMT50,ACTMT75
104179,1,5,1,5,3,3,5,1,5,5,5,3,52091,23387,28704,,0,45194,19865,25329,,0,9027,3804,5223,,0,5918,2489,3429,,0,3109,1315,1794,,0,1710,19,2072,23,570,620,680,570,620,690,21,25,29,20,24,29,20,25,28
104586,5,5,1,1,5,3,5,1,3,3,5,5,3547,2441,1104,,2,2412,1672,740,,0,756,529,227,,0,756,529,227,,0,0,0,0,,0,275,36,199,26,580,630,680,590,640,700,24,27,31,22,26,30,24,27,30
104717,1,3,1,3,3,3,5,1,3,3,5,3,29304,10310,17889,,1105,22818,8558,14256,,4,8438,3245,5193,,0,7397,2912,4485,,0,1041,333,708,,0,0,0,,,,,,,,,,,,,,,,,
105330,1,3,1,3,3,3,3,1,3,3,3,3,44855,15462,29393,,0,35881,12139,23742,,0,5575,2100,3475,,0,5434,2052,3382,,0,141,48,93,,0,,,,,,,,,,,,,,,,,,,
105589,1,3,1,3,5,3,3,1,3,5,1,3,185,57,128,0,0,182,57,125,,0,33,15,18,,0,33,15,18,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
105899,1,3,1,3,5,3,5,1,5,5,1,3,1316,864,452,,0,923,579,344,,0,306,176,130,,0,295,174,121,,0,11,2,9,,0,0,0,0,0,,,,,,,,,,,,,,,
106245,1,3,1,5,3,3,1,1,3,3,3,3,3568,1294,2274,,0,2193,813,1380,,0,549,246,303,,0,523,233,290,,0,26,13,13,,0,26,5,454,83,480,550,620,490,530,600,18,21,24,18,21,25,16,19,24
106342,1,3,3,5,3,3,3,3,3,3,5,3,1382,907,455,20,0,827,528,292,7,0,146,90,55,1,0,144,89,55,0,0,2,1,0,1,0,,,,,,,,,,,,,,,,,,,
106397,1,5,1,5,3,3,5,5,3,3,5,5,26219,10966,15253,,0,20695,8398,12297,,0,7099,3166,3933,,0,7063,3150,3913,,0,36,16,20,,0,2179,31,5315,75,520,560,610,510,550,610,21,24,28,21,24,29,19,23,26
106412,1,3,1,3,3,3,1,1,3,3,3,3,4183,1563,2620,,0,2900,1041,1859,,0,575,272,303,,0,505,233,272,,0,70,39,31,,0,83,14,417,73,425,470,525,380,450,520,14,15,18,11,15,19,14,15,17
106458,1,5,1,5,3,3,5,1,3,3,3,3,6045,2875,3168,,2,4202,1909,2293,,0,1325,566,759,,0,1240,529,711,,0,85,37,48,,0,30,2,1169,88,470,550,610,510,550,590,19,22,25,20,23,26,17,21,25
106467,1,3,1,5,3,3,5,1,3,3,3,3,5762,2305,3457,0,0,5439,2166,3273,,0,1452,675,777,,0,1385,647,738,,0,67,28,39,,0,16,1,1338,92,480,560,620,510,540,560,17,21,24,17,21,25,16,20,24
106546,1,3,1,3,3,3,1,1,3,3,3,3,14,2,12,,0,12,1,11,,0,4,0,4,,0,4,,4,,0,,,,,,0,0,1,25,,,,,,,,,,,,,,,
106704,1,3,1,3,3,3,5,1,3,3,3,3,6522,2199,4323,0,0,5949,1969,3980,,0,1803,636,1167,,0,1799,634,1165,,0,4,2,2,,0,43,2,1716,95,460,530,570,480,520,560,19,22,25,18,22,26,17,23,25
106713,1,3,1,5,5,5,1,1,3,3,5,3,269,150,119,,0,172,100,72,,0,103,64,39,,0,103,64,39,,0,0,0,0,,0,14,14,78,76,418,475,525,423,485,558,17,19,24,15,20,25,16,18,23
107044,5,3,1,5,1,3,1,1,3,3,3,3,2254,979,1275,,0,1017,446,571,,0,802,359,443,,0,799,357,442,,0,3,2,1,,0,221,28,612,76,530,590,660,510,570,640,20,24,28,21,24,30,18,23,27
107071,1,5,1,3,3,3,1,1,5,3,3,5,2345,861,1484,0,0,1657,585,1072,,0,413,183,230,,0,404,178,226,,0,9,5,4,,0,20,5,392,95,445,490,523,458,505,550,16,19,21,15,19,22,16,18,20
107080,1,5,1,1,5,3,5,3,3,3,5,3,2729,1415,1314,0,0,1645,802,843,,0,363,189,174,,0,363,189,174,,0,,,,,,55,15,234,64,580,620,680,553,610,648,23,26,30,23,26,32,20,24,27
107141,1,5,1,3,5,5,5,1,3,3,5,3,1490,517,973,,0,844,321,523,,0,306,127,179,,0,304,126,178,,0,2,1,1,,0,51,17,191,62,570,620,710,530,590,680,22,25,29,22,25,31,19,24,31
107512,5,5,1,3,5,3,5,1,3,3,3,3,2063,862,1201,,0,1492,576,916,,0,445,182,263,,0,445,182,263,,0,0,0,0,,0,51,11,349,78,520,570,610,500,540,590,21,24,28,21,24,29,19,22,26
107558,1,3,1,5,5,5,5,5,3,3,5,3,2157,948,1202,0,7,1296,544,750,,2,229,107,122,,0,229,107,122,,0,0,0,0,,0,37,26,92,64,490,550,590,470,530,560,19,21,24,18,20,24,16,19,24
107585,5,3,1,3,3,3,1,1,1,3,3,3,991,396,559,,36,991,396,559,,36,479,209,250,,20,407,176,217,,14,72,33,33,,6,1,0,336,70,,,,,,,17,19,22,16,19,22,16,18,22
107877,1,1,1,3,3,3,5,1,3,3,3,3,951,388,563,,0,564,219,345,,0,144,58,86,,0,144,58,86,,0,0,0,0,,0,7,5,130,90,415,450,555,545,600,615,18,20,24,16,20,24,17,19,23
107983,1,1,1,3,3,3,1,1,3,3,5,3,2916,1108,1789,19,0,1855,712,1129,14,0,707,315,387,5,0,703,314,384,5,0,4,1,3,0,0,59,8,700,99,460,540,595,445,530,595,17,21,24,16,21,25,16,19,23
108852,1,3,1,3,1,1,3,3,3,3,1,3,182,76,100,6,0,164,68,90,6,0,56,24,31,1,0,56,24,31,1,0,,,,,,,,,,,,,,,,,,,,,,,,
108861,5,5,5,5,1,5,5,5,5,5,1,5,18,11,7,0,0,12,8,4,,0,12,8,4,,0,3,3,0,,0,9,5,4,,0,0,0,0,0,,,,,,,,,,,,,,,
109651,5,3,1,5,5,1,3,1,3,5,5,3,1285,436,848,1,0,912,264,647,1,0,290,116,174,0,0,290,116,174,,0,,,,,,,,,,,,,,,,,,,,,,,,
109785,1,3,1,5,5,3,5,5,3,3,5,5,3438,1198,2230,10,0,2991,1036,1948,7,0,518,162,356,0,0,510,159,351,,0,8,3,5,,0,49,10,12,2,510,560,630,470,550,610,21,25,28,21,25,30,20,25,26
110097,1,3,1,3,3,3,5,1,3,3,1,3,4224,1654,2570,,0,2392,886,1506,,0,706,292,414,,0,694,287,407,,0,12,5,7,,0,183,26,72,10,565,640,695,540,610,670,23,26,30,23,26,32,20,25,27
110361,1,5,1,5,5,3,3,5,3,3,5,3,7654,2741,4913,,0,6117,2146,3971,,0,1303,488,815,,0,1269,480,789,,0,34,8,26,,0,,,,,,,,,,,,,,,,,,,
110370,1,3,1,5,1,1,3,1,3,3,3,3,2987,813,2163,11,0,2261,574,1680,7,0,191,59,130,2,0,191,59,130,2,0,,,,,,,,,,,,,,,,,,,,,,,,
110404,5,5,1,5,1,5,3,1,3,5,1,3,16626,11352,5274,,0,448,211,237,,0,224,116,108,,0,224,116,108,,0,,,,,,,,,,,,,,,,,,,,,,,,
110413,1,5,1,1,1,3,5,5,3,3,1,5,5150,2235,2915,,0,4490,1930,2560,,0,602,279,323,,0,602,279,323,,0,,,,,,83,14,25,4,580,620,660,570,610,660,26,29,30,24,28,31,25,27,28
110422,1,3,1,1,3,3,3,1,3,5,3,3,58774,29613,29161,,0,17885,7431,10454,,0,5110,2412,2698,,0,5099,2407,2692,,0,11,5,6,,0,,,,,,,,,,,,,,,,,,,
110468,1,3,1,3,5,3,3,1,3,5,1,5,1,1,0,,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,
110486,1,3,1,1,3,3,3,1,3,5,3,3,13834,5621,8213,,0,11973,4759,7214,,0,1107,391,716,,0,1080,383,697,,0,27,8,19,,0,,,,,,,,,,,,,,,,,,,
110495,1,3,1,1,3,3,3,1,3,5,3,3,6077,2161,3916,,0,5871,2068,3803,,0,1032,346,686,,0,964,318,646,,0,68,28,40,,0,,,,,,,,,,,,,,,,,,,
110510,1,3,1,1,3,3,3,1,3,5,3,3,15501,6417,9084,,0,14119,5737,8382,,0,2324,965,1359,,0,2236,925,1311,,0,88,40,48,,0,,,,,,,,,,,,,,,,,,,
110529,1,3,1,1,3,3,3,1,3,5,3,3,49079,25201,23878,,0,27179,12222,14957,,0,3655,2028,1627,,0,3576,1984,1592,,0,79,44,35,,0,,,,,,,,,,,,,,,,,,,
110538,1,3,1,1,3,3,3,1,3,3,3,3,21417,9072,12345,,0,20347,8512,11835,,0,2020,938,1082,,0,1970,918,1052,,0,50,20,30,,0,,,,,,,,,,,,,,,,,,,
110547,1,3,1,1,3,3,3,1,3,5,3,3,19165,8211,10954,,0,17082,7132,9950,,0,2062,918,1144,,0,1908,839,1069,,0,154,79,75,,0,,,,,,,,,,,,,,,,,,,
110556,1,3,1,1,3,3,3,1,3,3,3,3,18551,7727,10824,,0,17703,7320,10383,,0,3458,1420,2038,,0,3236,1328,1908,,0,222,92,130,,0,,,,,,,,,,,,,,,,,,,
110565,1,3,1,1,3,3,3,1,3,3,3,3,48748,20218,28530,,0,32527,12865,19662,,0,5280,2200,3080,,0,4965,2054,2911,,0,315,146,169,,0,,,,,,,,,,,,,,,,,,,
110574,1,3,1,1,3,3,3,1,3,5,3,3,12461,5193,7268,,0,11988,4982,7006,,0,896,393,503,,0,882,384,498,,0,14,9,5,,0,,,,,,,,,,,,,,,,,,,
110583,1,3,1,1,3,3,3,1,3,3,3,3,74718,30081,44637,,0,29851,10738,19113,,0,5365,2093,3272,,0,5260,2042,3218,,0,105,51,54,,0,,,,,,,,,,,,,,,,,,,
110592,1,3,1,1,3,3,3,1,3,5,3,3,33939,13884,20055,,0,29507,11618,17889,,0,3892,1766,2126,,0,3715,1687,2028,,0,177,79,98,,0,,,,,,,,,,,,,,,,,,,
110608,1,3,1,1,3,3,3,1,3,3,3,3,25965,11826,14139,,0,23687,10525,13162,,0,4972,2350,2622,,0,4899,2315,2584,,0,73,35,38,,0,,,,,,,,,,,,,,,,,,,
110617,1,3,1,1,3,3,3,1,3,5,3,3,25276,10591,14685,,0,23559,9769,13790,,0,3916,1721,2195,,0,3805,1658,2147,,0,111,63,48,,0,,,,,,,,,,,,,,,,,,,
110635,1,3,1,5,5,3,3,1,3,5,1,3,128209,61188,67021,,0,14523,5357,9166,,0,6728,2701,4027,,0,6681,2681,4000,,0,47,20,27,,0,,,,,,,,,,,,,,,,,,,
110644,1,3,1,1,3,3,3,1,3,5,1,3,94747,44180,50567,,0,35377,14117,21260,,0,6399,2495,3904,,0,6292,2457,3835,,0,107,38,69,,0,,,,,,,,,,,,,,,,,,,
110653,1,1,1,1,3,3,3,1,3,5,1,3,119191,55549,63642,,0,25212,10064,15148,,0,5664,2176,3488,,0,5656,2174,3482,,0,8,2,6,,0,,,,,,,,,,,,,,,,,,,
110662,1,3,1,1,3,3,3,1,3,3,1,3,149801,68595,81206,,0,12845,5096,7749,,0,6462,2410,4052,,0,6450,2408,4042,,0,12,2,10,,0,,,,,,,,,,,,,,,,,,,
110671,1,3,1,1,3,3,3,1,3,3,3,3,54683,25945,28738,,0,37563,16502,21061,,0,5573,2640,2933,,0,5522,2615,2907,,0,51,25,26,,0,,,,,,,,,,,,,,,,,,,
110680,1,3,1,1,3,3,3,1,3,5,1,3,131197,61341,69856,,0,31103,12945,18158,,0,6546,2790,3756,,0,6530,2782,3748,,0,16,8,8,,0,,,,,,,,,,,,,,,,,,,
110705,1,3,1,1,3,3,3,1,3,3,1,3,110995,50599,60396,,0,28688,11643,17045,,0,4967,2089,2878,,0,4945,2079,2866,,0,22,10,12,,0,,,,,,,,,,,,,,,,,,,
110714,1,3,1,1,3,3,3,1,3,3,3,3,65912,29570,36342,,0,30926,12501,18425,,0,3859,1705,2154,,0,3834,1697,2137,,0,25,8,17,,0,,,,,,,,,,,,,,,,,,,
110918,1,3,1,5,1,3,5,1,3,3,1,5,1,0,1,,0,1,,1,,0,1,,1,,0,0,,0,,0,1,,1,,0,0,0,0,0,,,,,,,,,,,,,,,
111081,5,5,1,5,1,1,3,1,3,3,1,3,2120,629,1285,206,0,525,153,324,48,0,189,49,118,22,0,189,49,118,22,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
111188,1,3,1,1,3,3,3,1,3,3,3,3,756,599,157,,0,722,570,152,,0,145,123,22,,0,145,123,22,,0,,,,,,,,,,,,,,,,,,,,,,,,
111638,5,3,5,3,5,3,3,1,1,5,1,3,40,25,15,0,0,16,10,6,,0,12,8,4,,0,12,8,4,,0,,,,,,,,,,,,,,,,,,,,,,,,
111948,1,5,1,1,1,1,5,1,3,5,1,5,13690,5055,8635,,0,9928,3492,6436,,0,2076,736,1340,,0,2061,731,1330,,0,15,5,10,,0,524,25,252,12,600,650,700,600,650,700,26,29,31,26,30,34,24,27,30
111966,1,3,1,5,5,5,3,1,3,5,1,3,834,263,571,,0,671,163,508,,0,14,4,10,,0,14,4,10,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
112075,1,5,1,5,5,5,3,1,3,3,5,3,3576,1478,2098,,0,2467,917,1550,,0,344,136,208,,0,344,136,208,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,
112260,5,5,1,1,1,3,5,1,3,5,1,5,5709,2545,3164,0,0,591,266,325,,0,322,157,165,,0,322,157,165,,0,,,,,,90,28,56,17,710,740,760,730,770,790,33,34,35,34,35,36,31,33,35
112394,5,3,1,3,5,1,3,1,3,3,1,3,116,78,30,8,0,75,47,23,5,0,42,28,12,2,0,39,25,12,2,0,3,3,0,0,0,,,,,,,,,,,,,,,,,,,
113582,1,3,1,3,1,3,3,1,3,3,1,3,8,1,6,,1,8,1,6,,1,8,1,6,,1,8,1,6,,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,
113616,1,5,1,5,1,5,5,1,5,5,1,3,11,4,7,0,0,6,2,4,,0,4,2,2,,0,4,2,2,,0,,,,,,0,0,0,0,,,,,,,,,,,,,,,
113698,5,5,5,5,5,5,5,1,5,5,5,5,1746,433,1313,0,0,1627,393,1234,,0,217,52,165,,0,214,51,163,,0,3,1,2,,0,8,4,5,2,520,580,623,568,595,613,23,25,25,22,24,24,23,23,26
114354,1,3,1,5,1,1,3,1,3,5,1,3,1985,304,1681,0,0,828,132,696,,0,349,57,292,,0,316,49,267,,0,33,8,25,,0,,,,,,,,,,,,,,,,,,,
114813,1,5,1,1,5,5,5,1,3,3,5,3,832,299,533,,0,624,210,414,,0,155,55,100,,0,153,55,98,,0,2,0,2,,0,0,0,0,0,,,,,,,,,,,,,,,
115409,5,5,1,1,1,3,5,1,3,5,1,5,4440,2931,1509,,0,593,271,322,,0,237,116,121,,0,237,116,121,,0,,,,,,102,43,41,17,720,750,770,760,780,790,34,35,36,35,35,36,34,35,36
