UNITID,PSGRTYPE,PGREVCT,PGEXCLU,PGADJCT,PGCMBAC,PGCMOBA,PGCMTOT,SSREVCT,SSEXCLU,SSADJCT,SSCMBAC,SSCMOBA,SSCMTOT,NRREVCT,NREXCLU,NRADJCT,NRCMBAC,NRCMOBA,NRCMTOT,TTREVCT,TTEXCLU,TTADJCT,TTCMBAC,TTCMOBA,TTCMTOT
243115,1,825,0,825,323,42,365,0,0,0,0,0,0,119,0,119,48,10,58,944,0,944,371,52,423
243133,1,463,0,463,225,0,225,39,0,39,18,0,18,654,1,653,74,129,203,1156,1,1155,317,129,446
243142,1,713,0,713,272,71,343,3,0,3,1,0,1,202,0,202,68,32,100,918,0,918,341,103,444
243151,1,619,0,619,274,0,274,0,0,0,0,0,0,207,0,207,116,0,116,826,0,826,390,0,390
243179,1,809,1,808,359,51,410,5,0,5,2,0,2,169,2,167,75,9,84,983,3,980,436,60,496
243188,1,471,0,471,17,63,80,0,0,0,0,0,0,93,0,93,4,19,23,564,0,564,21,82,103
243197,1,1585,0,1585,712,0,712,16,0,16,5,0,5,767,0,767,397,0,397,2368,0,2368,1114,0,1114
243212,1,790,0,790,270,76,346,2,0,2,0,0,0,135,0,135,66,12,78,927,0,927,336,88,424
243221,1,1739,0,1739,832,0,832,45,0,45,33,0,33,828,0,828,444,0,444,2612,0,2612,1309,0,1309
243346,1,1568,0,1568,264,298,562,59,0,59,7,7,14,215,0,215,31,19,50,1842,0,1842,302,324,626
243443,1,455,0,455,171,9,180,28,0,28,11,1,12,104,0,104,48,2,50,587,0,587,230,12,242
243568,1,22,0,22,4,1,5,0,0,0,0,0,0,1,0,1,1,0,1,23,0,23,5,1,6
243577,1,259,0,259,52,0,52,12,0,12,2,0,2,52,0,52,18,0,18,323,0,323,72,0,72
243586,1,198,0,198,55,7,62,1,0,1,0,0,0,6,0,6,4,1,5,205,0,205,59,8,67
243601,1,2028,0,2028,365,164,529,64,0,64,10,2,12,132,0,132,31,5,36,2224,0,2224,406,171,577
243638,1,476,0,476,0,141,141,0,0,0,0,0,0,20,0,20,0,1,1,496,0,496,0,142,142
243665,1,242,0,242,72,2,74,39,0,39,8,0,8,81,0,81,34,1,35,362,0,362,114,3,117
243744,1,238,0,238,217,0,217,16,0,16,16,0,16,1465,0,1465,1410,0,1410,1719,0,1719,1643,0,1643
243780,1,1225,1,1224,910,1,911,1022,0,1022,817,3,820,4736,4,4732,4032,5,4037,6983,5,6978,5759,9,5768
243823,1,30,0,30,0,24,24,6,0,6,0,4,4,5,0,5,0,2,2,41,0,41,0,30,30
243832,1,95,0,95,2,23,25,0,0,0,0,0,0,18,0,18,2,1,3,113,0,113,4,24,28
244233,1,25,0,25,0,11,11,0,0,0,0,0,0,2,0,2,0,1,1,27,0,27,0,12,12
245652,1,26,0,26,19,0,19,14,0,14,9,0,9,34,0,34,25,0,25,74,0,74,53,0,53
245953,1,62,0,62,17,8,25,78,0,78,22,0,22,12,0,12,6,2,8,152,0,152,45,10,55
247065,1,19,0,19,0,3,3,1,0,1,0,1,1,8,0,8,0,0,0,28,0,28,0,4,4
247649,1,17,0,17,0,3,3,17,0,17,3,6,9,55,0,55,5,21,26,89,0,89,8,30,38
247773,1,10,0,10,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,14,0,14,0,0,0
247834,1,750,0,750,0,124,124,73,0,73,0,12,12,2224,1,2223,0,356,356,3047,1,3046,0,492,492
248934,1,926,5,921,117,267,384,177,2,175,34,59,93,270,6,264,58,32,90,1373,13,1360,209,358,567
251312,1,22,0,22,2,2,4,4,0,4,0,0,0,4,0,4,0,0,0,30,0,30,2,2,4
260372,1,25,0,25,0,1,1,0,0,0,0,0,0,8,0,8,0,0,0,33,0,33,0,1,1
260789,1,164,0,164,0,90,90,26,0,26,0,14,14,116,0,116,0,98,98,306,0,306,0,202,202
260813,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1
260992,1,35,1,34,0,5,5,3,0,3,0,1,1,16,0,16,0,1,1,54,1,53,0,7,7
262086,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0
262129,1,69,0,69,45,0,45,22,0,22,17,0,17,170,0,170,111,0,111,261,0,261,173,0,173
363712,1,4,0,4,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,11,0,11,0,0,0
363907,1,57,0,57,14,6,20,0,0,0,0,0,0,12,0,12,0,0,0,69,0,69,14,6,20
363916,1,38,0,38,8,0,8,0,0,0,0,0,0,8,0,8,0,0,0,46,0,46,8,0,8
363934,1,48,0,48,12,0,12,21,0,21,8,0,8,26,0,26,10,4,14,95,0,95,30,4,34
366003,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
366252,1,401,0,401,65,90,155,338,0,338,98,92,190,385,0,385,116,98,214,1124,0,1124,279,280,559
366340,1,30,0,30,0,9,9,0,0,0,0,0,0,10,0,10,0,0,0,40,0,40,0,9,9
366553,1,73,0,73,0,31,31,0,0,0,0,0,0,8,0,8,2,3,5,81,0,81,2,34,36
366711,1,1026,0,1026,572,0,572,229,0,229,157,0,157,868,0,868,527,0,527,2123,0,2123,1256,0,1256
367884,1,73,0,73,8,2,10,7,0,7,2,1,3,42,0,42,2,3,5,122,0,122,12,6,18
368443,1,34,0,34,3,5,8,4,0,4,1,2,3,0,0,0,0,0,0,38,0,38,4,7,11
368452,1,44,0,44,32,5,37,8,0,8,5,1,6,5,0,5,3,0,3,57,0,57,40,6,46
369516,1,36,0,36,5,21,26,17,0,17,5,11,16,33,0,33,3,23,26,86,0,86,13,55,68
372073,1,103,0,103,0,53,53,3,0,3,0,2,2,1,0,1,0,0,0,107,0,107,0,55,55
375230,1,7,0,7,2,0,2,0,0,0,0,0,0,3,2,1,0,0,0,10,2,8,2,0,2
376224,1,106,0,106,13,41,54,1,0,1,1,0,1,4,0,4,0,2,2,111,0,111,14,43,57
376385,1,318,1,317,21,177,198,0,0,0,0,0,0,31,0,31,0,20,20,349,1,348,21,197,218
376695,1,270,1,269,0,36,36,0,0,0,0,0,0,3,0,3,0,0,0,273,1,272,0,36,36
377546,1,12,0,12,6,0,6,6,0,6,1,0,1,11,0,11,4,0,4,29,0,29,11,0,11
377555,1,243,1,242,151,0,151,86,0,86,59,0,59,348,0,348,238,0,238,677,1,676,448,0,448
377564,1,230,0,230,126,0,126,52,0,52,36,0,36,166,0,166,99,0,99,448,0,448,261,0,261
377661,1,99,2,97,0,68,68,6,0,6,0,6,6,4,0,4,0,1,1,109,2,107,0,75,75
378576,1,2,0,2,0,2,2,1,0,1,0,1,1,11,0,11,0,7,7,14,0,14,0,10,10
380359,1,37,0,37,0,16,16,0,0,0,0,0,0,19,0,19,0,3,3,56,0,56,0,19,19
380377,1,55,1,54,7,3,10,0,0,0,0,0,0,26,0,26,3,2,5,81,1,80,10,5,15
380438,1,44,0,44,0,17,17,7,0,7,0,5,5,24,0,24,0,7,7,75,0,75,0,29,29
384254,1,12,0,12,5,2,7,13,0,13,10,1,11,35,0,35,21,2,23,60,0,60,36,5,41
384412,1,2,0,2,2,0,2,1,0,1,1,0,1,21,0,21,14,0,14,24,0,24,17,0,17
384421,1,7,0,7,0,0,0,0,0,0,0,0,0,18,0,18,1,0,1,25,0,25,1,0,1
385619,1,420,0,420,184,0,184,37,0,37,37,0,37,128,0,128,118,0,118,585,0,585,339,0,339
