UNITID,ARANK,SAINSTT,SAINSTM,SAINSTW,SA_9MCT,SA_9MCM,SA_9MCW,SATOTLT,SATOTLM,SATOTLW,SA09MCT,SA09MCM,SA09MCW,SA10MCT,SA10MCM,SA10MCW,SA11MCT,SA11MCM,SA11MCW,SA12MCT,SA12MCM,SA12MCW,SAOUTLT,SAOUTLM,SAOUTLW,SA09MOT,SA09MOM,SA09MOW,SA10MOT,SA10MOM,SA10MOW,SA11MOT,SA11MOM,SA11MOW,SA12MOT,SA12MOM,SA12MOW,SAEQ9OT,SAEQ9OM,SAEQ9OW,SAEQ9AT,SAEQ9AM,SAEQ9AW,SA09MAT,SA09MAM,SA09MAW,SA10MAT,SA10MAM,SA10MAW,SA11MAT,SA11MAM,SA11MAW,SA12MAT,SA12MAM,SA12MAW
100654,1,40,31,9,6,6,0,34,25,9,31,23,8,0,0,0,0,0,0,3,2,1,3576944,2677910,899034,3170281,2402647,767634,0,0,0,0,0,0,406663,275263,131400,3475278,2609094,866184,102214,104364,96243,102267,104463,95954,,,,,,,135554,137632,131400
100663,1,265,159,106,0,0,0,265,159,106,137,94,43,0,0,0,0,0,0,128,65,63,47025482,28148929,18876553,19926700,14279673,5647027,0,0,0,0,0,0,27098782,13869256,13229526,40250787,24681615,15569172,151890,155230,146879,145450,151911,131326,,,,,,,211709,213373,209992
100690,1,12,10,2,0,0,0,12,10,2,0,0,0,4,4,0,0,0,0,8,6,2,689322,510583,178739,0,0,0,132542,132542,0,0,0,0,556780,378041,178739,536873,402819,134054,44739,40282,67027,,,,33136,33136,,,,,69598,63007,89370
100706,1,77,62,15,0,0,0,77,62,15,60,49,11,0,0,0,0,0,0,17,13,4,11304714,9272841,2031873,8413276,6936980,1476296,0,0,0,0,0,0,2891438,2335861,555577,10581855,8688876,1892979,137427,140143,126199,140221,141571,134209,,,,,,,170085,179682,138894
100724,1,60,33,27,0,0,0,60,33,27,0,0,0,60,33,27,0,0,0,0,0,0,5965640,3258510,2707130,0,0,0,5965640,3258510,2707130,0,0,0,0,0,0,5369076,2932659,2436417,89485,88868,90238,,,,99427,98743,100264,,,,,,
100751,1,330,228,102,3,1,2,327,227,100,289,202,87,0,0,0,0,0,0,38,25,13,53107147,38793626,14313521,46098343,33560345,12537998,0,0,0,0,0,0,7008804,5233281,1775523,51354946,37485306,13869640,157049,165134,138696,159510,166140,144115,,,,,,,184442,209331,136579
100812,1,24,12,12,0,0,0,24,12,12,19,10,9,0,0,0,0,0,0,5,2,3,2448896,1231074,1217822,1832631,981164,851467,0,0,0,0,0,0,616265,249910,366355,2294830,1168597,1126233,95618,97383,93853,96454,98116,94607,,,,,,,123253,124955,122118
100830,1,57,39,18,0,0,0,57,39,18,41,28,13,0,0,0,0,0,0,16,11,5,5861422,4054960,1806462,3953800,2693548,1260252,0,0,0,0,0,0,1907622,1361412,546210,5384517,3714607,1669910,94465,95246,92773,96434,96198,96942,,,,,,,119226,123765,109242
100858,1,382,274,108,0,0,0,382,274,108,246,177,69,0,0,0,0,0,0,136,97,39,61674265,45882022,15792243,35975891,26810860,9165031,0,0,0,0,0,0,25698374,19071162,6627212,55249672,41114232,14135440,144633,150052,130884,146243,151474,132827,,,,,,,188959,196610,169929
100937,1,31,20,11,0,0,0,31,20,11,29,20,9,0,0,0,0,0,0,2,0,2,2183904,1507624,676280,2029223,1507624,521599,0,0,0,0,0,0,154681,0,154681,2145234,1507624,637610,69201,75381,57965,69973,75381,57955,,,,,,,77341,,77341
101189,1,39,28,11,0,0,0,39,28,11,15,8,7,6,6,0,2,2,0,16,12,4,3356630,2401674,954956,1046070,547102,498968,602524,602524,0,146625,146625,0,1561411,1105423,455988,2879339,2038380,840959,73829,72799,76451,69738,68388,71281,100421,100421,,73313,73313,,97588,92119,113997
101365,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,144566,0,144566,0,0,0,0,0,0,0,0,0,144566,0,144566,108425,0,108425,108425,,108425,,,,,,,,,,144566,,144566
101435,1,14,9,5,0,0,0,14,9,5,14,9,5,0,0,0,0,0,0,0,0,0,1193061,763003,430058,1193061,763003,430058,0,0,0,0,0,0,0,0,0,1193061,763003,430058,85219,84778,86012,85219,84778,86012,,,,,,,,,
101453,1,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,186064,186064,0,0,0,0,0,0,0,0,0,0,186064,186064,0,139548,139548,0,46516,46516,,,,,,,,,,,62021,62021,
101480,1,95,57,38,0,0,0,95,57,38,79,50,29,0,0,0,0,0,0,16,7,9,8477652,5219855,3257797,6636781,4355853,2280928,0,0,0,0,0,0,1840871,864002,976869,8017434,5003855,3013580,84394,87787,79305,84010,87117,78653,,,,,,,115054,123429,108541
101587,1,26,18,8,0,0,0,26,18,8,21,15,6,0,0,0,0,0,0,5,3,2,2174847,1519057,655790,1738737,1255274,483463,0,0,0,0,0,0,436110,263783,172327,2065820,1453111,612708,79455,80728,76589,82797,83685,80577,,,,,,,87222,87928,86164
101675,1,6,6,0,0,0,0,6,6,0,0,0,0,1,1,0,0,0,0,5,5,0,449233,449233,0,0,0,0,56275,56275,0,0,0,0,392958,392958,0,345366,345366,0,57561,57561,,,,,56275,56275,,,,,78592,78592,
101693,1,11,7,4,0,0,0,11,7,4,8,5,3,0,0,0,0,0,0,3,2,1,645730,409316,236414,458399,289585,168814,0,0,0,0,0,0,187331,119731,67600,598897,379383,219514,54445,54198,54879,57300,57917,56271,,,,,,,62444,59866,67600
101709,1,46,27,19,0,0,0,46,27,19,46,27,19,0,0,0,0,0,0,0,0,0,4096689,2421513,1675176,4096689,2421513,1675176,0,0,0,0,0,0,0,0,0,4096689,2421513,1675176,89058,89686,88167,89058,89686,88167,,,,,,,,,
101879,1,83,51,32,0,0,0,83,51,32,80,48,32,0,0,0,0,0,0,3,3,0,8160735,5265621,2895114,7797635,4902521,2895114,0,0,0,0,0,0,363100,363100,0,8069960,5174846,2895114,97228,101468,90472,97470,102136,90472,,,,,,,121033,121033,
101912,1,28,20,8,0,0,0,28,20,8,0,0,0,0,0,0,0,0,0,28,20,8,1340364,899024,441340,0,0,0,0,0,0,0,0,0,1340364,899024,441340,1005273,674268,331005,35903,33713,41376,,,,,,,,,,47870,44951,55168
102049,1,122,74,48,0,0,0,122,74,48,85,60,25,0,0,0,0,0,0,37,14,23,13506574,8232556,5274018,8805900,6404904,2400996,0,0,0,0,0,0,4700674,1827652,2873022,12331406,7775643,4555763,101077,105076,94912,103599,106748,96040,,,,,,,127045,130547,124914
102094,1,105,70,35,0,0,0,105,70,35,72,53,19,0,0,0,0,0,0,33,17,16,10725755,7308057,3417698,7085918,5346691,1739227,0,0,0,0,0,0,3639837,1961366,1678471,9815796,6817716,2998080,93484,97396,85659,98416,100881,91538,,,,,,,110298,115374,104904
102234,1,13,8,5,0,0,0,13,8,5,13,8,5,0,0,0,0,0,0,0,0,0,1185602,655071,530531,1185602,655071,530531,0,0,0,0,0,0,0,0,0,1185602,655071,530531,91200,81884,106106,91200,81884,106106,,,,,,,,,
102270,1,3,2,1,0,0,0,3,2,1,0,0,0,3,2,1,0,0,0,0,0,0,140500,92000,48500,0,0,0,140500,92000,48500,0,0,0,0,0,0,126450,82800,43650,42150,41400,43650,,,,46833,46000,48500,,,,,,
102298,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,93490,0,93490,0,0,0,0,0,0,0,0,0,93490,0,93490,70118,0,70118,70118,,70118,,,,,,,,,,93490,,93490
102368,1,63,52,11,0,0,0,63,52,11,0,0,0,32,26,6,0,0,0,31,26,5,6028032,5028612,999420,0,0,0,2795210,2296339,498871,0,0,0,3232822,2732273,500549,4940306,4115910,824396,78418,79152,74945,,,,87350,88321,83145,,,,104285,105087,100110
102377,1,48,35,13,0,0,0,48,35,13,0,0,0,31,21,10,0,0,0,17,14,3,5203276,3681099,1522177,0,0,0,2976264,1853211,1123053,0,0,0,2227012,1827888,399124,4348897,3038806,1310091,90602,86823,100776,,,,96009,88248,112305,,,,131001,130563,133041
102395,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,121312,121312,0,0,0,0,0,0,0,0,0,0,121312,121312,0,90984,90984,0,90984,90984,,,,,,,,,,,121312,121312,
102553,1,129,66,63,0,0,0,129,66,63,128,65,63,0,0,0,0,0,0,1,1,0,13325694,7114338,6211356,13162326,6950970,6211356,0,0,0,0,0,0,163368,163368,0,13284852,7073496,6211356,102983,107174,98593,102831,106938,98593,,,,,,,163368,163368,
102614,1,68,44,24,0,0,0,68,44,24,67,43,24,0,0,0,0,0,0,1,1,0,7193373,4969174,2224199,7036057,4811858,2224199,0,0,0,0,0,0,157316,157316,0,7154044,4929845,2224199,105207,112042,92675,105016,111904,92675,,,,,,,157316,157316,
102632,1,13,9,4,0,0,0,13,9,4,13,9,4,0,0,0,0,0,0,0,0,0,1144168,769147,375021,1144168,769147,375021,0,0,0,0,0,0,0,0,0,1144168,769147,375021,88013,85461,93755,88013,85461,93755,,,,,,,,,
