UNITID,F2A01,F2A19,F2A20,F2A02,F2A03,F2A03A,F2A04,F2A05,F2A05A,F2A05B,F2A06,F2A11,F2A12,F2A13,F2A15,F2A16,F2A17,F2A18,F2B01,F2B02,F2B03,F2B04,F2B05,F2B06,F2B07,F2C01,F2C02,F2C03,F2C04,F2C05,F2C06,F2C07,F2C08,F2C09,F2C10,F2C12,F2C121,F2C122,F2C13,F2C131,F2C132,F2C14,F2C141,F2C142,F2C15,F2C151,F2C152,F2C16,F2C161,F2C162,F2C17,F2C171,F2C172,F2D01,F2D012,F2D013,F2D014,F2D02,F2D022,F2D023,F2D024,F2D03,F2D032,F2D033,F2D034,F2D04,F2D042,F2D043,F2D044,F2D05,F2D052,F2D053,F2D054,F2D06,F2D062,F2D063,F2D064,F2D07,F2D072,F2D073,F2D074,F2D08,F2D082,F2D083,F2D084,F2D08A,F2D082A,F2D083A,F2D084A,F2D08B,F2D082B,F2D083B,F2D084B,F2D09,F2D092,F2D093,F2D094,F2D10,F2D102,F2D103,F2D104,F2D11,F2D112,F2D12,F2D122,F2D13,F2D132,F2D14,F2D142,F2D143,F2D144,F2D15,F2D152,F2D153,F2D154,F2D16,F2D162,F2D163,F2D164,F2D17,F2D172,F2D173,F2D174,F2D18,F2D182,F2D183,F2D184,F2E011,F2E012,F2E021,F2E022,F2E031,F2E032,F2E041,F2E042,F2E051,F2E052,F2E061,F2E062,F2E071,F2E072,F2E081,F2E091,F2E092,F2E101,F2E102,F2E121,F2E122,F2E131,F2E132,F2E133,F2E134,F2E135,F2E136,F2E137,F2FHA,F2H01,F2H02,F2H03,F2H03A,F2H03B,F2H03C,F2H03D,F2I01,F2I02,F2I03,F2I04,F2I05,F2I06,F2I07
100690,9205532,2674712,0,15939891,948846,0,14495619,495426,174819,320607,14991045,1340625,1065662,3171516,0,0,5577803,2903091,7413051,7256314,0,156737,14834308,0,14991045,1,31582,0,0,0,816078,847661,847660,0,847660,0,0,0,31582,31582,0,0,0,0,0,0,0,0,0,0,816078,816078,0,7219385,7219385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22412,22412,0,0,0,0,0,0,0,0,0,0,75662,75662,0,0,75662,75662,0,0,0,0,0,0,0,0,0,0,44984,60707,-15723,0,0,0,0,0,0,0,0,0,0,0,50608,34885,15723,0,7413051,7413051,0,0,0,0,0,0,7413051,7413051,0,0,2518813,1828056,0,0,0,0,681522,485366,1092868,835538,2963111,1081551,0,0,0,0,0,0,0,0,0,7256314,4230511,532218,186021,176711,0,2130853,1,174817,174819,2,0,0,0,2,172460,7370978,156737,14834308,14991045,0,7256314
100937,19174295,64655000,0,106162162,39447010,29314696,9964175,56750977,51470511,5280466,66715152,2524130,188060337,31264374,0,495422,222344263,157689263,31292016,70999109,0,-39707093,105759465,662780,66715152,1204146,1356783,0,0,5110081,4246530,11917540,9356611,0,9356611,1204146,1204146,0,0,0,0,0,0,0,0,0,0,3776960,3776960,0,4375505,4375505,0,11322316,11322316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680327,1680327,0,0,0,0,0,0,0,0,0,0,6647954,6647954,0,0,6647954,6647954,0,0,0,0,0,0,0,0,0,0,-465904,-465904,0,0,0,0,11762513,11762513,0,0,0,0,0,0,344810,344810,0,0,31292016,31292016,0,0,0,0,0,0,31292016,31292016,0,0,12042041,8126554,0,0,0,0,3013472,529771,9609472,1716523,39525348,4384934,6471099,128357,337677,0,0,0,0,0,0,70999109,14886139,4140402,5258278,2825579,1554204,42334507,1,53984787,50831353,-3153434,1128684,-465904,-3776960,-39254,-36958206,31292016,-39707093,105759465,-7159382,29314696,70999109
101189,22659096,63901629,0,102873739,44476332,31205976,35885266,22512141,13709810,8802331,58397407,8096644,74854202,36600814,3934014,0,123485674,59584045,56125958,53258188,0,2867770,55529637,0,58397407,4618598,4241254,1658127,0,319605,12828321,23665905,12511299,1098295,13609594,0,0,0,337619,310373,27246,124049,114038,10011,0,0,0,319605,293813,25792,12828321,11793075,1035246,35183649,35183649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11163778,0,11163778,0,0,0,0,0,0,0,0,0,4700380,1052770,3593559,54051,4700380,1052770,3593559,54051,0,0,0,0,0,0,0,0,-25890,36809,-179543,116844,0,0,3397529,3397529,0,0,0,0,0,0,1706512,1552844,153668,0,56125958,41223601,14731462,170895,0,12408928,-12408928,0,56125958,53632529,2322534,170895,21471387,12596646,0,0,0,0,3180149,1189981,10225577,3342632,9595270,2796458,4882170,270486,0,0,0,0,0,3903635,0,53258188,20196203,4770332,4725891,3579450,1268621,18717691,1,21332492,20765130,-567362,54051,73322,-694735,0,374341,53632529,2867770,55529637,8911550,31205976,53258188
101365,0,4240509,0,18735028,5657220,0,13077808,0,0,0,13077808,280000,4294665,1097549,40822,0,5713036,1472527,8765934,7315367,-26020,1424547,11653261,0,13077808,2136823,192873,45834,0,0,851640,3227170,851640,0,851640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851640,851640,0,8519742,8519742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246192,246192,0,0,8765934,8765934,0,0,0,0,0,0,8765934,8765934,0,0,2810789,1475447,0,0,0,0,433874,202083,2549644,686634,1037054,279060,0,0,0,0,0,0,0,484006,21025,7315367,2664249,539464,201943,158141,0,3751570,2,,,,,,,,1424547,8765934,1424547,11653261,0,0,7315367
101435,57182330,30365032,0,93441263,24374132,21241629,11769793,57297338,51636517,5660821,69067131,3049311,50127036,14030814,295506,0,67502667,37137635,22101081,25029686,0,-2928605,71995736,0,69067131,1580560,193889,1022717,0,3038927,6995364,12831457,11250897,0,11250897,0,0,0,193889,193889,0,1022717,1022717,0,0,0,0,10034291,10034291,0,0,0,0,11495206,11495206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2741694,2741694,0,0,0,0,0,0,0,0,0,0,3225577,2687894,183328,354355,2782633,2687894,94739,0,442944,0,88589,354355,0,0,0,0,-2623106,1279402,-1130977,-2771531,0,0,6237930,6237930,0,0,368655,368655,0,0,655125,239250,415875,0,22101081,25050031,-531774,-2417176,0,121808,-121808,0,22101081,25171839,-653582,-2417176,6487466,4234145,0,0,0,0,1684118,814998,6510660,2994757,4558657,2032080,4053655,194845,0,0,0,0,0,1735130,0,25029686,10270825,2139329,1664269,2130745,552861,8271657,1,60206711,57163022,-3043689,442944,-2757295,-239250,-490088,142153,25171839,-2928605,71995736,8324708,21241629,25029686
101453,17750070,3075976,0,22146000,1551864,0,5521173,15072963,9366959,5706004,20594136,1019751,2841330,3825988,0,0,7687069,4611093,3067142,3331617,0,-264475,20858616,-5,20594136,144405,5947,0,0,473107,0,623459,245,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,245,0,383659,383659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363820,363820,0,0,0,0,0,0,0,0,0,0,4030768,2646913,336931,1046924,3980768,2596913,336931,1046924,50000,50000,0,0,0,0,0,0,-1856767,-480238,-1377697,1168,0,0,69758,69758,0,0,0,0,0,0,75904,0,75904,0,3067142,2983912,-964862,1048092,0,529340,-529340,0,3067142,3513252,-1494202,1048092,665315,473906,79168,63051,106780,52980,355659,229657,489168,314721,1548411,557792,87116,10888,0,0,0,0,0,0,0,3331617,1702995,291035,500166,233634,0,603787,1,15150265,14385884,-764381,1055391,-1290432,-529340,0,181635,3840819,-264475,20858616,4335179,0,3331617
101675,25642209,55881649,0,95783028,17619082,14887978,74376283,3787663,2829745,957918,78163946,6705231,80309397,21343489,2482143,0,110840260,54958611,42361714,42112615,0,249099,77914847,0,78163946,6744477,605598,687542,0,1120432,2350845,11508894,3609487,0,3609487,0,0,0,605598,605598,0,687542,687542,0,0,0,0,0,0,0,2316347,2316347,0,6744477,6744477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21033528,21033528,0,0,687542,687542,0,0,0,0,0,0,1932968,1467154,465814,0,0,0,0,0,1932968,1467154,465814,0,0,0,0,0,-3650683,-3650683,0,0,0,0,5623999,5623999,0,0,0,0,0,0,9989883,9989883,0,0,42361714,41895900,465814,0,0,0,0,0,42361714,41895900,465814,0,6509874,4552146,0,0,7502,0,1940761,1271864,8520352,3679564,21600438,2327448,3533688,498024,0,0,0,0,0,0,0,42112615,12329046,2500229,4199871,1998459,460465,20624545,1,29292887,25642204,-3650683,0,-3468149,-182534,0,3899782,46012397,249099,77914847,78163946,14887978,42112615
101693,22005510,36104357,0,71415413,34715829,31309658,10427866,26271718,19604084,6667634,36699584,1297996,61500708,13843053,70407,1042470,77754634,41650277,28065565,29113105,0,-1047540,37749506,-2382,36699584,2325350,147244,1146158,0,2202325,12552585,18373662,14860680,0,14860680,0,0,0,105770,105770,0,0,0,0,0,0,0,2202325,2202325,0,12552585,12552585,0,13954852,13954852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721297,245575,2475722,0,20540,20540,0,0,0,0,0,0,6376755,2020130,4112978,243647,4925318,2020130,2661541,243647,1451437,0,1451437,0,0,0,0,0,-1760510,-369369,-1362539,-28602,0,0,6255735,6255735,0,0,0,0,0,0,496896,482967,2979,10950,28065565,22610430,5229140,225995,0,6635617,-6635617,0,28065565,29246047,-1406477,225995,10696386,5783255,0,0,0,0,711367,124176,3000959,1360473,5379415,1934568,9283504,1004215,0,0,0,0,0,41474,0,29113105,10206687,3456306,3434771,2250183,1873199,7891959,1,20155794,22082866,1927072,254256,-1691454,-690484,4054754,132942,29246047,-1047540,37749506,17405083,31309658,29113105
101912,25724163,59412027,0,128063334,43426280,30382341,52659046,31978008,6120449,25857559,84637054,5780055,86527631,37590954,0,4912516,134811156,75399129,54456136,63374302,0,-8918166,93555220,0,84637054,3200362,4809916,127743,0,11671434,40062,19849517,9443020,10278754,19721774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19721774,9443020,10278754,17620690,17620690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13082052,6691073,6390979,0,0,0,0,0,0,0,0,0,5935252,4127079,1237732,570441,1940366,1584439,-214514,570441,3994886,2542640,1452246,0,7819850,7819850,0,0,-3922554,315950,-3007029,-1231475,359743,359743,8970357,8970357,0,0,2180126,2180126,0,0,2410620,2076705,60225,273690,54456136,50161573,4681907,-387344,0,8088851,-8088851,0,54456136,58250424,-3406944,-387344,11883851,7726471,378053,112539,497495,139384,4214072,1750031,5600984,1533842,13006198,3883070,5130454,625430,0,0,0,3169396,533653,19493799,1,63374302,16304421,6998132,3997304,4809682,408059,30856704,1,26286780,19810091,-6476689,0,-3590574,-2779000,-107115,-5123878,58250424,-8918166,93555220,41637741,30382341,63374302
102049,342830198,347388555,0,871369127,370304342,289251898,113541627,387523158,266949735,120573423,501064785,91896415,460036944,99889303,14286639,0,666109301,318720746,257272144,182692926,31113833,105693051,395371734,0,501064785,1891107,3385571,1578383,0,5969000,68017000,80841061,73986000,0,73986000,0,0,0,0,0,0,0,0,0,0,0,0,5969000,5969000,0,68017000,68017000,0,118939193,118939193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8009823,6254320,1755503,0,11112,0,11112,0,0,0,0,0,112011070,5615120,9908623,96487327,110413161,5183893,8741941,96487327,1597909,431227,1166682,0,0,0,0,0,-16205295,-6789120,-9428875,12700,0,0,25644408,25644408,0,0,0,0,0,0,8861833,8355767,506066,0,257272144,158019688,2752429,96500027,0,-14987494,14987494,0,257272144,143032194,17739923,96500027,91710251,51823777,0,0,3700434,658309,12511870,4677347,33215740,10282866,21762191,12344631,19792440,1392428,0,0,0,0,0,0,0,182692926,81179358,24254227,12638053,16250931,8204249,40166108,1,368437572,426345689,57908117,96568665,-14519459,-16564720,-7576369,22864140,185332428,105693051,395371734,155131721,289251898,182692926
