UNITID,OMCHRT,OMRCHRT,OMEXCLS,OMACHRT,OMCERT4,OMASSC4,OMBACH4,OMAWDN4,OMAWDP4,OMCERT6,OMASSC6,OMBACH6,OMAWDN6,OMAWDP6,OMCERT8,OMASSC8,OMBACH8,OMAWDN8,OMENRYI,OMENRAI,OMENRUN,OMNOAWD,OMAWDP8,OMENRTP,OMENRYP,OMENRAP,OMENRUP
153250,32,36,0,36,0,2,24,26,72,0,2,24,26,72,0,2,24,26,0,1,9,10,72,3,0,3,25
153269,32,140,1,139,9,0,100,109,78,0,0,110,110,79,0,0,110,110,0,17,12,29,79,12,0,12,9
153278,32,106,0,106,0,0,75,75,71,0,0,79,79,75,0,0,79,79,0,0,27,27,75,0,0,0,25
153296,32,62,0,62,2,34,,36,58,2,34,,36,58,2,34,,36,0,19,7,26,58,31,0,31,11
153302,32,13,0,13,5,0,6,11,85,5,0,6,11,85,5,0,6,11,0,0,2,2,85,0,0,0,15
153311,32,65,0,65,6,21,,27,42,5,24,,29,45,5,25,,30,0,17,18,35,46,26,0,26,28
153320,32,15,0,15,0,0,4,4,27,0,0,4,4,27,0,0,5,5,0,3,7,10,33,20,0,20,47
153366,32,92,1,91,0,0,72,72,79,0,0,72,72,79,0,0,73,73,0,1,17,18,80,1,0,1,19
153375,32,189,0,189,0,0,133,133,70,0,0,138,138,73,0,0,139,139,0,8,42,50,74,4,0,4,22
153384,32,6,0,6,0,0,4,4,67,0,0,4,4,67,0,0,4,4,0,0,2,2,67,0,0,0,33
153427,32,29,0,29,21,1,4,26,90,21,1,4,26,90,21,1,4,26,0,0,3,3,90,0,0,0,10
153445,32,189,0,189,26,60,,86,46,26,63,,89,47,28,66,,94,0,33,62,95,50,17,0,17,33
153472,32,134,0,134,4,81,,85,63,4,83,,87,65,4,85,,89,0,25,20,45,66,19,0,19,15
153524,32,129,0,129,4,77,,81,63,2,79,,81,63,2,80,,82,0,37,10,47,64,29,0,29,8
153533,32,53,0,53,0,29,,29,55,1,32,,33,62,2,36,,38,0,7,8,15,72,13,0,13,15
153603,32,1644,14,1630,0,0,1103,1103,68,0,0,1205,1205,74,0,0,1220,1220,3,267,140,410,75,17,0,16,9
153621,32,19,0,19,0,0,13,13,68,0,0,13,13,68,0,0,13,13,0,1,5,6,68,5,0,5,26
153630,32,294,0,294,11,116,,127,43,10,122,,132,45,10,124,,134,4,133,23,160,46,47,1,45,8
153658,32,861,0,861,0,0,576,576,67,0,0,632,632,73,0,0,640,640,4,111,106,221,74,13,0,13,12
153737,32,490,0,490,14,167,,181,37,11,185,,196,40,11,192,,203,4,125,158,287,41,26,1,26,32
153825,32,48,0,48,0,0,32,32,67,0,0,33,33,69,0,0,33,33,0,13,2,15,69,27,0,27,4
153834,32,35,0,35,0,0,27,27,77,0,0,30,30,86,0,0,31,31,0,3,1,4,89,9,0,9,3
153861,32,45,0,45,0,0,27,27,60,0,0,28,28,62,0,0,28,28,0,2,15,17,62,4,0,4,33
153922,32,68,0,68,2,34,,36,53,2,35,,37,54,2,35,,37,0,14,17,31,54,21,0,21,25
153977,32,117,0,117,20,11,59,90,77,20,11,59,90,77,20,11,59,90,0,17,10,27,77,15,0,15,9
154004,32,58,0,58,0,0,36,36,62,0,0,38,38,66,0,0,38,38,0,8,12,20,66,14,0,14,21
154013,32,114,0,114,0,0,82,82,72,0,0,88,88,77,0,0,88,88,0,12,14,26,77,11,0,11,12
154022,32,10839,23,10816,0,45,2094,2139,20,0,46,2710,2756,25,0,45,2933,2978,0,3201,4637,7838,28,30,0,30,43
154059,32,540,0,540,26,308,,334,62,30,310,,340,63,32,311,,343,0,33,164,197,64,6,0,6,30
154095,32,687,4,683,0,0,461,461,67,0,0,504,504,74,0,0,508,508,2,109,64,175,74,16,0,16,9
154101,32,30,0,30,0,0,21,21,70,0,0,21,21,70,0,0,21,21,0,6,3,9,70,20,0,20,10
154110,32,82,0,82,5,38,,43,52,5,38,,43,52,5,39,,44,1,28,9,38,54,35,1,34,11
154129,32,32,0,32,5,15,,20,63,5,15,,20,63,5,16,,21,1,2,8,11,66,9,3,6,25
154174,32,15,0,15,0,1,2,3,20,0,1,10,11,73,0,1,10,11,0,0,4,4,73,0,0,0,27
154235,32,164,0,164,0,0,126,126,77,0,0,130,130,79,0,0,132,132,0,32,0,32,80,20,0,20,0
154262,32,26,0,26,6,16,1,23,88,6,16,1,23,88,6,16,1,23,0,0,3,3,88,0,0,0,12
154350,32,50,0,50,0,0,36,36,72,0,0,36,36,72,0,0,37,37,0,4,9,13,74,8,0,8,18
154378,32,26,0,26,1,21,,22,85,1,21,,22,85,1,21,,22,0,0,4,4,85,0,0,0,15
154396,32,52,0,52,6,17,,23,44,4,20,,24,46,4,21,,25,0,15,12,27,48,29,0,29,23
154493,32,354,0,354,1,7,227,235,66,1,8,234,243,69,1,7,239,247,2,45,60,107,70,13,1,13,17
154518,32,334,0,334,3,29,183,215,64,3,29,197,229,69,3,29,200,232,0,0,102,102,69,0,0,0,31
154527,32,26,0,26,0,0,16,16,62,0,0,16,16,62,0,0,16,16,0,2,8,10,62,8,0,8,31
154572,32,572,1,571,77,262,,339,59,78,268,,346,61,77,272,,349,3,97,122,222,61,18,1,17,21
154590,32,71,0,71,0,1,31,32,45,0,1,35,36,51,0,1,35,36,0,18,17,35,51,25,0,25,24
154642,32,102,0,102,0,43,,43,42,0,43,,43,42,0,46,,46,0,19,37,56,45,19,0,19,36
154688,32,101,0,101,0,4,73,77,76,0,4,75,79,78,0,4,75,79,0,10,12,22,78,10,0,10,12
154697,32,762,0,762,39,340,,379,50,40,349,,389,51,41,357,,398,10,239,115,364,52,33,1,31,15
