UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
100654,0,208,39,36,84,46,0,3
100663,0,2603,746,720,933,204,0,0
100690,0,34,12,10,10,2,0,0
100706,0,351,73,96,91,16,75,0
100724,0,215,62,54,64,31,0,4
100751,0,1557,334,403,479,339,2,0
100760,0,41,0,0,0,0,0,41
100812,0,81,26,22,30,3,0,0
100830,0,223,51,57,67,1,41,6
100858,0,1443,395,406,391,68,170,13
100937,0,101,36,23,28,1,13,0
101028,0,40,0,0,0,0,0,40
101116,0,5,0,0,0,5,0,0
101143,0,57,0,0,0,57,0,0
101161,0,168,0,0,0,0,0,168
101189,0,129,40,26,38,2,22,1
101240,0,125,0,0,0,0,0,125
101286,0,125,0,0,0,0,0,125
101295,0,122,0,0,0,0,0,122
101301,0,42,0,0,0,0,0,42
101365,0,16,1,0,7,8,0,0
101435,0,53,18,7,19,9,0,0
101453,0,6,0,0,0,0,0,6
101462,0,26,0,0,0,0,0,26
101471,0,56,0,0,0,0,0,56
101480,0,350,88,66,102,94,0,0
101505,0,128,0,0,0,0,0,128
101514,0,149,0,0,0,0,0,149
101569,0,76,0,0,0,0,0,76
101587,0,119,29,37,28,20,5,0
101602,0,55,0,0,0,0,0,55
101648,0,21,0,0,0,0,0,21
101675,0,78,7,6,20,45,0,0
101693,0,71,13,29,26,3,0,0
101709,0,140,38,53,32,17,0,0
101736,0,71,0,0,0,0,0,71
101879,0,290,82,63,81,0,64,0
101897,0,54,0,0,0,0,0,54
101912,0,100,23,33,44,0,0,0
101994,0,14,0,0,0,0,0,14
102030,0,57,0,0,0,0,0,57
102049,0,364,136,75,127,26,0,0
102067,0,99,0,0,0,0,0,99
102076,0,41,0,0,0,0,0,41
102094,0,805,159,182,350,113,1,0
102234,0,83,7,33,31,12,0,0
102270,0,47,3,19,19,5,0,1
102298,0,38,1,6,26,5,0,0
102313,0,50,0,0,0,0,0,50
102368,0,458,60,140,120,0,134,4
102377,0,236,52,83,86,13,2,0
102395,0,5,0,3,1,0,1,0
102429,0,110,0,0,0,0,0,110
102553,0,410,123,92,164,31,0,0
102614,0,263,67,86,81,25,0,4
102632,0,86,15,32,38,1,0,0
102669,0,49,9,15,19,6,0,0
102845,0,87,0,0,0,87,0,0
103501,0,3,0,0,0,3,0,0
103893,0,26,0,0,0,26,0,0
103909,0,16,0,0,0,16,0,0
103927,0,11,0,0,0,11,0,0
104090,0,30,0,0,0,30,0,0
104151,0,3279,872,764,690,355,594,4
104160,0,118,0,0,0,0,0,118
104179,0,2143,796,536,498,77,231,5
104346,0,92,92,0,0,0,0,0
104425,0,99,0,0,0,0,0,99
104577,0,87,28,59,0,0,0,0
104586,0,148,23,47,60,18,0,0
104708,0,263,0,0,0,0,0,263
104717,0,516,23,37,89,343,10,14
105145,0,112,0,0,0,0,0,112
105154,0,290,0,0,0,0,0,290
105206,0,75,0,0,0,75,0,0
105215,0,26,0,0,0,0,0,26
105297,0,63,12,16,13,22,0,0
105330,0,977,258,215,241,30,233,0
105349,0,75,0,0,0,75,0,0
105428,0,147,0,0,0,0,0,147
105525,0,246,0,0,0,0,0,246
105534,0,68,0,0,0,68,0,0
105543,0,45,0,0,0,45,0,0
105589,0,49,0,20,29,0,0,0
105659,0,27,0,0,0,27,0,0
105668,0,48,0,0,0,0,0,48
105747,0,126,0,0,0,0,0,126
105792,0,56,0,0,0,0,0,56
105899,0,29,3,12,11,3,0,0
106041,0,55,0,0,0,0,0,55
106148,0,102,0,0,0,102,0,0
106245,0,368,109,97,101,61,0,0
106263,0,197,45,45,85,22,0,0
106306,0,10,1,0,8,1,0,0
106342,0,49,7,19,16,7,0,0
106397,0,1264,316,304,221,304,119,0
106412,0,160,20,29,54,57,0,0
106449,0,95,5,5,35,50,0,0
106458,0,509,109,120,166,110,0,4
106467,0,338,64,77,96,39,0,62
106485,0,155,21,39,24,71,0,0
106546,0,56,0,0,0,0,0,56
106625,0,57,0,0,0,0,0,57
106704,0,532,103,143,116,69,74,27
106713,0,28,8,8,12,0,0,0
106795,0,48,0,0,0,48,0,0
106810,0,12,0,0,12,0,0,0
106883,0,42,0,0,0,0,0,42
106980,0,93,7,13,73,0,0,0
106999,0,45,0,0,0,0,0,45
107044,0,293,65,97,97,29,5,0
107071,0,165,49,33,59,21,2,1
107080,0,91,43,21,17,10,0,0
107141,0,73,18,27,26,2,0,0
107318,0,38,0,0,0,38,0,0
107327,0,38,1,7,4,0,0,26
107460,0,68,16,6,10,36,0,0
107512,0,106,43,29,18,10,6,0
107521,0,39,1,5,1,32,0,0
107549,0,34,0,0,0,34,0,0
107558,0,51,15,11,22,3,0,0
107585,0,62,0,0,0,0,0,62
107600,0,30,1,7,14,8,0,0
107619,0,53,0,0,0,53,0,0
107637,0,48,0,0,0,48,0,0
107664,0,154,0,0,0,0,0,154
107725,0,42,0,0,0,41,0,1
107743,0,20,0,0,0,20,0,0
107840,0,11,0,0,0,11,0,0
107877,0,28,4,5,15,3,0,1
107974,0,42,7,6,3,24,0,2
107983,0,151,22,39,54,36,0,0
107992,0,63,0,0,0,0,0,63
108092,0,221,35,49,77,60,0,0
108232,0,133,0,0,0,0,0,133
108667,0,74,0,0,0,74,0,0
108807,0,173,0,0,0,173,0,0
108852,0,7,0,0,0,7,0,0
108870,0,13,6,0,0,0,7,0
109040,0,40,0,0,0,0,0,40
109086,0,4,0,0,0,0,0,4
109208,0,347,0,0,0,347,0,0
109350,0,177,0,0,0,173,0,4
109651,0,142,56,70,14,2,0,0
109785,0,432,142,122,148,20,0,0
109819,0,340,0,0,0,340,0,0
109907,0,38,23,10,5,0,0,0
110060,0,7,0,0,0,0,0,7
110097,0,268,74,140,43,11,0,0
110219,0,11,0,0,0,11,0,0
110246,0,185,0,0,0,185,0,0
110316,0,56,22,15,15,0,4,0
110334,0,210,0,0,0,210,0,0
110361,0,358,126,101,98,4,18,11
110370,0,93,27,45,21,0,0,0
110398,0,59,42,2,0,0,15,0
110404,0,360,265,0,44,27,20,4
110413,0,171,63,43,41,1,23,0
110422,0,860,306,174,166,0,211,3
110468,0,115,45,27,42,0,1,0
110486,0,340,74,63,94,0,109,0
110495,0,359,130,79,64,0,86,0
110510,0,489,176,106,113,0,93,1
