UNITID,AWLEVELC,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSASIAT,CSBKAAT,CSHISPT,CSNHPIT,CSWHITT,CS2MORT,CSUNKNT,CSNRALT,CSUND18,CS18_24,CS25_39,CSABV40,CSUNKN
100663,2,55,22,33,0,2,9,5,0,38,1,0,0,0,28,21,6,0
100751,2,6,3,3,0,1,2,0,0,3,0,0,0,0,6,0,0,0
100760,2,59,20,39,0,0,9,1,0,47,2,0,0,0,32,21,6,0
101028,2,62,9,53,0,0,21,1,0,29,9,2,0,0,14,40,8,0
101143,2,102,75,27,1,2,21,6,0,65,6,1,0,1,41,46,14,0
101161,2,232,65,167,2,8,30,5,0,176,7,3,1,0,124,95,13,0
101240,2,308,187,121,1,1,39,18,0,230,8,8,3,2,153,104,49,0
101277,2,44,1,43,0,0,0,6,0,38,0,0,0,0,31,12,1,0
101286,2,165,22,143,0,3,66,13,0,77,3,3,0,0,68,76,21,0
101295,2,334,86,248,2,2,35,24,0,261,8,1,1,0,202,97,35,0
101301,2,78,44,34,0,0,65,0,0,12,0,0,1,8,54,14,2,0
101365,2,107,37,70,1,0,46,5,0,52,2,1,0,0,22,66,19,0
101462,2,28,9,19,0,0,21,0,0,7,0,0,0,0,4,22,2,0
101471,2,72,62,10,0,0,43,1,0,28,0,0,0,0,3,37,32,0
101505,2,187,96,91,1,1,43,5,0,123,5,6,3,1,72,76,38,0
101514,2,173,19,154,3,9,12,7,0,125,9,4,4,0,78,77,17,1
101569,2,140,78,62,0,3,84,11,0,32,6,3,1,0,89,34,17,0
101602,2,60,18,42,0,1,9,3,0,44,3,0,0,0,37,21,2,0
101736,2,196,81,115,1,2,11,14,0,160,2,3,3,0,124,55,17,0
101897,2,52,20,32,0,0,1,9,0,40,2,0,0,0,30,16,6,0
101994,2,64,8,56,0,0,50,0,1,12,1,0,0,0,18,34,12,0
102030,2,115,37,78,1,0,76,1,0,33,1,3,0,0,35,57,23,0
102067,2,135,24,111,1,1,42,5,0,77,5,4,0,0,73,52,10,0
102076,2,27,11,16,0,0,2,5,0,16,1,3,0,0,7,14,6,0
102094,2,19,8,11,0,0,4,0,0,15,0,0,0,0,8,11,0,0
102313,2,28,14,14,0,0,18,2,0,5,1,2,0,0,11,12,5,0
102429,2,194,53,141,0,1,32,2,0,151,4,4,0,0,110,76,8,0
102553,2,37,28,9,1,2,0,2,0,23,4,3,2,0,19,15,3,0
102580,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
102614,2,149,66,83,34,7,8,9,2,66,12,10,1,1,40,69,39,0
102632,2,48,11,37,7,2,0,2,2,27,7,1,0,0,13,24,11,0
102669,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
102711,2,66,43,23,10,0,1,3,0,36,6,10,0,0,49,15,2,0
102845,2,1013,261,752,67,32,40,235,28,350,79,179,3,0,451,426,136,0
103501,2,127,14,113,16,29,15,5,1,50,6,5,0,0,59,52,16,0
103741,2,48,2,46,0,0,6,28,0,11,3,0,0,0,30,17,1,0
103893,2,575,128,447,22,4,32,369,3,87,12,40,6,0,366,184,25,0
103909,2,237,20,217,32,3,14,115,2,47,1,18,5,0,134,90,13,0
103927,2,293,48,245,8,0,17,206,0,41,5,13,3,0,175,101,17,0
103954,2,10,1,9,1,1,1,5,0,2,0,0,0,0,3,4,3,0
103963,2,224,205,19,24,3,25,75,1,83,10,3,0,0,95,106,23,0
104151,2,45,19,26,1,4,2,13,0,24,1,0,0,0,23,17,5,0
104160,2,560,196,364,4,4,14,419,1,86,11,21,0,22,391,112,35,0
104346,2,301,94,207,11,5,18,102,2,127,8,20,8,0,187,71,43,0
104391,2,21,2,19,0,0,1,3,1,12,0,4,0,0,7,11,3,0
104425,2,280,111,169,3,4,9,143,2,100,14,1,4,0,167,92,21,0
104443,2,17,1,16,0,0,4,2,0,7,1,3,0,1,6,10,0,0
104568,2,126,5,121,1,1,5,41,0,64,2,12,0,1,92,27,6,0
104577,2,84,22,62,10,0,0,33,1,32,3,2,3,4,54,21,5,0
104708,2,1121,433,688,8,47,69,423,3,485,45,35,6,1,684,367,69,0
105145,2,259,98,161,13,6,31,136,1,60,8,3,1,7,124,102,26,0
105154,2,1248,522,726,44,59,57,372,5,593,59,36,23,10,722,448,68,0
105206,2,221,65,156,8,3,1,49,0,145,9,4,2,1,83,90,47,0
105215,2,457,428,29,7,1,15,69,4,292,56,13,0,0,201,206,50,0
105297,2,10,1,9,10,0,0,0,0,0,0,0,0,0,2,6,2,0
105330,2,39,0,39,1,0,0,17,0,21,0,0,0,0,21,13,5,0
105349,2,98,36,62,15,0,0,15,0,65,1,2,0,9,46,32,11,0
105428,2,621,208,413,14,17,57,336,1,157,20,15,4,3,282,275,61,0
105525,2,1608,638,970,30,57,59,764,8,579,24,57,30,5,837,566,199,1
105534,2,307,23,284,8,7,11,208,0,60,12,0,1,0,200,95,12,0
105543,2,270,40,230,63,3,4,143,1,38,16,2,0,0,135,112,23,0
105659,2,371,356,15,44,5,41,138,3,126,3,11,0,0,146,182,43,0
105668,2,723,398,325,10,13,41,209,2,379,35,34,0,16,243,355,109,0
105747,2,446,183,263,19,12,16,97,2,266,22,8,4,3,265,149,29,0
105792,2,299,110,189,5,15,51,170,1,49,4,3,1,7,196,69,27,0
106041,2,253,238,15,15,1,3,39,4,73,14,104,0,1,170,78,4,0
106148,2,524,181,343,12,7,5,120,1,334,18,26,1,7,312,145,60,0
106245,2,18,4,14,0,2,5,0,0,9,1,1,0,0,9,5,4,0
106315,2,7,1,6,0,0,6,0,0,1,0,0,0,0,2,4,1,0
