UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON,EFDEEX1,EFDEEX2,EFDEEX3,EFDEEX4,EFDEEX5
107123,1,69,,,69,,,,,
107141,1,2326,424,460,1442,320,95,0,9,0
107220,1,230,,,230,,,,,
107293,1,67,,,67,,,,,
107318,1,979,223,179,577,205,18,0,0,0
107327,1,1502,1082,121,299,805,277,0,0,0
107442,1,28,,,28,,,,,
107460,1,1856,404,1186,266,397,6,0,1,0
107488,1,201,,,201,,,,,
107512,1,1784,48,220,1516,36,12,0,0,0
107521,1,1832,136,140,1556,134,2,0,0,0
107549,1,983,330,334,319,304,26,0,0,0
107558,1,784,3,397,384,0,0,0,3,0
107585,1,1888,248,636,1004,245,3,0,0,0
107600,1,769,21,485,263,13,8,0,0,0
107619,1,1234,122,242,870,122,0,0,0,0
107637,1,898,302,178,418,301,1,0,0,0
107655,1,27,,,27,,,,,
107664,1,4245,1889,1282,1074,1878,11,0,0,0
107725,1,1188,310,549,329,274,36,0,0,0
107743,1,679,121,385,173,117,4,0,0,0
107789,1,109,,,109,,,,,
107831,1,84,,,84,,,,,
107840,1,321,0,250,71,,,,,
107877,1,584,25,146,413,25,0,0,0,0
107974,1,1162,334,380,448,234,100,0,0,0
107983,1,5094,1513,2777,804,1319,168,1,25,0
107992,1,943,190,241,512,181,9,0,0,0
108065,1,14,,,14,,,,,
108092,1,5379,1004,2394,1981,889,114,0,1,0
108232,1,6786,3906,2308,572,972,2280,69,585,0
108269,1,111,,,111,,,,,
108667,1,5673,4608,640,425,4313,0,113,182,0
108807,1,10329,1336,2428,6565,1325,3,1,7,0
108852,1,220,,,220,,,,,
108861,1,88,0,87,1,,,,,
108870,1,423,0,46,377,,,,,
108977,1,234,,,234,,,,,
109040,1,1969,0,174,1795,,,,,
109208,1,27422,14286,4607,8529,14086,0,182,18,0
109350,1,11840,2375,3163,6302,2366,2,0,7,0
109651,1,2420,99,1761,560,74,7,1,11,6
109721,1,202,,,202,,,,,
109730,1,94,,,94,,,,,
109785,1,7169,1117,2338,3714,888,229,0,0,0
109819,1,26873,8214,7636,11023,8214,0,0,0,0
109907,1,2884,2424,372,88,2408,14,0,2,0
109934,1,398,0,131,267,,,,,
110060,1,264,232,18,14,170,14,5,42,1
110097,1,5387,935,1853,2599,515,324,0,96,0
110194,1,264,,,264,,,,,
110219,1,1767,1767,0,0,58,1709,0,0,0
110246,1,9362,2818,3646,2898,2766,0,28,24,0
110316,1,2145,1147,416,582,277,256,0,614,0
110334,1,9149,2552,2913,3684,2526,0,21,5,0
110361,1,11495,2766,3947,4782,2415,331,0,20,0
110370,1,1501,5,344,1152,2,0,3,0,0
110398,1,1193,32,437,724,26,4,2,0,0
110404,1,2401,,,2401,,,,,
110413,1,3615,157,264,3194,139,16,0,2,0
110422,1,22000,151,7938,13911,115,32,0,4,0
110468,1,3599,2104,584,911,1997,101,0,6,0
110486,1,9613,1893,5136,2584,1881,10,0,2,0
110495,1,10154,1419,5391,3344,1415,2,0,2,0
110510,1,19803,2087,12093,5623,2012,13,0,62,0
110529,1,27503,1366,15882,10255,1344,7,0,15,0
110538,1,14183,1703,8526,3954,1693,6,0,4,0
110547,1,16426,2367,7188,6871,2286,69,0,12,0
110556,1,23999,812,12144,11043,790,4,0,18,0
110565,1,40386,4122,19249,17015,4063,37,0,22,0
110574,1,13673,3715,6231,3727,3660,28,0,27,0
110583,1,38973,2307,19002,17664,2256,17,0,34,0
110592,1,26460,1227,10875,14358,1212,3,0,12,0
110608,1,37579,3333,18503,15743,3213,95,0,25,0
110617,1,31818,2262,17615,11941,2227,6,0,29,0
110635,1,45307,1622,8078,35607,823,596,0,202,1
110644,1,39679,353,1651,37675,325,22,0,6,0
110653,1,35937,2519,14897,18521,1418,411,0,675,15
110662,1,46430,607,4758,41065,489,98,0,20,0
110671,1,26809,145,4668,21996,134,0,0,0,11
110680,1,42006,48,3257,38701,24,3,0,21,0
110699,1,3140,21,1136,1983,18,0,0,0,3
110705,1,26420,10,2747,23663,10,0,0,0,0
110714,1,19478,98,4070,15310,81,3,0,13,1
110778,1,948,1,0,947,0,1,0,0,0
110875,1,55,,,55,,,,,
110918,1,13,6,3,4,6,0,0,0,0
111045,1,80,11,0,69,0,0,0,11,0
111054,1,144,,,144,,,,,
111081,1,1440,,,1440,,,,,
111188,1,849,33,210,606,29,4,0,0,0
111391,1,623,4,222,397,3,1,0,0,0
111434,1,5388,2702,1152,1534,2607,1,0,94,0
111461,1,18075,7885,5418,4772,7769,0,91,25,0
111513,1,205,,,205,,,,,
111638,1,415,0,415,0,,,,,
111708,1,196,,,196,,,,,
111717,1,183,,,183,,,,,
111726,1,148,,,148,,,,,
111744,1,96,,,96,,,,,
111762,1,103,,,103,,,,,
111799,1,157,,,157,,,,,
111887,1,19469,7185,6063,6221,7103,0,34,48,0
111896,1,4919,2590,840,1489,2583,7,0,0,0
111920,1,10736,4382,3165,3189,4286,5,44,47,0
111939,1,19238,12508,4702,2028,12063,0,445,0,0
111948,1,10014,0,204,9810,,,,,
111966,1,777,0,314,463,,,,,
112075,1,3744,1459,921,1364,776,669,0,14,0
112084,1,355,66,263,26,57,9,0,0,0
112127,1,64,8,34,22,0,6,2,0,0
112172,1,9975,3093,3280,3602,2987,3,0,103,0
112181,1,143,,,143,,,,,
112190,1,16134,3434,4662,8038,3418,3,3,10,0
112251,1,1903,221,770,912,177,32,0,12,0
112260,1,1389,,,1389,,,,,
112288,1,489,,,489,,,,,
112367,1,210,,,210,,,,,
112385,1,8077,7382,198,497,6997,218,37,130,0
112394,1,390,123,248,19,110,12,0,1,0
112455,1,111,0,0,111,,,,,
112525,1,3724,18,141,3565,15,3,0,0,0
112561,1,2349,711,1007,631,690,0,21,0,0
112570,1,291,23,0,268,0,23,0,0,0
112686,1,4082,1397,843,1842,1384,5,1,7,0
112826,1,5832,3230,1522,1080,3134,0,80,16,0
113096,1,13294,8183,3335,1776,8105,0,64,14,0
113111,1,5113,1823,1645,1645,1769,0,54,0,0
113193,1,9908,3285,3000,3623,3223,2,52,8,0
113218,1,8043,4803,1714,1526,4740,0,51,12,0
113236,1,13523,2829,4531,6163,2827,0,2,0,0
113333,1,16335,9105,5217,2013,8605,22,154,324,0
113449,1,186,,,186,,,,,
113537,1,8,,,8,,,,,
113573,1,10382,4078,3568,2736,4051,7,9,11,0
113582,1,101,5,79,17,5,0,0,0,0
113634,1,16097,6735,5949,3413,6358,0,277,100,0
113698,1,1877,271,555,1051,25,16,10,220,0
113704,1,62,0,0,62,,,,,
113856,1,27855,10641,5174,12040,10388,0,143,110,0
113980,1,19944,6926,6495,6523,6713,0,175,38,0
114114,1,198,,,198,,,,,
114123,1,78,,,78,,,,,
114266,1,7952,3057,2649,2246,3012,4,16,25,0
114354,1,1814,31,1396,387,22,8,0,1,0
114433,1,1383,536,249,598,535,1,0,0,0
114460,1,293,,,293,,,,,
114549,1,1000,169,797,34,38,124,0,7,0
114585,1,335,57,278,0,12,43,0,1,1
114637,1,78,,,78,,,,,
114716,1,12434,6530,2346,3558,6103,101,137,189,0
114734,1,66,28,0,38,9,17,0,2,0
114761,1,72,,,72,,,,,
114789,1,22609,7398,5496,9715,7239,0,148,11,0
114813,1,3032,446,1093,1493,428,14,4,0,0
114840,1,2089,1315,275,499,342,712,0,261,0
114859,1,18370,6010,5902,6458,5997,8,5,0,0
114938,1,4561,2067,1165,1329,2067,0,0,0,0
114947,1,154,,,154,,,,,
115001,1,10658,3429,4032,3197,3287,0,102,40,0
115010,1,661,0,661,0,,,,,
115083,1,2661,769,958,934,213,77,1,477,1
115126,1,10053,4090,3146,2817,3972,14,6,98,0
115214,1,172,10,15,147,7,3,0,0,0
115296,1,12862,5068,3771,4023,4965,0,75,28,0
115357,1,171,,,171,,,,,
115393,1,8892,1693,3176,4023,1672,0,13,8,0
115409,1,922,,,922,,,,,
115658,1,102,,,102,,,,,
115728,1,959,224,558,177,194,16,3,9,2
115746,1,851,,,851,,,,,
115755,1,6025,627,3301,2097,615,11,0,1,0
115773,1,393,340,0,53,339,1,0,0,0
115861,1,7747,2089,3631,2027,1973,0,116,0,0
115931,1,614,0,21,593,,,,,
116226,1,96,,,96,,,,,
116350,1,116,,,116,,,,,
116439,1,10464,4411,3972,2081,4259,0,81,71,0
116563,1,187,0,71,116,,,,,
116846,1,108,39,2,67,36,2,0,1,0
117052,1,7086,2343,1923,2820,2272,0,67,4,0
117104,1,500,198,156,146,95,100,3,0,0
117140,1,5662,1369,1945,2348,1325,26,0,18,0
117168,1,760,0,492,268,,,,,
117195,1,2519,1171,348,1000,1093,22,53,3,0
117238,1,66,,,66,,,,,
117247,1,9653,4563,2116,2974,4257,0,152,154,0
117274,1,1694,730,315,649,724,0,6,0,0
117283,1,45,17,26,2,13,4,0,0,0
117520,1,587,14,500,73,7,7,0,0,0
117557,1,377,,,377,,,,,
117575,1,153,74,12,67,41,32,0,1,0
117627,1,1614,36,0,1578,34,2,0,0,0
117636,1,4280,544,941,2795,449,82,0,13,0
117645,1,22402,8050,8260,6092,7884,0,162,4,0
117672,1,1636,538,960,138,283,244,3,8,0
117690,1,7384,4906,1479,999,4707,0,154,45,0
117706,1,15372,7932,4362,3078,7704,0,143,85,0
117715,1,4913,3732,621,560,3558,0,144,30,0
117724,1,10377,3738,2115,4524,3668,0,38,32,0
117733,1,15037,8744,3173,3120,8620,0,64,60,0
117751,1,2606,658,238,1710,305,322,2,29,0
117788,1,13199,7516,2781,2902,7180,0,169,167,0
117803,1,195,,,195,,,,,
117867,1,9283,5367,1918,1998,5237,0,75,55,0
117894,1,7791,3755,2690,1346,3642,0,100,13,0
117946,1,10165,635,1764,7766,572,59,2,2,0
117955,1,263,0,251,12,,,,,
118134,1,90,,,90,,,,,
118143,1,88,,,88,,,,,
118161,1,117,,,117,,,,,
118198,1,952,242,538,172,242,0,0,0,0
118347,1,4283,542,934,2807,539,1,2,0,0
118684,1,3554,1293,897,1364,1266,0,15,12,0
118693,1,800,,,800,,,,,
118718,1,10214,4418,3469,2327,4346,0,69,3,0
118772,1,6514,4379,1208,927,4122,0,156,101,0
118912,1,10860,6118,3694,1048,5930,0,140,48,0
118930,1,5747,2203,1636,1908,2170,7,0,26,0
118958,1,63,,,63,,,,,
118976,1,16224,5029,8184,3011,4934,0,89,6,0
118994,1,398,,,398,,,,,
119058,1,657,184,358,115,66,82,0,28,8
119067,1,6514,1932,2089,2493,1887,0,39,6,0
119137,1,12484,6285,4281,1918,6267,3,15,0,0
119164,1,26256,6419,8245,11592,6378,3,7,31,0
119173,1,2440,174,1427,839,153,20,0,0,1
119216,1,15153,229,2104,12820,221,0,4,4,0
119270,1,864,153,22,689,41,85,0,26,1
119331,1,4041,1848,1362,831,1822,0,26,0,0
119553,1,1198,192,1006,0,99,89,0,4,0
119605,1,18631,11757,764,6110,9337,2380,2,35,3
119678,1,2670,1225,0,1445,239,887,0,85,14
119775,1,294,13,45,236,11,2,0,0,0
119951,1,193,,,193,,,,,
120069,1,333,0,333,0,,,,,
120078,1,625,0,625,0,,,,,
120087,1,231,0,231,0,,,,,
120166,1,164,10,53,101,5,0,0,5,0
120184,1,201,7,29,165,7,0,0,0,0
120254,1,1942,,,1942,,,,,
120290,1,8358,2746,2629,2983,2610,0,93,43,0
120342,1,16614,2668,6494,7452,2591,23,5,49,0
120403,1,1312,0,1312,0,,,,,
120421,1,6339,3400,1889,1050,2971,404,6,0,19
120537,1,1116,514,241,361,416,95,0,3,0
120661,1,730,0,730,0,,,,,
120698,1,1129,493,1,635,358,123,0,12,0
120768,1,1068,713,139,216,696,17,0,0,0
120795,1,109,0,109,0,,,,,
120838,1,17,,,17,,,,,
120865,1,870,30,592,248,29,1,0,0,0
120883,1,6277,30,0,6247,25,4,1,0,0
120953,1,4639,2346,281,2012,2287,0,15,44,0
120971,1,17655,5669,5677,6309,5594,0,75,0,0
121044,1,21923,6394,6299,9230,6337,8,5,44,0
121150,1,10030,3100,1078,5852,2055,1004,1,40,0
121257,1,1212,,,1212,,,,,
121275,1,69,,,69,,,,,
121309,1,4319,537,1262,2520,520,17,0,0,0
121345,1,1716,,,1716,,,,,
121363,1,4113,1383,1573,1157,1381,1,1,0,0
121433,1,119,,,119,,,,,
121619,1,23852,7105,5045,11702,6874,0,163,68,0
121628,1,126,1,22,103,1,0,0,0,0
121637,1,119,,,119,,,,,
121691,1,3460,253,352,2855,202,42,0,8,1
121707,1,4006,1313,982,1711,1309,2,1,1,0
121859,1,253,,,253,,,,,
121868,1,236,,,236,,,,,
121886,1,16139,2698,3824,9617,2694,1,0,3,0
121901,1,19147,7555,5162,6430,7467,0,68,20,0
122117,1,94,,,94,,,,,
122180,1,17719,11866,3525,2328,11718,0,124,24,0
122205,1,16660,8842,4827,2991,8577,0,107,158,0
122296,1,1911,343,0,1568,327,16,0,0,0
122339,1,12144,5901,2365,3878,5865,29,0,7,0
122375,1,18076,7902,4852,5322,7860,36,0,6,0
122384,1,13062,5338,2093,5631,5313,20,0,5,0
122409,1,37402,1456,19356,16590,1367,45,0,44,0
122436,1,8815,970,0,7845,649,277,0,39,5
122506,1,437,,,437,,,,,
122597,1,25282,3034,14727,7521,2905,32,0,97,0
122612,1,9688,520,731,8437,362,102,0,56,0
122649,1,145,2,77,66,2,0,0,0,0
122658,1,16168,9100,6046,1022,8586,0,514,0,0
122685,1,2265,1436,142,687,1348,88,0,0,0
122694,1,831,0,207,624,,,,,
122728,1,1624,467,479,678,287,172,0,8,0
122746,1,7561,3138,2214,2209,3087,2,15,34,0
122755,1,35751,5790,19698,10263,4613,842,0,335,0
122791,1,7512,1781,2268,3463,1730,0,0,51,0
122889,1,12675,4199,4900,3576,3982,0,155,62,0
122931,1,9178,399,0,8779,322,38,6,24,9
122977,1,22375,10229,7876,4270,9276,0,690,263,0
123013,1,15552,5638,4987,4927,5557,0,57,24,0
123095,1,1013,361,652,0,93,261,0,7,0
123165,1,1099,,,1099,,,,,
123217,1,13170,3022,4650,5498,3019,3,0,0,0
123280,1,33,18,8,7,11,5,0,2,0
123299,1,7363,3402,2111,1850,3216,0,184,2,0
123341,1,15766,6692,4909,4165,6681,9,1,1,0
123350,1,157,,,157,,,,,
123448,1,382,296,54,32,140,155,0,1,0
123457,1,874,161,415,298,124,15,0,22,0
123484,1,1204,519,326,359,514,4,1,0,0
123493,1,98,,,98,,,,,
123509,1,8523,2561,1919,4043,2492,1,0,68,0
123527,1,10767,5452,3074,2241,5380,62,0,9,1
123554,1,2765,56,30,2679,36,19,0,1,0
123563,1,8426,4423,2503,1500,4411,3,0,9,0
123572,1,6637,384,3678,2575,372,10,0,2,0
123633,1,188,0,188,0,,,,,
123642,1,237,,,237,,,,,
123651,1,2256,259,1103,894,198,61,0,0,0
123679,1,803,0,803,0,,,,,
123800,1,16530,4283,5866,6381,4088,0,195,0,0
123916,1,85,85,,,27,54,0,3,1
123943,1,685,5,21,659,0,0,0,5,0
123952,1,507,,,507,,,,,
123961,1,48945,6276,10206,32463,4187,1858,0,190,41
123970,1,927,26,470,431,22,4,0,0,0
124113,1,4508,1042,654,2812,1042,0,0,0,0
124283,1,196,0,118,78,,,,,
124292,1,516,,,516,,,,,
124487,1,114,33,41,40,24,6,0,3,0
124681,1,1173,,,1173,,,,,
124706,1,825,0,825,0,,,,,
124937,1,676,0,676,0,,,,,
125028,1,10559,6130,3140,1289,6107,8,15,0,0
125037,1,255,17,150,88,12,5,0,0,0
125082,1,86,,,86,,,,,
125091,1,12648,3508,3865,5275,3404,0,104,0,0
125170,1,6122,3417,1137,1568,3156,0,139,122,0
125231,1,42312,42312,,,925,39880,1447,60,0
125310,1,42,,,42,,,,,
125462,1,3061,1378,663,1020,1327,0,48,3,0
125471,1,8656,6181,1190,1285,5998,0,103,80,0
125499,1,6513,2775,2083,1655,2766,2,0,7,0
125532,1,1837,853,384,600,379,471,0,0,3
125718,1,101,,,101,,,,,
125727,1,1284,0,7,1277,,,,,
125763,1,1192,7,299,886,7,0,0,0,0
125897,1,943,3,315,625,3,0,0,0,0
126012,1,520,,,520,,,,,
126049,1,271,4,0,267,0,4,0,0,0
126076,1,142,,,142,,,,,
126119,1,5401,0,0,5401,,,,,
126182,1,2854,901,752,1201,391,510,0,0,0
126207,1,7178,1167,1466,4545,1153,14,0,0,0
126289,1,12636,2170,1565,8901,1837,326,0,0,7
126359,1,205,,,205,,,,,
126562,1,23744,4713,7360,11671,3719,944,1,47,2
126580,1,11431,1832,4887,4712,1572,221,4,4,31
126605,1,284,0,275,9,,,,,
126614,1,39585,3156,10627,25802,1194,1570,3,387,2
126669,1,8964,5248,418,3298,1351,3873,1,23,0
126678,1,2203,,,2203,,,,,
126687,1,731,0,731,0,,,,,
126711,1,5184,455,808,3921,94,361,0,0,0
126748,1,1179,173,169,837,158,14,0,1,0
126775,1,7403,199,544,6660,73,68,2,55,1
126784,1,130,,,130,,,,,
126818,1,33403,3726,7393,22284,1735,1782,207,2,0
126827,1,24808,24674,109,25,2095,22547,16,16,0
126863,1,8343,1103,748,6492,1077,25,0,1,0
126915,1,261,0,26,235,,,,,
126942,1,7292,1905,1413,3974,1811,73,0,2,19
126951,1,1155,,,1155,,,,,
126979,1,874,317,482,75,109,174,0,34,0
127060,1,13734,3134,1865,8735,1026,2035,48,25,0
127158,1,5313,0,16,5297,,,,,
127185,1,3400,152,1126,2122,94,57,0,0,1
127200,1,19449,3842,2526,13081,3718,116,0,8,0
127273,1,185,9,28,148,0,5,4,0,0
127316,1,313,,,313,,,,,
127389,1,668,48,108,512,43,5,0,0,0
127556,1,8905,666,3184,5055,579,84,0,3,0
127565,1,16995,4246,8121,4628,4021,176,49,0,0
127617,1,1462,136,378,948,136,0,0,0,0
127653,1,1065,328,108,629,88,237,0,3,0
127714,1,566,566,,,26,525,0,15,0
127732,1,1446,141,175,1130,138,3,0,0,0
127741,1,9380,1594,3314,4472,1043,532,1,18,0
127778,1,999,81,223,695,78,2,0,0,1
127820,1,11899,3480,2685,5734,3327,141,0,12,0
127884,1,6481,1252,844,4385,1213,36,0,0,3
127909,1,6470,1551,1016,3903,1499,49,0,3,0
127918,1,4668,1165,1635,1868,776,372,2,15,0
127945,1,2050,1407,643,0,258,1143,0,6,0
127954,1,45,,,45,,,,,
128106,1,6617,820,1698,4099,370,442,0,2,6
128151,1,960,,,960,,,,,
128179,1,691,,,691,,,,,
128188,1,1105,,,1105,,,,,
128258,1,1505,202,266,1037,188,14,0,0,0
128328,1,4085,,,4085,,,,,
128337,1,81,,,81,,,,,
128391,1,3548,890,560,2098,796,83,0,4,7
128498,1,1275,451,410,414,404,46,0,1,0
128577,1,1264,323,370,571,297,25,1,0,0
128586,1,60,,,60,,,,,
128744,1,3988,1000,1658,1330,595,405,0,0,0
128771,1,9468,356,1604,7508,321,32,0,3,0
128780,1,1602,1602,,,1404,195,0,3,0
128896,1,202,,,202,,,,,
128902,1,1948,0,0,1948,,,,,
129002,1,426,0,337,89,,,,,
129020,1,27003,1436,7061,18506,974,414,0,48,0
129154,1,3158,1614,895,649,1447,165,0,2,0
129181,1,973,,,973,,,,,
129215,1,4082,77,310,3695,71,6,0,0,0
129242,1,6019,176,1067,4776,117,57,0,2,0
129349,1,161,,,161,,,,,
129367,1,2395,433,1171,791,428,5,0,0,0
129428,1,115,115,,,41,73,1,0,0
129482,1,369,0,280,89,,,,,
129491,1,92,49,28,15,10,37,0,1,1
129525,1,5732,1054,432,4246,598,404,14,38,0
129534,1,719,566,63,90,37,452,0,44,33
129543,1,3364,905,1012,1447,891,12,2,0,0
129695,1,4164,1047,1345,1772,1037,10,0,0,0
129729,1,4554,799,1504,2251,791,8,0,0,0
129756,1,1880,466,827,587,463,3,0,0,0
129774,1,539,0,11,528,,,,,
129808,1,2937,622,893,1422,597,22,0,0,3
129923,1,638,,,638,,,,,
129932,1,314,,,314,,,,,
129941,1,8819,1035,4668,3116,439,567,0,29,0
130004,1,4069,616,1385,2068,604,12,0,0,0
130040,1,1149,438,541,170,427,11,0,0,0
130110,1,221,,,221,,,,,
130174,1,2146,96,1293,757,71,25,0,0,0
130183,1,17034,15984,304,746,1954,14028,0,2,0
130217,1,1195,266,337,592,258,6,0,0,2
130226,1,8788,746,2674,5368,436,309,0,1,0
130253,1,10721,1221,3268,6232,803,415,0,3,0
130314,1,1992,206,451,1335,72,134,0,0,0
130396,1,5578,1528,1982,2068,1519,9,0,0,0
130493,1,8889,993,3824,4072,931,62,0,0,0
130590,1,2205,0,125,2080,,,,,
130606,1,3267,993,1141,1133,987,6,0,0,0
130624,1,1037,,,1037,,,,,
130697,1,3253,59,35,3159,16,43,0,0,0
130776,1,4417,397,1872,2148,308,86,0,3,0
130794,1,14776,74,86,14616,3,71,0,0,0
130837,1,51,,,51,,,,,
130873,1,308,0,168,140,,,,,
130907,1,11726,3977,4288,3461,3754,223,0,0,0
130934,1,5826,655,3814,1357,164,290,200,1,0
130943,1,24039,1793,8880,13366,1092,615,0,70,16
130989,1,1012,269,460,283,112,157,0,0,0
131061,1,185,,,185,,,,,
131113,1,14020,10492,1808,1720,3892,6503,0,15,82
131159,1,13885,1516,2507,9862,137,1077,8,60,234
131283,1,4968,392,654,3922,93,265,0,34,0
131399,1,3577,13,1003,2561,12,1,0,0,0
131405,1,73,,,73,,,,,
131450,1,1322,131,389,802,21,107,2,1,0
131469,1,25939,4979,1570,19390,275,4505,0,22,177
