UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON,EFDEEX1,EFDEEX2,EFDEEX3,EFDEEX4,EFDEEX5
100654,1,6007,429,3269,2309,284,57,37,0,51
100663,1,21639,5984,8687,6968,4199,1762,0,23,0
100690,1,647,647,,,308,339,0,0,0
100706,1,9237,1177,4507,3553,953,210,11,3,0
100724,1,3828,420,2413,995,325,86,7,0,2
100751,1,38644,5820,10220,22604,3363,2376,40,41,0
100760,1,1777,392,596,789,392,0,0,0,0
100812,1,2894,1832,843,219,1684,144,0,4,0
100830,1,5109,993,2098,2018,982,10,0,1,0
100858,1,31764,3101,10493,18170,1470,1600,6,1,24
100937,1,975,0,0,975,,,,,
101028,1,1641,250,465,926,188,62,0,0,0
101116,1,361,198,55,108,194,4,0,0,0
101143,1,2010,568,605,837,546,22,0,0,0
101161,1,6800,1789,2016,2995,1749,40,0,0,0
101189,1,2817,1137,354,1326,811,326,0,0,0
101240,1,4352,1155,1696,1501,1126,29,0,0,0
101277,1,45,,,45,,,,,
101286,1,3832,637,1006,2189,589,47,1,0,0
101295,1,5965,1172,1789,3004,1161,10,1,0,0
101301,1,1860,874,310,676,867,7,0,0,0
101365,1,578,197,108,273,182,15,0,0,0
101435,1,817,0,280,537,,,,,
101453,1,143,110,17,16,26,79,0,5,0
101462,1,976,100,379,497,98,2,0,0,0
101471,1,768,,,768,,,,,
101480,1,9632,2087,4484,3061,1971,116,0,0,0
101505,1,8431,3008,1988,3435,2963,44,1,0,0
101514,1,8163,2949,2299,2915,2903,45,0,0,1
101569,1,2919,604,995,1320,598,6,0,0,0
101587,1,5860,4362,477,1021,3588,758,0,16,0
101602,1,1929,496,143,1290,481,15,0,0,0
101648,1,320,0,126,194,,,,,
101675,1,1258,109,95,1054,81,24,0,0,4
101693,1,1804,84,313,1407,46,33,0,1,4
101709,1,2586,193,1078,1315,188,5,0,0,0
101736,1,4032,614,912,2506,607,7,0,0,0
101879,1,9830,3346,3408,3076,2285,976,11,74,0
101897,1,2590,807,1086,697,796,11,0,0,0
101912,1,1470,109,569,792,50,33,4,22,0
101994,1,434,17,175,242,16,1,0,0,0
102030,1,2968,368,702,1898,359,9,0,0,0
102049,1,5682,218,800,4664,148,69,0,1,0
102058,1,50,35,11,4,29,6,0,0,0
102067,1,4166,1315,1446,1405,1262,53,0,0,0
102076,1,2507,1324,808,375,1201,123,0,0,0
102094,1,13438,3953,4150,5335,1166,2771,0,16,0
102234,1,1046,128,411,507,67,59,0,2,0
102270,1,744,223,480,41,211,12,0,0,0
102298,1,903,266,521,116,92,100,0,67,7
102313,1,1984,648,622,714,642,6,0,0,0
102368,1,14156,7151,2194,4811,3707,3183,0,260,1
102377,1,2570,2,0,2568,2,0,0,0,0
102395,1,240,240,,,21,206,0,13,0
102429,1,3703,855,840,2008,828,27,0,0,0
102553,1,10464,4040,3934,2490,3803,209,6,0,22
102580,1,39,0,0,39,,,,,
102614,1,6607,3183,1905,1519,2678,481,9,3,12
102632,1,1923,984,349,590,907,74,0,3,0
102669,1,595,18,82,495,17,0,1,0,0
102711,1,202,,,202,,,,,
102845,1,2117,578,1539,0,265,313,0,0,0
103501,1,268,,,268,,,,,
103741,1,184,,,184,,,,,
103893,1,1048,201,237,610,150,51,0,0,0
103909,1,532,0,124,408,,,,,
103927,1,446,0,97,349,,,,,
103954,1,34,,,34,,,,,
103963,1,411,0,2,409,,,,,
104090,1,888,259,563,66,151,108,0,0,0
104151,1,80065,4395,40613,35057,3902,393,0,91,9
104160,1,8050,2580,2418,3052,2436,131,0,2,11
104179,1,49403,9617,19965,19821,4101,5219,0,294,3
104346,1,4652,568,3174,910,536,23,9,0,0
104391,1,85,,,85,,,,,
104425,1,3797,1191,1134,1472,782,404,0,1,4
104443,1,60,,,60,,,,,
104568,1,383,0,383,0,,,,,
104577,1,4864,456,727,3681,444,12,0,0,0
104586,1,3162,19,259,2884,13,6,0,0,0
104665,1,6,,,6,,,,,
104708,1,13342,603,974,11765,599,1,0,0,3
104717,1,101816,77293,14264,10259,12739,64224,2,328,0
105145,1,4699,1305,1214,2180,1286,6,0,1,12
105154,1,15772,3977,4381,7414,3829,110,0,3,35
105206,1,4038,1046,1019,1973,922,124,0,0,0
105215,1,658,,,658,,,,,
105297,1,1552,1255,284,13,986,269,0,0,0
105330,1,28086,5570,9723,12793,2854,892,0,113,1711
105349,1,2740,923,494,1323,918,5,0,0,0
105428,1,9649,2579,2658,4412,2539,16,0,1,23
105525,1,15293,4610,3262,7421,4042,500,0,0,68
105534,1,2589,1706,122,761,308,1366,0,10,22
105543,1,690,49,167,474,48,1,0,0,0
105589,1,969,781,0,188,218,535,0,16,12
105659,1,1006,0,66,940,,,,,
105668,1,17078,6355,465,10258,5691,575,0,23,66
105677,1,27,,,27,,,,,
105747,1,7065,1738,1953,3374,1712,12,0,1,13
105792,1,3706,1156,1101,1449,1144,5,0,0,7
105899,1,1082,155,25,902,99,54,0,2,0
106041,1,1972,,,1972,,,,,
106148,1,6997,2039,1152,3806,1936,100,3,0,0
106245,1,8197,3223,2265,2709,2957,261,0,5,0
106263,1,3240,1017,512,1711,258,752,0,7,0
106306,1,497,,,497,,,,,
106315,1,98,,,98,,,,,
106324,1,29,,,29,,,,,
106342,1,496,0,17,479,,,,,
106351,1,60,,,60,,,,,
106360,1,16,,,16,,,,,
106397,1,30936,3361,7673,19902,1825,1481,0,55,0
106412,1,2387,233,1613,541,187,45,0,1,0
106449,1,2928,646,831,1451,642,4,0,0,0
106458,1,13190,5823,2988,4379,3139,2628,0,56,0
106467,1,9445,2602,2828,4015,2484,78,0,40,0
106485,1,2719,702,1037,980,654,48,0,0,0
106494,1,37,,,37,,,,,
106546,1,549,0,6,543,,,,,
106625,1,1566,417,521,628,407,10,0,0,0
106704,1,9913,1446,3612,4855,1233,197,0,16,0
106713,1,564,46,173,345,41,4,0,1,0
106795,1,1278,310,630,338,297,12,0,0,1
106810,1,201,24,157,20,20,4,0,0,0
106883,1,1179,422,204,553,418,4,0,0,0
106908,1,358,,,358,,,,,
106980,1,2340,566,829,945,554,12,0,0,0
106999,1,1008,238,438,332,238,0,0,0,0
107044,1,4805,819,694,3292,457,334,10,18,0
107071,1,2519,790,1429,300,713,63,14,0,0
107080,1,1144,,,1144,,,,,
107099,1,90,,,90,,,,,
