UNITID,F3A01,F3A01A,F3A01B,F3A01C,F3A02,F3A02A,F3A03,F3A04,F3A05,F3A06,F3A07,F3A08,F3A09,F3A10,F3A11,F3A12,F3B01,F3B02,F3B03,F3B04,F3B05,F3B06,F3B07,F3B08,F3C01,F3C02,F3C03,F3C03A,F3C03B,F3C04,F3C05,F3C06,F3C07,F3C08,F3C12,F3C121,F3C122,F3C13,F3C131,F3C132,F3C14,F3C141,F3C142,F3C15,F3C151,F3C152,F3C16,F3C161,F3C162,F3C17,F3C171,F3C172,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D03D,F3D04,F3D05,F3D06,F3D07,F3D12,F3D08,F3D09,F3E011,F3E012,F3E02A1,F3E02A2,F3E02B1,F3E02B2,F3E03A1,F3E03A2,F3E03B1,F3E03B2,F3E03C1,F3E03C2,F3E041,F3E042,F3E051,F3E101,F3E102,F3E061,F3E062,F3E071,F3E072,F3E073,F3E074,F3E075,F3E076,F3E077,F3F01,F3F02,F3F03,F3G01,F3G02,F3G03,F3G04,F3G05,F3G06,F3G07
101116,2561080,0,1037029,0,342122,0,2218958,2561080,0,1231560,411680,0,134740,1777980,740951,1037029,5631817,6343914,0,-712097,931434,1999615,6,2218958,1034552,1134195,131492,131492,0,522667,2822906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3146407,2168747,0,2168747,131492,0,131492,0,0,0,0,0,185171,0,0,5631817,2295858,2085449,0,0,0,0,171284,112547,789482,54250,3087063,268322,0,0,0,0,0,227,0,6343914,2520568,135710,1497962,316006,0,1873668,0,0,3,-712097,5631817,2218958,2561080,1181929,0,6343914
101277,,,,,,,,,,,,,,,,,,,,,,,,,399765,0,0,0,0,0,399765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617688,0,0,0,0,0,0,0,0,0,0,64098,,,0,681786,213546,141920,0,0,0,0,7175,7175,17924,17924,233823,113180,,,0,,,0,0,472468,280199,7900,114733,4176,0,65460,,,-2,,,,,,,
102845,43333926,0,1405177,2083915,3789973,0,39543953,43333926,0,9170968,7553145,0,0,16724113,15318936,1405177,37887588,36995996,-336097,555495,0,38988459,-1,39543953,10079365,2817801,1406496,927860,478636,5753768,20057430,5753768,0,5753768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5753768,5753768,0,37741374,0,0,0,0,0,0,0,0,0,146214,0,0,0,0,37887588,14145902,6587212,0,0,0,0,2622520,1909162,14053024,6135563,4687054,2980799,0,0,0,0,0,1487496,85773,36995996,17698509,3232580,5084513,1111656,0,9868738,0,0,1,555495,37887588,39543953,43333926,36054861,0,36995996
103501,6184130,2095337,2447591,0,2968738,568838,3215392,6184130,450000,2775507,638339,0,971752,4835598,2388007,2447591,4488529,4249674,0,238855,0,3241935,-265398,3215392,1233433,465295,721856,721856,0,5100,2425684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4268480,0,0,0,0,0,0,0,0,0,122987,97062,0,,0,4488529,1801903,861852,0,0,0,0,2277631,1074473,170140,154931,0,0,0,0,0,,,0,0,4249674,2091256,48284,36572,0,0,2073562,,,-2,0,4488529,3215392,6184130,767801,568838,4249674
103741,,,,,,,,,,,,,,,,,,,,,,,,,655482,138956,11234,11234,0,40694,846366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450445,0,0,0,0,0,0,0,0,0,0,66356,,,149845,1666646,984339,334398,0,0,0,0,0,0,48696,42882,123714,69077,,,0,,,0,0,1156749,446357,60523,375155,9183,0,265531,,,-2,,,,,,,
103893,,,,,,,,,,,,,,,,,,,,,,,,,3505405,91789,0,0,0,0,3597194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9798436,3597194,0,3597194,0,0,0,0,0,0,0,0,0,,159320,13554950,4849174,2982881,0,0,0,0,239111,147194,3164454,1042101,4734879,947190,0,0,0,,,1,0,12987619,5119366,465040,546338,233955,289,6622631,,,-2,,,,,,,
103909,,,,,,,,,,,,,,,,,,,,,,,,,1749862,73250,0,0,0,0,1823112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7781895,1823112,0,1823112,0,0,0,0,0,0,0,0,0,,114236,9719243,4010881,2798624,0,0,0,0,125968,90190,1749077,721349,3846740,932440,0,0,0,,,0,0,9732666,4542603,377888,438745,211929,239,4161262,,,-2,,,,,,,
103927,,,,,,,,,,,,,,,,,,,,,,,,,1343820,63914,0,0,0,0,1407734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3876221,1407734,0,1407734,0,0,0,0,0,0,0,0,0,,62843,5346798,1797006,1179038,0,0,0,0,166956,87431,1305337,431018,2306323,597122,0,0,0,,,0,0,5575622,2294609,214574,116724,306450,148,2643117,,,-2,,,,,,,
103954,,,,,,,,,,,,,,,,,,,,,,,,,151508,25749,0,0,0,0,177257,2500,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,0,428725,0,0,0,0,0,0,0,0,0,380,33412,,,0,462517,58545,58545,0,0,0,0,0,0,38632,38632,215012,126468,,,0,,,0,0,312189,223645,0,44065,0,380,44099,,,-2,,,,,,,
103963,,,,,,,,,,,,,,,,,,,,,,,,,1319620,13700,0,0,0,0,1333320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6898677,120739,0,120739,0,0,0,0,0,0,0,0,,,4499,7023915,3148531,1535126,0,0,0,0,518620,353652,385021,245066,571323,383310,,,0,,,2143240,0,6766735,2517154,484848,739703,66218,0,2958812,,,-2,,,,,,,
