UNITID,F3A01,F3A01A,F3A01B,F3A01C,F3A02,F3A02A,F3A03,F3A04,F3A05,F3A06,F3A07,F3A08,F3A09,F3A10,F3A11,F3A12,F3B01,F3B02,F3B03,F3B04,F3B05,F3B06,F3B07,F3B08,F3C01,F3C02,F3C03,F3C03A,F3C03B,F3C04,F3C05,F3C06,F3C07,F3C08,F3C12,F3C121,F3C122,F3C13,F3C131,F3C132,F3C14,F3C141,F3C142,F3C15,F3C151,F3C152,F3C16,F3C161,F3C162,F3C17,F3C171,F3C172,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D03D,F3D04,F3D05,F3D06,F3D07,F3D12,F3D08,F3D09,F3E011,F3E012,F3E02A1,F3E02A2,F3E02B1,F3E02B2,F3E03A1,F3E03A2,F3E03B1,F3E03B2,F3E03C1,F3E03C2,F3E041,F3E042,F3E051,F3E101,F3E102,F3E061,F3E062,F3E071,F3E072,F3E073,F3E074,F3E075,F3E076,F3E077,F3F01,F3F02,F3F03,F3G01,F3G02,F3G03,F3G04,F3G05,F3G06,F3G07
104090,27162079,0,6295919,1500496,25076944,0,2085135,27162079,0,0,27304477,221062,0,27525539,21229620,6295919,45496680,36291800,0,9204880,2473456,7317469,-16910670,2085135,12459320,1929901,871971,541032,330939,1042425,16303617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45496680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45496680,10313198,9796396,0,0,0,0,8299287,2587995,5670311,5478150,1396722,0,0,0,0,0,0,10612282,1303581,36291800,19166122,1999138,3498078,1089199,5572,10533691,250,0,1,9205130,45496680,2085135,27162079,-5711280,0,36291800
104391,,,,,,,,,,,,,,,,,,,,,,,,,234801,0,0,0,0,0,234801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430437,0,0,0,0,0,0,0,0,0,0,27917,,,79604,537958,462545,219084,0,0,0,0,0,0,0,0,0,0,,,0,,,70582,0,533127,219084,0,70582,12692,13263,217506,,,-2,,,,,,,
104443,,,,,,,,,,,,,,,,,,,,,,,,,182037,32151,4697,4697,0,12269,231154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434612,0,0,0,0,0,0,0,0,0,0,30103,,,21864,486579,444381,149319,0,0,0,0,0,0,56923,49238,130067,80542,,,0,,,0,0,631371,279099,43563,192892,875,0,114942,,,-2,,,,,,,
104568,,,,,,,,,,,,,,,,,,,,,,,,,1151352,0,0,0,0,0,1151352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4254940,0,0,0,0,0,0,0,0,0,0,173001,,,7797,4435738,2069227,609007,0,0,0,0,0,0,604238,175796,814103,351399,,,0,,,0,0,3487568,1136202,138196,50130,25689,0,2137351,,,-2,,,,,,,
104717,1831364701,0,1296295195,101500000,1388212238,1160764000,443152463,1831364701,147664690,1104326538,83004626,97640277,2037350,1434673481,138378286,1296295195,1277926000,1245514311,0,32411689,0,410740774,0,443152463,176685081,26936203,180591,180591,0,308323000,512124875,308323000,0,308323000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308323000,308323000,0,1079170790,10228638,0,10228638,0,0,0,0,0,0,429876,167532967,10076967,0,10486762,1277926000,221786406,136548442,785418,386664,6103938,4748975,130997014,37538559,460538289,307964184,378444089,64155957,46859157,8550957,0,0,0,0,0,1245514311,559893738,70575986,64977374,65147103,57666439,427253671,0,0,3,32411689,1277926000,443152463,1831364701,-954642732,1160764000,1245514311
105215,5003000,0,976000,0,6018000,0,-1015000,5003000,0,0,7959000,31000,9386000,17376000,16400000,976000,13643000,16879000,0,-3236000,3001000,-780000,0,-1015000,2786000,3136000,0,0,0,98000,6020000,642000,0,642000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642000,642000,0,13029000,0,0,0,0,0,0,0,0,0,0,614000,0,,0,13643000,4198000,2581000,0,0,0,0,3254000,388000,6040000,2868000,3387000,165000,0,0,0,,,0,0,16879000,6002000,906000,2189000,798000,0,6984000,0,0,1,-806000,13643000,-1015000,5003000,-1991000,0,16879000
105534,25041339,0,14948672,0,2907801,0,22133538,25041339,510000,14382786,4310669,0,0,19203455,4254783,14948672,31726182,22704082,0,9022100,-6380844,19492282,0,22133538,5508103,162570,17670,17670,0,461671,6150014,461671,0,461671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461671,461671,0,25454811,0,0,0,17670,0,17670,0,0,461671,121356,0,0,0,5670674,31726182,9408811,4881321,0,0,0,0,603535,488132,6728383,3056591,5501682,1691756,0,0,461671,0,0,0,0,22704082,10117800,2835193,1385277,571342,0,7794470,,,-2,9022100,31726182,22133538,25041339,7184866,0,22704082
105543,8637089,0,316680,0,6531037,0,2106052,8637089,0,2761734,2105107,0,0,4866841,4550161,316680,11040750,10650063,0,390687,-834804,2550168,1,2106052,2695437,77861,0,0,0,53572,2826870,53572,0,53572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53572,53572,0,8147262,0,0,0,0,0,0,0,0,53572,15876,50743,0,,2773297,11040750,5343753,3141539,0,0,0,0,349579,314154,2574235,985960,2328924,638594,0,0,53572,,,0,0,10650063,5080247,1049916,1162072,217754,0,3140074,,,-2,390687,11040750,2106052,8637089,1789373,0,10650063
105659,18454463,0,764091,13759582,4183943,48392,14270520,18454463,804778,0,519575,94751,142534,1561638,797547,764091,15750174,11983908,0,3766266,-2657464,13161718,0,14270520,2888520,33941,644726,558780,85946,664514,4231701,664514,0,664514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664514,664514,0,15670652,0,0,0,0,0,0,0,0,0,0,79522,0,,0,15750174,2008809,1663604,0,0,0,0,1401230,0,830454,666974,4447925,1096190,0,0,0,,,3295490,1,11983908,3426769,515676,740507,369141,3570,6928245,1003009,104483,1,4873758,15750174,14270520,18454463,-253153,48392,11983908
105677,,,,,,,,,,,,,,,,,,,,,,,,,57875,0,0,0,0,0,57875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679478,0,0,0,0,0,0,0,0,0,0,149594,,,0,829072,515253,305753,0,0,0,0,147695,104659,27698,0,19654,0,,,0,,,0,0,710300,410412,0,0,2837,0,297051,,,-2,,,,,,,
106041,219449000,0,50205000,0,84047000,30726000,135402000,219449000,5167000,42801000,25031000,1397000,33572000,107968000,57763000,50205000,37196000,32407000,1000,4790000,0,106004000,24608000,135402000,6181000,5972000,0,0,0,911000,13064000,2081000,0,2081000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2081000,2081000,0,35954000,0,0,0,0,0,0,0,0,0,0,676000,0,,566000,37196000,8050000,4995000,0,0,0,0,5987000,410000,11926000,5651000,6081000,293000,0,0,0,,,363000,0,32407000,11349000,1704000,1805000,1822000,363000,15364000,0,0,1,4790000,37196000,135402000,219449000,85197000,30726000,32407000
106111,,,,,,,,,,,,,,,,,,,,,,,,,317290,71983,27620,27620,0,9160,426053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588265,0,0,0,0,0,0,0,0,0,0,42277,,,85145,715687,1431927,199892,0,0,0,0,0,0,61842,52371,138288,75000,,,0,,,0,0,1632057,327263,59184,1043468,0,0,202142,,,-2,,,,,,,
106315,,,,,,,,,,,,,,,,,,,,,,,,,424319,0,0,0,0,0,424319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424319,0,0,0,0,0,0,0,0,0,0,121477,,,3958,549754,132409,106577,0,0,0,0,15847,13419,20263,9458,72633,32579,,,0,,,0,0,241152,162033,23410,5344,0,0,50365,,,-2,,,,,,,
106324,,,,,,,,,,,,,,,,,,,,,,,,,113167,0,13364,0,13364,0,126531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207419,0,0,0,0,0,0,0,0,0,0,10281,,,0,217700,72683,43777,0,0,0,0,0,0,0,0,115922,27241,,,0,,,2504,0,191109,71018,6126,27639,6994,628,78704,,,-2,,,,,,,
106351,,,,,,,,,,,,,,,,,,,,,,,,,409508,0,0,0,0,0,409508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633951,0,0,0,0,0,0,0,0,0,0,194635,,,287377,2115963,399253,399253,0,0,0,0,12369,12369,21482,20588,96872,81578,,,0,,,29879,9883,559855,523671,13682,9658,0,0,12844,,,-2,,,,,,,
106494,,,,,,,,,,,,,,,,,,,,,,,,,470402,0,0,0,0,0,470402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105666,0,0,0,0,0,0,0,0,0,0,14264,,,0,1119930,539451,300458,0,0,0,0,57644,12000,0,0,415924,73500,,,0,,,0,0,1013019,385958,8550,103769,30576,3485,480681,,,-2,,,,,,,
106892,,,,,,,,,,,,,,,,,,,,,,,,,1224851,0,0,0,0,0,1224851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341219,666034,0,666034,0,0,0,0,0,0,1224851,0,,,0,3232104,747825,466649,0,0,0,0,2069512,159139,686994,430266,376370,376370,,,0,,,0,0,3880701,1432424,95573,160272,59619,0,2132813,,,-2,,,,,,,
106908,,,,,,,,,,,,,,,,,,,,,,,,,1571064,508355,0,0,0,0,2079419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4403000,0,0,0,0,0,0,0,0,0,5981,289221,,,0,4698202,982464,674960,0,0,0,0,89213,61000,149520,98256,782546,246644,,,0,,,0,0,2003743,1080860,98214,101000,99246,16218,608205,,,-2,,,,,,,
107099,,,,,,,,,,,,,,,,,,,,,,,,,368044,0,0,0,0,0,368044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604232,0,0,0,0,0,0,0,0,0,0,88570,,,0,692802,213564,106544,0,0,0,0,0,0,0,0,283322,65000,,,0,,,0,0,496886,171544,0,77728,83108,0,164506,,,-2,,,,,,,
107220,,,,,,,,,,,,,,,,,,,,,,,,,873456,0,49776,27468,22308,40433,963665,79909,0,79909,0,0,0,0,0,0,22216,22216,0,19660,19660,0,0,0,0,38033,38033,0,2502555,0,0,0,31743,0,31743,0,0,0,0,304535,,,193529,3032362,1226076,1123679,0,0,916,0,2526,2361,16338,15849,334535,320534,,,0,,,0,0,1580391,1462423,9872,680,64847,4200,38369,,,-2,,,,,,,
107293,,,,,,,,,,,,,,,,,,,,,,,,,167805,0,0,0,0,0,167805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507471,35150,0,35150,29597,0,29597,0,0,0,0,94641,,,0,666859,244119,109918,0,0,0,0,54678,42000,83521,41600,231357,52000,,,0,,,0,0,613675,245518,0,352742,14335,1080,0,,,-2,,,,,,,
107442,,,,,,,,,,,,,,,,,,,,,,,,,136371,0,0,0,0,0,136371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136371,0,0,0,0,0,0,0,0,0,0,15237,,,99559,251167,135507,135507,0,0,0,0,4500,3000,5000,4000,4000,3500,,,0,,,15193,0,164200,146007,0,8000,6092,418,3683,,,-2,,,,,,,
107655,,,,,,,,,,,,,,,,,,,,,,,,,142535,0,0,0,0,0,142535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369184,0,0,0,0,0,0,0,0,0,9794,23919,,,0,402897,86191,86191,0,0,0,0,16795,0,40000,26000,105770,0,,,0,,,0,0,248756,112191,0,84000,0,0,52565,,,-2,,,,,,,
107789,,,,,,,,,,,,,,,,,,,,,,,,,329349,6200,18477,18477,0,10425,364451,35102,0,35102,0,0,0,8123,8123,0,16129,16129,0,0,0,0,0,0,0,10850,10850,0,1230951,170896,0,170896,0,0,0,0,0,0,0,48617,,,0,1450464,339423,174314,0,0,0,0,24765,23333,119619,112704,216735,91746,,,0,,,269891,0,970433,402097,24671,63253,56107,0,424305,,,-2,,,,,,,
107831,,,,,,,,,,,,,,,,,,,,,,,,,299390,0,0,0,0,0,299390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931809,0,0,0,0,0,0,0,0,0,0,39054,,,0,970863,88000,82930,0,0,0,0,27000,17543,50000,48667,49000,43624,,,0,,,0,0,214000,192764,0,14924,0,0,6312,,,-2,,,,,,,
108065,,,,,,,,,,,,,,,,,,,,,,,,,65699,0,0,0,0,30000,95699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157131,0,0,0,0,0,0,0,0,0,0,45550,,,0,202681,34312,34312,0,0,0,0,1772,1772,1294,1294,2430,575,,,0,,,0,0,39808,37953,0,1855,0,0,0,,,-2,,,,,,,
108232,111578490,22097894,44107655,0,63725421,3291728,47853069,111578490,2497538,3340546,140112701,15203738,0,161154523,117046868,44107655,201836824,199072806,0,2764018,0,45089051,0,47853069,12054677,839218,2547337,2547337,0,10705117,26146349,13252454,0,13252454,0,0,0,0,0,0,2547337,2547337,0,0,0,0,0,0,0,10705117,10705117,0,193654419,0,0,0,0,0,0,0,0,0,1551,0,8180854,0,0,201836824,86596804,48993226,0,0,0,0,716974,316035,33089433,22892814,32403167,8502001,16701567,0,0,0,0,29564861,1999201,199072806,82703277,13898901,36675860,10063674,1912561,53818533,,,-2,2806018,201836824,47853069,111578490,3745414,3291728,199072806
108977,,,,,,,,,,,,,,,,,,,,,,,,,433182,71523,0,0,0,9003,513708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001522,0,0,0,0,0,0,0,0,0,0,3177,,,110952,1115651,332682,143605,0,0,0,0,94580,29746,173267,73792,88833,50979,,,0,,,308030,0,997392,298122,0,383535,29262,13328,273145,,,-2,,,,,,,
109040,48224623,3989338,19593980,0,29273554,13541345,18951069,48224623,0,31377772,10806830,1074435,8170458,51429495,31835515,19593980,60545997,55548535,0,4997462,0,13953607,0,18951069,12046104,375708,1697033,1697033,0,716767,14835612,716767,0,716767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716767,716767,0,59701493,0,0,0,0,0,0,0,0,0,834369,0,0,,10135,60545997,22076426,10905375,0,0,0,0,2417125,1403530,2986778,2057666,27943043,6062879,0,0,0,,,125163,0,55548535,20429450,1654874,4498058,4202367,436952,24326834,,,-2,55627008,60545997,18951069,48224623,0,13541345,55548535
109721,,,,,,,,,,,,,,,,,,,,,,,,,930785,22200,0,0,0,0,952985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490882,0,0,0,0,0,0,0,0,0,0,0,,,0,1490882,274197,144633,0,0,0,0,180473,102960,439776,173490,423115,154440,,,0,,,187267,134456,1504828,709979,116756,227041,29017,36451,385584,,,-2,,,,,,,
109730,,,,,,,,,,,,,,,,,,,,,,,,,407303,72050,0,0,0,0,479353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027917,0,0,0,0,0,0,0,0,0,0,0,,,0,1027917,323170,87379,0,0,0,0,145881,69882,182332,90568,259895,104823,,,0,,,54952,0,966230,352652,80809,192695,2696,461,336917,,,-2,,,,,,,
109934,,,,,,,,,,,,,,,,,,,,,,,,,1133856,58185,0,0,0,45028,1237069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3642213,0,0,0,0,0,0,0,0,0,680,39503,,,0,3682396,1333111,1333111,0,0,0,0,1119844,1119844,148942,148942,414649,0,,,0,,,55908,0,3072454,2601897,0,414649,55908,0,0,,,-2,,,,,,,
110194,,,,,,,,,,,,,,,,,,,,,,,,,609525,8886,0,0,0,2961,621372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1938283,621372,0,621372,0,0,0,0,0,0,0,27715,,,27715,2615085,965268,946368,0,0,0,0,21900,21900,115820,102500,449507,415975,,,0,,,1256561,0,2809056,1486743,65752,318514,47500,0,890547,,,-2,,,,,,,
110219,13515399,0,2022307,0,7074919,664537,6440480,13515399,1918925,0,1809850,0,5636549,9365324,7343017,2022307,24777026,20856655,0,3920371,-2150396,4670505,0,6440480,9121855,170750,0,0,0,0,9292605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24168280,0,0,0,0,0,0,0,0,0,0,608746,0,0,0,24777026,7129778,4470257,0,0,0,0,357343,327024,4334491,3976943,9035043,943953,0,0,0,0,0,0,0,20856655,9718177,607699,0,515755,82807,9932217,0,4000,3,3920371,24777026,6440480,13515399,4418173,664537,20856655
110468,74327596,0,7432843,17598825,72464678,0,1862918,74327596,0,11097139,6057531,12800,0,17167470,9734627,7432843,76865259,73810668,0,3054591,0,-2183155,991482,1862918,82817,100500,16447,16447,0,2828347,3028111,2828347,0,2828347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2828347,2828347,0,74844389,183317,0,183317,0,0,0,0,0,0,7,83336,400481,0,1353729,76865259,25695754,18752680,94738,73560,963012,736466,11876588,4414654,16330380,5808201,16042195,4530893,2808001,716794,0,0,0,0,0,73810668,35033248,6260891,8956348,2966037,2034299,18559845,0,0,3,76865259,76865259,1862918,74327596,1862918,0,73810668
110778,3242638,0,35794,5191,2933102,0,309536,3242638,0,387576,2920903,0,0,3308479,3272685,35794,6387617,6565928,0,-178311,0,-813996,1301843,309536,14197,119256,0,0,0,0,133453,61708,0,61708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61708,61708,0,6387617,0,0,0,0,0,0,0,0,0,-1843,0,0,0,1843,6387617,1997045,1611630,0,0,0,0,566483,332025,749762,609572,2984906,998215,0,0,0,0,0,267732,112899,6565928,3664341,293526,1046149,34832,0,1527080,0,800,3,-176467,6387617,309536,3242638,931251,0,6565928
110875,,,,,,,,,,,,,,,,,,,,,,,,,319730,0,0,0,0,0,319730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483661,0,0,0,0,0,0,0,0,0,1200,94275,,,337,579473,119400,117500,0,0,0,0,37450,37450,52330,52330,74326,74326,,,0,,,0,0,283506,281606,0,1400,0,0,500,,,-2,,,,,,,
111054,,,,,,,,,,,,,,,,,,,,,,,,,198933,11806,2555,2555,0,24692,237986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783786,0,0,0,0,0,0,0,0,0,18612,43661,,,0,846059,621838,564895,0,0,0,0,67816,38188,31367,8834,23313,15015,,,0,,,434856,1,1179190,626933,0,20201,4471,13724,513861,,,-2,,,,,,,
111513,,,,,,,,,,,,,,,,,,,,,,,,,518868,6982,0,0,0,15200,541050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031030,0,0,0,0,0,0,0,0,0,4793,226149,,,0,2261972,874816,404419,0,0,0,0,142120,58220,266684,175460,978352,33004,,,0,,,0,0,2261972,671103,68260,296400,0,0,1226209,,,-2,,,,,,,
112181,,,,,,,,,,,,,,,,,,,,,,,,,171173,0,0,0,0,0,171173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636206,0,0,0,0,0,0,0,0,0,91669,230826,,,0,958701,1197459,633254,0,0,0,0,0,0,0,0,11277,0,,,0,,,24750,0,1233486,633254,24750,375290,10488,0,189704,,,-2,,,,,,,
112288,,,,,,,,,,,,,,,,,,,,,,,,,1870814,0,0,0,0,27000,1897814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4001697,0,0,0,0,0,0,0,0,0,0,16819,,,42205,4060721,1279313,863707,0,0,0,0,705427,0,856845,492361,424751,0,,,0,,,395136,241972,3661472,1598040,101478,705427,17567,0,1238960,,,-2,,,,,,,
112394,7317527,0,1686684,1050534,7582748,0,-265221,7317527,0,0,5219903,0,0,5219903,3533219,1686684,13076581,12516992,34654,594243,0,-859464,0,-265221,1502473,81300,1129539,1129539,0,1620624,4333936,1620624,0,1620624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620624,1620624,0,13061755,0,0,0,0,0,0,0,0,0,14826,0,0,0,0,13076581,2663634,2352887,0,0,0,0,862564,599880,2134918,1536176,6589105,2044179,876,0,0,0,0,265895,0,12516992,6533122,1031516,699698,527173,46939,3678544,0,800,3,594243,13076581,-265221,7317527,-3002439,0,12516992
112455,,,,,,,,,,,,,,,,,,,,,,,,,333643,2000,0,0,0,500,336143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991144,0,0,0,0,0,0,0,0,0,0,10832,,,0,1001976,905019,260649,0,0,0,0,21117,4561,21117,4561,86634,13685,,,0,,,1,0,1033888,283456,9921,724672,15839,0,0,,,-2,,,,,,,
113449,,,,,,,,,,,,,,,,,,,,,,,,,798902,0,0,0,0,0,798902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020518,0,0,0,0,0,0,0,0,0,0,-54490,,,54490,2020518,280749,280749,0,0,0,0,95342,95342,260888,95343,288303,95343,,,798902,,,15810,0,1739994,566777,29061,1098434,45722,0,0,,,-2,,,,,,,
113582,1509949,752182,182637,0,576778,0,933171,1509949,0,0,1148214,0,727313,1875527,1692890,182637,3604877,3598457,0,6420,-165000,775085,316666,933171,277843,22256,48571,48571,0,105800,454470,34680,0,34680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34680,34680,0,3201570,0,0,0,0,0,0,0,0,0,403307,0,0,0,0,3604877,994106,722712,0,0,0,0,889807,718366,585629,395866,601997,232696,0,0,33300,0,0,493618,0,3598457,2069640,159468,241928,41383,65036,1021002,,,-2,325920,3604877,933171,1509949,750534,0,3598457
