unitid,ASCDEG,BASDEG,MASDEG,CERT1,CERT1a,CERT1b,CERT2,CERT4,PBACERT,PMACERT,DocDegRS,DocDegPP,DocDegOT,SDOCDEG,SMASDEG,SBASDEG,SASCDEG,SBAMACRT,SCERT24,SCERT1a,SCERT1b
104425,1483,,,204,102,102,285,0,,,,,,,,,1475,,280,101,98
104443,0,,,1,0,1,17,0,,,,,,,,,0,,17,0,1
104568,0,,,201,0,201,126,0,,,,,,,,,0,,126,0,201
104577,457,,,486,0,486,84,0,,,,,,,,,456,,84,0,486
104586,0,541,13,0,0,0,0,0,0,0,0,0,0,0,13,535,0,0,0,0,0
104665,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
104708,1568,,,617,114,503,1168,0,,,,,,,,,1424,,1121,97,441
104717,0,14037,13998,8,0,8,0,0,219,221,781,0,0,781,13789,14031,0,437,0,0,8
105145,662,,,928,445,483,243,19,,,,,,,,,647,,259,241,352
105154,1815,,,678,273,405,1295,0,,,,,,,,,1693,,1248,221,339
105206,387,,,302,0,302,229,0,,,,,,,,,375,,221,0,239
105215,54,,,0,0,0,444,13,,,,,,,,,54,,457,0,0
105297,116,58,0,13,0,13,10,0,0,0,0,0,0,0,0,58,111,0,10,0,13
105330,0,5874,1370,452,0,452,39,0,130,5,83,145,0,228,1370,5788,0,134,39,0,423
105349,171,,,292,0,292,111,0,,,,,,,,,166,,98,0,224
105367,0,145,205,0,0,0,0,0,0,0,0,13,0,13,205,145,0,0,0,0,0
105428,1033,,,415,24,391,631,0,,,,,,,,,988,,621,21,312
105525,1807,,,872,37,835,1628,0,,,,,,,,,1794,,1608,37,790
105534,567,274,0,163,0,163,307,0,0,0,0,0,0,0,0,274,567,0,307,0,163
105543,117,,,94,0,94,270,0,,,,,,,,,117,,270,0,94
105589,0,120,201,0,0,0,0,0,6,13,12,0,0,12,199,106,0,19,0,0,0
105659,28,,,406,0,406,394,0,,,,,,,,,25,,371,0,394
105668,699,,,2569,452,2117,736,0,,,,,,,,,611,,723,451,2081
105677,0,,,29,0,29,0,0,,,,,,,,,0,,0,0,29
105747,735,,,170,33,137,469,0,,,,,,,,,698,,446,33,118
105792,368,,,164,12,152,322,0,,,,,,,,,316,,299,7,123
105899,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2,0,0,0,0
106041,828,,,0,0,0,253,0,,,,,,,,,812,,253,0,0
106148,689,,,743,132,611,534,0,,,,,,,,,684,,524,132,524
106245,361,1253,369,19,0,19,12,6,64,0,52,143,0,195,369,1209,359,63,18,0,19
106263,0,389,178,0,0,0,0,0,46,0,28,305,0,333,178,389,0,46,0,0,0
106306,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0
106315,0,,,56,0,56,7,0,,,,,,,,,0,,7,0,33
106324,0,,,5,0,5,9,0,,,,,,,,,0,,9,0,5
106342,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0
106351,0,,,1,0,1,14,0,,,,,,,,,0,,14,0,1
106360,0,,,0,0,0,11,0,,,,,,,,,0,,11,0,0
106397,0,5018,1188,10,0,10,0,0,391,16,246,118,0,364,1188,4914,0,381,0,0,10
106412,0,330,57,0,0,0,0,0,0,0,0,0,0,0,57,329,0,0,0,0,0
106449,601,,,153,16,137,212,0,,,,,,,,,422,,208,16,131
106458,699,1717,1744,131,0,131,1,0,95,649,17,60,0,77,1743,1697,699,737,1,0,120
106467,1563,1118,213,653,73,580,308,5,40,6,17,0,0,17,213,1056,1487,46,296,73,523
106485,277,310,129,291,106,185,116,31,4,0,0,0,0,0,128,308,247,4,143,106,183
106494,0,,,0,0,0,13,0,,,,,,,,,0,,13,0,0
106546,256,,,0,0,0,111,30,,,,,,,,,256,,141,0,0
106625,375,,,1243,757,486,241,0,,,,,,,,,246,,222,550,420
106704,29,1664,504,7,0,7,0,0,73,29,22,111,0,133,504,1654,29,102,0,0,7
106713,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,86,4,0,0,0,0
106795,238,,,324,67,257,325,0,,,,,,,,,170,,205,67,114
106810,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0
106883,120,,,249,22,227,190,0,,,,,,,,,112,,177,21,208
106892,0,,,109,0,109,0,0,,,,,,,,,0,,0,0,109
106908,0,,,3,0,3,159,0,,,,,,,,,0,,159,0,3
106980,239,,,291,32,259,262,0,,,,,,,,,237,,255,32,138
106999,195,,,303,73,230,272,0,,,,,,,,,174,,216,73,213
107044,0,765,329,0,0,0,0,0,0,0,11,70,0,81,329,765,0,0,0,0,0
107071,10,543,169,56,13,43,0,0,156,12,0,0,0,0,169,533,10,168,0,10,42
107080,0,223,7,0,0,0,0,0,0,0,0,0,0,0,7,223,0,0,0,0,0
107099,0,,,5,0,5,30,0,,,,,,,,,0,,30,0,5
107123,44,,,0,0,0,0,0,,,,,,,,,44,,0,0,0
107141,1,344,166,0,0,0,0,0,0,0,0,0,0,0,166,335,1,0,0,0,0
107220,0,,,96,0,96,63,0,,,,,,,,,0,,63,0,96
107293,0,,,30,0,30,10,0,,,,,,,,,0,,10,0,30
107318,113,,,238,91,147,117,0,,,,,,,,,104,,102,89,123
107327,164,,,193,65,128,182,0,,,,,,,,,161,,179,64,112
107442,0,,,1,0,1,13,0,,,,,,,,,0,,13,0,1
107460,286,,,224,17,207,113,0,,,,,,,,,246,,110,17,158
107488,0,,,0,0,0,108,0,,,,,,,,,0,,108,0,0
107512,0,317,32,0,0,0,0,0,12,0,0,0,0,0,32,317,0,12,0,0,0
107521,89,,,331,4,327,117,0,,,,,,,,,89,,113,4,304
107549,202,,,256,117,139,194,0,,,,,,,,,201,,187,117,134
107558,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0
107585,398,,,321,136,185,339,0,,,,,,,,,359,,337,136,161
107600,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0
107619,108,,,191,0,191,57,0,,,,,,,,,107,,56,0,146
107637,152,,,258,70,188,105,0,,,,,,,,,141,,101,70,161
107655,0,,,2,0,2,16,0,,,,,,,,,0,,16,0,2
107664,719,,,501,88,413,694,0,,,,,,,,,703,,597,83,342
107725,177,,,264,87,177,253,0,,,,,,,,,177,,253,87,177
107743,189,,,102,37,65,171,0,,,,,,,,,182,,170,36,58
107789,0,,,0,0,0,74,0,,,,,,,,,0,,74,0,0
107831,0,,,8,0,8,21,0,,,,,,,,,0,,21,0,8
107840,29,,,0,0,0,0,0,,,,,,,,,29,,0,0,0
107877,1,73,10,0,0,0,0,0,0,0,0,0,0,0,10,70,1,0,0,0,0
107974,163,,,284,188,96,257,0,,,,,,,,,161,,246,137,79
107983,373,542,394,0,0,0,0,0,30,0,0,0,0,0,392,539,373,30,0,0,0
107992,210,,,449,130,319,192,0,,,,,,,,,210,,192,130,319
108065,0,,,1,0,1,5,0,,,,,,,,,0,,5,0,1
108092,210,676,19,405,8,397,98,0,0,0,0,0,0,0,19,676,209,0,97,8,318
108232,81,679,753,3,0,3,0,0,0,0,0,0,0,0,753,678,81,0,0,0,3
108269,0,0,20,0,0,0,0,0,0,0,2,0,0,2,20,0,0,0,0,0,0
108667,373,,,7,0,7,284,0,,,,,,,,,255,,236,0,6
108807,1802,,,444,99,345,1043,0,,,,,,,,,1065,,792,86,306
108852,89,,,17,0,17,0,0,,,,,,,,,89,,0,0,17
108861,0,0,18,0,0,0,0,0,0,3,0,0,6,6,18,0,0,3,0,0,0
108870,0,0,77,0,0,0,0,0,5,0,0,0,0,0,77,0,0,5,0,0,0
108977,0,,,38,0,38,73,0,,,,,,,,,0,,73,0,38
109040,131,,,93,0,93,763,0,,,,,,,,,131,,763,0,93
109208,2570,,,336,0,336,1084,0,,,,,,,,,2065,,1004,0,307
109350,2172,13,0,483,0,483,1074,0,0,0,0,0,0,0,0,13,1501,0,969,0,316
109651,0,498,114,0,0,0,0,0,0,0,0,0,0,0,114,498,0,0,0,0,0
109721,0,,,0,0,0,132,0,,,,,,,,,0,,132,0,0
109730,0,,,56,0,56,0,0,,,,,,,,,0,,0,0,56
109785,0,1526,1154,0,0,0,0,0,0,50,77,86,0,163,1144,1451,0,43,0,0,0
109819,5341,15,0,228,0,228,2353,0,0,0,0,0,0,0,0,15,2841,0,2295,0,184
109907,476,,,50,0,50,24,0,,,,,,,,,426,,23,0,39
109934,0,,,199,0,199,110,21,,,,,,,,,0,,131,0,199
110060,0,26,32,3,0,3,0,0,0,0,0,2,0,2,32,26,0,0,0,0,3
110097,0,835,367,0,0,0,0,0,19,0,49,0,17,66,366,830,0,19,0,0,0
110194,0,,,0,0,0,161,0,,,,,,,,,0,,161,0,0
110219,330,72,0,0,0,0,487,0,0,0,0,0,0,0,0,72,330,0,487,0,0
110246,1193,,,777,79,698,229,42,,,,,,,,,1014,,270,77,595
110316,0,55,220,0,0,0,0,0,1,0,29,4,27,59,220,55,0,1,0,0,0
110334,1994,,,383,0,383,238,0,,,,,,,,,1037,,115,0,286
110361,18,1914,1391,0,0,0,0,0,0,0,25,0,0,25,1390,1907,18,0,0,0,0
110370,0,333,141,0,0,0,0,0,0,0,0,0,0,0,141,333,0,0,0,0,0
110398,0,0,34,0,0,0,0,0,2,0,0,317,0,317,34,0,0,2,0,0,0
110404,0,218,139,0,0,0,0,0,0,0,204,0,0,204,139,218,0,0,0,0,0
110413,0,767,439,0,0,0,0,0,2,13,0,29,0,29,439,767,0,15,0,0,0
110422,0,4931,626,0,0,0,0,0,2,0,0,0,0,0,624,4931,0,2,0,0,0
110468,0,27,575,154,0,154,24,0,0,2,94,200,0,294,575,27,0,2,24,0,154
110486,0,2348,461,0,0,0,0,0,0,0,6,0,0,6,461,2348,0,0,0,0,0
110495,0,2504,322,0,0,0,0,0,1,0,9,0,0,9,322,2504,0,1,0,0,0
110510,0,3741,798,0,0,0,0,0,7,0,18,0,0,18,798,3741,0,7,0,0,0
110529,0,6339,567,0,0,0,0,0,15,0,10,0,0,10,567,6339,0,15,0,0,0
110538,0,3930,294,0,0,0,0,0,0,0,0,0,0,0,294,3930,0,0,0,0,0
110547,0,3732,738,0,0,0,0,0,0,0,0,0,0,0,738,3732,0,0,0,0,0
110556,0,5123,794,0,0,0,0,0,21,0,39,34,0,73,794,5123,0,20,0,0,0
110565,0,9467,1567,0,0,0,0,0,104,0,37,43,0,80,1567,9467,0,60,0,0,0
110574,0,3844,1048,0,0,0,0,0,0,0,18,0,0,18,1048,3844,0,0,0,0,0
110583,0,9017,1770,0,0,0,0,0,202,0,21,33,0,54,1770,9017,0,197,0,0,0
110592,0,5231,1215,0,0,0,0,0,140,29,14,0,0,14,1214,5231,0,165,0,0,0
110608,0,9179,1548,0,0,0,0,0,109,0,9,28,0,37,1548,9179,0,100,0,0,0
110617,0,7352,735,0,0,0,0,0,0,0,14,31,0,45,734,7352,0,0,0,0,0
110635,0,8789,3731,0,0,0,0,0,98,20,836,423,0,1259,3680,8458,0,118,0,0,0
110644,0,8743,1340,0,0,0,0,0,6,0,606,497,0,1101,1336,8466,0,6,0,0,0
110653,0,8681,1750,0,0,0,0,0,126,0,532,231,0,762,1749,8165,0,126,0,0,0
110662,0,9265,3530,0,0,0,0,0,0,1,856,607,0,1462,3513,9127,0,1,0,0,0
110671,0,5678,842,0,0,0,0,0,0,0,331,69,0,400,842,5657,0,0,0,0,0
110680,0,8871,1946,0,0,0,0,0,0,0,585,157,0,742,1943,8871,0,0,0,0,0
110699,0,0,286,0,0,0,0,0,37,67,158,429,0,586,286,0,0,104,0,0,0
110705,0,6317,530,0,0,0,0,0,79,0,366,0,0,366,530,6157,0,79,0,0,0
110714,0,4364,357,0,0,0,0,0,0,0,200,0,0,200,357,4246,0,0,0,0,0
110778,0,1,635,0,0,0,0,0,13,0,4,0,0,4,635,1,0,13,0,0,0
110875,0,,,43,0,43,11,0,,,,,,,,,0,,11,0,43
110918,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
