UNITID,F2A01,F2A19,F2A20,F2A02,F2A03,F2A03A,F2A04,F2A05,F2A05A,F2A05B,F2A06,F2A11,F2A12,F2A13,F2A15,F2A16,F2A17,F2A18,F2B01,F2B02,F2B03,F2B04,F2B05,F2B06,F2B07,F2C01,F2C02,F2C03,F2C04,F2C05,F2C06,F2C07,F2C08,F2C09,F2C10,F2C12,F2C121,F2C122,F2C13,F2C131,F2C132,F2C14,F2C141,F2C142,F2C15,F2C151,F2C152,F2C16,F2C161,F2C162,F2C17,F2C171,F2C172,F2D01,F2D012,F2D013,F2D014,F2D02,F2D022,F2D023,F2D024,F2D03,F2D032,F2D033,F2D034,F2D04,F2D042,F2D043,F2D044,F2D05,F2D052,F2D053,F2D054,F2D06,F2D062,F2D063,F2D064,F2D07,F2D072,F2D073,F2D074,F2D08,F2D082,F2D083,F2D084,F2D08A,F2D082A,F2D083A,F2D084A,F2D08B,F2D082B,F2D083B,F2D084B,F2D09,F2D092,F2D093,F2D094,F2D10,F2D102,F2D103,F2D104,F2D11,F2D112,F2D12,F2D122,F2D13,F2D132,F2D14,F2D142,F2D143,F2D144,F2D15,F2D152,F2D153,F2D154,F2D16,F2D162,F2D163,F2D164,F2D17,F2D172,F2D173,F2D174,F2D18,F2D182,F2D183,F2D184,F2E011,F2E012,F2E021,F2E022,F2E031,F2E032,F2E041,F2E042,F2E051,F2E052,F2E061,F2E062,F2E071,F2E072,F2E081,F2E091,F2E092,F2E101,F2E102,F2E121,F2E122,F2E131,F2E132,F2E133,F2E134,F2E135,F2E136,F2E137,F2FHA,F2H01,F2H02,F2H03,F2H03A,F2H03B,F2H03C,F2H03D,F2I01,F2I02,F2I03,F2I04,F2I05,F2I06,F2I07
197735,0,4673228,0,11732329,2122948,0,9609381,0,0,0,9609381,403086,7079203,1275241,0,0,8757530,4084302,9171998,9089165,201000,283833,9325548,0,9609381,4428782,32950,2424524,0,0,164608,7050864,164608,0,164608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164608,164608,0,5043379,5043379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582811,1582811,0,0,0,0,0,0,0,0,0,0,164608,164608,0,0,164608,164608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381200,2381200,0,0,0,0,0,0,0,0,0,0,9171998,9171998,0,0,0,0,0,0,9171998,9171998,0,0,2709872,2099799,0,0,0,0,0,0,1613863,302000,1410706,163100,3354724,0,0,0,0,0,0,0,0,9089165,2564899,184470,381004,414697,0,5544095,1,147,146,-1,0,0,0,-1,283833,7585577,283833,9325548,7059101,2122948,9089165
197744,0,8518852,0,11945502,4557822,3241809,7387680,0,0,0,7387680,206954,11222318,1460957,154907,0,13045136,4526284,6931186,6110969,0,820217,6567463,0,7387680,719925,827232,62293,0,0,3065476,4674926,641748,66118,707866,0,0,0,0,0,0,0,0,0,0,0,0,689506,641748,47758,18360,0,18360,2007356,2007356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812632,812632,0,0,0,0,0,0,0,0,0,0,3065476,3065476,0,0,3065476,3065476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979604,979604,0,0,0,0,0,0,66118,66118,0,0,6931186,6931186,0,0,0,0,0,0,6931186,6931186,0,0,3161616,587682,0,0,0,0,173715,25277,138972,18957,590584,263298,679652,157978,1366430,0,0,0,0,0,0,6110969,1053192,343204,365494,260465,116853,3971761,2,,,,,,,,754099,6865068,820217,6567463,2109918,3241089,6110969
197911,33474496,53681717,0,97394035,39453652,24852245,17032245,40908138,28018783,12889355,57940383,21315888,57216149,5047533,5798615,0,89378185,35696468,34426321,29603231,0,4823090,53117293,0,57940383,2206089,254392,2763715,0,1454558,15606865,22285619,17802234,0,17802234,2206089,2206089,0,254392,254392,0,2763715,2763715,0,0,0,0,1454558,1454558,0,11123480,11123480,0,15015363,15015363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2422292,0,2422292,0,456518,0,456518,0,0,0,0,0,3836220,1090612,2281253,464355,3836220,1090612,2281253,464355,0,0,0,0,0,0,0,0,5996150,32955,5963195,0,0,0,6179831,6179831,0,0,0,0,0,0,519947,519947,0,0,34426321,22838708,11123258,464355,0,6800156,-6800156,0,34426321,29638864,4323102,464355,8630706,5368656,0,0,109070,56090,1816877,750190,8584989,3756966,5210131,2011735,5251458,387201,0,0,0,0,0,0,0,29603231,12330838,2547869,3297079,2430333,1475938,7521174,1,29280112,33474496,4194384,260254,5996150,2062020,-4124040,-104590,29498641,4823090,53117293,1092128,24852245,29603231
197984,12266585,22966364,0,40527101,18961206,14953978,2942066,18623829,12643187,5980642,21565895,2028375,25159745,7192921,13445,0,34394486,11428122,41375271,38314302,-189000,2871969,18693926,0,21565895,2081401,767494,2054435,0,882535,8240374,14026239,9122909,0,9122909,0,0,0,0,0,0,0,0,0,0,0,0,882535,882535,0,8240374,8240374,0,14990158,14990158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275198,126702,5148496,0,233590,0,233590,0,0,0,0,0,3860645,703400,2186265,970980,3860645,703400,2186265,970980,0,0,0,0,4209366,4209366,0,0,3562296,840849,2234787,486660,0,0,8610855,8610855,0,0,0,0,0,0,633163,524170,108993,0,41375271,30005500,9912131,1457640,0,8430670,-8430670,0,41375271,38436170,1481461,1457640,8958678,6039298,0,0,0,0,2234431,947767,11387071,4410398,9801148,3057273,5932974,51498,0,0,0,0,0,0,0,38314302,14506234,3467019,6202309,1316108,489260,12333372,1,12273393,13983549,1710156,970980,3051252,-497202,-1814874,121868,37585321,2871969,18693926,910322,14953978,38314302
197993,19291578,23460580,0,45162174,10201551,0,17274447,17686176,10531645,7154531,34960623,722071,26338665,4552885,692579,0,32306200,8845620,14770868,13297535,25512112,26985445,15887324,-7912146,34960623,856404,252703,413140,0,379566,776726,2678539,2678539,0,2678539,856404,856404,0,252703,252703,0,413140,413140,0,0,0,0,1156292,1156292,0,0,0,0,1325388,1325388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6373376,6373376,0,0,594067,594067,0,0,45000,45000,0,0,2303769,1624542,679227,0,1624542,1624542,0,0,679227,0,679227,0,0,0,0,0,3946675,1331882,2614793,0,0,0,20545,20545,0,0,0,0,0,0,162048,162048,0,0,14770868,11476848,3294020,0,0,599845,-599845,0,14770868,12076693,2694175,0,4398308,1662491,0,0,0,0,1583319,605353,1075021,340039,6056652,1405192,184235,9000,0,0,0,0,0,0,0,13297535,4022075,755194,1786389,1754855,183973,4795049,1,14009398,15885069,1875671,140243,2744472,-365225,-643819,24176652,12076693,26985445,15887324,17274447,0,13297535
198066,36205979,34361987,0,80220502,21322202,18131078,17478799,41419501,41419501,0,58898300,4615737,50282944,6944370,5258928,0,67101979,32739992,21927836,19862939,7183786,9248683,49649617,0,58898300,1534500,54892,1543210,0,0,11254768,14387370,11254768,0,11254768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11254768,11254768,0,9165494,9165494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113233,2113233,0,0,86622,86622,0,0,0,0,0,0,3462485,883873,2578612,0,3462485,883873,2578612,0,0,0,0,0,0,0,0,0,1257919,45354,1212565,0,145867,145867,5696216,5696216,0,0,0,0,0,0,0,1736639,-1736639,0,21927836,19873298,2054538,0,0,3782194,-3782194,0,21927836,23655492,-1727656,0,4713392,3351105,0,0,0,0,964752,301993,4446657,2511561,5969920,2055185,3382568,849501,0,0,0,0,0,385650,0,19862939,9069345,1411186,1669712,1932743,525677,5254276,1,29304293,37793585,8489292,1920517,7826694,-1257919,0,276777,19873298,9248683,49649617,17478799,18131078,19862939
198109,,,,,,,,,,,,,,,,,,,,,,,,,,561052,31153,582503,0,167441,0,1342149,1342149,0,1342149,561052,561052,0,31153,31153,0,582503,582503,0,0,0,0,167441,167441,0,0,0,0,5700435,5700435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592205,592205,0,0,582503,582503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257442,3257442,0,0,10132585,10132585,0,0,0,0,0,0,10132585,10132585,0,0,5429462,3596714,0,0,0,0,521010,359328,1317119,773578,1569152,584381,0,0,0,0,0,0,0,0,0,8836743,5314001,1253293,365238,182762,0,1721449,1,3562280,4073660,511380,303410,426944,-218974,0,,,,,,,
198136,260525438,335339762,200840,678742436,180698344,133801126,258569626,239474466,141286308,98188158,498044092,44537670,394368137,51852268,163948,0,490922023,155582261,233135610,156660416,0,76475194,421568898,0,498044092,5927773,10697075,9013160,0,5697274,68506304,99841586,97962839,1878747,99841586,5927773,5927773,0,10697075,10697075,0,9013160,9013160,0,0,0,0,5697274,5697274,0,68506304,66627557,1878747,98132393,98132393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10697075,10697075,0,0,9013160,9013160,0,0,0,0,0,0,15647007,5033905,4012473,6600629,15406158,5033905,3771624,6600629,240849,0,240849,0,0,0,0,0,62385919,12143896,50242023,0,0,0,16813854,16813854,0,0,0,0,0,0,20446202,21267865,-821663,0,233135610,173102148,53432833,6600629,0,21353624,-21353624,0,233135610,194455772,32079209,6600629,67315347,46530050,0,0,1481305,599837,15343883,4815563,19509044,11059879,44226460,6905650,8784377,677907,0,0,0,0,0,0,0,156660416,70588886,15443146,12497452,13790574,3575200,40765158,1,165343961,209338661,43994700,7854737,45599937,-7566404,-1893570,26657443,170245750,76475194,421568898,78670699,133801126,156660416
198215,86250634,70571159,93482,214449263,12427997,3895930,41804849,160216417,61083022,99133395,202021266,2544052,96832326,34656474,4771714,0,138804566,68233407,110640825,57550510,0,53090315,148930951,0,202021266,2146900,2456638,2808596,0,4195843,20085284,31693261,5226535,0,5226535,2146900,2146900,0,271039,271039,0,2808596,2808596,0,0,0,0,0,0,0,0,0,0,28040428,28040428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2417939,2417939,0,0,2808596,2808596,0,0,0,0,0,0,49681523,4613784,42671237,2396502,49681523,4613784,42671237,2396502,0,0,0,0,0,0,0,0,16419955,0,16419955,0,0,0,7156048,7156048,0,0,0,0,0,0,4116336,1856591,2022860,236885,110640825,46893386,61114052,2633387,0,32378539,-32378539,0,110640825,79271925,28735513,2633387,11198388,7011108,0,0,0,0,1288722,822581,4239162,1596475,14380624,2981883,3717518,2156244,22726096,0,0,0,0,0,0,57550510,14568291,3225311,3869823,2944414,677829,32264842,1,71539000,88095000,16556000,0,0,0,16556000,21721415,23942823,53090315,148930951,49755525,3895930,57550510
198303,35332221,43399560,0,98045525,12810003,8398922,49438069,35797453,24428666,11368787,85235522,10064590,54500761,24031747,128889,946396,89672383,46272823,27242041,24801232,5636382,8077191,77158331,0,85235522,3994393,260422,3212430,0,0,14556314,22023559,14883865,0,14883865,3994393,3994393,0,260422,260422,0,3212430,3212430,0,0,0,0,0,0,0,7416620,7416620,0,11392312,11392312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761630,761630,0,0,0,0,0,0,0,0,0,0,3072037,1128925,530620,1412492,3072037,1128925,530620,1412492,0,0,0,0,0,0,0,0,1208500,0,1208500,0,0,0,8434028,8434028,0,0,0,0,0,0,2373534,2373534,0,0,27242041,24090429,1739120,1412492,0,1474228,-1474228,0,27242041,25564657,264892,1412492,6039151,4033393,0,0,0,0,736752,134666,7044920,3342466,5079392,2075376,5188729,514426,0,0,0,0,0,712288,500410,24801232,10600737,1761256,2318759,2811031,324362,6985087,1,27186001,33191264,6005263,535374,408767,6269622,-1208500,929918,25564657,8077191,77158331,24770955,8398922,24801232
198385,1348534793,280867298,0,1786522691,141631820,73762722,409605749,1235285122,504621613,730663509,1644890871,45238525,372622590,37740407,4522883,0,460124405,179257107,564317332,144832738,-11976965,407507629,1237383242,0,1644890871,1483131,811895,788620,0,23530777,32161022,58775445,57292314,0,57292314,1483131,1483131,0,811895,811895,0,788620,788620,0,0,0,0,21240804,21240804,0,32967864,32967864,0,51071212,51071212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796716,3796716,0,0,680532,680532,0,0,0,0,0,0,43471251,17647042,13459914,12364295,33520301,9993605,11162401,12364295,9950950,7653437,2297513,0,0,0,0,0,439920455,95861194,335473415,8585846,0,0,23434219,23434219,0,0,0,0,0,0,1942947,1813768,129179,0,564317332,194304683,349062508,20950141,0,-15781011,15781011,0,564317332,178523672,364843519,20950141,39860799,26161474,1582826,617206,2070691,1090911,13431572,5178613,38158432,14352607,24601382,12596230,25127036,5174044,0,0,0,0,0,0,0,144832738,65171085,16083124,10094050,13539759,2393279,37551441,1,905857947,1341384049,435526102,46914715,429474756,-40822891,-40478,58105151,209457770,407507629,1237383242,928560329,73762722,144832738
198419,20337658000,5051923000,0,30385835000,8157443000,4381365000,12716657000,9511735000,3809403000,5702332000,22228392000,524221000,7053656000,2815662000,750670000,0,11144209000,6092286000,14010890000,7070335000,922815000,7863370000,14365022000,0,22228392000,4465000,31713000,2416000,0,123980000,250608000,413182000,346922000,398000,347320000,0,0,0,10384000,10384000,0,862000,862000,0,0,0,0,111323000,110925000,398000,224751000,224751000,0,491729000,491729000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855937000,855937000,0,0,60876000,60876000,0,0,0,0,0,0,906375000,668831000,124193000,113351000,398249000,160705000,124193000,113351000,508126000,508126000,0,0,0,0,0,0,7337889000,4406102000,2535734000,396053000,0,0,167451000,167451000,3967396000,3967396000,0,0,0,0,223237000,223237000,0,0,14010890000,10841559000,2659927000,509404000,0,79404000,-79404000,0,14010890000,10920963000,2580523000,509404000,1055981000,662309000,977149000,404460000,0,0,261924000,181327000,79434000,38696000,352534000,221763000,313027000,66471000,50438000,3971490000,1468658000,0,0,8358000,3599000,7070335000,3047283000,729918000,188223000,431285000,119813000,2553813000,1,8474071000,12692472000,4218401000,192004000,4493547000,-467150000,0,4775317000,7138779000,7863370000,14365022000,12716657000,4381365000,7070335000
