UNITID,PSGRTYPE,PGREVCT,PGEXCLU,PGADJCT,PGCMBAC,PGCMOBA,PGCMTOT,SSREVCT,SSEXCLU,SSADJCT,SSCMBAC,SSCMOBA,SSCMTOT,NRREVCT,NREXCLU,NRADJCT,NRCMBAC,NRCMOBA,NRCMTOT,TTREVCT,TTEXCLU,TTADJCT,TTCMBAC,TTCMOBA,TTCMTOT
100654,1,1000,2,998,246,0,246,123,0,123,48,0,48,284,1,283,82,0,82,1407,3,1404,376,0,376
100663,1,778,2,776,424,10,434,271,0,271,161,2,163,899,1,898,652,4,656,1948,3,1945,1237,16,1253
100690,1,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1
100706,1,242,0,242,122,0,122,163,0,163,80,0,80,788,0,788,549,0,549,1193,0,1193,751,0,751
100724,1,868,0,868,230,0,230,80,0,80,20,0,20,195,0,195,67,0,67,1143,0,1143,317,0,317
100751,1,1276,0,1276,752,0,752,1248,1,1247,852,0,852,5017,8,5009,3876,0,3876,7541,9,7532,5480,0,5480
100830,1,296,0,296,103,0,103,86,0,86,27,0,27,176,0,176,70,0,70,558,0,558,200,0,200
100858,1,569,3,566,400,0,400,693,0,693,529,0,529,3225,6,3219,2687,0,2687,4487,9,4478,3616,0,3616
100937,1,84,0,84,50,0,50,61,0,61,43,0,43,183,0,183,119,0,119,328,0,328,212,0,212
101116,1,18,0,18,1,0,1,1,0,1,0,0,0,3,0,3,0,1,1,22,0,22,1,1,2
101189,1,161,0,161,34,1,35,59,0,59,24,0,24,77,0,77,36,3,39,297,0,297,94,4,98
101365,1,9,0,9,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,10,0,10,2,1,3
101435,1,111,0,111,51,0,51,78,0,78,35,0,35,88,0,88,53,0,53,277,0,277,139,0,139
101453,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
101480,1,522,0,522,222,0,222,180,0,180,91,0,91,592,0,592,363,0,363,1294,0,1294,676,0,676
101587,1,201,0,201,69,5,74,59,0,59,24,2,26,117,0,117,41,4,45,377,0,377,134,11,145
101675,1,384,0,384,95,0,95,33,0,33,14,0,14,11,0,11,4,0,4,428,0,428,113,0,113
101693,1,95,0,95,50,0,50,128,0,128,52,0,52,0,0,0,0,0,0,223,0,223,102,0,102
101709,1,165,0,165,78,0,78,80,0,80,41,0,41,228,0,228,140,0,140,473,0,473,259,0,259
101879,1,465,0,465,182,0,182,175,0,175,88,0,88,536,0,536,345,0,345,1176,0,1176,615,0,615
