UNITID,ARANK,SAINSTT,SAINSTM,SAINSTW,SA_9MCT,SA_9MCM,SA_9MCW,SATOTLT,SATOTLM,SATOTLW,SA09MCT,SA09MCM,SA09MCW,SA10MCT,SA10MCM,SA10MCW,SA11MCT,SA11MCM,SA11MCW,SA12MCT,SA12MCM,SA12MCW,SAOUTLT,SAOUTLM,SAOUTLW,SA09MOT,SA09MOM,SA09MOW,SA10MOT,SA10MOM,SA10MOW,SA11MOT,SA11MOM,SA11MOW,SA12MOT,SA12MOM,SA12MOW,SAEQ9OT,SAEQ9OM,SAEQ9OW,SAEQ9AT,SAEQ9AM,SAEQ9AW,SA09MAT,SA09MAM,SA09MAW,SA10MAT,SA10MAM,SA10MAW,SA11MAT,SA11MAM,SA11MAW,SA12MAT,SA12MAM,SA12MAW
201955,7,168,68,100,0,0,0,168,68,100,166,68,98,0,0,0,0,0,0,2,0,2,13497344,5319277,8178067,13356756,5319277,8037479,0,0,0,0,0,0,140588,0,140588,13462197,5319277,8142920,80132,78225,81429,80462,78225,82015,,,,,,,70294,,70294
201964,7,85,50,35,0,0,0,85,50,35,0,0,0,0,0,0,0,0,0,85,50,35,1961566,1233460,728106,0,0,0,0,0,0,0,0,0,1961566,1233460,728106,1471175,925095,546080,17308,18502,15602,,,,,,,,,,23077,24669,20803
201973,7,91,24,67,0,0,0,91,24,67,81,20,61,0,0,0,0,0,0,10,4,6,5154236,1357442,3796794,4514545,1121129,3393416,0,0,0,0,0,0,639691,236313,403378,4994313,1298364,3695950,54883,54098,55163,55735,56056,55630,,,,,,,63969,59078,67230
202046,7,49,32,17,0,0,0,49,32,17,0,0,0,49,32,17,0,0,0,0,0,0,2800070,1966750,833320,0,0,0,2800070,1966750,833320,0,0,0,0,0,0,2520063,1770075,749988,51430,55315,44117,,,,57144,61461,49019,,,,,,
202073,7,31,17,14,0,0,0,31,17,14,0,0,0,31,17,14,0,0,0,0,0,0,2331703,1344922,986781,0,0,0,2331703,1344922,986781,0,0,0,0,0,0,2098533,1210430,888103,67695,71202,63436,,,,75216,79113,70484,,,,,,
202134,7,557,285,272,0,0,0,557,285,272,518,265,253,0,0,0,0,0,0,39,20,19,50158680,27740630,22418050,45578991,25027306,20551685,0,0,0,0,0,0,4579689,2713324,1866365,49013758,27062299,21951459,87996,94955,80704,87990,94443,81232,,,,,,,117428,135666,98230
202170,7,58,34,24,0,0,0,58,34,24,0,0,0,0,0,0,0,0,0,58,34,24,3883449,2231699,1651750,0,0,0,0,0,0,0,0,0,3883449,2231699,1651750,2912587,1673774,1238813,50217,49229,51617,,,,,,,,,,66956,65638,68823
202222,7,349,161,188,0,0,0,349,161,188,349,161,188,0,0,0,0,0,0,0,0,0,22307636,10568538,11739098,22307636,10568538,11739098,0,0,0,0,0,0,0,0,0,22307636,10568538,11739098,63919,65643,62442,63919,65643,62442,,,,,,,,,
202356,7,398,158,240,0,0,0,398,158,240,398,158,240,0,0,0,0,0,0,0,0,0,33931609,13859470,20072139,33931609,13859470,20072139,0,0,0,0,0,0,0,0,0,33931609,13859470,20072139,85255,87718,83634,85255,87718,83634,,,,,,,,,
202435,7,4,0,4,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,113380,0,113380,113380,0,113380,0,0,0,0,0,0,0,0,0,113380,0,113380,28345,,28345,28345,,28345,,,,,,,,,
202480,7,670,376,294,0,0,0,670,376,294,518,299,219,13,6,7,32,16,16,107,55,52,58118463,35116476,23001987,42939750,26908352,16031398,906762,371514,535248,3492640,1890870,1601770,10779311,5945740,4833571,54697299,33248751,21448547,81638,88428,72954,82895,89994,73203,69751,61919,76464,109145,118179,100111,100741,108104,92953
202514,7,36,20,16,0,0,0,36,20,16,36,20,16,0,0,0,0,0,0,0,0,0,2012394,1160708,851686,2012394,1160708,851686,0,0,0,0,0,0,0,0,0,2012394,1160708,851686,55900,58035,53230,55900,58035,53230,,,,,,,,,
202523,7,238,122,116,0,0,0,238,122,116,238,122,116,0,0,0,0,0,0,0,0,0,21330193,11477350,9852843,21330193,11477350,9852843,0,0,0,0,0,0,0,0,0,21330193,11477350,9852843,89623,94077,84938,89623,94077,84938,,,,,,,,,
202648,7,48,20,28,0,0,0,48,20,28,48,20,28,0,0,0,0,0,0,0,0,0,2464877,1073947,1390930,2464877,1073947,1390930,0,0,0,0,0,0,0,0,0,2464877,1073947,1390930,51352,53697,49676,51352,53697,49676,,,,,,,,,
202763,7,215,106,109,1,1,0,214,105,109,114,66,48,14,5,9,1,1,0,85,33,52,16237333,7880862,8356471,7627744,4412902,3214842,1065922,366832,699090,107049,107049,0,7436618,2994079,4442539,14252103,7076176,7175927,66599,67392,65834,66910,66862,66976,76137,73366,77677,107049,107049,,87490,90730,85433
