UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON,EFDEEX1,EFDEEX2,EFDEEX3,EFDEEX4,EFDEEX5
106449,1,2776,600,856,1320,596,4,0,0,0
106458,1,12863,5279,3587,3997,2736,2542,0,1,0
106467,1,9640,2666,3435,3539,2553,95,0,18,0
106485,1,2677,530,1087,1060,477,53,0,0,0
106494,1,38,,,38,,,,,
106546,1,666,0,8,658,,,,,
106625,1,1380,486,477,417,469,17,0,0,0
106704,1,10105,1295,3405,5405,1112,171,0,12,0
106713,1,622,35,213,374,29,5,0,1,0
106795,1,1360,315,514,531,300,15,0,0,0
106810,1,197,1,156,40,1,0,0,0,0
106883,1,1056,344,339,373,341,3,0,0,0
106892,1,62,,,62,,,,,
106908,1,330,,,330,,,,,
106980,1,2325,604,805,916,597,7,0,0,0
106999,1,1060,113,475,472,109,2,2,0,0
107044,1,4973,916,577,3480,474,306,130,6,0
107071,1,2919,674,1446,799,626,43,0,5,0
107080,1,1120,,,1120,,,,,
107099,1,85,,,85,,,,,
107123,1,66,,,66,,,,,
107141,1,2459,622,437,1400,521,97,0,0,4
107220,1,196,,,196,,,,,
107293,1,53,,,53,,,,,
107318,1,1077,242,336,499,222,20,0,0,0
107327,1,1457,945,169,343,697,248,0,0,0
107442,1,33,,,33,,,,,
107460,1,1792,389,618,785,380,9,0,0,0
107488,1,155,,,155,,,,,
107512,1,1764,31,244,1489,26,5,0,0,0
107521,1,1597,134,128,1335,134,0,0,0,0
107549,1,1007,323,332,352,294,29,0,0,0
107558,1,784,4,324,456,2,0,0,2,0
107585,1,1953,244,678,1031,243,1,0,0,0
107600,1,710,20,587,103,18,2,0,0,0
107619,1,1289,114,261,914,113,1,0,0,0
107637,1,997,290,243,464,289,1,0,0,0
107655,1,37,,,37,,,,,
107664,1,4418,1897,1405,1116,1883,11,0,0,3
107725,1,1191,297,573,321,268,29,0,0,0
107743,1,718,106,351,261,102,4,0,0,0
107789,1,118,,,118,,,,,
107831,1,84,,,84,,,,,
107840,1,245,1,188,56,0,1,0,0,0
107877,1,629,29,53,547,29,0,0,0,0
107974,1,1132,333,337,462,242,91,0,0,0
107983,1,4434,1384,2101,949,1185,191,0,8,0
107992,1,984,227,174,583,214,13,0,0,0
108065,1,15,,,15,,,,,
108092,1,5447,967,2332,2148,837,126,0,4,0
108232,1,7805,4441,2644,720,1101,2490,86,764,0
108269,1,119,,,119,,,,,
108667,1,4983,4464,286,233,4208,0,122,134,0
108807,1,9836,1700,2289,5847,1694,4,0,2,0
108852,1,217,,,217,,,,,
108861,1,60,60,0,0,40,19,0,1,0
108870,1,430,0,41,389,,,,,
108977,1,185,,,185,,,,,
109040,1,1902,0,113,1789,,,,,
109086,1,24,,,24,,,,,
109208,1,25849,19106,2025,4718,18860,0,212,34,0
109350,1,11105,3440,3050,4615,3439,0,0,1,0
109651,1,2319,376,1763,180,262,14,0,93,7
109721,1,180,,,180,,,,,
109730,1,43,,,43,,,,,
109785,1,8126,913,1851,5362,684,60,0,0,169
109819,1,24479,10420,6260,7799,10414,5,1,0,0
109907,1,2341,2119,187,35,2113,6,0,0,0
109934,1,406,0,339,67,,,,,
110060,1,366,306,55,5,205,2,0,66,33
110097,1,5551,904,1888,2759,511,285,0,106,2
110194,1,241,,,241,,,,,
110219,1,1361,1361,0,0,51,1310,0,0,0
110246,1,9537,4394,3205,1938,4312,0,43,39,0
110316,1,1846,1668,22,156,780,401,0,487,0
110334,1,9075,5479,2502,1094,5415,0,41,23,0
110361,1,11489,2512,3638,5339,2210,291,0,11,0
110370,1,1630,1630,0,0,0,0,0,0,1630
