UNITID,EFFYDLEV,EFYDETOT,EFYDEEXC,EFYDESOM,EFYDENON
100654,1,6681,417,4744,1520
100663,1,25963,7858,12675,5430
100690,1,916,916,,
100706,1,11142,1677,7188,2277
100724,1,4425,563,3335,527
100751,1,42327,8207,16842,17278
100760,1,2218,697,954,567
100812,1,3844,2300,1305,239
100830,1,6309,1232,3544,1533
100858,1,34059,4065,12064,17930
100937,1,1105,3,162,940
101028,1,1867,298,890,679
101116,1,655,289,183,183
101143,1,2539,725,915,899
101161,1,9388,2753,3454,3181
101189,1,3507,1662,786,1059
101240,1,5780,1745,2606,1429
101277,1,114,,,114
101286,1,5144,1038,1872,2234
101295,1,7868,1618,2966,3284
101301,1,2489,1110,706,673
101365,1,1126,359,273,494
101435,1,901,2,323,576
101453,1,163,101,46,16
101462,1,1260,147,666,447
101471,1,699,,,699
101480,1,11032,2740,6337,1955
101505,1,12041,5368,3622,3051
101514,1,12815,5407,3937,3471
101569,1,4492,2174,1585,733
101587,1,8789,6656,1062,1071
101602,1,2419,683,1061,675
101648,1,329,0,157,172
101675,1,1712,258,203,1251
101693,1,2066,826,506,734
101709,1,2894,163,1893,838
101736,1,4475,865,1506,2104
101879,1,10645,4849,4536,1260
101897,1,3350,1012,1720,618
101912,1,1639,220,64,1355
101994,1,501,18,273,210
102030,1,3880,651,1296,1933
102049,1,6140,55,2442,3643
102058,1,44,0,44,0
102067,1,7024,3235,2298,1491
102076,1,4992,3669,999,324
102094,1,16101,5336,4565,6200
102234,1,1317,262,827,228
102270,1,864,91,363,410
102298,1,1470,446,790,234
102313,1,2549,755,1176,618
102368,1,18782,10209,4492,4081
102377,1,2904,2,0,2902
102395,1,300,300,,
102429,1,4884,1217,1625,2042
102553,1,17368,7784,6294,3290
102580,1,52,0,11,41
102614,1,10804,4840,3080,2884
102632,1,3473,1751,604,1118
102669,1,691,39,0,652
102711,1,913,,,913
102845,1,3735,984,2751,0
103501,1,474,,,474
103741,1,235,,,235
103893,1,1977,360,825,792
103909,1,931,0,407,524
103927,1,781,0,454,327
103954,1,72,,,72
103963,1,689,0,2,687
104090,1,1465,440,1025,0
104151,1,85163,5620,57450,22093
104160,1,12342,3108,4270,4964
104179,1,54374,12222,19065,23087
104346,1,8285,1907,5091,1287
104391,1,100,,,100
104425,1,9396,1928,1956,5512
104443,1,73,,,73
104568,1,705,0,705,0
104577,1,6588,940,1625,4023
104586,1,3265,20,644,2601
104665,1,6,,,6
104708,1,20921,5528,7377,8016
104717,1,155128,128025,21711,5392
105145,1,7364,2428,2059,2877
105154,1,24462,7715,8289,8458
105206,1,5078,1846,1629,1603
105215,1,1228,,,1228
105297,1,1733,1325,380,28
105330,1,32063,7891,14943,9229
105349,1,4544,2040,781,1723
105367,1,1326,644,682,0
105428,1,14232,4588,4935,4709
105525,1,32415,9325,9464,13626
105534,1,3911,2393,48,1470
105543,1,1232,82,0,1150
105589,1,1366,1061,0,305
105659,1,1634,0,53,1581
105668,1,30625,17513,1384,11728
105677,1,29,,,29
105747,1,11583,3804,3866,3913
105792,1,5243,1846,1774,1623
105899,1,1110,134,569,407
106041,1,2839,,,2839
106148,1,9713,3194,2124,4395
106245,1,10391,5053,2673,2665
106263,1,3434,1030,937,1467
106306,1,862,,,862
106315,1,181,,,181
106324,1,59,,,59
106342,1,595,0,103,492
106351,1,72,,,72
106360,1,40,,,40
106397,1,31882,4448,12977,14457
106412,1,2898,283,2264,351
106449,1,3724,1046,1363,1315
106458,1,18402,9754,5819,2829
106467,1,10943,3128,4915,2900
106485,1,3912,852,1676,1384
106494,1,54,,,54
106546,1,887,0,8,879
106625,1,1978,703,711,564
106704,1,11548,1939,5839,3770
106713,1,674,65,299,310
106795,1,1694,313,810,571
106810,1,211,8,155,48
106883,1,1607,604,645,358
106892,1,139,,,139
106908,1,525,,,525
106980,1,2783,722,1066,995
106999,1,1336,203,682,451
107044,1,5535,819,694,4022
107071,1,3315,900,1987,428
107080,1,1138,,,1138
107099,1,125,,,125
107123,1,100,,,100
107141,1,2845,657,1159,1029
107220,1,361,,,361
107293,1,93,,,93
107318,1,1422,437,358,627
107327,1,1846,1054,390,402
107442,1,42,,,42
107460,1,2194,479,1032,683
107488,1,231,,,231
107512,1,1894,48,1012,834
107521,1,2053,170,307,1576
107549,1,1345,469,499,377
107558,1,848,11,491,346
107585,1,2508,377,1153,978
107600,1,797,21,760,16
107619,1,1597,193,475,929
107637,1,1457,478,591,388
107655,1,50,,,50
107664,1,6404,3171,1745,1488
107725,1,1503,337,487,679
107743,1,902,123,499,280
107789,1,185,,,185
107831,1,122,,,122
107840,1,405,0,260,145
107877,1,677,47,257,373
107974,1,1681,562,610,509
107983,1,5468,1889,3088,491
107992,1,1536,427,358,751
108065,1,21,,,21
108092,1,6150,1286,3337,1527
108232,1,10279,6268,3127,884
108269,1,133,,,133
108667,1,8838,7608,758,472
108807,1,15100,2462,4691,7947
108852,1,251,,,251
108861,1,73,73,0,0
108870,1,460,0,45,415
108977,1,313,,,313
109040,1,2896,0,2072,824
109208,1,41538,27541,5125,8872
109350,1,14843,3108,6528,5207
109651,1,3016,264,2664,88
109721,1,354,,,354
109730,1,108,,,108
109785,1,9415,1858,2942,4615
109819,1,37017,14593,12418,10006
109907,1,3615,3245,315,55
109934,1,682,0,523,159
110060,1,443,342,98,3
110097,1,6090,1171,1971,2948
110194,1,391,,,391
110219,1,2550,2550,0,0
110246,1,12205,4986,4895,2324
110316,1,2317,606,1711,0
110334,1,13574,6353,4534,2687
110361,1,13883,3418,8379,2086
110370,1,1770,138,1539,93
110398,1,1159,18,606,535
110404,1,2501,,,2501
110413,1,4330,388,1161,2781
110422,1,23187,634,20809,1744
110468,1,5546,3557,1577,412
110486,1,12639,5012,6533,1094
110495,1,12022,3100,8428,494
110510,1,21752,2284,16726,2742
110529,1,31117,3814,26474,829
110538,1,17049,2912,13195,942
110547,1,19500,5948,13089,463
110556,1,26981,1643,22395,2943
110565,1,45855,5469,34499,5887
110574,1,17465,6724,10205,536
110583,1,43743,4244,34609,4890
110592,1,29819,3824,24178,1817
110608,1,42700,11302,30762,636
110617,1,36505,7161,27775,1569
110635,1,47911,3433,32953,11525
110644,1,42855,2019,22783,18053
110653,1,38705,4035,31763,2907
110662,1,48638,2335,34381,11922
110671,1,28930,1812,24264,2854
110680,1,44132,1435,35489,7208
110699,1,3286,96,1848,1342
110705,1,28256,84,10149,18023
110714,1,21432,1669,17922,1841
110778,1,1736,15,1585,136
110875,1,104,,,104
110918,1,28,5,13,10
111045,1,91,8,7,76
111054,1,162,,,162
111081,1,1495,,,1495
111188,1,1051,119,379,553
111391,1,815,112,469,234
111434,1,9059,4387,2387,2285
111461,1,27936,9039,9941,8956
111513,1,345,,,345
111638,1,498,0,428,70
111708,1,353,,,353
111717,1,329,,,329
111726,1,309,,,309
111744,1,196,,,196
111762,1,181,,,181
111799,1,273,,,273
111887,1,26691,4947,13464,8280
111896,1,7778,4851,1513,1414
111920,1,17500,10600,4352,2548
111939,1,27715,22190,4889,636
111948,1,10436,0,446,9990
111966,1,1244,0,446,798
112075,1,5037,2725,928,1384
112084,1,619,149,467,3
112127,1,81,11,45,25
112172,1,14394,7166,5245,1983
112181,1,182,,,182
112190,1,26792,3406,10516,12870
112251,1,2136,256,1220,660
112260,1,1433,,,1433
112288,1,660,,,660
112367,1,432,,,432
112385,1,13843,13216,359,268
112394,1,543,118,418,7
112455,1,222,0,9,213
112525,1,3931,24,151,3756
112561,1,3304,1324,1257,723
112570,1,1040,93,0,947
112686,1,5932,2570,2018,1344
112826,1,8786,5897,2276,613
113096,1,21255,16489,3998,768
113111,1,7444,3555,2783,1106
113193,1,13943,6773,4052,3118
113218,1,12428,6631,3492,2305
113236,1,18759,3054,8408,7297
113333,1,26779,21177,4780,822
113449,1,288,,,288
113537,1,13,,,13
113573,1,14068,8169,4814,1085
113582,1,145,0,131,14
113616,1,46,6,0,40
113634,1,25369,15680,7546,2143
113698,1,2153,543,489,1121
113704,1,71,2,55,14
113856,1,49266,30006,6192,13068
113980,1,28431,13049,11700,3682
114114,1,260,,,260
114123,1,153,0,0,153
114266,1,12698,4436,5045,3217
114354,1,2163,52,1608,503
114433,1,2534,847,292,1395
114460,1,513,,,513
114549,1,1436,324,1065,47
114585,1,465,0,465,0
114637,1,117,,,117
114716,1,23194,14813,3947,4434
114734,1,71,17,0,54
114761,1,116,,,116
114789,1,33518,16549,8773,8196
114813,1,4120,881,2082,1157
114840,1,3201,1708,836,657
114859,1,26102,10128,11737,4237
114938,1,6649,2828,1878,1943
114947,1,134,,,134
115001,1,16523,3922,8304,4297
115010,1,949,0,949,0
115083,1,3673,2369,1130,174
115126,1,16795,9608,5076,2111
115214,1,207,7,23,177
115296,1,18249,6753,7436,4060
115357,1,226,,,226
115393,1,13758,4097,4693,4968
115409,1,981,,,981
115658,1,140,,,140
115728,1,1246,0,522,724
115746,1,985,,,985
115755,1,6615,1005,5437,173
115773,1,559,465,0,94
115861,1,10185,3613,5453,1119
115931,1,1145,0,31,1114
116226,1,187,,,187
116350,1,242,,,242
116439,1,17098,6459,7624,3015
116563,1,366,0,332,34
116846,1,148,102,1,45
117052,1,10784,4273,3243,3268
117104,1,620,143,340,137
117140,1,7344,1644,2166,3534
117168,1,806,0,602,204
117195,1,6235,2330,702,3203
117238,1,144,,,144
117247,1,14309,10291,2649,1369
117274,1,2885,1583,423,879
117283,1,57,11,46,0
117520,1,731,0,731,0
117557,1,454,,,454
117575,1,234,127,68,39
117627,1,2073,0,0,2073
117636,1,5095,449,1984,2662
117645,1,32638,17737,12590,2311
117672,1,4038,3048,990,0
117690,1,11263,9179,1647,437
117706,1,22698,16086,4979,1633
117715,1,8917,8319,429,169
117724,1,16958,11159,3223,2576
117733,1,23180,16991,4341,1848
117751,1,3171,723,131,2317
117788,1,23589,19585,2934,1070
117803,1,249,,,249
117867,1,15825,11978,2529,1318
117894,1,11148,6687,3505,956
117946,1,10974,1105,6498,3371
117955,1,431,0,391,40
118134,1,140,,,140
118143,1,179,,,179
118161,1,201,,,201
118198,1,1356,360,443,553
118347,1,6770,2252,2685,1833
118541,1,585,15,525,45
118684,1,5219,2436,1194,1589
118693,1,846,,,846
118718,1,13886,8045,4455,1386
118772,1,10948,8831,1291,826
118912,1,16847,12729,3479,639
118930,1,10043,6627,2587,829
118958,1,108,,,108
118976,1,22655,9723,10698,2234
118994,1,638,,,638
119058,1,799,191,517,91
119067,1,10426,4310,3038,3078
119137,1,19768,12197,6276,1295
119164,1,36607,138,2524,33945
119173,1,3166,651,2174,341
119216,1,19567,448,4357,14762
119270,1,1198,281,130,787
119331,1,6459,3533,1853,1073
119553,1,1976,272,1704,0
119605,1,28596,19065,5292,4239
119678,1,3846,1950,0,1896
119775,1,430,216,91,123
119951,1,309,,,309
120069,1,529,0,529,0
120078,1,1061,0,1061,0
120087,1,414,0,414,0
120166,1,97,3,29,65
120184,1,301,5,204,92
120254,1,2024,,,2024
120290,1,16743,2769,4533,9441
120342,1,22807,10350,10264,2193
120403,1,1310,0,1310,0
120421,1,10459,7593,2237,629
120537,1,1271,640,136,495
120661,1,1146,0,1146,0
120698,1,1287,489,4,794
120768,1,1637,1069,382,186
120795,1,121,0,121,0
120838,1,41,,,41
120865,1,1018,37,560,421
120883,1,6621,35,0,6586
120953,1,5943,3323,244,2376
120971,1,26222,15730,7449,3043
121044,1,31175,15949,11844,3382
121150,1,12642,4083,1154,7405
121257,1,1198,,,1198
121275,1,186,,,186
121309,1,5171,617,2306,2248
121345,1,1821,,,1821
121363,1,5062,2102,2039,921
121433,1,184,,,184
121619,1,38996,11310,9804,17882
121628,1,137,0,88,49
121637,1,200,,,200
121691,1,4629,378,1470,2781
121707,1,5563,2228,1580,1755
121859,1,375,,,375
121868,1,359,,,359
121886,1,22401,2954,7053,12394
121901,1,26542,14460,9240,2842
122117,1,150,,,150
122180,1,28801,22770,4454,1577
122205,1,28892,15602,9477,3813
122296,1,2589,369,58,2162
122339,1,21600,18149,2586,865
122375,1,28647,19486,7039,2122
122384,1,21791,13302,3009,5480
122409,1,39053,3146,29404,6503
122436,1,10021,1275,0,8746
122506,1,452,,,452
122597,1,30339,9775,19067,1497
122612,1,11467,1325,7690,2452
122649,1,161,4,54,103
122658,1,23945,17668,5793,484
122685,1,3756,2298,267,1191
122694,1,1312,0,390,922
122728,1,2316,554,781,981
122746,1,11624,5369,3938,2317
122755,1,40879,9712,29750,1417
122791,1,12601,2803,4643,5155
122889,1,18777,8051,7306,3420
122931,1,9664,575,0,9089
122977,1,34036,11545,17275,5216
123013,1,23100,12957,6949,3194
123095,1,1116,330,785,1
123165,1,1154,,,1154
123217,1,15695,5379,7143,3173
123280,1,55,33,18,4
123299,1,10813,5536,2736,2541
123341,1,23183,12868,6617,3698
123350,1,194,,,194
123448,1,526,195,305,26
123457,1,1127,295,571,261
123484,1,2421,1024,487,910
123493,1,225,,,225
123509,1,15289,3749,4194,7346
123527,1,15495,9464,4545,1486
123554,1,3315,70,19,3226
123563,1,11932,8830,2532,570
123572,1,8173,1403,6391,379
123633,1,357,0,357,0
123642,1,323,,,323
123651,1,2514,237,1941,336
123679,1,1145,0,1145,0
123800,1,22002,5721,9681,6600
123916,1,101,101,,
123943,1,740,15,135,590
123952,1,642,,,642
123961,1,54222,8897,19619,25706
123970,1,980,152,825,3
124113,1,6764,1573,1133,4058
124283,1,281,281,0,0
124292,1,501,,,501
124487,1,212,22,122,68
124681,1,1922,,,1922
124706,1,1209,0,1209,0
124937,1,1065,0,1065,0
125028,1,16451,9457,5420,1574
125037,1,314,63,182,69
125082,1,140,,,140
125091,1,14497,3559,6033,4905
125170,1,9904,7660,1498,746
125231,1,73537,73537,,
125310,1,76,,,76
125462,1,5412,3406,1253,753
125471,1,18440,16579,1249,612
125499,1,10492,6943,2822,727
125532,1,3110,1453,846,811
125718,1,135,,,135
125727,1,1289,3,342,944
125763,1,1453,0,900,553
125897,1,1098,13,820,265
126012,1,598,,,598
126049,1,309,16,140,153
126076,1,161,,,161
126119,1,7963,3862,1577,2524
126182,1,3833,998,1653,1182
126207,1,9037,1622,2400,5015
126289,1,15853,2618,4140,9095
126359,1,302,,,302
126562,1,29833,5925,13873,10035
126580,1,15264,2014,7599,5651
126605,1,448,,,448
126614,1,43746,419,1185,42142
126669,1,15662,8214,1109,6339
126678,1,2472,0,33,2439
126687,1,1222,0,1222,0
126711,1,7424,999,2060,4365
126748,1,1533,200,219,1114
126775,1,7789,345,1450,5994
126784,1,223,,,223
126818,1,36664,6782,17116,12766
126827,1,50237,50060,157,20
126863,1,10701,1552,1705,7444
126915,1,308,0,66,242
126942,1,10392,2413,2659,5320
126951,1,1887,,,1887
126979,1,1097,373,412,312
127060,1,17202,5583,2400,9219
127158,1,5854,0,36,5818
127185,1,3983,226,2093,1664
127200,1,27228,7187,6423,13618
127273,1,269,23,76,170
127316,1,400,,,400
127389,1,844,106,244,494
127556,1,10038,816,5359,3863
127565,1,21698,5231,13126,3341
127617,1,1730,443,561,726
127653,1,1091,230,489,372
127714,1,990,990,,
127732,1,1814,163,369,1282
127741,1,12017,2189,6442,3386
127778,1,1451,150,524,777
127820,1,15030,4171,5249,5610
127884,1,8074,1421,1638,5015
127909,1,9917,2939,1619,5359
127918,1,6676,1901,2864,1911
127945,1,2874,2117,747,10
127954,1,40,,,40
128106,1,12257,7330,2854,2073
128151,1,1049,,,1049
128179,1,1119,,,1119
128188,1,1845,,,1845
128258,1,2185,138,278,1769
128328,1,4209,,,4209
128337,1,130,,,130
128391,1,5740,1174,550,4016
128498,1,1684,661,661,362
128577,1,1803,1063,449,291
128586,1,56,,,56
128744,1,4989,1521,1737,1731
128771,1,11260,979,2210,8071
128780,1,2286,2286,,
128896,1,307,,,307
128902,1,1891,0,71,1820
129002,1,714,0,0,714
129020,1,29298,2302,18151,8845
129154,1,5856,2862,1555,1439
129181,1,1669,,,1669
129215,1,4736,128,994,3614
129242,1,6271,623,1995,3653
129349,1,309,,,309
129367,1,3590,2453,1137,0
129428,1,169,169,,
129482,1,631,0,451,180
129491,1,152,64,48,40
129525,1,7113,1931,461,4721
129534,1,1170,650,250,270
129543,1,5051,2552,1788,711
