UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
100654,1,2,422627,0,106,2199,44140,1394,132576,426220,176822,603042,9467,9349,18816,1,2334,132,1,19.00,7.00,2.00,5.00,5.00,0,1048322,1,379338,677666,2538342,6881,3222889,151048,968041,1119089,5769638,5390300
100663,1,2,909616,500019,528,33849,7090,27523,123608,970988,631245,1602233,11522,376895,388417,1,17366,5398,1,76.90,31.00,9.00,25.90,11.00,1,3526438,1,978833,1445134,7632328,115455,9192917,17286,520756,538042,14236230,13257397
100690,1,2,55381,746,61,0,0,1220,0,56601,807,57408,51,22387,22438,1,0,519,1,1.00,1.00,0.00,0.00,0.00,0,54800,2,0,13740,56568,5235,75543,0,4675,4675,135018,135018
100706,1,2,205393,465652,239,14492,82090,859,90442,220744,638423,859167,2194,337414,339608,1,4030,2252,1,31.73,9.80,5.00,8.43,8.50,0,1330197,2,0,40894,1484396,28958,1554248,5730,126915,132645,3017090,3017090
100724,1,2,311953,71935,196,34774,0,1616,6745,348343,78876,427219,256,24600,24856,1,216,25,1,46.00,11.00,22.00,1.00,12.00,0,1501980,1,435026,50340,568509,0,618849,41886,315351,357237,2913092,2478066
100751,1,2,2070476,2073879,630,192760,164899,61845,237133,2325081,2476541,4801622,27966,333462,361428,1,11720,7417,1,142.50,49.00,19.00,46.00,28.50,6,7109844,2,0,933805,10325539,744215,12003559,0,2283625,2283625,21397028,21397028
100760,1,2,27252,8656,2,472,0,0,0,27724,8658,36382,1260,1251,2511,1,0,0,1,5.00,2.00,1.00,2.00,0.00,2,194164,1,72074,962,14484,1280,16726,0,2565,2565,285529,213455
100812,1,2,82124,345924,146,200,0,81,66624,82405,412694,495099,1547,10501,12048,1,1260,61,1,11.25,4.00,4.00,0.25,3.00,0,425183,1,171783,57692,232524,0,290216,2053,8966,11019,898201,726418
100830,1,2,632359,716964,158,4240,165,931,64110,637530,781397,1418927,1781,1904,3685,1,486,740,1,30.00,8.00,10.00,3.00,9.00,0,993406,1,289835,44071,412752,41753,498576,100,97324,97424,1879241,1589406
100858,1,2,1660975,1427985,305,598031,50257,66293,238038,2325299,1716585,4041884,37789,1406266,1444055,1,15245,8162,1,119.60,33.00,27.00,28.30,31.30,2,5109582,1,1353819,963842,8258047,89594,9311483,20821,1963311,1984132,17759016,16405197
