UNITID,BAREVCT,BAEXCLU,BAAC150,BANC100,BAGR100,BANC150,BAGR150,BAAEXCL,BAAC200,BANC200A,BASTEND,BANC200,BAGR200,L4REVCT,L4EXCLU,L4AC150,L4NC100,L4GR100,L4NC150,L4GR150,L4AEXCL,L4AC200,L4NC200A,L4STEND,L4NC200,L4GR200
229780,281,0,281,40,14,69,25,0,281,2,4,71,25,,,,,,,,,,,,,
229814,1323,0,1323,360,27,586,44,0,1323,45,38,631,48,,,,,,,,,,,,,
229832,,,,,,,,,,,,,,251,0,251,118,47,122,49,0,251,5,1,127,51
229841,,,,,,,,,,,,,,1338,0,1338,173,13,266,20,0,1338,52,209,318,24
229887,228,0,228,42,18,64,28,0,228,0,0,64,28,,,,,,,,,,,,,
230010,,,,,,,,,,,,,,228,2,226,129,57,151,67,0,226,8,0,159,70
230038,4013,962,3051,630,21,2302,75,-759,3810,807,96,3109,82,,,,,,,,,,,,,
230047,518,117,401,107,27,195,49,0,401,3,0,198,49,,,,,,,,,,,,,
230065,,,,,,,,,,,,,,90,0,90,17,19,63,70,0,90,0,0,63,70
230144,,,,,,,,,,,,,,29,0,29,15,52,27,93,0,29,1,0,28,97
230162,,,,,,,,,,,,,,311,3,308,177,57,191,62,1,307,6,1,197,64
230171,906,70,836,113,14,194,23,0,836,24,7,218,26,,,,,,,,,,,,,
230199,,,,,,,,,,,,,,61,0,61,35,57,50,82,0,61,0,0,50,82
230205,,,,,,,,,,,,,,61,0,61,49,80,55,90,0,61,0,0,55,90
230214,,,,,,,,,,,,,,28,0,28,0,0,17,61,0,28,0,0,17,61
230490,,,,,,,,,,,,,,223,6,217,27,12,142,65,2,215,9,1,151,70
230597,6,0,6,5,83,6,100,0,6,0,0,6,100,,,,,,,,,,,,,
230603,1158,128,1030,227,22,398,39,-24,1054,35,14,433,41,,,,,,,,,,,,,
230676,,,,,,,,,,,,,,101,0,101,81,80,89,88,0,101,4,0,93,92
230728,2952,458,2494,516,21,1206,48,-108,2602,166,19,1372,53,,,,,,,,,,,,,
230737,1538,215,1323,169,13,386,29,-45,1368,93,21,479,35,,,,,,,,,,,,,
230746,,,,,,,,,,,,,,1852,69,1783,291,16,531,30,0,1783,84,144,615,34
230764,2871,473,2398,820,34,1609,67,0,2398,182,61,1791,75,,,,,,,,,,,,,
230782,1627,46,1581,257,16,572,36,13,1568,122,45,694,44,,,,,,,,,,,,,
230807,481,12,469,267,57,324,69,0,469,8,1,332,71,,,,,,,,,,,,,
230816,192,1,191,117,61,136,71,0,191,3,1,139,73,,,,,,,,,,,,,
230834,371,0,371,169,46,207,56,0,371,3,0,210,57,,,,,,,,,,,,,
230852,619,0,619,354,57,407,66,0,619,4,2,411,66,,,,,,,,,,,,,
230861,,,,,,,,,,,,,,194,1,193,41,21,54,28,0,193,3,17,57,30
230889,7,0,7,2,29,2,29,0,7,0,0,2,29,,,,,,,,,,,,,
230913,490,0,490,156,32,212,43,0,490,5,2,217,44,,,,,,,,,,,,,
230959,580,0,580,503,87,543,94,0,580,3,0,546,94,,,,,,,,,,,,,
230995,660,0,660,329,50,374,57,0,660,2,1,376,57,,,,,,,,,,,,,
231004,,,,,,,,,,,,,,71,0,71,20,28,45,63,0,71,0,0,45,63
231059,573,0,573,410,72,427,75,0,573,2,0,429,75,,,,,,,,,,,,,
231095,19,0,19,3,16,3,16,0,19,0,0,3,16,,,,,,,,,,,,,
231165,82,0,82,20,24,31,38,0,82,0,1,31,38,,,,,,,,,,,,,
231174,2286,1,2285,1466,64,1733,76,0,2285,22,4,1755,77,,,,,,,,,,,,,
231280,,,,,,,,,,,,,,17,0,17,0,0,10,59,0,17,0,0,10,59
231411,,,,,,,,,,,,,,210,6,204,147,72,147,72,0,204,4,1,151,74
231420,213,0,213,90,42,107,50,0,213,6,0,113,53,,,,,,,,,,,,,
231536,,,,,,,,,,,,,,476,0,476,90,19,155,33,0,476,16,22,171,36
231554,154,1,153,33,22,55,36,0,153,2,0,57,37,,,,,,,,,,,,,
231581,488,1,487,278,57,307,63,0,487,2,0,309,63,,,,,,,,,,,,,
231624,1511,2,1509,1277,85,1377,91,0,1509,6,0,1383,92,,,,,,,,,,,,,
231651,200,0,200,100,50,122,61,0,200,3,3,125,63,,,,,,,,,,,,,
