UNITID,SNHCAT,OCCUPCAT,FACSTAT,SGTYPE,HRTOTLT,HRTOTLM,HRTOTLW,HRAIANT,HRAIANM,HRAIANW,HRASIAT,HRASIAM,HRASIAW,HRBKAAT,HRBKAAM,HRBKAAW,HRHISPT,HRHISPM,HRHISPW,HRNHPIT,HRNHPIM,HRNHPIW,HRWHITT,HRWHITM,HRWHITW,HR2MORT,HR2MORM,HR2MORW,HRUNKNT,HRUNKNM,HRUNKNW,HRNRALT,HRNRALM,HRNRALW
100654,10000,100,0,1,86,37,49,0,0,0,1,1,0,53,21,32,0,0,0,0,0,0,27,13,14,0,0,0,2,2,0,3,0,3
100663,10000,100,0,1,1000,402,598,1,1,0,50,28,22,270,79,191,27,12,15,0,0,0,491,199,292,24,12,12,33,8,25,104,63,41
100690,10000,100,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
100706,10000,100,0,1,212,98,114,2,0,2,11,2,9,20,6,14,8,3,5,0,0,0,162,79,83,2,2,0,0,0,0,7,6,1
100724,10000,100,0,1,110,42,68,0,0,0,3,2,1,77,32,45,0,0,0,0,0,0,5,2,3,0,0,0,25,6,19,0,0,0
100733,10000,100,0,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0
100751,10000,100,0,1,811,315,496,0,0,0,30,18,12,172,36,136,23,9,14,1,0,1,514,214,300,8,1,7,3,0,3,60,37,23
100760,10000,100,0,1,18,7,11,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,14,6,8,0,0,0,0,0,0,0,0,0
100812,10000,100,0,1,42,13,29,0,0,0,3,2,1,4,1,3,0,0,0,0,0,0,35,10,25,0,0,0,0,0,0,0,0,0
100830,10000,100,0,1,86,32,54,0,0,0,3,0,3,27,12,15,0,0,0,0,0,0,35,13,22,0,0,0,17,3,14,4,4,0
100858,10000,100,0,1,296,119,177,0,0,0,6,2,4,56,8,48,7,2,5,1,1,0,194,88,106,2,1,1,3,1,2,27,16,11
100937,10000,100,0,1,42,14,28,0,0,0,2,1,1,7,5,2,1,0,1,0,0,0,30,6,24,0,0,0,2,2,0,0,0,0
101028,10000,100,0,1,19,7,12,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,11,3,8,0,0,0,0,0,0,0,0,0
101116,10000,100,0,1,6,2,4,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
101143,10000,100,0,1,14,7,7,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,11,5,6,0,0,0,0,0,0,0,0,0
101161,10000,100,0,1,57,19,38,1,1,0,0,0,0,16,4,12,1,1,0,0,0,0,38,13,25,1,0,1,0,0,0,0,0,0
101189,10000,100,0,1,42,20,22,1,0,1,0,0,0,7,4,3,1,1,0,0,0,0,33,15,18,0,0,0,0,0,0,0,0,0
101240,10000,100,0,1,39,17,22,1,1,0,0,0,0,6,2,4,2,0,2,0,0,0,29,14,15,1,0,1,0,0,0,0,0,0
101286,10000,100,0,1,37,8,29,0,0,0,0,0,0,8,1,7,0,0,0,0,0,0,23,6,17,2,0,2,4,1,3,0,0,0
101295,10000,100,0,1,36,15,21,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,33,14,19,0,0,0,0,0,0,0,0,0
101301,10000,100,0,1,8,2,6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0
101365,10000,100,0,1,4,1,3,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
101435,10000,100,0,1,8,7,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
101462,10000,100,0,1,13,2,11,0,0,0,0,0,0,8,2,6,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0,0,0
101471,10000,100,0,1,18,10,8,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0
101480,10000,100,0,1,122,51,71,1,1,0,4,2,2,11,6,5,3,1,2,0,0,0,96,38,58,0,0,0,2,0,2,5,3,2
101505,10000,100,0,1,34,15,19,0,0,0,0,0,0,9,2,7,1,1,0,0,0,0,24,12,12,0,0,0,0,0,0,0,0,0
101514,10000,100,0,1,29,7,22,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,21,5,16,1,0,1,2,0,2,0,0,0
101569,10000,100,0,1,20,10,10,0,0,0,0,0,0,16,6,10,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0
101587,10000,100,0,1,26,7,19,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,12,3,9,0,0,0,8,2,6,2,2,0
101602,10000,100,0,1,15,6,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,6,8,0,0,0,0,0,0,0,0,0
101648,10000,100,0,1,8,5,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0
101675,10000,100,0,1,42,21,21,0,0,0,0,0,0,36,19,17,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0
101693,10000,100,0,1,6,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
101709,10000,100,0,1,66,25,41,1,0,1,1,1,0,19,6,13,0,0,0,0,0,0,44,17,27,0,0,0,0,0,0,1,1,0
101736,10000,100,0,1,32,9,23,0,0,0,0,0,0,3,0,3,1,0,1,0,0,0,26,8,18,0,0,0,2,1,1,0,0,0
101879,10000,100,0,1,72,35,37,0,0,0,2,2,0,8,1,7,1,1,0,0,0,0,61,31,30,0,0,0,0,0,0,0,0,0
101897,10000,100,0,1,13,4,9,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0
101912,10000,100,0,1,4,2,2,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101994,10000,100,0,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0
102030,10000,100,0,1,22,4,18,0,0,0,0,0,0,11,2,9,0,0,0,0,0,0,9,2,7,1,0,1,1,0,1,0,0,0
102049,10000,100,0,1,28,8,20,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,25,8,17,0,0,0,0,0,0,0,0,0
102067,10000,100,0,1,27,8,19,1,1,0,1,1,0,11,3,8,0,0,0,0,0,0,14,3,11,0,0,0,0,0,0,0,0,0
102076,10000,100,0,1,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5,0,0,0,0,0,0,0,0,0
102094,10000,100,0,1,249,133,116,0,0,0,23,14,9,52,27,25,1,0,1,1,1,0,163,89,74,6,0,6,3,2,1,0,0,0
102234,10000,100,0,1,41,11,30,0,0,0,0,0,0,11,1,10,1,0,1,0,0,0,29,10,19,0,0,0,0,0,0,0,0,0
102270,10000,100,0,1,48,22,26,0,0,0,0,0,0,46,22,24,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
102298,10000,100,0,1,29,10,19,0,0,0,0,0,0,28,9,19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102313,10000,100,0,1,18,5,13,0,0,0,0,0,0,15,4,11,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
102368,10000,100,0,1,78,33,45,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,59,23,36,1,0,1,2,1,1,7,6,1
102377,10000,100,0,1,33,18,15,0,0,0,0,0,0,32,17,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102395,10000,100,0,1,10,5,5,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0
102429,10000,100,0,1,19,9,10,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,17,9,8,0,0,0,0,0,0,0,0,0
102553,10000,100,0,1,132,58,74,6,1,5,2,0,2,2,0,2,7,4,3,2,0,2,92,44,48,8,5,3,11,4,7,2,0,2
102614,10000,100,0,1,106,63,43,6,3,3,2,0,2,0,0,0,4,2,2,0,0,0,65,40,25,7,2,5,10,7,3,12,9,3
102632,10000,100,0,1,24,8,16,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,22,8,14,0,0,0,0,0,0,0,0,0
102669,10000,100,0,1,22,7,15,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9,2,0,2,0,0,0,0,0,0
102845,10000,100,0,1,75,27,48,2,0,2,2,0,2,12,4,8,16,3,13,3,0,3,40,20,20,0,0,0,0,0,0,0,0,0
103501,10000,100,0,1,5,1,4,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
103529,10000,100,0,1,18,10,8,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0,0,3,2,1,1,0,1
103893,10000,100,0,1,32,6,26,2,1,1,0,0,0,4,2,2,6,1,5,0,0,0,18,2,16,1,0,1,1,0,1,0,0,0
103909,10000,100,0,1,17,5,12,0,0,0,0,0,0,2,0,2,4,1,3,0,0,0,10,3,7,0,0,0,1,1,0,0,0,0
103927,10000,100,0,1,15,0,15,0,0,0,0,0,0,1,0,1,3,0,3,1,0,1,8,0,8,2,0,2,0,0,0,0,0,0
104090,10000,100,0,1,21,4,17,0,0,0,1,1,0,3,0,3,3,0,3,0,0,0,12,3,9,2,0,2,0,0,0,0,0,0
104151,10000,100,0,1,1608,687,921,24,7,17,76,28,48,78,27,51,237,79,158,4,0,4,583,242,341,40,22,18,417,201,216,149,81,68
104160,10000,100,0,1,49,16,33,0,0,0,1,0,1,0,0,0,20,6,14,0,0,0,18,7,11,0,0,0,10,3,7,0,0,0
104179,10000,100,0,1,435,182,253,6,3,3,26,10,16,25,11,14,97,32,65,1,0,1,210,85,125,12,6,6,15,9,6,43,26,17
104346,10000,100,0,1,29,18,11,0,0,0,1,1,0,2,2,0,12,6,6,0,0,0,12,7,5,2,2,0,0,0,0,0,0,0
104425,10000,100,0,1,44,17,27,0,0,0,1,1,0,6,2,4,6,2,4,0,0,0,27,11,16,1,0,1,1,0,1,2,1,1
104577,10000,100,0,1,25,14,11,1,1,0,0,0,0,0,0,0,3,2,1,0,0,0,21,11,10,0,0,0,0,0,0,0,0,0
104586,10000,100,0,1,133,89,44,0,0,0,11,10,1,3,3,0,12,6,6,1,0,1,80,48,32,3,3,0,20,17,3,3,2,1
104708,10000,100,0,1,48,21,27,0,0,0,0,0,0,2,2,0,11,3,8,0,0,0,29,13,16,1,1,0,4,1,3,1,1,0
104717,10000,100,0,1,340,176,164,4,2,2,7,5,2,25,8,17,77,47,30,1,1,0,192,91,101,14,8,6,20,14,6,0,0,0
105136,10000,100,0,1,48,20,28,1,0,1,5,2,3,5,3,2,13,4,9,0,0,0,17,6,11,1,0,1,6,5,1,0,0,0
105145,10000,100,0,1,34,14,20,1,1,0,0,0,0,3,0,3,9,5,4,0,0,0,21,8,13,0,0,0,0,0,0,0,0,0
105154,10000,100,0,1,59,27,32,0,0,0,3,1,2,2,1,1,14,5,9,1,0,1,35,18,17,2,1,1,2,1,1,0,0,0
105206,10000,100,0,1,35,14,21,0,0,0,1,0,1,2,1,1,3,2,1,0,0,0,25,8,17,1,0,1,3,3,0,0,0,0
105215,10000,100,0,1,6,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0
105297,10000,100,0,1,28,16,12,26,14,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
105330,10000,100,0,1,342,157,185,17,6,11,11,2,9,11,4,7,33,13,20,0,0,0,238,112,126,5,3,2,14,9,5,13,8,5
105349,10000,100,0,1,23,13,10,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,17,9,8,0,0,0,2,1,1,0,0,0
105428,10000,100,0,1,26,8,18,0,0,0,3,3,0,1,0,1,9,2,7,0,0,0,12,3,9,0,0,0,1,0,1,0,0,0
105525,10000,100,0,1,79,38,41,1,1,0,2,1,1,7,2,5,22,10,12,0,0,0,42,23,19,3,1,2,2,0,2,0,0,0
105534,10000,100,0,1,38,17,21,1,0,1,1,1,0,1,0,1,13,4,9,0,0,0,19,9,10,3,3,0,0,0,0,0,0,0
105543,10000,100,0,1,17,4,13,1,1,0,1,0,1,0,0,0,6,2,4,0,0,0,8,1,7,1,0,1,0,0,0,0,0,0
105589,10000,100,0,1,20,6,14,1,0,1,0,0,0,3,1,2,0,0,0,0,0,0,10,4,6,0,0,0,6,1,5,0,0,0
105659,10000,100,0,1,13,9,4,2,1,1,0,0,0,2,2,0,3,3,0,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0
105668,10000,100,0,1,42,10,32,1,0,1,4,1,3,2,0,2,7,3,4,0,0,0,28,6,22,0,0,0,0,0,0,0,0,0
105747,10000,100,0,1,27,8,19,0,0,0,0,0,0,3,1,2,8,2,6,0,0,0,16,5,11,0,0,0,0,0,0,0,0,0
105792,10000,100,0,1,13,9,4,1,0,1,0,0,0,0,0,0,6,5,1,0,0,0,5,3,2,0,0,0,1,1,0,0,0,0
105899,10000,100,0,1,36,23,13,0,0,0,0,0,0,2,1,1,4,2,2,0,0,0,27,18,9,0,0,0,3,2,1,0,0,0
106041,10000,100,0,1,22,13,9,0,0,0,1,1,0,0,0,0,11,7,4,0,0,0,10,5,5,0,0,0,0,0,0,0,0,0
106148,10000,100,0,1,67,35,32,0,0,0,2,1,1,1,1,0,14,7,7,2,1,1,44,23,21,0,0,0,4,2,2,0,0,0
106245,10000,100,0,1,121,51,70,1,0,1,0,0,0,34,12,22,8,4,4,0,0,0,69,28,41,1,1,0,6,4,2,2,2,0
106263,10000,100,0,1,568,210,358,2,0,2,36,19,17,117,24,93,24,7,17,2,1,1,322,127,195,16,4,12,8,4,4,41,24,17
106306,10000,100,0,1,11,3,8,0,0,0,0,0,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106342,10000,100,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
106397,10000,100,0,1,610,280,330,8,5,3,16,4,12,68,33,35,49,20,29,1,0,1,392,177,215,8,3,5,17,7,10,51,31,20
106412,10000,100,0,1,53,24,29,1,0,1,1,1,0,43,17,26,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,2,1,1
106449,10000,100,0,1,46,20,26,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,38,14,24,3,3,0,0,0,0,0,0,0
106458,10000,100,0,1,195,88,107,1,1,0,4,4,0,35,12,23,10,1,9,0,0,0,126,57,69,1,0,1,4,4,0,14,9,5
106467,10000,100,0,1,39,9,30,1,0,1,6,2,4,1,0,1,1,0,1,0,0,0,29,7,22,0,0,0,1,0,1,0,0,0
106485,10000,100,0,1,60,31,29,1,1,0,2,2,0,8,3,5,1,0,1,0,0,0,43,21,22,0,0,0,2,1,1,3,3,0
106546,10000,100,0,1,15,2,13,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,13,2,11,0,0,0,0,0,0,0,0,0
106625,10000,100,0,1,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0
106704,10000,100,0,1,166,74,92,0,0,0,1,1,0,25,8,17,3,1,2,1,1,0,125,57,68,6,3,3,0,0,0,5,3,2
106713,10000,100,0,1,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0
106795,10000,100,0,1,16,4,12,1,0,1,0,0,0,2,1,1,1,0,1,0,0,0,12,3,9,0,0,0,0,0,0,0,0,0
106810,10000,100,0,1,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0
106883,10000,100,0,1,15,6,9,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,0,0
106980,10000,100,0,1,24,11,13,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23,11,12,0,0,0,0,0,0,0,0,0
106999,10000,100,0,1,11,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9,0,0,0,0,0,0,0,0,0
107044,10000,100,0,1,72,25,47,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,67,24,43,1,0,1,1,1,0,1,0,1
107071,10000,100,0,1,38,16,22,0,0,0,0,0,0,4,1,3,1,1,0,0,0,0,32,14,18,0,0,0,1,0,1,0,0,0
