UNITID,FACSTAT,SISTOTL,SISPROF,SISASCP,SISASTP,SISINST,SISLECT,SISNORK
109651,0,149,55,80,12,2,0,0
109785,0,343,122,105,106,10,0,0
109819,0,412,0,0,0,412,0,0
109907,0,40,24,11,5,0,0,0
110060,0,5,0,0,0,0,0,5
110097,0,249,79,125,39,6,0,0
110219,0,18,0,0,0,18,0,0
110246,0,198,0,0,0,198,0,0
110316,0,63,22,21,16,0,4,0
110334,0,201,0,0,0,201,0,0
110361,0,366,148,89,96,11,17,5
110370,0,90,25,45,19,1,0,0
110398,0,57,41,2,0,0,14,0
110404,0,343,263,0,47,19,9,5
110413,0,180,69,41,33,1,36,0
110422,0,886,311,182,164,0,226,3
110468,0,162,71,41,50,0,0,0
110486,0,340,75,71,87,0,107,0
110495,0,378,127,87,79,0,85,0
110510,0,534,164,120,122,0,127,1
110529,0,668,239,156,144,0,129,0
110538,0,517,168,132,111,0,105,1
110547,0,426,114,86,95,0,131,0
110556,0,792,224,178,151,0,237,2
110565,0,1027,362,257,172,0,236,0
110574,0,353,121,90,100,0,42,0
110583,0,1082,352,222,205,0,301,2
110592,0,715,235,123,184,0,173,0
110608,0,916,375,206,147,0,181,7
110617,0,804,294,160,205,0,142,3
110635,0,1883,853,366,303,0,328,33
110644,0,2749,1284,607,555,19,282,2
110653,0,2213,973,438,483,43,276,0
110662,0,4302,1776,688,1210,325,280,23
110671,0,1021,367,258,217,6,164,9
110680,0,2990,1325,627,700,0,306,32
110699,0,3133,1283,757,997,96,0,0
110705,0,1085,513,173,189,0,204,6
110714,0,772,304,143,151,0,163,11
110778,0,16,0,0,0,0,0,16
111081,0,150,0,0,0,0,0,150
111188,0,60,17,20,11,0,12,0
111391,0,31,17,7,0,7,0,0
111434,0,92,0,0,0,92,0,0
111461,0,217,0,0,0,217,0,0
111638,0,13,3,4,2,4,0,0
111887,0,216,0,0,0,216,0,0
111896,0,67,0,0,0,67,0,0
111920,0,183,0,0,0,183,0,0
111939,0,255,0,0,0,255,0,0
111948,0,563,162,151,218,29,0,3
111966,0,84,8,21,39,16,0,0
112075,0,108,34,30,44,0,0,0
112084,0,7,0,2,4,1,0,0
112127,0,6,2,3,0,1,0,0
112172,0,168,0,0,0,168,0,0
112190,0,439,0,0,0,439,0,0
112251,0,83,47,21,15,0,0,0
112260,0,184,67,58,52,4,3,0
112385,0,54,0,0,0,54,0,0
112394,0,10,3,4,1,2,0,0
112525,0,307,65,96,133,13,0,0
112561,0,52,0,0,0,52,0,0
112570,0,6,0,0,0,6,0,0
112686,0,99,0,0,0,99,0,0
112826,0,105,0,0,0,105,0,0
113096,0,196,0,0,0,196,0,0
113111,0,77,0,0,0,63,0,14
113193,0,141,0,0,0,141,0,0
113218,0,115,0,0,0,115,0,0
113236,0,237,0,0,0,237,0,0
113333,0,244,0,0,0,244,0,0
113573,0,118,71,15,17,15,0,0
113634,0,274,0,0,0,274,0,0
113698,0,105,28,20,47,10,0,0
113704,0,12,6,1,5,0,0,0
113856,0,296,0,0,0,296,0,0
113980,0,330,0,0,0,330,0,0
114266,0,117,0,0,0,117,0,0
114354,0,8,0,0,0,8,0,0
114433,0,26,17,0,9,0,0,0
