UNITID,SCUGFFP,GISTN2,GISTON2,GISTWF2,GISTOF2,GISTUN2,GISTT2,GISTA2,GISTN1,GISTON1,GISTWF1,GISTOF1,GISTUN1,GISTT1,GISTA1,GISTN0,GISTON0,GISTWF0,GISTOF0,GISTUN0,GISTT0,GISTA0,GIS4N2,GIS4ON2,GIS4WF2,GIS4OF2,GIS4UN2,GIS4T2,GIS4A2,GIS4N12,GIS4T12,GIS4A12,GIS4N22,GIS4T22,GIS4A22,GIS4N32,GIS4T32,GIS4A32,GIS4N42,GIS4T42,GIS4A42,GIS4N52,GIS4T52,GIS4A52,NPIST2,NPIST1,NPIST0,NPIS412,NPIS422,NPIS432,NPIS442,NPIS452,GRNTN2,GRNTON2,GRNTWF2,GRNTOF2,GRNTUN2,GRNTT2,GRNTA2,GRNTN1,GRNTON1,GRNTWF1,GRNTOF1,GRNTUN1,GRNTT1,GRNTA1,GRNTN0,GRNTON0,GRNTWF0,GRNTOF0,GRNTUN0,GRNTT0,GRNTA0,GRN4N2,GRN4ON2,GRN4WF2,GRN4OF2,GRN4UN2,GRN4T2,GRN4A2,GRN4N12,GRN4T12,GRN4A12,GRN4N22,GRN4T22,GRN4A22,GRN4N32,GRN4T32,GRN4A32,GRN4N42,GRN4T42,GRN4A42,GRN4N52,GRN4T52,GRN4A52,NPGRN2,NPGRN1,NPGRN0,NPT412,NPT422,NPT432,NPT442,NPT452,GIS4N1,GIS4ON1,GIS4WF1,GIS4OF1,GIS4UN1,GIS4T1,GIS4A1,GIS4N11,GIS4T11,GIS4A11,GIS4N21,GIS4T21,GIS4A21,GIS4N31,GIS4T31,GIS4A31,GIS4N41,GIS4T41,GIS4A41,GIS4N51,GIS4T51,GIS4A51,NPIS411,NPIS421,NPIS431,NPIS441,NPIS451,GRN4N1,GRN4ON1,GRN4WF1,GRN4OF1,GRN4UN1,GRN4T1,GRN4A1,GRN4N11,GRN4T11,GRN4A11,GRN4N21,GRN4T21,GRN4A21,GRN4N31,GRN4T31,GRN4A31,GRN4N41,GRN4T41,GRN4A41,GRN4N51,GRN4T51,GRN4A51,NPT411,NPT421,NPT431,NPT441,NPT451,GIS4N0,GIS4ON0,GIS4WF0,GIS4OF0,GIS4UN0,GIS4T0,GIS4A0,GIS4N10,GIS4T10,GIS4A10,GIS4N20,GIS4T20,GIS4A20,GIS4N30,GIS4T30,GIS4A30,GIS4N40,GIS4T40,GIS4A40,GIS4N50,GIS4T50,GIS4A50,NPIS410,NPIS420,NPIS430,NPIS440,NPIS450,GRN4N0,GRN4ON0,GRN4WF0,GRN4OF0,GRN4UN0,GRN4T0,GRN4A0,GRN4N10,GRN4T10,GRN4A10,GRN4N20,GRN4T20,GRN4A20,GRN4N30,GRN4T30,GRN4A30,GRN4N40,GRN4T40,GRN4A40,GRN4N50,GRN4T50,GRN4A50,NPT410,NPT420,NPT430,NPT440,NPT450,GIS4G2,GIS4G12,GIS4G22,GIS4G32,GIS4G42,GIS4G52,GIS4G1,GIS4G11,GIS4G21,GIS4G31,GIS4G41,GIS4G51,GIS4G0,GIS4G10,GIS4G20,GIS4G30,GIS4G40,GIS4G50,GRN4G2,GRN4G12,GRN4G22,GRN4G32,GRN4G42,GRN4G52,GRN4G1,GRN4G11,GRN4G21,GRN4G31,GRN4G41,GRN4G51,GRN4G0,GRN4G10,GRN4G20,GRN4G30,GRN4G40,GRN4G50
100937,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,200,49,0,0,2684585,10781,326,264,60,0,2,3780687,11597,318,261,57,0,0,2918080,9176,207,171,36,0,0,2654119,12822,26,426922,16420,20,332355,16618,20,326359,16318,34,407830,11995,107,1160653,10847,22888,21474,23452,17500,17302,17602,21925,23073,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,139,43,0,0,2312434,12706,49,751090,15328,13,177368,13644,32,425201,13288,26,323505,12443,62,635270,10246,17186,18870,19226,20071,22268,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,156,46,0,0,2017654,9988,37,462616,12503,30,374102,12470,40,461437,11536,30,284327,9478,65,435172,6695,19592,19625,20559,22617,25400,,,,,,,,,,,,,,,,,,,207,26,20,20,34,107,182,49,13,32,26,62,201,37,30,40,30,64
101028,14,163,,163,0,0,933077,5724,237,,237,0,0,1694526,7150,252,,252,0,0,1603577,6363,117,,117,0,0,674269,5763,62,381548,6154,28,192766,6885,18,66660,3703,8,29295,3662,1,4000,4000,3596,2110,2225,3166,2435,5617,5658,5320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,187,0,0,1425497,7623,128,971447,7589,37,335813,9076,16,93975,5873,6,24262,4044,0,0,,1671,184,3387,5216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,252,0,0,1216752,4828,188,972551,5173,43,200650,4666,16,39037,2440,3,3303,1101,2,1211,606,3415,3922,6148,7487,7982,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,59,28,15,5,1,186,128,37,16,5,0,245,188,41,13,2,1,,,,,,,,,,,,,,,,,,
101116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,1,0,25965,8655,13,,4,9,0,101980,7845,6,,2,4,0,47245,7874,3,,3,0,0,13005,4335,2,13005,6503,0,0,,1,0,0,0,0,,0,0,,17478,21140,20384,16604,,23107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4,8,0,98915,8243,8,66207,8276,2,13434,6717,1,2354,2354,0,0,,1,16920,16920,20485,22044,26407,,11841,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,2,4,0,47245,7874,6,47245,7874,0,0,,0,0,,0,0,,0,0,,20384,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,12,8,2,1,0,1,6,6,0,0,0,0
101143,17,235,,182,35,18,1483530,6313,317,,256,43,18,1607796,5072,245,,204,30,11,1422693,5807,189,,155,33,1,1179434,6240,111,814136,7335,34,248521,7309,17,87991,5176,12,16926,1411,15,11860,791,3064,4401,3521,2119,2145,4278,8043,8663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,215,41,2,1398137,5419,147,932070,6341,37,230699,6235,38,160413,4221,27,50989,1888,9,23966,2663,3220,3326,5340,7673,6898,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,184,30,2,1238703,5735,149,955332,6412,34,194440,5719,19,77001,4053,5,3445,689,9,8485,943,2981,3674,5340,8704,8450,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,111,34,12,5,3,250,147,37,36,22,8,197,142,34,17,2,2,,,,,,,,,,,,,,,,,,
101161,14,793,89,581,64,59,4970683,6268,957,223,240,390,104,6396818,6684,1063,231,230,467,135,6365242,5988,543,40,443,60,0,3713100,6838,291,2392721,8222,98,753495,7689,72,382943,5319,39,64882,1664,43,119059,2769,6744,8453,9324,4659,5192,7562,11217,10112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,207,221,275,100,4810718,5991,459,3362663,7326,144,908312,6308,93,365229,3927,59,122413,2075,48,52101,1085,7589,8607,10988,12840,13830,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,195,214,418,4,4976320,5988,464,3225362,6951,156,1128522,7234,104,425236,4089,58,98761,1703,49,98439,2009,8300,8017,11162,13548,13242,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,291,98,70,33,36,702,458,143,74,20,7,727,455,153,86,18,15,,,,,,,,,,,,,,,,,,
101189,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,225,31,17,0,4643087,17008,256,168,44,12,32,3784982,14785,251,175,46,30,0,3567010,14211,224,187,25,12,0,3603195,16086,82,1427296,17406,29,492433,16980,37,612572,16556,35,501923,14341,41,568971,13877,19439,19889,19990,19051,19477,19901,22116,22580,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,142,32,10,28,3038928,14335,80,1250739,15634,22,299284,13604,42,665554,15847,39,485003,12436,29,338348,11667,19201,21231,18988,22399,23168,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,151,35,24,0,2856366,13602,72,1077241,14962,37,531451,14364,36,464320,12898,33,429488,13015,32,353866,11058,19355,19953,21419,21302,23259,,,,,,,,,,,,,,,,,,,221,82,29,36,33,41,212,80,22,42,39,29,210,72,37,36,33,32
101240,16,507,17,279,211,0,2826790,5576,628,31,327,270,0,3586520,5711,654,40,332,282,0,3544391,5420,370,13,191,166,0,2360478,6380,257,1767471,6877,64,383650,5995,39,158832,4073,10,50525,5053,0,0,,4890,4776,4960,3742,4624,6546,5566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,18,274,238,0,3174158,5989,382,2430087,6361,85,494006,5812,53,207076,3907,9,42062,4674,1,927,927,4166,4715,6620,5853,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,30,283,234,0,3237958,5919,419,2575912,6148,81,445789,5504,45,208360,4630,2,7897,3949,0,0,,4198,4842,5716,6397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,257,64,39,10,0,530,382,85,53,9,1,547,419,81,45,2,0,,,,,,,,,,,,,,,,,,
101277,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,15,22,0,162357,4388,41,,19,22,0,162607,3966,67,,36,31,0,211305,3154,47,,22,25,0,158607,3375,31,121521,3920,5,21533,4307,4,6036,1509,5,9517,1903,2,0,0,12945,12385,12681,12975,12588,15386,14992,16895,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,22,23,0,162607,3613,31,113698,3668,7,30587,4370,5,14858,2972,2,3464,1732,0,0,,12505,11803,13201,14441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,36,31,0,208258,3108,42,149558,3561,12,41461,3455,8,14580,1823,5,2659,532,0,0,,12274,12380,14012,15303,,,,,,,,,,,,,,,,,,,,37,29,5,2,1,0,41,31,7,2,1,0,51,34,11,5,1,0
101286,10,296,,235,43,18,2127681,7188,556,,161,323,72,4113638,7399,495,,172,302,21,3762499,7601,211,,171,40,0,1534117,7271,146,1056322,7235,43,338884,7881,22,138911,6314,0,0,,0,0,,1274,2699,2347,1556,910,2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,152,260,13,3657639,8606,293,2717856,9276,79,649446,8221,52,285065,5482,1,5272,5272,0,0,,714,1769,4508,4718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,158,246,8,3326227,8073,297,2518692,8480,71,586671,8263,39,203847,5227,5,17017,3403,0,0,,1383,1600,4636,6460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,146,43,22,0,0,425,293,79,52,1,0,412,297,71,39,5,0,,,,,,,,,,,,,,,,,,
101295,19,573,49,413,111,0,2991034,5220,674,70,481,120,3,4237812,6288,627,46,457,115,9,3213502,5125,530,27,387,116,0,2506508,4729,273,1642860,6018,111,598654,5393,72,195899,2721,44,41963,954,30,27132,904,7924,6107,7094,7178,7803,10475,12242,12292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,34,374,118,0,3078099,5852,336,2189584,6517,110,571267,5193,72,295018,4097,7,15635,2234,1,6595,6595,6020,7344,8440,10303,5942,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,37,476,117,2,2990943,4733,571,2828025,4953,21,97284,4633,14,47605,3400,11,18029,1639,15,0,0,7191,7511,8744,10505,12144,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,272,108,61,13,7,526,336,110,72,7,1,536,501,21,10,4,0,,,,,,,,,,,,,,,,,,
