UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
487409,27072,,,902,,902,,,2
487418,31464,,,1049,,1049,,,2
487427,26856,,,895,,895,,,2
487436,27072,,,902,,902,,,2
487445,21168,,,706,,706,,,2
487454,22776,,,759,,759,,,2
487472,31272,,,1042,,1042,,,2
487481,58752,,,1958,,1958,,,2
487490,45480,,,1516,,1516,,,2
487506,,72505,,81,,81,,,1
487524,69857,,10387,2329,433,2329,433,238,2
487533,,125145,,139,,139,,,1
487588,10675,,,356,,356,,,2
487597,54282,,,1809,,1809,,,2
487603,18946,,4494,632,187,632,187,,2
487621,,23000,,26,,26,,,1
487649,,,6648,,277,,277,,-2
487658,3090,,,103,,103,,,2
487676,,203115,,226,,226,,,1
487746,1230,,,41,,41,,,2
487773,,41941,,47,,47,,,1
487791,,656894,,730,,730,,,1
487807,,113312,,126,,126,,,1
487816,,20640,,23,,20,,,1
487852,,12675,,14,,14,,,1
487861,9523,,,317,,317,,,2
487889,,40584,,45,,45,,,1
487898,,22149,,25,,25,,,1
487904,,34080,,38,,38,,,1
487922,,65580,,73,,73,,,1
487959,,61212,,68,,68,,,1
487968,,43260,,48,,48,,,1
487977,30361,67629,,1087,,1087,,,3
487995,2350,,4020,52,112,52,112,0,2
488004,1170,,,39,,39,,,2
488013,,71931,,80,,80,,,1
488022,,55080,,61,,61,,,1
488031,1608,,415,54,17,54,17,159,2
488059,7958,,,265,,265,,,2
488068,1164,,357,39,15,39,15,,2
488077,111192,,,3706,,3706,,,2
488101,3420,,,114,,114,,,2
488110,,45185,,50,,50,,,1
488129,,25200,,28,,28,,,1
488138,,95154,,106,,106,,,1
488147,,81352,,90,,90,,,1
488174,,41104,,46,,46,,,1
488183,,17020,,19,,19,,,1
488192,,60548,,67,,67,,,1
488217,,87457,,97,,97,,,1
488226,,21213,,24,,24,,,1
488253,,42922,,48,,48,,,1
488262,,29000,,32,,32,,,1
488271,,117645,,131,,131,,,1
488280,,49800,,55,,55,,,1
488299,,35980,,40,,35,,,1
