UNITID,LPBOOKSP,LPMEDIAP,LPSERIAP,LEBOOKSP,LEDATABP,LEMEDIAP,LESERIAP,LSALWAGP,LFRNGBNP,LEXMSBBP,LEXMSCSP,LEXMSOTP,LEXOMTLP,LEXPTOTF,LTOTLFTE,LLIBRFTE,LPROFFTE,LPAIDFTE,LSTUDFTE
100654,70,0,0,0,0,7,22,18,7,12,44,0,19,1091,19.00,7.00,2.00,5.00,5.00
100663,57,2,2,31,0,0,8,25,7,10,54,1,4,683,76.90,31.00,9.00,25.90,11.00
100690,96,0,2,1,0,0,0,41,0,10,42,4,3,245,1.00,1.00,0.00,0.00,0.00
100706,24,2,0,54,0,10,11,44,0,1,49,1,4,349,31.73,9.80,5.00,8.43,8.50
100724,73,8,0,17,0,0,2,52,15,2,20,0,12,745,46.00,11.00,22.00,1.00,12.00
100751,43,4,1,43,0,3,5,33,0,4,48,3,11,610,142.50,49.00,19.00,46.00,28.50
100760,75,1,0,24,0,0,0,68,25,0,5,0,1,288,5.00,2.00,1.00,2.00,0.00
100812,17,0,0,70,0,0,13,47,19,6,26,0,1,399,11.25,4.00,4.00,0.25,3.00
100830,45,0,0,51,0,0,5,53,15,2,22,2,5,396,30.00,8.00,10.00,3.00,9.00
100858,41,15,2,35,0,1,6,29,8,5,47,1,11,601,119.60,33.00,27.00,28.30,31.30
100937,22,3,1,48,0,17,9,51,8,6,26,0,10,791,12.25,6.00,0.00,4.00,2.25
101028,39,1,0,34,0,0,26,70,26,2,0,2,0,188,3.00,1.00,2.00,0.00,0.00
101116,1,0,0,73,0,10,16,,,,,,,,1.00,1.00,0.00,0.00,0.00
101143,40,3,0,57,0,0,0,,,,,,,,2.00,0.00,2.00,0.00,0.00
101161,32,2,0,66,0,0,0,62,22,5,5,4,2,234,21.00,4.00,5.00,6.00,6.00
101189,16,0,0,72,0,0,11,64,0,0,27,3,6,204,13.00,5.00,1.00,2.00,5.00
101240,43,3,0,49,0,0,5,65,18,1,4,1,12,165,15.00,3.00,3.00,7.00,2.00
101286,89,8,0,2,0,0,0,65,21,9,4,1,0,134,10.39,3.17,0.00,2.95,4.27
101295,11,3,0,48,0,18,20,59,14,9,17,0,0,115,9.00,2.00,2.00,1.00,4.00
101301,80,2,0,0,0,0,17,73,18,3,3,2,0,199,4.00,1.00,1.00,0.00,2.00
101365,0,0,0,66,0,20,14,,,,,,,,0.00,0.00,0.00,0.00,0.00
101435,33,2,0,43,0,0,22,53,6,4,23,1,13,695,7.46,4.00,1.00,1.12,1.34
101453,50,0,3,37,10,0,0,56,10,18,5,0,11,2666,2.00,1.00,0.00,1.00,0.00
101462,41,2,0,57,0,0,0,52,17,2,13,0,16,523,3.00,2.00,0.00,0.00,1.00
101471,99,0,1,0,0,0,0,,,,,,,,,,,,
101480,45,1,5,18,0,15,17,59,0,18,18,0,5,335,42.00,14.00,14.00,0.00,14.00
101505,10,0,0,48,0,12,31,45,15,0,17,0,22,195,7.00,5.00,2.00,0.00,0.00
101514,50,0,0,50,0,0,0,61,20,2,2,7,7,118,13.00,2.00,4.00,7.00,0.00
101569,42,1,0,57,0,0,0,64,23,1,4,2,6,331,9.00,4.00,2.00,2.00,1.00
101587,57,1,12,1,0,1,29,67,0,2,30,0,1,136,12.00,5.00,3.00,0.00,4.00
101602,35,1,0,19,0,44,0,68,22,1,7,3,0,225,8.00,1.00,1.00,3.00,3.00
101648,76,1,4,19,0,0,0,70,23,1,4,0,2,398,5.00,3.00,2.00,0.00,0.00
101675,20,1,6,73,0,0,0,73,14,0,2,0,11,127,4.00,2.00,2.00,0.00,0.00
101693,15,0,0,70,0,0,15,42,0,0,48,0,10,196,8.00,2.00,0.00,1.00,5.00
101709,27,1,0,45,0,17,10,49,15,5,22,1,9,530,15.58,6.60,0.00,4.70,4.28
101736,61,2,0,37,0,0,0,72,21,2,4,1,0,165,5.78,2.00,1.00,1.78,1.00
101879,22,1,0,59,0,10,8,40,13,2,37,1,8,374,23.28,9.00,0.00,10.30,3.98
101897,11,0,0,63,0,19,6,58,19,4,9,0,10,352,4.80,2.50,1.30,1.00,0.00
101912,9,1,0,67,0,17,6,34,21,2,27,12,4,564,12.00,1.00,2.00,4.00,5.00
101994,46,0,0,36,0,0,17,,,,,,,,1.00,0.00,1.00,0.00,0.00
102030,1,2,0,91,0,6,0,53,24,0,15,2,6,227,8.00,1.00,4.00,0.00,3.00
102049,30,2,1,42,0,15,12,55,19,1,18,1,7,703,46.64,20.00,4.00,18.50,4.14
102058,99,0,0,0,0,1,0,,,,,,,,1.00,1.00,0.00,0.00,0.00
102067,52,0,0,47,0,0,0,65,25,5,2,0,2,214,8.00,4.00,3.00,0.00,1.00
102076,3,0,0,78,0,19,0,63,20,0,12,0,4,138,2.00,2.00,0.00,0.00,0.00
102094,34,2,0,53,0,6,5,28,10,1,56,3,1,592,62.00,20.00,4.00,35.00,3.00
