UNITID,SCUGFFP,GISTN2,GISTON2,GISTWF2,GISTOF2,GISTUN2,GISTT2,GISTA2,GISTN1,GISTON1,GISTWF1,GISTOF1,GISTUN1,GISTT1,GISTA1,GISTN0,GISTON0,GISTWF0,GISTOF0,GISTUN0,GISTT0,GISTA0,GIS4N2,GIS4ON2,GIS4WF2,GIS4OF2,GIS4UN2,GIS4T2,GIS4A2,GIS4N12,GIS4T12,GIS4A12,GIS4N22,GIS4T22,GIS4A22,GIS4N32,GIS4T32,GIS4A32,GIS4N42,GIS4T42,GIS4A42,GIS4N52,GIS4T52,GIS4A52,NPIST2,NPIST1,NPIST0,NPIS412,NPIS422,NPIS432,NPIS442,NPIS452,GRNTN2,GRNTON2,GRNTWF2,GRNTOF2,GRNTUN2,GRNTT2,GRNTA2,GRNTN1,GRNTON1,GRNTWF1,GRNTOF1,GRNTUN1,GRNTT1,GRNTA1,GRNTN0,GRNTON0,GRNTWF0,GRNTOF0,GRNTUN0,GRNTT0,GRNTA0,GRN4N2,GRN4ON2,GRN4WF2,GRN4OF2,GRN4UN2,GRN4T2,GRN4A2,GRN4N12,GRN4T12,GRN4A12,GRN4N22,GRN4T22,GRN4A22,GRN4N32,GRN4T32,GRN4A32,GRN4N42,GRN4T42,GRN4A42,GRN4N52,GRN4T52,GRN4A52,NPGRN2,NPGRN1,NPGRN0,NPT412,NPT422,NPT432,NPT442,NPT452,GIS4N1,GIS4ON1,GIS4WF1,GIS4OF1,GIS4UN1,GIS4T1,GIS4A1,GIS4N11,GIS4T11,GIS4A11,GIS4N21,GIS4T21,GIS4A21,GIS4N31,GIS4T31,GIS4A31,GIS4N41,GIS4T41,GIS4A41,GIS4N51,GIS4T51,GIS4A51,NPIS411,NPIS421,NPIS431,NPIS441,NPIS451,GRN4N1,GRN4ON1,GRN4WF1,GRN4OF1,GRN4UN1,GRN4T1,GRN4A1,GRN4N11,GRN4T11,GRN4A11,GRN4N21,GRN4T21,GRN4A21,GRN4N31,GRN4T31,GRN4A31,GRN4N41,GRN4T41,GRN4A41,GRN4N51,GRN4T51,GRN4A51,NPT411,NPT421,NPT431,NPT441,NPT451,GIS4N0,GIS4ON0,GIS4WF0,GIS4OF0,GIS4UN0,GIS4T0,GIS4A0,GIS4N10,GIS4T10,GIS4A10,GIS4N20,GIS4T20,GIS4A20,GIS4N30,GIS4T30,GIS4A30,GIS4N40,GIS4T40,GIS4A40,GIS4N50,GIS4T50,GIS4A50,NPIS410,NPIS420,NPIS430,NPIS440,NPIS450,GRN4N0,GRN4ON0,GRN4WF0,GRN4OF0,GRN4UN0,GRN4T0,GRN4A0,GRN4N10,GRN4T10,GRN4A10,GRN4N20,GRN4T20,GRN4A20,GRN4N30,GRN4T30,GRN4A30,GRN4N40,GRN4T40,GRN4A40,GRN4N50,GRN4T50,GRN4A50,NPT410,NPT420,NPT430,NPT440,NPT450,GIS4G2,GIS4G12,GIS4G22,GIS4G32,GIS4G42,GIS4G52,GIS4G1,GIS4G11,GIS4G21,GIS4G31,GIS4G41,GIS4G51,GIS4G0,GIS4G10,GIS4G20,GIS4G30,GIS4G40,GIS4G50,GRN4G2,GRN4G12,GRN4G22,GRN4G32,GRN4G42,GRN4G52,GRN4G1,GRN4G11,GRN4G21,GRN4G31,GRN4G41,GRN4G51,GRN4G0,GRN4G10,GRN4G20,GRN4G30,GRN4G40,GRN4G50
100937,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,199,45,0,0,3455829,14163,249,200,49,0,0,2684585,10781,326,264,60,0,2,3780687,11597,207,172,35,0,0,3264837,15772,31,556903,17965,18,329373,18299,32,539065,16846,40,595967,14899,86,1243529,14460,21153,22888,21474,17530,17196,18649,20596,21035,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,171,36,0,0,2654119,12822,26,426922,16420,20,332355,16618,20,326359,16318,34,407830,11995,107,1160653,10847,17500,17302,17602,21925,23073,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,139,43,0,0,2312434,12706,49,751090,15328,13,177368,13644,32,425201,13288,26,323505,12443,62,635270,10246,17186,18870,19226,20071,22268,,,,,,,,,,,,,,,,,,,207,31,18,32,40,86,207,26,20,20,34,107,182,49,13,32,26,62
101028,13,139,,139,0,0,836625,6019,163,,163,0,0,933077,5724,237,,237,0,0,1694526,7150,123,,123,0,0,710633,5778,69,506440,7340,25,136586,5463,12,44494,3708,13,20293,1561,4,2820,705,3301,3596,2110,1980,3857,5612,7759,8615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,117,0,0,674269,5763,62,381548,6154,28,192766,6885,18,66660,3703,8,29295,3662,1,4000,4000,3166,2435,5617,5658,5320,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,187,0,0,1425497,7623,128,971447,7589,37,335813,9076,16,93975,5873,6,24262,4044,0,0,,1671,184,3387,5216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,68,23,12,6,1,108,59,28,15,5,1,186,128,37,16,5,0,,,,,,,,,,,,,,,,,,
101116,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,10,0,55001,5000,3,,2,1,0,25965,8655,13,,4,9,0,101980,7845,11,,1,10,0,55001,5000,7,42347,6050,2,7072,3536,1,4167,4167,1,1415,1415,0,0,,27195,17478,21140,26145,28659,28028,30780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,0,0,13005,4335,2,13005,6503,0,0,,1,0,0,0,0,,0,0,,16604,,23107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4,8,0,98915,8243,8,66207,8276,2,13434,6717,1,2354,2354,0,0,,1,16920,16920,20485,22044,26407,,11841,,,,,,,,,,,,,,,,,,,11,7,2,1,1,0,2,2,0,0,0,0,12,8,2,1,0,1
101143,19,266,,209,40,17,1741574,6547,235,,182,35,18,1483530,6313,317,,256,43,18,1607796,5072,234,,193,41,0,1430920,6115,120,913689,7614,38,256812,6758,41,200550,4891,22,37585,1708,13,22284,1714,2826,3064,4401,1838,2694,4561,7744,7738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,155,33,1,1179434,6240,111,814136,7335,34,248521,7309,17,87991,5176,12,16926,1411,15,11860,791,2119,2145,4278,8043,8663,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,215,41,2,1398137,5419,147,932070,6341,37,230699,6235,38,160413,4221,27,50989,1888,9,23966,2663,3220,3326,5340,7673,6898,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,120,37,34,9,4,165,111,34,12,5,3,250,147,37,36,22,8,,,,,,,,,,,,,,,,,,
101161,15,951,169,321,232,229,5933553,6239,793,89,581,64,59,4970683,6268,957,223,240,390,104,6396818,6684,668,136,239,219,74,4769708,7140,342,2991006,8746,124,997073,8041,89,493163,5541,65,156932,2414,48,131534,2740,7938,6744,8453,5700,6405,8905,12032,11706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,40,443,60,0,3713100,6838,291,2392721,8222,98,753495,7689,72,382943,5319,39,64882,1664,43,119059,2769,4659,5192,7562,11217,10112,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,207,221,275,100,4810718,5991,459,3362663,7326,144,908312,6308,93,365229,3927,59,122413,2075,48,52101,1085,7589,8607,10988,12840,13830,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,341,124,87,58,42,528,291,98,70,33,36,702,458,143,74,20,7,,,,,,,,,,,,,,,,,,
101189,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,138,29,9,0,2857901,16238,273,225,31,17,0,4643087,17008,256,168,44,12,32,3784982,14785,139,104,25,10,0,2320015,16691,52,820839,15785,25,495333,19813,29,486075,16761,15,242424,16162,18,275344,15297,20050,19439,19889,20384,16356,19408,20007,20872,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,187,25,12,0,3603195,16086,82,1427296,17406,29,492433,16980,37,612572,16556,35,501923,14341,41,568971,13877,19051,19477,19901,22116,22580,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,142,32,10,28,3038928,14335,80,1250739,15634,22,299284,13604,42,665554,15847,39,485003,12436,29,338348,11667,19201,21231,18988,22399,23168,,,,,,,,,,,,,,,,,,,138,52,25,29,15,17,221,82,29,36,33,41,212,80,22,42,39,29
101240,15,514,29,264,221,0,3005467,5847,507,17,279,211,0,2826790,5576,628,31,327,270,0,3586520,5711,399,22,206,171,0,2670566,6693,262,1812720,6919,62,451677,7285,66,371894,5635,9,34275,3808,0,0,,4777,4890,4776,3694,3328,4978,6805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,13,191,166,0,2360478,6380,257,1767471,6877,64,383650,5995,39,158832,4073,10,50525,5053,0,0,,3742,4624,6546,5566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,18,274,238,0,3174158,5989,382,2430087,6361,85,494006,5812,53,207076,3907,9,42062,4674,1,927,927,4166,4715,6620,5853,9600,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,262,62,66,9,0,370,257,64,39,10,0,530,382,85,53,9,1,,,,,,,,,,,,,,,,,,
101277,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,11,16,0,110377,4088,37,,15,22,0,162357,4388,41,,19,22,0,162607,3966,27,,11,16,0,110377,4088,20,94112,4706,4,13765,3441,0,0,,2,1500,750,1,1000,1000,13408,12945,12385,12790,14055,,16746,16496,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,22,25,0,158607,3375,31,121521,3920,5,21533,4307,4,6036,1509,5,9517,1903,2,0,0,12975,12588,15386,14992,16895,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,22,23,0,162607,3613,31,113698,3668,7,30587,4370,5,14858,2972,2,3464,1732,0,0,,12505,11803,13201,14441,,,,,,,,,,,,,,,,,,,,27,20,4,0,2,1,37,29,5,2,1,0,41,31,7,2,1,0
101286,13,382,,306,53,23,2784371,7289,296,,235,43,18,2127681,7188,556,,161,323,72,4113638,7399,285,,237,48,0,2023101,7099,179,1300344,7264,65,462663,7118,36,250715,6964,5,9379,1876,0,0,,1106,1274,2699,1328,1474,1628,6716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,171,40,0,1534117,7271,146,1056322,7235,43,338884,7881,22,138911,6314,0,0,,0,0,,1556,910,2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,,152,260,13,3657639,8606,293,2717856,9276,79,649446,8221,52,285065,5482,1,5272,5272,0,0,,714,1769,4508,4718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,179,65,36,5,0,211,146,43,22,0,0,425,293,79,52,1,0,,,,,,,,,,,,,,,,,,
101295,18,671,65,487,116,3,3741614,5576,573,49,413,111,0,2991034,5220,674,70,481,120,3,4237812,6288,589,39,426,124,0,2660251,4517,560,2568987,4587,19,48251,2540,8,43013,5377,0,0,,2,0,0,9619,7924,6107,10901,12948,10111,,15488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,27,387,116,0,2506508,4729,273,1642860,6018,111,598654,5393,72,195899,2721,44,41963,954,30,27132,904,7178,7803,10475,12242,12292,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,34,374,118,0,3078099,5852,336,2189584,6517,110,571267,5193,72,295018,4097,7,15635,2234,1,6595,6595,6020,7344,8440,10303,5942,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,466,13,8,0,0,461,272,108,61,13,7,526,336,110,72,7,1,,,,,,,,,,,,,,,,,,
101301,13,193,,159,27,7,1513684,7843,156,,131,20,5,1059638,6793,216,,84,107,25,1502116,6954,176,,149,27,0,1339823,7613,132,1061753,8044,37,249584,6746,6,26841,4474,1,1645,1645,0,0,,1291,2247,5192,1151,2449,4721,7550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,122,20,0,1021047,7190,106,781101,7369,28,198646,7095,6,28067,4678,2,13233,6617,0,0,,1733,2007,4424,2485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,105,78,15,1430783,7226,167,1239341,7421,24,160074,6670,6,26123,4354,1,5245,5245,0,0,,3733,4484,6800,5909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,132,37,6,1,0,142,106,28,6,2,0,198,167,24,6,1,0,,,,,,,,,,,,,,,,,,
101365,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,1,27,3,194328,6269,16,,1,15,0,69035,4315,11,,0,11,0,50355,4578,24,,1,23,0,165038,6877,15,133447,8896,6,28031,4672,0,0,,2,3560,1780,1,0,0,21953,26887,25741,19256,23480,,26372,28152,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,1,15,0,69035,4315,12,46728,3894,4,22307,5577,0,0,,0,0,,0,0,,27308,25625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,0,11,0,50355,4578,9,39014,4335,1,7369,7369,1,3972,3972,0,0,,0,0,,25984,22950,26347,,,,,,,,,,,,,,,,,,,,,23,15,6,0,2,0,16,12,4,0,0,0,11,9,1,1,0,0
101435,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,225,25,0,0,4005034,16020,219,196,23,0,0,3435618,15688,255,223,32,0,0,3961692,15536,207,187,20,0,0,3334056,16107,58,1053525,18164,27,506490,18759,31,493636,15924,28,410432,14658,63,869973,13809,23662,23664,22026,21553,20958,23793,25059,25908,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,158,22,0,0,2852542,15847,44,858299,19507,19,357916,18838,33,478894,14512,40,516783,12920,44,640650,14560,19670,20339,24665,26257,24617,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,174,27,0,0,3186039,15851,52,1015205,19523,23,383695,16682,30,459588,15320,35,511023,14601,61,816528,13386,17960,20801,22163,22882,24097,,,,,,,,,,,,,,,,,,,207,58,27,31,28,63,180,44,19,33,40,44,201,52,23,30,35,61
101453,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,0,0,38370,12790,1,0,1,0,0,11168,11168,1,0,0,0,1,8883,8883,3,1,2,0,0,38370,12790,1,14674,14674,0,0,,2,23696,11848,0,0,,0,0,,5020,4856,13571,3136,,5962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,11168,11168,0,0,,1,11168,11168,0,0,,0,0,,0,0,,,4856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,2,0,0,1,0,1,0,0,0,,,,,,
101462,7,48,,29,18,1,300636,6263,54,,36,18,0,301525,5584,69,,39,29,1,405709,5880,40,,23,17,0,277599,6940,30,211865,7062,7,55227,7890,3,10507,3502,0,0,,0,0,,5533,5746,5977,5016,4188,8576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,31,18,0,290824,5935,37,225847,6104,10,55580,5558,2,9397,4699,0,0,,0,0,,5440,5986,6845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,34,28,0,389019,6275,54,358085,6631,7,26944,3849,1,3990,3990,0,0,,0,0,,5384,8166,8025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,30,7,3,0,0,49,37,10,2,0,0,62,54,7,1,0,0,,,,,,,,,,,,,,,,,,
