UNITID,SCFA1N,SCFA1P,SCFA11N,SCFA11P,SCFA12N,SCFA12P,SCFA13N,SCFA13P,SCFA14N,SCFA14P,SCFA2,SCFY1N,SCFY1P,SCFY2,ANYAIDN,ANYAIDP,FGRNT_N,FGRNT_P,FGRNT_A,SGRNT_N,SGRNT_P,SGRNT_A,IGRNT_N,IGRNT_P,IGRNT_A,LOAN_N,LOAN_P,LOAN_A,SCUGFFN,SCUGRAD,UAGRNTT,UPGRNTN,AGRNT_N,AGRNT_P,AGRNT_A,PGRNT_N,PGRNT_P,PGRNT_A,OFGRT_N,OFGRT_P,OFGRT_A,FLOAN_N,FLOAN_P,FLOAN_A,OLOAN_N,OLOAN_P,OLOAN_A,UAGRNTN,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANN,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP
107619,124,11,104,84,20,16,0,0,0,0,1092,,,,119,96,106,85,5671,34,27,1059,35,28,2097,0,0,,124,1092,3006016,431,117,94,6073,98,79,5246,86,69,1011,0,0,,0,0,,615,56,4888,39,2045553,4746,0,0,0,,710512,601112,514137,86975,36001,73399,0,0,0,117,94
107637,79,7,0,0,78,99,1,1,0,0,1113,,,,77,97,66,84,4975,17,22,1074,16,20,1083,11,14,3717,79,1113,5297610,703,72,91,5055,56,71,5757,24,30,250,11,14,3717,0,0,,1074,96,4933,63,3432939,4883,261,23,1328820,5091,363962,328378,322378,6000,18250,17334,40884,40884,0,74,94
107655,,,,,,,,,,,,24,39,61,17,71,15,63,4078,0,0,,0,0,,13,54,6098,24,61,134092,34,15,63,4078,15,63,4078,0,0,,13,54,6098,0,0,,34,56,3944,56,134092,3944,36,59,219471,6096,61165,61165,61165,0,0,0,79275,79275,0,17,71
107664,740,15,0,0,726,98,14,2,0,0,4810,,,,656,89,459,62,6472,223,30,1065,301,41,1961,280,38,3438,740,4810,15485555,2416,624,84,6087,458,62,5217,383,52,1518,279,38,3440,1,0,3000,3280,68,4721,50,10102616,4182,2006,42,8672913,4323,3798458,2970674,2389236,581438,237530,590254,962669,959669,3000,655,89
107725,134,11,50,37,84,63,0,0,0,0,1199,,,,131,98,96,72,6165,46,34,1098,43,32,1570,0,0,,134,1199,3239099,526,131,98,5419,95,71,4963,55,41,2189,0,0,,0,0,,988,82,3278,44,2024830,3849,0,0,0,,709885,591865,471445,120420,50500,67520,0,0,0,131,98
107743,234,29,91,39,97,41,46,20,0,0,798,,,,229,98,217,93,4098,116,50,1136,105,45,2425,44,19,5164,234,798,2803078,358,217,93,5878,147,63,4813,186,79,977,44,19,4673,3,1,7201,540,68,5191,45,1561272,4361,100,13,501666,5017,1275554,889165,707449,181716,131813,254576,227232,205628,21604,227,97
107789,,,,,,,,,,,,68,37,183,57,84,37,54,5845,0,0,,9,13,1167,53,78,8509,68,183,436065,77,43,63,5274,35,51,5685,6,9,2883,53,78,8509,0,0,,86,47,5071,42,398047,5169,105,57,851690,8111,226779,216279,198980,17299,0,10500,450995,450995,0,57,84
107831,,,,,,,,,,,,18,16,114,17,94,17,94,7501,0,0,,0,0,,17,94,8441,18,114,492727,68,17,94,7501,16,89,6067,12,67,2537,17,94,8441,0,0,,77,68,6399,60,368697,5422,72,63,611878,8498,127512,127512,97070,30442,0,0,143499,143499,0,17,94
107840,45,20,,,,,,,,,223,,,,41,91,37,82,6738,0,0,,3,7,4997,35,78,7790,45,223,1242594,187,40,89,6607,37,82,6106,37,82,632,35,78,7790,0,0,,195,87,6372,84,1096924,5866,176,79,1486809,8448,264282,249292,225924,23368,0,14990,272664,272664,0,41,91
107877,220,38,,,,,,,,,583,,,,220,100,114,52,6322,99,45,1516,220,100,12325,155,70,5961,220,583,9231495,297,220,100,16284,114,52,4489,87,40,2401,155,70,5341,11,5,8733,583,100,15834,51,1404786,4730,378,65,2291461,6062,3582402,720708,511800,208908,150100,2711594,923970,827907,96063,220,100
107974,129,10,81,63,43,33,5,4,0,0,1252,,,,113,88,94,73,4962,29,22,893,25,19,2177,11,9,3588,129,1252,3130994,514,98,76,5580,82,64,5023,72,56,758,11,9,3588,0,0,,758,61,4131,41,2186758,4254,226,18,1104432,4887,546799,466468,411862,54606,25900,54431,39466,39466,0,98,76
107983,768,22,0,0,558,73,210,27,0,0,3447,,,,756,98,374,49,4957,359,47,1239,612,80,7161,397,52,5599,768,3447,25542125,1553,754,98,8861,374,49,4873,12,2,2617,385,50,5247,23,3,8817,3181,92,8030,45,7628353,4912,2526,73,11871925,4700,6680919,1853741,1822341,31400,444735,4382443,2222925,2020123,202802,755,98
107992,178,23,0,0,160,90,18,10,0,0,769,,,,168,94,163,92,6184,80,45,4477,64,36,2931,41,23,2898,178,769,4884121,429,164,92,9475,111,62,5911,156,88,2256,36,20,3127,5,3,1253,750,98,6512,56,2423436,5649,113,15,374987,3318,1553830,1008072,656094,351978,358148,187610,118832,112568,6264,166,93
108065,,,,,,,,,,,,10,71,14,8,80,8,80,6345,0,0,,3,30,11833,8,80,10835,10,14,86260,8,8,80,10783,8,80,6345,0,0,,8,80,7051,3,30,10090,10,71,8626,57,50760,6345,8,57,86678,10835,86260,50760,50760,0,0,35500,86678,56408,30270,8,80
108092,806,14,362,45,431,53,13,2,0,0,5830,,,,786,98,714,89,4594,423,52,1160,521,65,5643,276,34,5122,806,5830,38968492,2412,780,97,8604,430,53,4873,640,79,1851,267,33,4692,20,2,8042,5094,87,7650,41,11118960,4610,1902,33,11706446,6155,6710902,3280237,2095583,1184654,490876,2939789,1413621,1252774,160847,786,98
108232,258,4,,,,,,,,,6124,,,,226,88,131,51,5957,29,11,6469,155,60,6843,141,55,7026,258,6124,40720604,2461,206,80,9848,119,46,5133,116,45,1462,140,54,5958,5,2,31298,3885,63,10481,40,9764390,3968,3024,49,21883947,7237,2028634,780405,610848,169557,187597,1060632,990650,834161,156489,219,85
108667,140,3,0,0,122,87,11,8,7,5,5076,,,,91,65,72,51,3875,83,59,1422,0,0,,1,1,4454,140,5076,6200230,604,91,65,4363,43,31,4648,70,50,1131,1,1,4454,0,0,,2916,57,2126,12,2638581,4369,24,0,193270,8053,397025,279010,199855,79155,118015,0,4454,4454,0,91,65
108807,576,6,0,0,572,99,4,1,0,0,10248,,,,539,94,288,50,5116,475,82,1857,531,92,499,2,0,7423,576,10248,20533768,2350,535,93,4898,288,50,4960,109,19,414,2,0,7423,0,0,,6108,60,3362,23,9387589,3995,49,0,330646,6748,2620420,1473469,1428369,45100,882226,264725,14846,14846,0,535,93
108852,25,24,,,,,,,,,106,,,,24,96,13,52,7085,3,12,9084,24,96,10169,20,80,5981,25,106,1268977,34,24,96,15142,13,52,4717,6,24,5131,17,68,5124,3,12,10838,105,99,12085,32,170251,5007,55,52,329676,5994,363415,92104,61319,30785,27252,244059,119619,87104,32515,24,96
