UNITID,SCFA1N,SCFA1P,SCFA11N,SCFA11P,SCFA12N,SCFA12P,SCFA13N,SCFA13P,SCFA14N,SCFA14P,SCFA2,SCFY1N,SCFY1P,SCFY2,ANYAIDN,ANYAIDP,FGRNT_N,FGRNT_P,FGRNT_A,SGRNT_N,SGRNT_P,SGRNT_A,IGRNT_N,IGRNT_P,IGRNT_A,LOAN_N,LOAN_P,LOAN_A,SCUGFFN,SCUGRAD,UAGRNTT,UPGRNTN,AGRNT_N,AGRNT_P,AGRNT_A,PGRNT_N,PGRNT_P,PGRNT_A,OFGRT_N,OFGRT_P,OFGRT_A,FLOAN_N,FLOAN_P,FLOAN_A,OLOAN_N,OLOAN_P,OLOAN_A,UAGRNTN,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANN,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP
226578,564,7,384,68,170,30,10,2,0,0,7742,,,,501,89,390,69,4550,196,35,2662,186,33,4115,133,24,2890,564,7742,24942607,2816,474,84,6459,279,49,5167,341,60,976,131,23,2800,3,1,5833,5314,69,4694,36,13821094,4908,1680,22,6534172,3889,3061571,1774427,1441678,332749,521766,765378,384363,366863,17500,496,88
226587,226,21,,,,,,,,,1087,,,,225,100,162,72,4940,140,62,3351,221,98,15823,217,96,6674,226,1087,17519489,547,224,99,21278,122,54,5179,150,66,1123,217,96,5615,18,8,12771,976,90,17950,50,2675570,4891,890,82,6540288,7349,4766229,800241,631809,168432,469136,3496852,1448318,1218432,229886,225,100
226675,,,,,,,,,,,,0,0,475,,,,,,,,,,,,,,,0,475,1194286,182,,,,,,,,,,,,,,,,324,68,3686,38,699160,3842,316,67,1928993,6104,,,,,,,,,,,
226806,388,8,190,49,99,26,6,2,93,24,4737,,,,301,78,169,44,4164,72,19,1862,180,46,4114,15,4,6840,388,4737,8122681,1104,293,76,5387,112,29,4939,162,42,929,12,3,5383,4,1,9500,3040,64,2672,23,3286313,2977,181,4,939820,5192,1578311,703658,553136,150522,134060,740593,102599,64599,38000,300,77
226833,745,14,0,0,708,95,37,5,0,0,5141,,,,738,99,689,92,3503,447,60,3823,526,71,5253,401,54,5948,745,5141,38259886,2071,729,98,9445,397,53,4990,627,84,690,393,53,5414,21,3,12257,4764,93,8031,40,9884339,4773,2393,47,16081087,6720,6885172,2413550,1981025,432525,1708778,2762844,2384974,2127571,257403,738,99
226860,,,,,,,,,,,,32,49,65,24,75,24,75,3575,0,0,,0,0,,0,0,,32,65,213053,34,24,75,3575,18,56,4447,6,19,959,0,0,,0,0,,53,82,4020,52,152660,4490,0,0,0,,85804,85804,80052,5752,0,0,0,0,0,24,75
226879,21,12,,,,,,,,,180,,,,20,95,16,76,5004,0,0,,0,0,,19,90,6800,21,180,434381,107,16,76,5004,16,76,5004,0,0,,19,90,6800,0,0,,107,59,4060,59,434381,4060,135,75,948598,7027,80070,80070,80070,0,0,0,129196,129196,0,20,95
226903,,,,,,,,,,,,1106,61,1813,1019,92,779,70,3262,6,1,3611,269,24,1551,796,72,4792,1106,1813,4579446,1144,887,80,3359,779,70,3229,120,11,215,796,72,4760,8,1,3222,1388,77,3299,63,3666132,3205,1193,66,5447340,4566,2979744,2540814,2515064,25750,21667,417263,3814422,3788644,25778,1019,92
227058,,,,,,,,,,,,17,9,187,12,71,8,47,4968,0,0,,10,59,1900,10,59,5102,17,187,485951,86,12,71,4895,8,47,4968,0,0,,10,59,5102,0,0,,98,52,4959,46,360506,4192,76,41,495924,6525,58743,39743,39743,0,0,19000,51024,51024,0,12,71
227146,868,12,121,14,686,79,39,4,22,3,7139,,,,673,78,533,61,6201,185,21,2600,120,14,3322,310,36,4905,868,7139,22851077,2155,582,67,7190,526,61,5200,241,28,2365,308,35,4840,4,0,7475,3146,44,7264,30,9273278,4303,1427,20,7732254,5419,4184642,3304991,2735105,569886,481000,398651,1520673,1490772,29901,636,73
