UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
236188,1,2,58206,72717,57,2266,47582,1121,71804,61593,192160,253753,843,31708,32551,1,247,186,1,49,4,1,6,38,2,627812,1,222517,59262,146729,10616,216607,118,11977,12095,1079031,856514
236212,2,2,759,0,85,1,0,42,42,802,127,929,82,130,212,2,,,1,3,0,3,0,0,,,-2,,,,,,,,,,
236230,1,2,223493,126413,126,8128,85949,2587,128473,234208,340961,575169,5034,770804,775838,1,3150,2207,1,14.53,5.6,0,6.75,2.18,0,613349,1,183586,16458,573112,45162,634732,0,78825,78825,1510492,1326906
236258,1,2,33196,304746,28,4253,0,60,0,37509,304774,342283,550,11503,12053,1,0,60,1,5,1,2,1,1,0,193505,1,63617,4721,43156,0,47877,0,9770,9770,314769,251152
236328,1,2,373630,572946,331,16306,93186,3661,127432,393597,793895,1187492,10326,230761,241087,1,3967,6365,1,82.3,10,0,6.3,66,0,1026207,1,381749,165651,1152000,0,1317651,100,240650,240750,2966357,2584608
236382,1,2,25559,79314,24,2395,13051,0,53693,27954,146082,174036,1409,6695,8104,1,72,4,1,6.5,2,4.5,0,0,0,417374,1,138612,11523,46993,25695,84211,0,1475,1475,641672,503060
236452,1,2,93625,276824,91,1834,94974,6,99956,95465,471845,567310,1843,106276,108119,1,1490,2678,1,10.15,4,3,0,3.15,0,399629,1,83001,16668,226721,983,244372,0,101385,101385,828387,745386
236504,1,2,32658,132580,96,4419,55988,107,22737,37184,211401,248585,157,16831,16988,1,21,10,1,7.9,2.4,1.5,1,3,0,386721,1,126983,7551,9527,13147,30225,0,2736,2736,546665,419682
236513,1,2,43523,420453,113,2292,171843,331,40977,46146,633386,679532,2331,128963,131294,1,3,0,1,13.5,6.5,1,6,0,2,857467,1,268450,74501,115887,0,190388,0,8093,8093,1324398,1055948
236577,1,2,235843,349696,208,6745,87839,3155,134235,245743,571978,817721,12906,134894,147800,1,983,1538,1,26.6,7.6,4,7,8,0,1168831,1,484109,87270,467115,227,554612,0,119578,119578,2327130,1843021
236595,1,2,275050,618202,389,108160,89584,10713,105099,393923,813274,1207197,8098,470644,478742,1,2450,3856,1,47.01,16.53,2.33,19,9.15,1,2833301,2,0,262245,2450977,55875,2769097,9038,782674,791712,6394110,6394110
236610,1,2,33143,442365,110,2707,80908,196,111055,36046,634438,670484,1138,86640,87778,1,13,48,1,10.24,3.24,1,6,0,0,527090,1,192639,22295,77236,29073,128604,0,7606,7606,855939,663300
236638,1,2,29658,132398,137,5319,233467,301,57283,35278,423285,458563,4854,156691,161545,1,196,22,1,9,4,4,0,1,1,541464,1,164495,14226,105282,0,119508,0,0,0,825467,660972
236656,1,2,25723,68082,0,1337,71601,10,68998,27070,208681,235751,1584,26205,27789,1,192,106,1,6.75,3,0,3.75,0,0,391887,1,149811,2252,80341,30101,112694,0,2745,2745,657137,507326
236692,1,2,33126,333903,143,1608,2376,303,43916,35037,380338,415375,5326,43272,48598,1,28,45,1,11.5,4.5,2,2,3,1,460491,1,154687,18691,97119,58440,174250,0,16776,16776,806204,651517
236708,1,2,28657,332051,80,3275,2048,425,41359,32357,375538,407895,18819,87709,106528,1,66,71,1,10.91,4.41,1,2.5,3,1,413873,1,147309,16513,90992,0,107505,0,15282,15282,683969,536660
236753,1,2,33699,353451,61,1485,83169,35,13,35219,436694,471913,3490,436620,440110,1,59,64,1,12,5,5,1,1,0,763956,1,240805,13943,143394,2461,159798,0,2211,2211,1166770,925965
236887,1,2,22911,373014,64,2501,40222,16,1,25428,413301,438729,1328,425,1753,1,244,308,1,5.5,1,4,0.5,0,1,287974,1,100628,6191,70921,0,77112,0,12888,12888,478602,377974
