UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
100654,138948,,15763,4632,657,4632,657,,2
100663,369491,,171896,12316,7162,12316,7162,1372,2
100690,7488,,7196,250,300,250,300,,2
100706,220250,,29123,7342,1213,7342,1213,90,2
100724,102037,,10034,3401,418,3401,418,92,2
100751,900911,,108368,30030,4515,30030,4515,550,2
100760,29776,,,993,,993,,,2
100812,63279,,3456,2109,144,2109,144,,2
100830,108467,,14628,3616,610,4101,638,4,2
100858,732281,,95648,24409,3985,24409,3985,1131,2
100937,35787,,,1193,,1193,,,2
101028,30291,,,1010,,1010,,,2
101116,12297,,1228,273,34,273,34,15,2
101143,42764,,,1425,,1425,,,2
101161,144918,,,4831,,4831,,,2
101189,45497,,15202,1517,633,1517,633,208,2
101240,94148,,,3138,,3138,,,2
101277,,71944,,80,,83,,,1
101286,78104,,,2603,,2603,,,2
101295,111730,,,3724,,3724,,,2
101301,29057,,,969,,1108,,,2
101365,19034,,193,634,8,634,8,,2
101435,25742,,40,858,2,858,2,,2
101453,1508,,587,50,24,50,24,,2
101462,16242,,,541,,541,,,2
101471,12559,,,419,,419,,,2
101480,200685,,22885,6690,954,6690,954,137,2
101505,160625,,,5354,,5354,,,2
101514,167179,,,5573,,5573,,,2
101569,64756,,,2159,,2159,,,2
101587,62369,,68380,2079,2849,2079,2849,,2
101602,37599,,,1253,,1253,,,2
101648,12288,,,410,,410,,,2
101675,41321,,,1377,,1377,,,2
101693,38845,,4775,1295,199,1295,199,,2
101709,60144,,7397,2005,308,2005,308,,2
101736,60306,,,2010,,2010,,,2
101879,157522,,37017,5251,1542,5251,1542,,2
101897,50014,,,1667,,1667,,,2
101912,38196,,1513,1273,63,1273,63,,2
101994,7736,,,258,,258,,,2
102030,46293,,,1543,,1543,,,2
102049,112785,,24134,3760,1006,3760,1006,1269,2
102067,84840,,,2828,,2828,,,2
102076,52712,,,1757,,1757,,,2
102094,265668,,113365,8856,4724,8856,4724,299,2
102234,33785,,2044,1126,85,1126,85,,2
102270,24715,,,824,,824,,,2
102298,38200,,235,1273,10,1273,10,,2
102313,37251,,,1242,,1242,,,2
102368,302635,,60129,10088,2505,10088,2505,93,2
102377,74854,,4556,2495,190,2495,190,234,2
102395,1579,,2210,53,92,53,92,,2
102429,64663,,,2155,,2155,,,2
102553,209838,,19622,6995,818,6995,818,38,2
102580,886,,,30,,30,,,2
102614,112280,,15266,3743,636,3743,636,,2
102632,30144,,5184,1005,216,1005,216,,2
102669,8403,,2238,280,93,280,93,17,2
102711,,110756,,123,,123,,,1
102845,216108,,,7204,,7204,,,2
103501,16689,,,556,,556,,,2
103741,,127249,,141,,141,,,1
103893,32537,,,1085,,1085,,,2
103909,17813,,,594,,594,,,2
103927,12304,,,410,,410,,,2
103954,,43310,,48,,48,,,1
103963,18310,,,610,,610,,,2
104090,45619,,726,1521,30,1521,30,,2
104151,1901463,,228481,63382,9520,63382,9520,969,2
104160,122331,125308,,4217,,4274,,,3
104179,1024726,,141303,34158,5888,34158,5888,4671,2
104346,81536,,,2718,,2718,,,2
104391,,47177,,52,,52,,,1
104425,198794,,,6626,,6626,,,2
104443,,41695,,46,,46,,,1
104568,,540900,,601,,601,,,1
104577,77031,,,2568,,2568,,,2
104586,85366,,597,2846,25,2846,25,,2
104665,,,408,,17,,17,,-2
104708,232950,,,7765,,7765,,,2
104717,1790864,,818735,59695,34114,59695,34114,,2
105145,79800,,,2660,,2660,,,2
105154,279540,,,9318,,9318,,,2
105206,61446,,,2048,,2048,,,2
105215,30443,,,1015,,1015,,,2
105297,29184,,,973,,973,,,2
105330,672204,,71222,22407,2968,24839,3560,869,2
105349,42632,,,1421,,1421,,,2
105367,9199,,12348,307,515,307,515,,2
105428,154050,,,5135,,5135,,,2
105525,337384,72016,,11326,,11326,,,3
105534,94450,11140,,3161,,3161,,,3
105543,31189,,,1040,,1040,,,2
105589,12356,,12306,412,513,412,513,,2
105659,30679,,,1023,,1023,,,2
105668,290430,,,9681,,9681,,,2
105677,,35735,,40,,40,,,1
105747,123000,,,4100,,4100,,,2
105792,56400,,,1880,,1880,,,2
105899,24940,,,831,,831,,,2
106041,65560,,,2185,,2185,,,2
106111,,52856,,59,,59,,,1
106148,98429,,,3281,,3281,,,2
106245,157112,,23674,5237,986,5237,986,432,2
106263,24170,,15839,806,660,806,660,1276,2
106306,11681,,,389,,389,,,2
106315,,113240,,126,,126,,,1
106324,,25037,,28,,28,,,1
106342,18779,,,626,,626,,,2
106351,,86780,,96,,103,,,1
106360,,26676,,30,,30,,,1
106397,650421,,74870,21681,3120,21681,3120,484,2
106412,66530,,2663,2218,111,2218,111,,2
106449,64429,,,2148,,2148,,,2
106458,229633,,100823,7654,4201,7654,4201,335,2
106467,220615,,10691,7354,445,7354,445,,2
106485,62077,,7062,2069,294,2069,294,,2
106494,,43775,,49,,49,,,1
106546,20026,,,668,,668,,,2
106625,31822,,,1061,,1061,,,2
106704,237704,,23319,7923,972,7923,972,546,2
106713,16304,,,543,,543,,,2
106795,26790,,,893,,893,,,2
106810,5102,,,170,,170,,,2
106883,21119,3741,,708,,708,,,3
106892,7102,,,237,,237,,,2
106908,,340358,,378,,378,,,1
106980,48645,,,1622,,1622,,,2
106999,25585,,,853,,853,,,2
107044,107299,,15579,3577,649,3577,649,313,2
107071,75260,,9006,2509,375,2509,375,,2
107080,34177,,326,1139,14,1139,14,,2
107099,,84750,,94,,94,,,1
107123,2880,,,96,,96,,,2
107141,45366,,10978,1512,457,1512,457,,2
107220,,236856,,263,,263,,,1
107293,,42461,,47,,47,,,1
107318,21068,,,702,,702,,,2
107327,24802,,,827,,827,,,2
107442,,30630,,34,,34,,,1
107460,34478,,,1149,,1149,,,2
