UNITID,CDACTUA,CNACTUA,CDACTGA,EFTEUG,EFTEGD,FTEUG,FTEGD,FTEDPP,ACTTYPE
107488,6894,,,230,,228,,,2
107512,47648,,1245,1588,52,1588,52,,2
107521,20285,,,676,,676,,,2
107549,20233,,,674,,674,,,2
107558,25996,,,867,,867,,,2
107585,40713,,,1357,,1357,,,2
107600,25290,,,843,,843,,,2
107619,27365,,,912,,912,,,2
107637,22772,,,759,,759,,,2
107655,,31460,,35,,35,,,1
107664,106298,,,3543,,3543,,,2
107725,23947,,,798,,798,,,2
107743,17152,,,572,,572,,,2
107789,,134275,,149,,149,,,1
107831,,70519,,78,,78,,,1
107840,4218,,,141,,141,,,2
107877,15888,,351,530,15,530,15,,2
107974,26305,,,877,,877,,,2
107983,95156,,17235,3172,718,3172,718,,2
107992,25117,,,837,,837,,,2
108065,,12600,,14,,14,,,1
108092,136153,,864,4538,36,4538,36,,2
108232,125940,,44106,4198,1838,4198,1838,,2
108269,,,3641,,152,,152,,-2
108667,79820,,,2661,,2661,,,2
108807,178339,,,5945,,5945,,,2
108852,4234,,,141,,141,,,2
108861,,,505,,21,,21,,-2
108870,,,8040,,335,,335,,-2
108977,,101321,,113,,113,,,1
109040,58582,528610,,2540,,2540,,,3
109086,226,,890,8,37,8,37,,2
109208,480643,,,16021,,16021,,,2
109350,227221,,,7574,,7574,,,2
109651,70488,,8773,2350,366,2350,366,,2
109721,,180000,,200,,200,,,1
109730,1015,,,34,,34,,,2
109785,129386,,80675,4313,3361,4313,3361,583,2
109819,446183,,,14873,,14873,,,2
109907,53674,,,1789,,1789,,,2
109934,,339665,,377,,377,,,1
110060,6966,,1993,232,83,232,83,8,2
110097,109271,,28041,3642,1168,3642,1168,,2
110194,,163750,,182,,182,,,1
110219,48510,,0,1617,0,1617,0,,2
110246,200659,,,6689,,6689,,,2
110316,4171,,24589,139,1025,139,1025,46,2
110334,178773,,,5959,,5959,,,2
110361,235947,,85584,7865,3566,7865,3566,,2
110370,34077,,9588,1136,400,1136,400,,2
110398,,,639,,27,,27,982,-2
110404,39394,,48973,875,1360,875,1360,,2
110413,88221,,24214,2941,1009,2941,1009,120,2
110422,930155,,30510,20670,848,20670,848,,2
110468,8278,,71274,276,2970,276,2970,60,2
110486,268111,,35330,8937,1472,8937,1472,,2
110495,266748,,24994,8892,1041,8892,1041,,2
110510,473960,,39960,15799,1665,15799,1665,,2
110529,749271,,33415,24976,1392,24976,1392,,2
110538,443525,,14849,14784,619,14784,619,,2
110547,403331,,39640,13444,1652,13444,1652,,2
110556,607133,,37774,20238,1574,20238,1574,167,2
110565,992869,,60081,33096,2503,33096,2503,166,2
110574,366167,,61542,12206,2564,12206,2564,,2
110583,919349,,78150,30645,3256,30645,3256,171,2
110592,623909,,52237,20797,2177,20797,2177,0,2
110608,893177,,95621,29773,3984,29773,3984,167,2
110617,783138,,47421,26105,1976,26105,1976,145,2
110635,983908,,247334,32797,10306,32797,10306,1281,2
110644,1433429,,224932,31854,6248,31854,6248,1701,2
110653,1400031,,218631,31112,6073,31112,6073,997,2
110662,1529573,,416003,33991,11556,33991,11556,2128,2
110671,1019407,,125656,22653,3490,22653,3490,291,2
110680,1532234,,256070,34050,7113,34050,7113,803,2
110699,,,45454,,1263,,1263,1498,-2
110705,1073432,,114793,23854,3189,23854,3189,,2
110714,814479,,72233,18100,2006,18100,2006,,2
110778,268,,36037,6,1001,6,1001,5,2
110875,,30311,,34,,34,,,1
110918,252,,,8,,8,,,2
111045,460,,460,15,19,15,19,,2
111054,,60265,,67,,67,,,1
111081,20914,,10510,697,438,719,381,,2
111188,27827,,633,928,26,928,26,,2
111391,,,2618,,109,,109,703,-2
111434,73626,,,2454,,2454,,,2
111461,357635,,,11921,,11921,,,2
111513,,146487,,163,,163,,,1
111638,10674,,,356,,356,,,2
111708,,173966,,193,,193,,,1
111717,,138021,,153,,153,,,1
111726,,123752,,138,,138,,,1
111744,,102254,,114,,114,,,1
111762,,85485,,95,,95,,,1
111799,,142190,,158,,158,,,1
111887,457567,,,15252,,15252,,,2
111896,79839,,,2661,,2661,,,2
111920,220831,,,7361,,7361,,,2
111939,369878,,,12329,,10914,,,2
111948,221999,,34965,7400,1457,7400,1457,948,2
111966,8969,,26744,299,1114,299,742,,2
112075,52819,,49074,1761,2045,1761,2045,,2
112084,13409,,747,447,31,447,31,,2
112127,,,1338,,56,,56,,-2
112172,257729,,,8591,,8591,,,2
112181,,103268,,115,,115,,,1
112190,351507,,,11717,,11717,,,2
112251,,,24607,,1025,,1025,36,-2
112260,39740,,42,1325,2,1325,2,,2
112288,5125,297185,,501,,501,,,3
112367,,269000,,299,,299,,,1
112385,125006,,,4167,,4167,,,2
112394,16009,,191,534,8,534,8,,2
112455,,64672,,72,,72,,,1
112525,,,19403,,808,,808,3405,-2
112561,36955,,,1232,,1232,,,2
112570,31471,,,1049,,1049,,,2
112686,77888,,,2596,,2596,,,2
112826,104659,,,3489,,3489,,,2
113096,270400,,,9013,,9013,,,2
113111,113661,,,3789,,3789,,,2
113193,176444,,,5881,,5881,,,2
113218,121984,,,4066,,4066,,,2
113236,277027,,,9234,,9234,,,2
113333,637721,,,14172,,14172,,,2
113449,,231856,,258,,258,,,1
113537,,,239,,10,,10,,-2
113573,213938,,,7131,,7131,,,2
113582,3636,,210,121,9,121,9,,2
113634,365747,,,12192,,12192,,,2
113698,45760,,11054,1525,461,1525,461,,2
113704,,,1434,,60,,60,,-2
113856,496918,,,16564,,16564,,,2
113980,426434,,,14214,,14214,,,2
114114,,,10399,,289,,289,47,-2
114123,3444,,1091,115,45,115,45,28,2
114266,164146,,,5472,,5472,,,2
114354,77968,,1609,1733,45,1733,45,,2
114390,636,,,14,,14,,,2
114433,29502,,,983,,1547,,,2
114460,,280110,,311,,311,,,1
114549,,,26392,,1100,,862,,-2
114585,,,6974,,291,,291,177,-2
114637,,37574,,42,,42,,,1
114716,398860,,,8864,,8864,,,2
114734,,,912,,38,,38,,-2
114761,,51761,,58,,58,,,1
114789,380138,,,12671,,12671,,,2
114813,65738,,21777,2191,907,2191,907,,2
114840,,,49406,,1372,,1372,383,-2
114859,414474,,,13816,,13816,,,2
114938,86328,,,2878,,2878,,,2
114947,,92160,,102,,102,,,1
115001,352109,,,11737,,11737,,,2
115010,7552,293723,,578,,578,,,3
115083,17089,,22408,570,934,626,953,568,2
115126,213788,,,7126,,7126,,,2
115214,,,4402,,183,,183,,-2
115296,253124,,,8437,,8437,,,2
115357,,128123,,142,,142,,,1
115393,168641,,,5621,,5621,,,2
115409,26370,,,879,,879,,,2
115658,,117989,,131,,131,,,1
115728,18920,,5908,631,246,631,246,,2
115746,,,28000,,778,,778,,-2
115755,163721,,9145,5457,381,5457,381,,2
115773,9159,,2451,204,68,204,68,53,2
115861,164230,,,5474,,5474,,,2
115931,27,487860,,543,,543,,,3
116226,4230,,96,94,3,94,3,,2
116350,,168580,,187,,187,,,1
116439,245576,,,8186,,8186,,,2
116563,,191655,,213,,213,,,1
116846,1208,,3626,40,151,40,151,,2
117052,127709,,,4257,,4257,,,2
117104,12845,,2163,428,90,428,90,,2
117140,112738,,50138,3758,2089,3758,2089,299,2
117168,19395,,945,647,39,647,39,,2
117195,67369,,,1497,,1497,,,2
117238,,31232,,35,,35,,,1
117247,143326,,,4778,,4778,,,2
117274,32996,,,1100,,1100,,,2
117283,1755,,,59,,59,,,2
117520,,,,,,,,586,-2
117557,3695,2295,8088,126,337,126,337,,3
117575,864,,1781,29,74,29,74,36,2
117627,62687,,9890,1393,275,1393,275,,2
117636,46715,,59577,1038,1655,1038,1655,1706,2
117645,492234,,,16408,,16408,,,2
117672,17904,,12736,597,531,597,531,730,2
117690,126065,,,4202,,4202,,,2
117706,307992,,,10266,,10266,,,2
117715,81488,,,2716,,2716,,,2
117724,177847,,,5928,,5928,,,2
117733,255693,,,8523,,8523,,,2
117751,37283,,13055,1243,544,1243,544,,2
117788,253500,,,8450,,8450,,,2
117803,3595,,,120,,120,,,2
117867,136770,,,4559,,4559,,,2
117894,155640,,,5188,,5188,,,2
117946,209938,,34322,6998,1430,6339,1369,971,2
117955,,200165,,222,,222,,,1
118134,,54270,,60,,60,,,1
118143,,68909,,77,,77,,,1
118161,,12053,,13,,13,,,1
118198,10075,171200,,526,,775,,,3
118347,93210,,,3107,,3107,,,2
118541,15763,,1340,525,56,525,56,,2
118684,56098,,,1870,,1870,,,2
118693,24050,,,802,,802,,,2
118718,216481,,,7216,,7216,,,2
118772,107884,,,3596,,3596,,,2
118888,16368,,7354,546,306,546,306,,2
118912,316588,,,10553,,10553,,,2
118930,123016,,,4101,,4101,,,2
118958,,49261,,55,,55,,,1
118976,317593,,,10586,,10586,,,2
118994,,231902,,258,,258,,,1
119058,460,,18450,15,769,15,769,,2
119067,129339,,,4311,,4311,,,2
119137,282769,,,9426,,9426,,,2
119164,621863,,,20729,,20729,,,2
119173,57684,,10108,1923,421,1923,421,238,2
119216,279771,,,9326,,9326,,,2
119270,29472,,,655,,831,,,2
119331,101288,,,3376,,3376,,,2
119553,39420,24300,,1341,,1341,,,3
119605,312687,,348829,10423,14535,6948,9689,134,2
119678,,,179521,,4987,,4987,,-2
119775,14881,,3895,331,108,331,108,,2
119951,,163620,,182,,182,,,1
120069,,239466,,266,,266,,,1
120078,360,531271,,602,,602,,,3
120087,,200714,,223,,223,,,1
120166,201,,691,7,29,8,29,,2
120184,4814,,6658,160,277,160,277,,2
120254,57136,,0,1905,0,1905,0,,2
120290,189463,,,6315,,6315,,,2
120342,346229,,,11541,,11541,,,2
120403,29496,,1399,983,58,1106,84,,2
120421,121888,,,4063,,4063,,,2
120537,17503,,11703,583,488,583,488,,2
120661,7714,393497,,694,,694,,,3
120698,3156,,18442,70,512,70,512,637,2
120768,9737,,12262,325,511,325,511,,2
120795,,,1336,,56,,74,,-2
120838,90,,1070,2,30,2,29,,2
120865,37095,,187,824,5,824,5,,2
120883,111932,,30504,3731,1271,3731,1271,2251,2
120953,41937,,,1398,,1398,,,2
120971,390979,,,13033,,13033,,,2
121044,562003,,,18733,,18733,,,2
121150,123828,,147189,4128,6133,4128,6133,628,2
121257,27177,,,906,,850,,,2
121275,5010,,,167,,167,,,2
121309,97479,,27965,3249,1165,3046,1165,9,2
121345,45906,,,1530,,1530,,,2
121363,70984,,,2366,,2366,,,2
121433,,124544,,138,,138,,,1
121619,341943,,,11398,,11398,,,2
121628,,,1828,,51,,123,,-2
121637,,70542,,78,,78,,,1
121691,93036,,39167,3101,1632,3101,1632,72,2
121707,68090,,,2270,,2270,,,2
121859,,185785,,206,,206,,,1
121868,,150225,,167,,167,,,1
121886,287593,,,9586,,9586,,,2
121901,392361,,,13079,,13079,,,2
122117,360,,5544,8,154,8,154,13,2
122180,369429,,,12314,,12314,,,2
122205,375672,,,12522,,12522,,,2
122296,25836,,28271,861,1178,861,1178,184,2
122339,200934,,,6698,,6698,,,2
122375,321458,,,10715,,10715,,,2
122384,191287,,,6376,,6376,,,2
122409,908301,,90807,30277,3784,30277,3784,234,2
122436,164278,,50904,5476,2121,5476,2121,802,2
122454,700,,396,23,17,23,17,,2
122506,8146,,5036,272,210,272,210,,2
122597,663740,,55706,22125,2321,22125,2321,114,2
122612,185830,,69008,6194,2875,6194,2875,534,2
122649,,,,,,,,146,-2
122658,427626,,,14254,,14254,,,2
122685,74537,,,2485,,2485,,,2
122694,32451,,,1082,,1082,,,2
122728,41949,,12071,1398,503,1398,503,,2
122746,137393,,,4580,,4580,,,2
122755,759132,,132098,25304,5504,25304,5504,51,2
122791,122125,,,4071,,4071,,,2
122834,2628,31720,0,94,0,94,0,,3
122852,178,26830,,34,,34,,,3
122889,281323,,,9377,,9377,,,2
122931,286149,,62815,6359,1745,5594,1745,731,2
122977,551984,,,18399,,18399,,,2
123013,292097,,,9737,,9737,,,2
123095,,,11112,,463,,463,2,-2
123165,28416,,716,947,30,947,30,,2
123217,241162,,,8039,,8039,,,2
123280,723,,156,24,7,24,7,,2
123299,150974,,,5032,,5032,,,2
123341,349259,,,11642,,11642,,,2
123350,,76490,,85,,85,,,1
123448,,,270,,11,,11,292,-2
123457,17752,,1999,592,83,592,83,,2
123484,27115,,,904,,904,,,2
123493,,122696,,136,,136,,,1
123509,136226,,,4541,,4541,,,2
123527,237384,,,7913,,7913,,,2
123554,76636,,22604,2555,942,2555,942,,2
123563,171245,,,5708,,5708,,,2
123572,216484,,9335,7216,389,7216,389,,2
123633,,,7537,,209,,209,99,-2
123642,8460,,,282,,282,,,2
123651,50423,,5497,1681,229,1681,229,,2
123679,11255,145002,,536,,536,,,3
123800,339625,,,11321,,11321,,,2
123916,,,1897,,79,,79,,-2
123943,,,8621,,239,,127,618,-2
123952,7250,,8099,242,337,242,337,,2
123961,638278,,411057,21276,17127,21276,17127,3427,2
123970,,,102,,4,,4,823,-2
124113,61445,,,2048,,2048,,,2
124283,,,2850,,119,,119,30,-2
124292,16650,,,555,,555,,,2
124487,3910,,1437,87,40,87,40,,2
124681,45720,,,1524,,1524,,,2
124706,10310,171451,,534,,534,,,3
124937,8310,186038,,484,,484,,,3
125028,211857,,,7062,,7062,,,2
125037,,,387,,16,,16,246,-2
125082,,52598,,58,,58,,,1
125091,204731,,,6824,,6824,,,2
125170,98541,,,3285,,3285,,,2
125231,261415,,1209593,5809,33600,5809,50400,,2
125310,,28788,,32,,32,,,1
125462,52881,,,1763,,1763,,,2
125471,186227,,,6208,,6208,,,2
125499,144093,,,4803,,4803,,,2
125532,52320,,,1744,,1744,,,2
125718,,,3477,,145,,145,,-2
125727,39621,,,1321,,1321,,,2
125763,44176,,1464,1473,61,1473,61,,2
125897,29175,,2762,973,115,973,115,,2
126012,,,13500,,563,,563,,-2
126049,,,331,,14,,14,191,-2
126076,6240,,,208,,208,,,2
126119,95077,,,3169,,3169,,,2
126164,,84364,,94,,94,,,1
126182,43110,,26335,1437,1097,1437,1097,,2
126207,102700,,,3423,,3423,,,2
126289,147405,,,4914,,4914,,,2
126359,13041,,,290,,290,,,2
126562,334516,,127436,11151,5310,11151,5310,2222,2
126580,267759,,29528,8925,1230,8925,1230,24,2
126605,18875,,,629,,629,,,2
126614,885521,,97044,29517,4044,29517,4044,563,2
126669,156420,,25721,5214,1072,5214,1072,6,2
126678,64703,,587,2157,24,2157,24,,2
126687,12824,146423,,590,,590,,,3
126711,97689,,,3256,,3256,,,2
126748,19445,,,648,,648,,,2
126775,159381,,30107,5313,1254,5313,1254,,2
126784,,155948,,173,,173,,,1
126818,682748,,101852,22758,4244,22758,4244,602,2
126827,1293258,,93092,28739,2586,28739,2586,589,2
126863,115538,,,3851,,3851,,,2
126915,7703,,,257,,257,,,2
126942,127579,,,4253,,4253,,,2
126951,41447,,,1382,,1382,,,2
126979,,,15167,,632,,632,0,-2
127060,254414,,199046,5654,5529,5654,5529,925,2
127158,125184,,,4173,,4173,,,2
127185,86251,,1452,2875,61,2875,61,,2
127200,319457,,,10649,,10649,,,2
127273,,,6201,,172,,172,6,-2
127316,,205327,,228,,228,,,1
127389,16457,,,549,,549,,,2
127556,217700,,4139,7257,172,7257,172,8,2
127565,409226,,21165,13641,882,13641,882,,2
127617,22704,,,757,,757,,,2
127653,8145,,11267,272,469,272,469,,2
127714,5333,,,178,,178,,,2
127732,27161,,,905,,905,,,2
127741,214643,,51036,7155,2127,7155,2127,,2
127778,24603,,,820,,820,,,2
127820,248480,,,8283,,8283,,,2
127884,110793,,,3693,,3693,,,2
127909,124107,,3850,4137,160,4137,160,,2
127918,86145,,40840,2872,1702,2872,1702,755,2
127945,49521,,289,1651,12,1651,12,,2
127954,,5000,440,6,18,6,18,,1
128106,97650,,52502,3255,2188,3255,2188,28,2
128151,27184,,,906,,906,,,2
128179,28000,,,933,,933,,,2
128188,30800,155000,,1199,,1199,,,3
128258,32316,,,1077,,1077,,,2
128328,156447,,,5215,,5215,,,2
128337,,76001,,84,,84,,,1
128391,57904,,8916,1930,372,1930,372,,2
128498,29326,,6322,978,263,978,263,,2
128577,22553,,,752,,752,,,2
128586,1560,,,52,,52,,,2
128744,62550,,32577,2085,1357,2085,1357,220,2
128771,218667,,29733,7289,1239,7289,1239,77,2
128780,27824,,1311,927,55,927,55,,2
128896,,78245,,87,,87,,,1
128902,57663,,,1922,,1922,,,2
129002,18271,,,406,,406,,,2
129020,574043,,117246,19135,4885,19135,4885,1482,2
129154,71559,,2051,2385,85,2385,85,,2
129181,33699,,,1123,,1236,,,2
129215,115634,,3522,3854,147,3854,147,,2
129242,140286,,20292,4676,846,4396,787,102,2
129349,,136265,,151,,151,,,1
129367,45376,,,1513,,1513,,,2
129428,,,1368,,57,,57,,-2
129482,11145,,,372,,372,,,2
129491,,,1380,,58,,58,,-2
129525,130056,,27424,4335,1143,4335,1143,281,2
129534,6747,,7189,225,300,225,300,,2
129543,65858,,,2195,,2195,,,2
129695,83559,,,2785,,2785,,,2
129729,92802,,,3093,,3093,,,2
129756,39280,,,1309,,1309,,,2
129774,16619,,,554,,554,,,2
129808,56193,,,1873,,1873,,,2
129923,17007,,,567,,567,,,2
129932,22200,,,740,,740,,,2
129941,155521,,36511,5184,1521,5184,1521,,2
130004,79860,,,2662,,2662,,,2
130040,21801,,,727,,727,,,2
130110,2715,,,91,,91,,,2
130174,99576,13580,,2228,,2228,,,3
130183,334246,,19972,11142,832,11142,832,,2
130217,19954,,,665,,665,,,2
130226,212684,,53947,7089,2248,7089,2248,891,2
130253,203688,,56847,6790,2369,6790,2369,377,2
130314,26668,,23163,889,965,889,965,204,2
130396,106182,,,3539,,3539,,,2
130493,200596,,34192,6687,1425,6687,1425,0,2
130509,20464,7443,,690,,690,,,3
130590,63424,,746,2114,31,2114,31,,2
130606,63307,,,2110,,2110,,,2
130624,35203,,,1173,,1173,,,2
130697,98614,,3382,3287,141,3287,141,,2
130776,120146,,8688,4005,362,4005,362,15,2
130794,187314,,195006,6244,8125,6244,8125,442,2
130837,1752,,,58,,58,,,2
130873,14703,12765,,504,,504,,,3
130907,254567,,,8486,,8486,,,2
130934,120782,,11618,4026,484,4026,484,,2
130943,597817,,57334,19927,2389,19249,4003,161,2
130989,19534,,10809,651,450,651,450,,2
131061,,95195,,106,,106,,,1
131098,27207,,2781,907,116,907,116,,2
131113,189336,,89629,6311,3735,6311,3735,,2
131159,240129,,80579,8004,3357,8004,3662,1348,2
131283,94907,,28809,3164,1200,3164,1200,445,2
131399,78927,,7011,2631,292,2631,292,223,2
131405,,,1992,,83,,83,,-2
131450,27123,,9433,904,393,904,393,,2
131469,329080,,206044,10969,8585,10969,8585,2914,2
131496,218810,,163265,7294,6803,7294,6803,2822,2
131520,244065,,29900,8136,1246,8136,1246,1463,2
131803,20084,,2241,446,62,446,62,,2
131830,882,,,29,,29,,,2
131876,36414,,7450,1214,310,1214,310,,2
131973,,,5933,,247,,247,243,-2
132374,,1238511,,1376,,1376,,,1
132408,7614,,300,254,13,254,13,,2
132471,92379,,62443,3079,2602,3079,2602,1221,2
132602,77569,,2210,2586,92,2586,92,,2
132657,77372,,18412,2579,767,2579,767,,2
132675,,147375,,164,,164,,,1
132693,292662,254638,,10038,,10038,,,3
132709,736396,168142,,24733,,24733,,,3
132842,5549,,15649,185,652,185,652,,2
132851,133100,118950,,4569,,4569,,,3
132879,4444,,0,148,0,148,0,,2
132903,1677589,,167478,55920,6978,55920,6978,491,2
132976,,327824,,364,,364,,,1
133021,36357,135657,,1363,,1363,,,3
133155,,572157,,636,,636,,,1
133386,270419,662334,,9750,,9750,,,3
133465,16662,,5444,370,151,370,151,,2
133492,59715,,,1991,,1991,,,2
133508,312544,33090,,10455,,10455,,,3
133526,27480,,,916,,916,,,2
133553,196344,,9433,6545,393,6545,393,,2
133650,212485,,20205,7083,842,7083,842,1022,2
133669,680282,,84082,22676,3503,22676,3503,393,2
133702,441775,623623,,15419,,15419,,,3
133711,80630,,228,2688,10,2688,10,,2
133809,13803,,,460,,460,,,2
133845,10474,118258,,481,,481,,,3
133854,7209,97724,,349,,349,,,3
133863,3970,173146,,325,,325,,,3
133872,30160,,10692,1005,446,1005,446,194,2
133881,100481,,50095,3349,2087,3349,2087,160,2
133942,4475,,,149,,87,,,2
133951,1231277,,190335,41043,7931,41043,7931,1762,2
133960,21006,39185,,744,,744,,,3
133979,25042,,708,835,30,852,37,,2
133997,18336,,,611,,611,,,2
134024,,43550,,48,,48,,,1
134079,83919,,7708,2797,321,2797,321,83,2
134097,977529,,195085,32584,8129,32584,8129,1114,2
134130,1046314,,306908,34877,12788,34877,12788,3219,2
134228,,28800,,32,,32,,,1
134237,910980,,48489,30366,2020,30366,2020,,2
134291,,382768,,425,,425,,,1
134307,,323435,,359,,359,,,1
134343,85337,134007,,2993,,2993,,,3
134422,1392,,,31,,31,,,2
134495,546100,477844,,18734,,18734,,,3
134510,3709,,171,124,7,124,7,,2
134529,,272890,,303,,303,,,1
134574,,119980,,133,,133,,,1
134608,297659,466796,,10441,,10441,,,3
134714,,115100,,128,,128,,,1
134811,35288,,1915,784,53,784,53,,2
134945,92084,,22352,3069,931,3069,931,264,2
135081,784419,,58749,26147,2448,26147,2448,175,2
135142,,155376,,173,,173,,,1
135160,56824,268514,,2192,,2192,,,3
135179,,574883,,639,,639,,,1
135188,96153,,,3205,,3205,,,2
135267,,552531,,614,,614,,,1
135276,,759379,,844,,844,,,1
135294,,329258,,366,,366,,,1
135337,,81560,,91,,91,,,1
135364,4170,,5571,139,232,139,232,,2
135391,202255,,,6742,,6742,,,2
135407,,811012,,901,,901,,,1
135522,,389235,,432,,432,,,1
135559,,49011,,54,,58,,,1
135610,1907,,1095,64,46,64,46,,2
135647,,510236,,567,,620,,,1
135717,1224493,589598,,41472,,41472,,,3
135726,349407,,81433,11647,3393,11647,3393,2475,2
135735,,839196,,932,,932,,,1
136109,,139375,,155,,155,,,1
136145,21709,51921,,781,,781,,,3
136172,402033,,40940,13401,1706,13401,1706,169,2
136215,184936,,187615,6165,7817,6165,7817,5054,2
