UNITID,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSAIANM,CSAIANW,CSASIAT,CSASIAM,CSASIAW,CSBKAAT,CSBKAAM,CSBKAAW,CSHISPT,CSHISPM,CSHISPW,CSNHPIT,CSNHPIM,CSNHPIW,CSWHITT,CSWHITM,CSWHITW,CS2MORT,CS2MORM,CS2MORW,CSUNKNT,CSUNKNM,CSUNKNW,CSNRALT,CSNRALM,CSNRALW,CSGUUGUN,CSGUUGAG,CSGUUGTT,CSGUGUN,CSGUGAG,CSGUGTOT,CSGUTOTUN,CSGUTOTAG,CSGUTOT,CSGUKN
227979,6795,2483,4312,15,6,9,456,200,256,594,163,431,3986,1425,2561,6,2,4,1481,581,900,126,46,80,67,28,39,64,32,32,0,,0,0,,0,0,,0,6795
228042,304,101,203,1,0,1,3,1,2,12,2,10,106,36,70,0,0,0,177,61,116,5,1,4,0,0,0,0,0,0,0,,0,0,,0,0,,0,304
228088,14,0,14,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,14
228149,895,380,515,3,2,1,27,6,21,33,16,17,499,191,308,1,1,0,232,103,129,8,5,3,23,10,13,69,46,23,0,,0,0,,0,0,,0,895
228158,1550,649,901,14,4,10,24,8,16,109,40,69,797,311,486,3,1,2,575,268,307,0,0,0,3,2,1,25,15,10,0,,0,0,,0,0,,0,1550
228185,9,7,2,0,0,0,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,9
228194,297,143,154,0,0,0,26,10,16,22,9,13,84,36,48,1,0,1,145,75,70,8,4,4,11,9,2,0,0,0,0,,0,0,,0,0,,0,297
228200,245,121,124,0,0,0,0,0,0,1,0,1,224,113,111,0,0,0,14,7,7,6,1,5,0,0,0,0,0,0,0,,0,0,,0,0,,0,245
228219,333,147,186,0,0,0,1,0,1,3,2,1,254,123,131,1,0,1,68,18,50,6,4,2,0,0,0,0,0,0,0,,0,0,,0,0,,0,333
228246,3775,1933,1842,4,3,1,278,148,130,220,100,120,479,210,269,5,1,4,2189,1125,1064,137,66,71,39,26,13,424,254,170,0,,0,0,,0,0,,0,3775
228282,62,14,48,0,0,0,2,0,2,7,2,5,45,10,35,0,0,0,8,2,6,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,62
228316,1132,531,601,5,3,2,4,1,3,3,0,3,1022,474,548,0,0,0,86,47,39,2,1,1,10,5,5,0,0,0,0,,0,0,,0,0,,0,1132
228325,394,173,221,17,3,14,4,2,2,34,22,12,76,27,49,2,1,1,239,108,131,18,8,10,1,0,1,3,2,1,0,,0,0,,0,0,,0,394
228343,357,155,202,1,0,1,11,0,11,15,9,6,86,38,48,0,0,0,223,94,129,15,11,4,3,1,2,3,2,1,0,,0,0,,0,0,,0,357
228431,2878,894,1984,11,0,11,46,17,29,384,95,289,544,165,379,1,1,0,1727,551,1176,111,40,71,31,16,15,23,9,14,0,,0,0,,0,0,,0,2878
228459,8716,3311,5405,17,9,8,281,117,164,720,247,473,3183,1121,2062,7,3,4,3947,1588,2359,277,101,176,86,36,50,198,89,109,4,41,45,3,12,15,7,53,60,8656
228468,137,45,92,0,0,0,14,5,9,19,7,12,58,20,38,1,1,0,31,10,21,7,1,6,1,0,1,6,1,5,0,,0,0,,0,0,,0,137
228486,20,15,5,0,0,0,0,0,0,18,14,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,20
228501,564,192,372,2,0,2,1,1,0,18,9,9,385,126,259,0,0,0,138,47,91,17,7,10,3,2,1,0,0,0,0,,0,0,,0,0,,0,564
228529,3408,1169,2239,14,4,10,54,17,37,283,109,174,705,211,494,2,1,1,2186,759,1427,119,46,73,18,8,10,27,14,13,0,,0,0,,0,0,,0,3408
228547,6562,2472,4090,10,4,6,462,207,255,1137,346,791,2234,779,1455,8,3,5,2302,977,1325,217,79,138,107,45,62,85,32,53,0,,0,0,,0,0,,0,6562
228608,828,246,582,2,0,2,25,5,20,110,29,81,245,63,182,1,1,0,397,131,266,19,6,13,29,11,18,0,0,0,0,,0,0,,0,0,,0,828
228635,611,285,326,0,0,0,116,42,74,24,8,16,59,29,30,0,0,0,170,70,100,18,6,12,63,32,31,161,98,63,0,,0,0,,0,0,,0,611
228644,1310,549,761,3,3,0,152,54,98,66,26,40,504,207,297,0,0,0,505,224,281,33,12,21,19,11,8,28,12,16,0,,0,0,,0,0,,0,1310
228653,1149,290,859,1,0,1,221,62,159,99,16,83,249,58,191,2,2,0,488,123,365,40,13,27,27,11,16,22,5,17,0,,0,5,,5,5,,5,1144
228699,623,227,396,3,2,1,3,1,2,177,57,120,58,30,28,0,0,0,353,127,226,20,7,13,3,2,1,6,1,5,0,,0,0,,0,0,,0,623
228705,1494,710,784,0,0,0,20,6,14,50,34,16,958,399,559,0,0,0,249,119,130,18,9,9,4,1,3,195,142,53,0,,0,0,,0,0,,0,1494
228723,18171,9154,9017,40,20,20,1510,823,687,496,212,284,3800,1759,2041,11,5,6,10303,5138,5165,524,248,276,245,123,122,1242,826,416,0,,0,0,,0,0,,0,18171
228769,13156,4274,8882,36,8,28,1376,508,868,1759,395,1364,3394,990,2404,15,5,10,4590,1266,3324,405,127,278,120,29,91,1461,946,515,0,,0,0,,0,0,,0,13156
228778,13908,6352,7556,20,13,7,2818,1373,1445,585,203,382,2924,1151,1773,8,3,5,5594,2611,2983,505,202,303,201,101,100,1253,695,558,0,,0,0,,0,0,,0,13908
228787,7642,4058,3584,12,7,5,2321,1155,1166,367,166,201,1045,535,510,6,4,2,2197,1235,962,258,133,125,219,121,98,1217,702,515,0,,0,0,,0,0,,0,7642
228796,5319,2221,3098,3,0,3,72,32,40,135,63,72,4267,1694,2573,11,5,6,407,185,222,33,17,16,43,21,22,348,204,144,0,,0,0,,0,0,,0,5319
228802,2894,938,1956,12,2,10,125,48,77,334,82,252,556,187,369,1,1,0,1650,519,1131,84,26,58,21,11,10,111,62,49,0,,0,0,,0,0,,0,2894
228866,72,37,35,0,0,0,9,4,5,9,2,7,13,8,5,0,0,0,24,13,11,6,4,2,11,6,5,0,0,0,0,,0,0,,0,0,,0,72
228875,2898,1198,1700,13,5,8,95,35,60,144,65,79,428,161,267,9,7,2,1981,806,1175,59,30,29,30,18,12,139,71,68,0,0,0,0,0,0,0,0,0,2898
228884,89,41,48,0,0,0,1,1,0,81,36,45,6,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,,0,0,,0,89
228909,884,319,565,0,0,0,239,95,144,68,17,51,133,47,86,1,0,1,366,128,238,33,19,14,23,8,15,21,5,16,0,,0,0,,0,0,,0,884
228981,354,127,227,0,0,0,6,1,5,17,11,6,123,42,81,0,0,0,195,68,127,3,0,3,8,5,3,2,0,2,0,,0,0,,0,0,,0,354
229018,1482,551,931,3,1,2,44,19,25,92,43,49,423,129,294,2,2,0,766,283,483,24,10,14,74,31,43,54,33,21,0,,0,0,,0,0,,0,1482
229027,7398,3418,3980,11,3,8,416,214,202,567,241,326,4074,1790,2284,13,8,5,1753,884,869,266,126,140,66,32,34,232,120,112,0,,0,0,,0,0,,0,7398
229063,1459,537,922,2,1,1,62,27,35,1139,393,746,128,58,70,1,0,1,37,15,22,17,1,16,0,0,0,73,42,31,0,,0,0,,0,0,,0,1459
229115,8959,4229,4730,31,17,14,333,162,171,504,260,244,2332,1064,1268,7,2,5,4844,2231,2613,335,147,188,38,19,19,535,327,208,3,,3,9,,9,12,,12,8947
229160,513,205,308,6,3,3,17,6,11,89,29,60,144,47,97,0,0,0,185,76,109,21,7,14,11,6,5,40,31,9,0,,0,0,,0,0,,0,513
229179,4145,387,3758,8,0,8,448,56,392,676,58,618,1033,95,938,2,0,2,1672,141,1531,153,13,140,27,3,24,126,21,105,0,,0,0,,0,0,,0,4145
229267,675,312,363,3,1,2,51,20,31,25,10,15,150,56,94,1,1,0,381,186,195,39,22,17,8,5,3,17,11,6,0,,0,0,,0,0,,0,675
229300,1722,449,1273,2,0,2,400,107,293,186,35,151,345,79,266,1,0,1,560,164,396,60,14,46,78,30,48,90,20,70,0,,0,0,,0,0,,0,1722
229337,2572,543,2029,24,4,20,224,80,144,231,48,183,640,143,497,0,0,0,1383,248,1135,0,0,0,47,13,34,23,7,16,0,,0,0,,0,0,,0,2572
229355,2103,751,1352,5,1,4,33,18,15,307,99,208,581,209,372,4,3,1,1068,372,696,72,29,43,15,8,7,18,12,6,0,,0,0,,0,0,,0,2103
229416,884,839,45,2,2,0,3,3,0,42,38,4,147,144,3,2,2,0,89,83,6,23,19,4,575,547,28,1,1,0,0,,0,0,,0,0,,0,884
229425,60,2,58,0,0,0,0,0,0,0,0,0,60,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,60
229504,432,125,307,2,1,1,10,4,6,33,9,24,114,33,81,1,1,0,246,71,175,24,5,19,0,0,0,2,1,1,0,,0,0,,0,0,,0,432
229522,48,11,37,0,0,0,0,0,0,5,5,0,30,5,25,0,0,0,13,1,12,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,48
229540,514,184,330,2,1,1,8,1,7,22,7,15,276,100,176,0,0,0,196,71,125,8,3,5,2,1,1,0,0,0,0,,0,0,,0,0,,0,514
229656,203,3,200,0,0,0,1,0,1,6,1,5,178,2,176,0,0,0,11,0,11,2,0,2,3,0,3,2,0,2,0,,0,0,,0,0,,0,203
229780,1011,458,553,6,3,3,25,17,8,174,83,91,337,131,206,31,11,20,354,170,184,49,21,28,19,12,7,16,10,6,0,,0,0,,0,0,,0,1011
229799,1028,314,714,11,3,8,10,4,6,37,9,28,235,85,150,2,1,1,680,193,487,33,12,21,16,4,12,4,3,1,0,,0,0,,0,0,,0,1028
229814,2402,908,1494,11,3,8,72,33,39,108,40,68,654,251,403,4,2,2,1418,517,901,54,18,36,24,14,10,57,30,27,0,,0,0,,0,0,,0,2402
229832,344,209,135,0,0,0,1,0,1,31,18,13,155,93,62,1,0,1,129,83,46,10,6,4,0,0,0,17,9,8,0,,0,0,,0,0,,0,344
229841,839,358,481,4,1,3,70,28,42,89,33,56,365,142,223,1,0,1,310,154,156,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,839
229887,114,47,67,0,0,0,0,0,0,105,39,66,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,1,1,0,0,,0,0,,0,0,,0,114
230010,987,466,521,6,3,3,8,4,4,2,0,2,101,46,55,1,0,1,805,384,421,19,7,12,45,22,23,0,0,0,7,,7,0,,0,7,,7,980
230038,7451,3623,3828,16,9,7,141,64,77,26,19,7,507,253,254,62,31,31,6046,2928,3118,286,142,144,51,24,27,316,153,163,0,,0,0,,0,0,,0,7451
230047,648,245,403,0,0,0,21,6,15,2,1,1,27,8,19,42,19,23,201,72,129,49,13,36,4,2,2,302,124,178,0,,0,0,,0,0,,0,648
230056,56,13,43,0,0,0,2,0,2,4,2,2,6,3,3,1,0,1,40,8,32,1,0,1,2,0,2,0,0,0,0,,0,0,,0,0,,0,56
230065,276,3,273,2,0,2,12,0,12,7,0,7,114,1,113,6,0,6,134,2,132,0,0,0,1,0,1,0,0,0,0,,0,0,,0,0,,0,276
230144,56,1,55,1,0,1,1,0,1,1,0,1,10,0,10,0,0,0,43,1,42,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,0,1,1,55
230162,1489,605,884,11,3,8,28,9,19,24,10,14,234,86,148,8,3,5,1125,476,649,43,13,30,16,5,11,0,0,0,0,,0,0,,0,0,,0,1489
230171,2888,1107,1781,14,5,9,32,17,15,34,15,19,297,122,175,25,10,15,2329,868,1461,101,40,61,10,5,5,46,25,21,0,,0,0,,0,0,,0,2888
230199,33,6,27,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,30,5,25,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,33
230205,31,4,27,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,28,2,26,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,31
230214,101,19,82,1,1,0,1,0,1,1,1,0,20,5,15,2,1,1,55,8,47,1,0,1,17,3,14,3,0,3,0,,0,0,,0,0,,0,101
230366,104,10,94,4,0,4,7,2,5,9,1,8,15,1,14,3,0,3,58,6,52,1,0,1,7,0,7,0,0,0,0,,0,0,,0,0,,0,104
230418,538,258,280,1,0,1,12,3,9,12,9,3,63,26,37,7,4,3,225,100,125,11,7,4,28,13,15,179,96,83,0,,0,0,,0,0,,0,538
230490,1012,424,588,5,2,3,14,4,10,20,7,13,240,78,162,4,1,3,709,324,385,19,8,11,1,0,1,0,0,0,0,,0,0,,0,0,,0,1012
230597,1169,457,712,1,1,0,0,0,0,0,0,0,93,38,55,0,0,0,968,354,614,59,35,24,7,4,3,41,25,16,0,,0,0,,0,0,,0,1169
230603,4096,1706,2390,30,14,16,68,25,43,66,44,22,265,99,166,29,13,16,3117,1291,1826,51,21,30,304,109,195,166,90,76,0,,0,0,,0,0,,0,4096
230676,626,399,227,31,22,9,4,1,3,6,6,0,44,30,14,0,0,0,538,338,200,3,2,1,0,0,0,0,0,0,0,,0,0,,0,0,,0,626
230728,6227,2565,3662,120,50,70,99,40,59,53,25,28,361,138,223,16,7,9,5019,2078,2941,145,61,84,353,130,223,61,36,25,0,,0,0,,0,0,,0,6227
230737,11743,6338,5405,48,25,23,195,102,93,100,59,41,1269,654,615,53,28,25,9451,5106,4345,411,211,200,107,80,27,109,73,36,0,0,0,0,0,0,0,0,0,11743
230746,4292,1853,2439,26,8,18,196,82,114,119,56,63,829,356,473,29,11,18,2811,1232,1579,178,65,113,37,19,18,67,24,43,9,,9,0,,0,9,,9,4283
