UNITID,LINE_10,LINE_45,LINE_50,LINE_55,LINE_11,LINE_30,LINE_51,LINE_52,PGLIN10,PGLIN45,PGLIN50,PGLIN11,SSLIN10,SSLIN45,SSLIN50,SSLIN11,NRLIN10,NRLIN45,NRLIN50,NRLIN11
101277,25,0,25,2,17,0,0,8,0,0,0,0,0,0,0,0,25,0,25,17
102711,135,0,135,123,128,0,0,7,39,0,39,39,17,0,17,17,79,0,79,72
103741,56,0,56,0,34,0,1,21,50,0,50,29,2,0,2,2,4,0,4,3
103954,13,0,13,7,7,1,1,4,12,0,12,7,0,0,0,0,1,0,1,0
103963,537,0,537,221,261,0,0,276,372,0,372,189,47,0,47,31,118,0,118,41
104391,36,0,36,5,20,0,3,13,31,0,31,17,4,0,4,2,1,0,1,1
104443,25,0,25,1,13,0,0,12,21,0,21,10,1,0,1,0,3,0,3,3
104568,150,0,150,87,95,4,50,1,120,0,120,78,0,0,0,0,30,0,30,17
105677,11,0,11,11,11,0,0,0,4,0,4,4,5,0,5,5,2,0,2,2
106111,34,0,34,2,13,0,1,20,32,0,32,11,2,0,2,2,0,0,0,0
106315,2,0,2,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
106324,28,0,28,8,19,0,0,9,26,0,26,19,2,0,2,0,0,0,0,0
106351,3,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,3,0,3,1
106360,30,0,30,1,14,0,6,10,22,0,22,9,1,0,1,1,7,0,7,4
106494,24,0,24,1,5,0,7,12,22,0,22,5,2,0,2,0,0,0,0,0
106892,358,0,358,118,177,0,2,179,279,0,279,146,11,0,11,8,68,0,68,23
106908,125,1,124,3,67,0,0,57,112,0,112,66,5,0,5,1,8,1,7,0
107099,10,0,10,1,10,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0
107220,202,0,202,108,118,0,0,84,155,0,155,106,12,0,12,12,35,0,35,0
107293,21,0,21,0,10,1,0,10,18,0,18,7,2,0,2,2,1,0,1,1
107442,9,0,9,1,7,0,0,2,9,0,9,7,0,0,0,0,0,0,0,0
107488,226,2,224,9,145,3,67,9,84,2,82,22,0,0,0,0,142,0,142,123
107655,10,0,10,2,9,0,0,1,9,0,9,8,0,0,0,0,1,0,1,1
107789,43,0,43,4,29,0,0,14,27,0,27,15,4,0,4,3,12,0,12,11
107831,27,0,27,4,13,0,0,14,20,0,20,8,3,0,3,2,4,0,4,3
108065,16,0,16,11,14,2,0,0,14,0,14,14,0,0,0,0,2,0,2,0
108977,65,0,65,9,35,0,6,24,38,0,38,15,1,0,1,1,26,0,26,19
109721,382,0,382,177,212,0,0,170,367,0,367,210,1,0,1,1,14,0,14,1
109730,92,0,92,66,73,0,2,17,92,0,92,73,0,0,0,0,0,0,0,0
110194,203,0,203,157,176,0,0,27,158,0,158,137,28,0,28,26,17,0,17,13
110875,36,0,36,26,29,0,0,7,26,0,26,26,3,0,3,3,7,0,7,0
111054,36,0,36,5,30,0,0,6,16,0,16,12,3,0,3,2,17,0,17,16
111708,120,0,120,0,73,0,15,32,89,0,89,50,5,0,5,5,26,0,26,18
111717,161,0,161,5,116,0,15,30,103,0,103,82,12,0,12,10,46,0,46,24
111726,168,0,168,0,145,0,4,19,113,0,113,101,3,0,3,3,52,0,52,41
111744,104,0,104,1,74,0,10,20,96,0,96,67,6,0,6,6,2,0,2,1
