UNITID,LINE_10,LINE_45,LINE_50,LINE_55,LINE_11,LINE_30,LINE_51,LINE_52,PGLIN10,PGLIN45,PGLIN50,PGLIN11,SSLIN10,SSLIN45,SSLIN50,SSLIN11,NRLIN10,NRLIN45,NRLIN50,NRLIN11
127316,36,0,36,14,28,0,0,8,26,0,26,20,1,0,1,1,9,0,9,7
128337,29,0,29,0,18,0,1,10,24,0,24,14,3,0,3,2,2,0,2,2
128896,27,0,27,13,21,0,0,6,22,0,22,18,1,0,1,1,4,0,4,2
129002,51,0,51,5,14,0,0,37,44,0,44,9,2,0,2,2,5,0,5,3
129349,38,0,38,3,24,0,0,14,21,0,21,11,5,0,5,5,12,0,12,8
129932,659,0,659,492,492,0,4,163,577,0,577,411,31,0,31,31,51,0,51,50
130174,288,0,288,110,163,0,0,125,213,0,213,114,45,0,45,33,30,0,30,16
130873,291,0,291,165,201,0,0,90,194,0,194,135,7,0,7,4,90,0,90,62
131061,66,0,66,13,37,0,0,29,20,0,20,18,11,0,11,7,35,0,35,12
132675,28,0,28,17,19,0,0,9,13,0,13,13,0,0,0,0,15,0,15,6
132976,117,0,117,117,117,0,0,0,60,0,60,60,0,0,0,0,57,0,57,57
133155,327,0,327,221,324,2,0,1,73,0,73,73,0,0,0,0,254,0,254,251
134024,78,0,78,0,40,0,0,38,55,0,55,24,10,0,10,3,13,0,13,13
134228,25,0,25,22,23,0,0,2,21,0,21,19,4,0,4,4,0,0,0,0
134307,275,2,273,52,68,3,0,202,250,0,250,63,0,0,0,0,25,2,23,5
134529,102,0,102,24,74,0,0,28,95,0,95,69,2,0,2,1,5,0,5,4
134574,45,0,45,13,33,0,0,12,30,0,30,26,3,0,3,3,12,0,12,4
134714,49,0,49,15,32,0,0,17,30,0,30,16,1,0,1,1,18,0,18,15
135142,57,0,57,7,50,0,5,2,20,0,20,20,1,0,1,0,36,0,36,30
135179,502,0,502,321,351,0,1,150,196,0,196,128,0,0,0,0,306,0,306,223
135276,722,2,720,273,349,1,17,353,351,0,351,153,0,0,0,0,371,2,369,196
135337,46,0,46,16,27,0,0,19,30,0,30,16,3,0,3,3,13,0,13,8
135522,242,1,241,182,202,1,0,38,179,1,178,139,0,0,0,0,63,0,63,63
135559,58,0,58,2,42,0,0,16,49,0,49,33,9,0,9,9,0,0,0,0
136109,37,0,37,0,27,0,0,10,18,0,18,11,10,0,10,8,9,0,9,8
136303,176,0,176,105,112,0,0,64,76,0,76,55,0,0,0,0,100,0,100,57
136491,202,0,202,50,87,0,2,113,103,0,103,50,0,0,0,0,99,0,99,37
136765,321,0,321,240,240,0,30,51,240,0,240,240,0,0,0,0,81,0,81,0
137023,249,0,249,157,188,0,9,52,106,0,106,64,0,0,0,0,143,0,143,124
137591,219,0,219,12,53,0,113,53,129,0,129,34,0,0,0,0,90,0,90,19
137801,224,0,224,138,158,0,0,66,179,0,179,121,24,0,24,22,21,0,21,15
137856,41,0,41,32,32,0,0,9,18,0,18,14,0,0,0,0,23,0,23,18
137865,160,0,160,38,65,0,2,93,106,0,106,38,0,0,0,0,54,0,54,27
138284,317,5,312,106,106,0,100,106,95,0,95,26,0,0,0,0,222,5,217,80
138822,176,0,176,34,121,0,0,55,129,0,129,82,27,0,27,23,20,0,20,16
138938,32,0,32,7,19,0,0,13,22,0,22,16,4,0,4,3,6,0,6,0
139506,96,0,96,37,56,0,40,0,69,0,69,46,20,0,20,10,7,0,7,0
141608,35,1,34,13,23,0,0,11,27,0,27,19,2,0,2,2,6,1,5,2
142407,29,0,29,9,24,0,0,5,19,0,19,16,3,0,3,3,7,0,7,5
142489,26,0,26,8,14,0,0,12,16,0,16,7,0,0,0,0,10,0,10,7
143376,29,0,29,0,18,0,0,11,25,0,25,15,4,0,4,3,0,0,0,0
143464,3,0,3,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,2,1
143473,6,0,6,1,5,0,1,0,5,0,5,4,1,0,1,1,0,0,0,0
143482,12,0,12,1,7,0,4,1,7,0,7,5,3,0,3,0,2,0,2,2
143491,6,0,6,1,4,0,1,1,0,0,0,0,0,0,0,0,6,0,6,4
143552,3,0,3,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0
144573,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
144795,216,1,215,3,104,0,1,110,151,0,151,73,30,0,30,17,35,1,34,14
145099,250,0,250,75,185,0,13,52,140,0,140,130,27,0,27,20,83,0,83,35
145309,16,0,16,10,12,0,1,3,10,0,10,9,5,0,5,3,1,0,1,0
145406,62,0,62,8,52,0,0,10,27,0,27,26,21,0,21,19,14,0,14,7
145424,10,0,10,0,6,0,0,4,2,0,2,0,0,0,0,0,8,0,8,6
145433,19,0,19,1,9,0,2,8,8,0,8,3,4,0,4,1,7,0,7,5
146454,22,0,22,4,13,0,0,9,3,0,3,0,4,0,4,4,15,0,15,9
146807,11,0,11,9,9,0,0,2,8,0,8,8,1,0,1,1,2,0,2,0
147642,15,0,15,8,11,0,0,4,9,0,9,6,1,0,1,1,5,0,5,4
147819,43,0,43,13,38,0,0,5,20,0,20,20,8,0,8,8,15,0,15,10
148098,44,0,44,3,34,2,0,8,22,0,22,16,4,0,4,4,18,0,18,14
148955,3,0,3,0,3,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0
149204,38,1,37,1,26,0,0,11,33,1,32,22,4,0,4,3,1,0,1,1
149550,50,0,50,1,38,0,0,12,39,0,39,30,11,0,11,8,0,0,0,0
150303,11,0,11,2,6,0,0,5,10,0,10,5,1,0,1,1,0,0,0,0
150428,6,0,6,6,6,0,0,0,2,0,2,2,3,0,3,3,1,0,1,1
150765,15,0,15,1,11,0,0,4,6,0,6,4,1,0,1,1,8,0,8,6
150853,23,0,23,5,15,0,0,8,18,0,18,11,1,0,1,1,4,0,4,3
151564,5,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,5,3
151607,15,0,15,0,7,0,0,8,13,0,13,5,2,0,2,2,0,0,0,0
152150,15,0,15,2,7,0,0,8,12,0,12,5,0,0,0,0,3,0,3,2
152275,48,0,48,0,21,0,0,27,41,0,41,18,0,0,0,0,7,0,7,3
152309,25,0,25,3,15,0,0,10,16,0,16,9,4,0,4,3,5,0,5,3
152628,21,0,21,11,16,1,0,4,10,0,10,7,3,0,3,3,8,0,8,6
155159,29,0,29,0,18,0,3,8,19,0,19,11,6,0,6,5,4,0,4,2
155353,51,0,51,2,20,0,0,31,19,0,19,19,1,0,1,1,31,0,31,0
155423,204,0,204,117,118,0,9,77,74,0,74,36,15,0,15,11,115,0,115,71
156310,43,0,43,0,13,0,0,30,36,0,36,7,7,0,7,6,0,0,0,0
156426,48,0,48,2,33,0,0,15,20,0,20,10,8,0,8,8,20,0,20,15
156754,7,0,7,0,1,0,0,6,6,0,6,0,1,0,1,1,0,0,0,0
156842,67,0,67,2,56,0,0,11,32,0,32,24,12,0,12,11,23,0,23,21
156967,28,0,28,13,13,0,0,15,21,0,21,8,1,0,1,1,6,0,6,4
157614,30,0,30,0,16,0,1,13,27,0,27,15,1,0,1,0,2,0,2,1
157650,44,0,44,1,23,0,2,19,37,0,37,19,6,0,6,3,1,0,1,1
157669,49,0,49,0,22,0,1,26,43,0,43,17,2,0,2,2,4,0,4,3
157678,53,0,53,2,23,0,2,28,42,0,42,16,9,0,9,6,2,0,2,1
158246,132,0,132,95,96,0,0,36,109,0,109,77,6,0,6,4,17,0,17,15
158538,2,0,2,0,1,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0
158617,298,0,298,175,219,0,0,79,168,0,168,168,51,0,51,51,79,0,79,0
158778,29,0,29,0,4,1,0,24,29,0,29,4,0,0,0,0,0,0,0,0
158787,14,0,14,0,5,0,4,5,10,0,10,2,0,0,0,0,4,0,4,3
159027,22,0,22,9,10,0,0,12,14,0,14,8,2,0,2,2,6,0,6,0
159328,16,0,16,3,13,0,0,3,7,0,7,5,0,0,0,0,9,0,9,8
159513,44,0,44,0,32,0,0,12,31,0,31,21,8,0,8,7,5,0,5,4
159522,31,0,31,4,27,0,0,4,25,0,25,25,6,0,6,2,0,0,0,0
159531,9,0,9,9,9,0,0,0,3,0,3,3,3,0,3,3,3,0,3,3
159601,27,0,27,5,16,0,0,11,16,0,16,10,11,0,11,6,0,0,0,0
160117,36,0,36,2,19,0,0,17,19,0,19,14,7,0,7,5,10,0,10,0
160126,5,0,5,0,4,0,0,1,5,0,5,4,0,0,0,0,0,0,0,0
160199,17,0,17,1,13,0,0,4,12,0,12,10,0,0,0,0,5,0,5,3
160320,691,0,691,83,516,3,0,172,432,0,432,309,64,0,64,52,195,0,195,155
160472,148,0,148,3,58,2,17,71,104,0,104,56,5,0,5,2,39,0,39,0
160597,4,0,4,0,2,0,0,2,4,0,4,2,0,0,0,0,0,0,0,0
161493,60,0,60,0,35,0,2,23,51,0,51,29,4,0,4,2,5,0,5,4
161527,80,0,80,25,65,0,0,15,46,0,46,35,22,0,22,19,12,0,12,11
161800,33,0,33,17,17,0,0,16,31,0,31,16,2,0,2,1,0,0,0,0
161855,7,0,7,5,5,0,0,2,7,0,7,5,0,0,0,0,0,0,0,0
162335,9,0,9,0,5,0,0,4,6,0,6,3,1,0,1,1,2,0,2,1
162371,648,0,648,450,466,11,5,166,355,0,355,200,277,0,277,250,16,0,16,16
162830,73,0,73,3,55,1,0,17,49,0,49,34,6,0,6,6,18,0,18,15
163347,250,0,250,8,73,0,0,177,227,0,227,68,12,0,12,3,11,0,11,2
163408,56,0,56,2,39,0,0,17,49,0,49,34,7,0,7,5,0,0,0,0
163541,140,0,140,9,84,2,2,52,128,0,128,83,12,0,12,1,0,0,0,0
163815,21,0,21,16,16,0,0,5,17,0,17,12,2,0,2,2,2,0,2,2
164535,16,0,16,12,13,0,0,3,2,0,2,2,3,0,3,3,11,0,11,8
164845,52,0,52,0,22,0,1,29,45,0,45,18,3,0,3,3,4,0,4,1
165255,32,0,32,30,30,2,0,0,7,0,7,7,16,0,16,16,9,0,9,7
165556,414,0,414,51,246,0,0,168,339,0,339,191,54,0,54,41,21,0,21,14
165608,8,0,8,6,7,0,0,1,7,0,7,6,1,0,1,1,0,0,0,0
165750,27,5,22,1,11,0,0,11,22,3,19,9,2,1,1,0,3,1,2,2
166498,34,0,34,21,21,4,0,9,23,0,23,12,0,0,0,0,11,0,11,9
166805,15,0,15,10,10,0,0,5,9,0,9,6,1,0,1,1,5,0,5,3
167039,6,0,6,0,4,0,0,2,6,0,6,4,0,0,0,0,0,0,0,0
167871,32,0,32,19,23,0,0,9,16,0,16,12,5,0,5,4,11,0,11,7
168032,2,0,2,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0
168555,50,0,50,29,30,0,0,20,17,0,17,17,8,0,8,8,25,0,25,5
168573,648,0,648,400,484,0,2,162,486,0,486,363,71,0,71,65,91,0,91,56
168892,19,0,19,7,15,0,0,4,18,0,18,15,0,0,0,0,1,0,1,0
169284,102,0,102,3,45,0,5,52,79,0,79,32,15,0,15,9,8,0,8,4
169503,55,0,55,5,43,1,0,11,35,0,35,28,4,0,4,3,16,0,16,12
169813,13,0,13,1,6,0,0,7,12,0,12,5,0,0,0,0,1,0,1,1
170611,65,0,65,42,48,7,0,10,45,0,45,37,5,0,5,4,15,0,15,7
170736,30,0,30,26,28,0,0,2,22,0,22,22,2,0,2,0,6,0,6,6
171775,25,0,25,2,12,0,0,13,5,0,5,1,0,0,0,0,20,0,20,11
171988,54,0,54,18,39,0,0,15,43,0,43,33,8,0,8,3,3,0,3,3
171997,88,0,88,13,43,0,0,45,78,0,78,37,8,0,8,4,2,0,2,2
172015,102,0,102,12,53,0,0,49,88,0,88,41,11,0,11,9,3,0,3,3
172422,75,0,75,45,60,0,2,13,23,0,23,16,0,0,0,0,52,0,52,44
172495,80,0,80,1,21,1,2,56,42,0,42,0,6,0,6,0,32,0,32,21
172680,19,0,19,1,17,0,0,2,9,0,9,7,4,0,4,4,6,0,6,6
173744,194,0,194,17,129,0,0,65,96,0,96,54,1,0,1,1,97,0,97,74
174190,118,0,118,69,78,1,6,33,66,0,66,43,13,0,13,13,39,0,39,22
174321,34,0,34,1,26,0,0,8,21,0,21,16,4,0,4,2,9,0,9,8
174978,63,0,63,5,39,0,2,22,53,0,53,30,4,0,4,4,6,0,6,5
175120,471,0,471,254,257,0,0,214,284,0,284,168,0,0,0,0,187,0,187,89
175494,71,0,71,50,50,0,0,21,23,0,23,19,0,0,0,0,48,0,48,31
175698,26,0,26,18,21,0,5,0,26,0,26,21,0,0,0,0,0,0,0,0
175722,8,0,8,0,4,0,0,4,8,0,8,4,0,0,0,0,0,0,0,0
176062,17,0,17,0,13,0,0,4,10,0,10,8,0,0,0,0,7,0,7,5
176433,5,0,5,1,5,0,0,0,3,0,3,3,0,0,0,0,2,0,2,2
176716,18,0,18,2,16,0,0,2,14,0,14,12,0,0,0,0,4,0,4,4
176983,44,0,44,35,35,0,0,9,29,0,29,22,0,0,0,0,15,0,15,13
177436,3,0,3,3,3,0,0,0,2,0,2,2,1,0,1,1,0,0,0,0
177588,7,0,7,0,4,0,0,3,7,0,7,4,0,0,0,0,0,0,0,0
177603,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
177685,12,0,12,3,8,0,0,4,9,0,9,5,0,0,0,0,3,0,3,3
177931,9,0,9,9,9,0,0,0,8,0,8,8,1,0,1,1,0,0,0,0
178077,20,0,20,2,14,0,0,6,12,0,12,9,1,0,1,1,7,0,7,4
178527,19,0,19,1,10,0,0,9,9,0,9,4,1,0,1,0,9,0,9,6
178828,31,0,31,26,26,0,0,5,25,0,25,25,1,0,1,1,5,0,5,0
179195,7,0,7,2,5,0,0,2,6,0,6,4,0,0,0,0,1,0,1,1
179511,165,0,165,30,87,0,0,78,73,0,73,53,8,0,8,2,84,0,84,32
179991,13,0,13,10,10,0,0,3,4,0,4,4,2,0,2,2,7,0,7,4
180063,27,0,27,3,17,0,0,10,12,0,12,7,4,0,4,3,11,0,11,7
180090,51,0,51,37,41,0,0,10,25,0,25,25,3,0,3,2,23,0,23,14
181880,206,0,206,69,148,0,16,42,137,0,137,97,24,0,24,19,45,0,45,32
182704,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
182722,32,0,32,4,21,2,0,9,15,0,15,8,0,0,0,0,17,0,17,13
182892,15,0,15,5,6,0,0,9,4,0,4,4,2,0,2,2,9,0,9,0
182999,14,0,14,2,10,0,0,4,10,0,10,10,0,0,0,0,4,0,4,0
183035,8,0,8,2,8,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8
183202,20,0,20,1,13,0,0,7,6,0,6,4,0,0,0,0,14,0,14,9
183725,191,0,191,22,72,0,0,119,169,0,169,59,8,0,8,5,14,0,14,8
183983,130,0,130,109,109,0,0,21,84,0,84,76,46,0,46,33,0,0,0,0
184056,464,0,464,37,225,0,3,236,379,0,379,174,61,0,61,34,24,0,24,17
184506,46,0,46,1,23,0,2,21,41,0,41,19,5,0,5,4,0,0,0,0
