UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C142,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1MHOP,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1E12,F1E121,F1E122,F1E13,F1E131,F1E132,F1E14,F1E141,F1E142,F1E15,F1E151,F1E152,F1E16,F1E161,F1E162,F1E17,F1E171,F1E172,F1FHA,F1H01,F1H02,F1H03,F1H03A,F1H03B,F1H03C,F1H03D,F1N01,F1N02,F1N03,F1N04,F1N05,F1N06,F1N07
199184,39428064,159370278,60183063,219553341,258981405,14505742,1124626,4790114,5914740,47584331,54713118,102297449,108212189,18907132,119881667,34690859,26645656,-34850356,146367826,4313653,7653979,208816569,20449211,0,241233412,75696473,0,0,87024728,72912342,14112386,132255440,0,146367826,17262163,12576,0,0,0,0,6385832,0,1707945,0,673202,26041718,0,37216503,0,3708064,701354,0,6535117,2214207,0,50375245,76416963,45570,6412195,4150000,0,10607765,87024728,24389391,13233644,0,0,2088695,604570,7367195,4296489,3526576,1206177,17258788,8757912,3080239,11966020,2999124,0,0,0,0,3235438,0,72912342,31097916,6804556,10412587,4699371,1651799,18246113,1,1492171,4361375,5502849,4851940,1,-514631,47018521,13404283,9653802,1130767,1214509,2337759,0,3259079,3110243,11052357,5952922,2019196,7972118,3080239,815627,609043,206584,876032,654149,221883,1686238,1259144,427094,0,0,0,2350786,1755374,595412,2243435,1675212,568223,1,121774566,126643244,4868678,4891394,5710827,-5403639,-329904,740036,78388461,13296530,232192191,49648626,48708957,79756417
199193,509523173,2198651878,1086369658,3285021536,3794544709,325092995,39503221,154381719,193884940,628359590,1474547307,2102906897,2296791837,533586058,1672167098,500548463,184814320,-1068270072,1289259809,78287761,263410950,2754679091,471972597,49886411,3618236810,1410370502,119804290,0,1865770111,1638055927,227714184,1061545625,0,1289259809,352522696,215265430,43227687,103313214,912167,102401047,183286004,0,94285719,0,18896582,1010797332,0,578015894,0,34181624,17923632,0,95629443,8656987,70496116,804903696,1815701028,0,39359532,10709551,0,50069083,1865770111,510448096,345328803,371650179,164945897,147032365,70450948,126372545,52059302,41685044,15821407,128676181,74632468,79015639,249367359,71552957,0,0,0,0,-16191481,0,1638055927,794791782,117477058,86022338,132433926,19496257,487834566,1,26836338,103019563,135253742,103201438,1,-49846010,1183066098,367414029,208058525,25288636,40863020,18502013,135478,41155511,87791391,213736049,110822439,23897971,134720410,79015639,18361058,15104001,3257057,9201971,7569639,1632332,1017585,837076,180509,3115989,2563246,552743,14127418,11621364,2506054,88896389,73127113,15769276,1,1946242000,2018242000,72000000,84021000,25345000,-59612000,22246000,114221268,1871710522,239429922,1965758453,348206957,555773748,1697489254
199218,218355533,748070195,216915015,964985210,1183340743,96726873,11237785,20792994,32030779,215506287,300308868,515815155,547845934,229350198,438537558,136143091,79402565,-151211730,502871484,14848968,72793338,877730592,65156181,17455830,1047984909,267190275,1771989,0,444714590,379237129,65477461,437395922,-1899,502871484,125740431,8213704,2998347,3532025,771536,2760489,45078746,0,3059000,0,6413656,195035909,0,181222251,0,32867307,10807106,0,927609,6447301,3982938,236254512,431290421,0,10125117,3299052,0,13424169,444714590,152083309,104346789,13749333,6170465,5564977,2574344,38465757,18752172,19786298,9770224,33619984,19507255,31147710,79764563,9975777,0,0,0,0,5055198,0,379237129,171097026,34915008,32796344,16644614,7624150,116159987,1,7076309,20525245,25897185,23533273,1,-3670479,264070324,74937947,67449723,17660047,7787454,7207440,0,4612312,21706917,58974170,22891437,4935023,27826460,31147710,10423792,8575132,1848660,489745,402889,86856,105740,86987,18753,0,0,0,0,0,0,16807183,13826429,2980754,1,142918881,149845776,6926895,3299052,4390621,-4254568,3491790,56211890,425323902,65477461,752512411,78597892,225076815,379237129
199263,1574598,11358943,946053,12304996,13879594,2429844,59007,656939,715946,0,7343342,7343342,8059288,3274424,10865798,468595,674551,-7033218,4975726,381050,184497,8870999,2008051,4557777,16002374,4705289,26578,0,11333374,8867127,2466247,2509481,-2,4975726,269024,0,0,0,0,0,37011,,29299,,0,335334,0,6206083,610997,1478770,342270,0,344978,-71075,0,8912023,9247357,2074847,0,29500,-18330,2086017,11333374,3540493,2324389,0,0,0,0,967667,578498,419077,287705,1718540,1343007,782837,119198,3706,,,,,1319315,223145,8867127,4760450,1696803,399194,294461,0,1716219,1,319952,1073720,1366206,1104795,1,-3644,5978739,1907018,1325049,452094,442889,118819,0,61937,39190,1114929,251692,80400,332092,782837,207793,157486,50307,23206,17588,5618,54612,41390,13222,0,0,0,0,0,0,46481,35228,11253,1,837459,777448,-60011,51832,-71084,-40039,-720,361900,9229027,2466247,4975727,468595,0,8867127
199281,48545815,214977091,56193105,271170196,319716011,29654140,3244678,11818886,15063564,48862311,110824999,159687310,174750874,42335539,168771796,40109749,19710641,-96308448,132283738,4460325,26986669,258985251,40543285,2237503,333213033,111781544,422161,0,206315381,165643155,40672226,92361512,-750000,132283738,23778906,53476,610286,351840,0,351840,15601231,0,873542,0,1012671,42281952,0,96532488,0,46888094,4180273,425100,1391231,-357304,0,149059882,191341834,8282994,6016650,673903,0,14973547,206315381,45173485,30759135,454966,295650,2941913,1466209,19342516,9354421,8824461,4066842,20233027,14900430,30474181,33066490,4855121,0,0,0,0,5132116,0,165643155,65697808,10792598,12341944,9274269,2312065,65224471,1,2988893,9465410,11942731,10260704,1,-4607487,96716721,29642808,18471019,15682257,17590384,5832149,0,886797,1813774,41805361,7496306,3834874,11331180,30474181,4250615,2812056,1438559,4767804,3154210,1613594,1580781,1045789,534992,0,0,0,240363,159016,81347,491617,325235,166382,1,32759600,31763565,-996035,673903,-710344,-959594,0,25698679,184961739,40672226,132283738,60716710,51680562,159263060
199324,2245754,13545632,2214260,15759892,18005646,4216971,232371,551932,784303,0,14297249,14297249,15081552,7139326,14316574,1812316,0,-16127151,1739,748856,3175721,17533545,4729359,250065,26437546,11892993,0,0,20934805,17913911,3020894,-3204916,185761,1739,930628,0,0,0,0,0,494216,,0,,1,1424845,0,10413755,1585677,2032452,267832,25652,4454278,261,5054,18784961,20209806,685821,39178,0,0,724999,20934805,9699676,5644415,0,0,0,0,2118752,1465945,1355385,903017,1476913,394577,2566268,659969,239770,,,,,36948,0,17913911,8647724,1536749,1946908,608449,0,5174081,1,515798,2011177,2624025,2399307,1,-1096555,11559328,4515301,1817664,1492761,1310860,517402,0,10249,0,3331272,620674,144330,765004,2566268,531456,531456,0,25729,25729,0,63489,63489,0,0,0,0,0,0,0,144330,0,144330,1,2263574,2064935,-198639,0,0,0,-198639,2295894,20172858,3020894,545484,-9381303,225827,17876964
199333,15405402,90082440,14824296,104906736,120312138,16285122,0,3804105,3804105,349503,59115896,59465399,63269504,29885430,104161211,1408055,0,-62126940,43442326,6384445,3484062,95087634,20913075,8043829,133913045,29402331,0,0,93259355,77637991,15621364,27820963,-1,43442326,6724805,0,0,0,0,0,1616043,,304977,,194712,8840537,0,36920928,6253326,29597042,0,0,5096918,25780,22157,77916151,86756688,6053241,449426,0,0,6502667,93259355,31828057,16005244,0,0,0,0,11130382,4503542,5744040,2820828,7928715,3415872,18676229,3655663,262729,,,,,-1325095,0,77637991,27008215,13195513,4914668,2249984,0,30269611,1,1810010,8630034,11442259,8744479,1,-3135106,48734068,18443171,7540643,12223653,11728923,929412,0,943662,360223,26185873,5865745,1643899,7509644,18676229,3508199,2740237,767962,3360486,2624859,735627,266742,208351,58391,0,0,0,0,0,0,374217,292298,81919,1,3835022,4682492,847470,1489322,-641852,0,0,7793601,86756688,14296268,41788309,10245526,349503,78963087
199421,6590349,44631914,2608399,47240313,53830662,6105392,198506,370531,569037,23366978,0,23366978,23936015,10992959,45925720,2641216,0,-23559856,25007080,1283807,3056232,50540618,10997072,0,65877729,19952008,0,0,34493542,30393454,4100088,21518867,-611875,25007080,1567328,0,0,0,0,0,783417,,0,,204285,2555030,0,15608600,2756538,10390441,1943894,0,355473,4679,2096,31061721,33616751,843715,33076,0,0,876791,34493542,11829779,7544862,0,0,0,0,2470738,1650783,1848890,944978,1963445,1017391,5457839,1363363,301670,,,,,5459400,3194458,30393454,14654142,2558016,2512865,1404097,0,9264334,1,752697,3391608,4527436,3448537,1,-992939,19174129,6465523,2656855,3598676,2756412,689094,0,216395,0,7260577,1437267,365471,1802738,5457839,1585379,1263973,321406,31866,25406,6460,160758,128167,32591,0,0,0,0,0,0,24735,19721,5014,1,12402673,11425152,-977521,220983,-790987,-412235,4718,3223297,33616751,4100088,25007080,2641216,0,30393454
199449,9770947,26230281,1428282,27658563,37429510,6883080,185516,1189102,1374618,0,24013546,24013546,25388164,11795810,27109362,4021702,0,-24002448,7128616,407679,832282,35854391,5649261,1014517,43758130,16105654,0,0,38990718,31711509,7279209,-150594,1,7128616,822729,1147547,44645,0,0,0,319102,,0,,188002,2522025,0,15629089,2820449,13238238,201581,0,439269,5089,203768,32537483,35059508,931210,3000000,0,0,3931210,38990718,12895967,7628865,0,0,1075,0,1979949,1613929,1737682,1564100,2574169,1962483,6842106,489664,210403,,,,,5190897,0,31711509,12979780,3989904,2398846,1172899,0,11170080,1,849940,3536769,4693892,3701299,1,-979719,19781830,7101918,3179781,3840049,3873806,589042,0,110509,266998,8680404,1838298,0,1838298,6842106,0,0,0,0,0,0,1838298,1838298,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,28985716,35059508,7279209,-2241803,37434146,0,31711509
199467,2958045,5465466,0,5465466,8423511,1542815,0,639501,639501,0,5719666,5719666,6359167,4184617,5463039,1471050,0,-7511547,-577458,34805,646881,12005735,1869481,0,14556902,9093864,0,0,10455640,9862110,593530,-2082141,911153,-577458,120429,0,54525,0,0,0,86913,,0,,2192,264059,0,5286897,1030423,3092700,456797,0,28817,21,32478,9928133,10192192,261106,2342,0,0,263448,10455640,4014338,2754765,0,0,0,0,608421,349508,890738,621187,1650710,432769,1343716,55549,14036,,,,,1298638,1,9862110,4172266,911155,995788,400289,0,3382612,1,103040,789018,1175037,895465,1,808114,4763546,3009580,647350,1731199,498622,0,0,0,1,2229822,886106,0,886106,1343716,886106,886106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,1241235,10192191,1504684,1125198,2153870,0,8950956
