UNITID,BAREVCT,BAEXCLU,BAAC150,BANC100,BAGR100,BANC150,BAGR150,BAAEXCL,BAAC200,BANC200A,BASTEND,BANC200,BAGR200,L4REVCT,L4EXCLU,L4AC150,L4NC100,L4GR100,L4NC150,L4GR150,L4AEXCL,L4AC200,L4NC200A,L4STEND,L4NC200,L4GR200
100654,932,4,928,74,8,276,30,0,928,29,22,305,33,,,,,,,,,,,,,
100663,1730,5,1725,694,40,1092,63,0,1725,42,24,1134,66,,,,,,,,,,,,,
100690,2,0,2,1,50,1,50,0,2,0,0,1,50,,,,,,,,,,,,,
100706,638,0,638,172,27,368,58,0,638,20,3,388,61,,,,,,,,,,,,,
100724,1517,0,1517,250,16,497,33,0,1517,14,26,511,34,,,,,,,,,,,,,
100751,6428,43,6385,3205,50,4540,71,0,6385,84,25,4624,72,,,,,,,,,,,,,
100760,,,,,,,,,,,,,,349,0,349,52,15,67,19,0,349,8,31,75,21
100830,589,1,588,55,9,200,34,0,588,18,11,218,37,,,,,,,,,,,,,
100858,3696,5,3691,1865,51,2920,79,0,3691,61,17,2981,81,,,,,,,,,,,,,
100937,356,0,356,218,61,246,69,0,356,1,0,247,69,,,,,,,,,,,,,
101028,,,,,,,,,,,,,,276,0,276,35,13,62,22,0,276,7,12,69,25
101116,19,0,19,0,0,0,0,0,19,0,0,0,0,,,,,,,,,,,,,
101143,,,,,,,,,,,,,,306,0,306,64,21,79,26,0,306,10,10,89,29
101161,,,,,,,,,,,,,,1516,0,1516,213,14,286,19,0,1516,21,23,307,20
101189,287,1,286,39,14,91,32,0,286,5,0,96,34,,,,,,,,,,,,,
101240,,,,,,,,,,,,,,888,0,888,106,12,243,27,0,888,59,65,302,34
101277,,,,,,,,,,,,,,46,0,46,21,46,38,83,0,46,0,0,38,83
101286,,,,,,,,,,,,,,704,0,704,115,16,203,29,0,704,88,0,291,41
101295,,,,,,,,,,,,,,1003,0,1003,307,31,453,45,0,1003,28,33,481,48
101301,,,,,,,,,,,,,,266,0,266,69,26,90,34,0,266,22,8,112,42
101365,2,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
101435,261,2,259,107,41,128,49,0,259,0,0,128,49,,,,,,,,,,,,,
101453,3,0,3,0,0,1,33,0,3,0,0,1,33,,,,,,,,,,,,,
101462,,,,,,,,,,,,,,90,0,90,4,4,6,7,0,90,4,4,10,11
101471,,,,,,,,,,,,,,202,0,202,23,11,42,21,0,202,39,0,81,40
101480,1142,0,1142,233,20,472,41,0,1142,38,34,510,45,,,,,,,,,,,,,
101505,,,,,,,,,,,,,,983,0,983,66,7,155,16,0,983,54,71,209,21
101514,,,,,,,,,,,,,,1072,0,1072,178,17,306,29,0,1072,90,64,396,37
101569,,,,,,,,,,,,,,715,0,715,77,11,152,21,0,715,41,36,193,27
101587,329,0,329,70,21,115,35,0,329,2,0,117,36,,,,,,,,,,,,,
