UNITID,AWLEVELC,CSTOTLT,CSTOTLM,CSTOTLW,CSAIANT,CSASIAT,CSBKAAT,CSHISPT,CSNHPIT,CSWHITT,CS2MORT,CSUNKNT,CSNRALT,CSUND18,CS18_24,CS25_39,CSABV40,CSUNKN
125170,2,310,118,192,0,65,38,88,1,59,24,14,21,1,189,100,20,0
125310,2,8,2,6,0,0,0,7,0,1,0,0,0,0,4,4,0,0
125462,2,276,88,188,3,3,5,232,0,26,3,3,1,21,193,52,10,0
125471,2,727,328,399,0,34,146,383,0,96,23,34,11,3,252,386,86,0
125499,2,102,19,83,0,24,1,28,0,39,5,4,1,0,37,37,28,0
125532,2,579,48,531,16,60,64,200,11,182,25,18,3,0,180,333,66,0
125727,2,9,0,9,0,0,0,1,0,6,0,2,0,0,7,1,1,0
126119,2,26,8,18,0,2,8,8,0,8,0,0,0,0,7,15,4,0
126164,2,32,0,32,0,0,1,14,0,15,0,2,0,0,29,3,0,0
126207,2,99,77,22,0,2,0,26,0,64,3,1,3,0,64,30,5,0
126289,2,47,4,43,0,1,1,9,1,31,1,1,2,2,20,12,10,3
126580,2,14,6,8,0,0,0,1,0,12,1,0,0,0,9,5,0,0
126687,2,89,8,81,1,6,9,14,0,17,0,42,0,0,24,50,15,0
126711,2,53,11,42,0,0,0,14,0,37,2,0,0,0,9,29,15,0
126748,2,48,24,24,0,2,0,10,0,34,1,0,1,1,23,21,3,0
126863,2,64,27,37,0,1,8,15,0,33,5,1,1,0,14,43,7,0
126915,2,44,7,37,0,0,0,16,0,28,0,0,0,0,38,6,0,0
126942,2,77,23,54,1,2,15,21,0,31,4,0,3,0,16,46,15,0
126951,2,408,381,27,7,2,31,139,1,197,19,12,0,0,242,138,28,0
127158,2,174,100,74,3,4,11,113,0,28,3,1,11,0,44,52,46,32
127185,2,6,2,4,1,0,0,0,0,4,1,0,0,0,5,1,0,0
127200,2,303,95,208,2,4,7,66,2,197,8,12,5,0,128,133,42,0
127316,2,71,16,55,0,0,16,16,0,33,6,0,0,0,42,23,6,0
127389,2,33,3,30,0,1,0,14,0,13,0,2,3,2,18,12,1,0
127556,2,154,86,68,1,0,3,35,0,106,2,5,2,0,82,66,6,0
127617,2,57,21,36,0,0,1,25,0,27,2,1,1,5,36,12,4,0
127732,2,55,18,37,0,3,0,15,0,32,4,1,0,0,42,12,1,0
127778,2,62,25,37,0,3,1,22,0,35,1,0,0,0,14,43,5,0
127820,2,186,88,98,3,7,13,25,2,124,5,4,3,0,59,97,30,0
127884,2,163,31,132,5,1,6,66,1,73,3,6,2,3,51,71,38,0
127909,2,214,156,58,1,7,3,48,1,137,3,14,0,0,57,129,28,0
127918,2,89,48,41,0,1,0,0,0,4,0,64,20,1,24,53,5,6
127954,2,3,0,3,0,0,0,1,0,2,0,0,0,0,2,1,0,0
128151,2,233,112,121,3,5,24,114,1,73,7,0,6,9,95,76,51,2
128179,2,130,52,78,1,3,28,27,0,69,0,2,0,0,38,67,25,0
128188,2,283,85,198,8,2,8,98,1,162,0,4,0,0,128,124,31,0
128258,2,121,60,61,2,1,1,49,1,58,3,3,3,0,52,58,11,0
128337,2,45,3,42,1,1,0,17,1,16,3,6,0,0,31,14,0,0
128577,2,107,79,28,0,3,15,15,0,67,4,3,0,0,53,34,20,0
128780,2,10,2,8,0,1,3,0,0,3,1,2,0,0,0,5,5,0
128896,2,67,16,51,0,0,3,4,0,13,13,34,0,0,10,44,13,0
129002,2,143,84,59,0,3,46,33,0,48,8,5,0,0,50,77,16,0
129154,2,93,56,37,0,2,11,23,0,54,2,1,0,0,31,44,18,0
129181,2,426,393,33,4,9,55,86,0,222,21,28,1,1,298,106,21,0
129349,2,52,0,52,0,3,4,1,0,40,0,4,0,0,41,8,3,0
129367,2,22,14,8,0,0,4,3,0,15,0,0,0,0,5,14,3,0
129482,2,114,2,112,0,1,32,53,0,22,4,2,0,0,35,61,18,0
129525,2,34,6,28,0,0,2,1,0,28,0,2,1,0,33,1,0,0
129543,2,78,46,32,0,4,19,27,0,25,2,1,0,1,41,26,10,0
129695,2,41,14,27,0,1,8,7,0,23,0,1,1,0,12,20,9,0
129729,2,76,39,37,0,6,4,25,0,35,1,3,2,0,38,26,12,0
129756,2,18,9,9,0,1,1,2,0,13,1,0,0,0,10,7,1,0
129808,2,23,7,16,0,1,2,2,0,15,0,3,0,0,5,10,8,0
129923,2,261,132,129,0,5,60,80,0,85,22,9,0,0,124,110,27,0
130004,2,41,2,39,0,2,2,13,0,16,0,2,6,0,6,23,12,0
130040,2,11,1,10,0,0,0,3,0,8,0,0,0,0,3,6,2,0
130110,2,3,0,3,0,0,2,0,0,1,0,0,0,0,2,0,1,0
130174,2,1087,651,436,4,18,207,278,4,486,69,21,0,0,505,462,120,0
130183,2,79,8,71,1,0,18,7,0,35,12,6,0,0,5,50,24,0
130217,2,29,21,8,0,0,2,3,0,22,2,0,0,0,21,5,3,0
130253,2,3,1,2,0,0,0,2,0,1,0,0,0,0,1,2,0,0
130396,2,37,19,18,0,2,6,8,0,19,1,1,0,0,24,8,5,0
130509,2,104,3,101,0,0,70,18,1,10,0,5,0,0,9,48,47,0
130606,2,60,19,41,1,2,6,20,0,29,0,2,0,0,43,14,3,0
130794,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
