UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
147800,337,23732933,0,0,0,0,44,2806061,22,3081956,42,2800523,32,2894937,65,4816369,0,0,66,3646072,12,771492,54,2915523,0,0,0,0
147828,321,16305251,0,0,0,0,19,944787,56,4850960,17,654884,41,2032186,38,1900384,5,256760,42,1275140,26,1274427,61,2305197,16,810526,0,0
147916,261,15491217,0,0,0,0,23,1398501,24,2962007,20,1176679,29,1989221,47,2911949,0,0,56,2332738,17,742832,45,1977290,0,0,0,0
148007,162,10057514,0,0,0,0,11,689354,27,2769347,12,687708,13,848863,28,1488065,0,0,18,1001279,0,0,45,2197381,8,375517,0,0
148016,218,13554357,0,0,0,0,11,671920,31,3431360,19,1422761,14,956841,34,2071222,1,64000,56,1845883,7,456024,19,937431,24,1582974,2,113941
148131,98,4424694,0,0,0,0,1,45000,20,1648741,1,42500,5,222147,38,1389398,2,72832,2,86000,8,287620,21,630456,0,0,0,0
148256,123,6257344,0,0,0,0,11,435986,33,2451974,10,405164,13,624565,21,870639,0,0,17,836741,1,32500,17,599775,0,0,0,0
148292,115,6322985,0,0,0,0,9,408614,33,2880308,13,513401,7,343815,18,816602,0,0,14,520356,5,188708,16,651181,0,0,0,0
148380,248,12762213,0,0,0,0,8,406285,47,3594320,9,458739,17,1032997,68,3273221,0,0,34,1521104,0,0,65,2475547,0,0,0,0
148405,99,5253672,0,0,0,0,4,174463,27,2204181,13,508034,5,222290,25,1167720,2,87998,2,88064,0,0,21,800922,0,0,0,0
148487,317,22644250,0,0,0,0,104,5528502,81,9500121,23,1440293,11,806922,39,2157292,0,0,21,831896,0,0,30,1613201,8,766023,0,0
148496,239,16041318,0,0,0,0,33,1626558,52,5864184,20,1549350,15,990653,22,1197449,1,43000,16,605760,0,0,70,3559334,10,605030,0,0
148511,422,33285839,0,0,0,0,11,636355,121,14591241,55,3432857,41,3234912,15,1397365,39,2951166,64,3180632,22,1224267,54,2637044,0,0,0,0
148575,22,1536185,0,0,0,0,3,163010,4,623251,10,524472,0,0,0,0,1,64002,0,0,0,0,4,161450,0,0,0,0
148584,152,9733220,0,0,0,0,19,1042268,37,3916993,12,634017,12,699778,26,1456415,3,137297,11,393683,0,0,24,1087349,8,365420,0,0
148593,5,442271,0,0,0,0,4,322297,1,119974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148627,263,13843288,0,0,0,0,39,1803842,25,3201593,16,959995,24,1384620,48,2351462,4,233652,52,1941897,0,0,51,1790592,4,175635,0,0
