UNITID,F3A01,F3A01A,F3A01B,F3A01C,F3A02,F3A02A,F3A03,F3A04,F3A05,F3A06,F3A07,F3A08,F3A09,F3A10,F3A11,F3A12,F3B01,F3B02,F3B03,F3B04,F3B05,F3B06,F3B07,F3B08,F3C01,F3C02,F3C03,F3C03A,F3C03B,F3C04,F3C05,F3C06,F3C07,F3C08,F3C12,F3C121,F3C122,F3C13,F3C131,F3C132,F3C14,F3C141,F3C142,F3C15,F3C151,F3C152,F3C16,F3C161,F3C162,F3C17,F3C171,F3C172,F3D01,F3D02,F3D02A,F3D02B,F3D03,F3D03A,F3D03B,F3D03C,F3D03D,F3D04,F3D05,F3D06,F3D07,F3D12,F3D08,F3D09,F3E011,F3E012,F3E02A1,F3E02A2,F3E02B1,F3E02B2,F3E03A1,F3E03A2,F3E03B1,F3E03B2,F3E03C1,F3E03C2,F3E041,F3E042,F3E051,F3E101,F3E102,F3E061,F3E062,F3E071,F3E072,F3E073,F3E074,F3E075,F3E076,F3E077,F3F01,F3F02,F3F03,F3G01,F3G02,F3G03,F3G04,F3G05,F3G06,F3G07
486619,,,,,,,,,,,,,,,,,,,,,,,,,213700,0,5000,0,5000,2000,220700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788777,0,0,0,7000,0,5000,0,2000,0,0,103027,,,0,898804,122314,78642,0,0,0,0,473,473,1300,1300,80415,76834,,,0,,,0,0,204502,157249,0,2179,0,0,45074,,,-2,,,,,,,
486691,,,,,,,,,,,,,,,,,,,,,,,,,513134,260450,37868,37868,0,10675,822127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073130,0,0,0,0,0,0,0,0,0,0,98901,,,101103,1273134,880548,244702,0,0,0,0,0,0,57090,47317,141137,68000,,,0,,,0,0,1078775,360019,74361,318212,72629,0,253554,,,-2,,,,,,,
486707,,,,,,,,,,,,,,,,,,,,,,,,,349652,250100,0,0,0,4578,604330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,905045,0,0,0,0,0,0,0,0,0,0,0,,,0,905045,278265,227702,0,0,0,0,25920,25920,95604,95604,401566,38427,,,0,,,0,0,801355,387653,78510,144647,0,0,190545,,,-2,,,,,,,
486716,,,,,,,,,,,,,,,,,,,,,,,,,427749,222100,0,0,0,6401,656250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271808,0,0,0,0,0,0,0,0,0,0,0,,,0,1271808,208539,150267,0,0,0,0,31206,31206,118610,118610,490309,53999,,,0,,,0,0,848664,354082,52677,164465,0,0,277440,,,-2,,,,,,,
486752,,,,,,,,,,,,,,,,,,,,,,,,,377295,68400,5000,0,5000,6029,456724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045171,0,0,0,0,0,0,0,0,0,0,0,,,0,1045171,179130,128977,0,0,0,0,17142,17142,92912,92912,519465,44377,,,0,,,0,0,808649,283408,56331,158195,0,0,310715,,,-2,,,,,,,
486770,,,,,,,,,,,,,,,,,,,,,,,,,1135012,65000,0,0,0,0,1200012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1847394,0,0,0,0,0,0,0,0,0,0,129859,,,0,1977253,408777,255973,0,0,0,0,133504,94371,292703,82477,275264,255151,,,0,,,0,0,1110248,687972,27413,334934,11527,0,48402,,,-2,,,,,,,
486798,,,,,,,,,,,,,,,,,,,,,,,,,5685988,57817,83588,44773,38815,1307855,7135248,1307855,0,1307855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307855,1307855,0,25257138,0,0,0,0,0,0,0,0,0,0,261194,,,0,25518332,3334798,2780716,0,0,0,0,3422762,0,1248192,981269,8464998,2822421,,,0,,,6614755,0,23085505,6584406,716154,1391470,803489,2566,13587420,,,-2,,,,,,,
486813,6194303,0,3583288,0,3405123,0,2789180,6194303,3150000,1084187,1693913,0,0,5928100,2344812,3583288,7697198,7883091,0,-185893,-330206,3305279,0,2789180,1848668,51850,0,0,0,34853,1935371,34853,0,34853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34853,34853,0,5733859,0,0,0,0,0,0,0,0,34853,27968,0,0,,1900518,7697198,2837349,1636225,0,0,0,0,191806,163623,2176111,685184,2642972,405655,0,0,34853,,,0,0,7883091,2890687,924089,709774,412009,0,2946532,,,-2,-185893,7697198,2789180,6194303,-794108,0,7883091
486822,7612190,0,579332,0,2215889,0,5396301,7612190,0,1183061,1123799,0,0,2306860,1727528,579332,10533317,8954951,0,1578366,-423756,4241691,0,5396301,2066402,65896,5500,5500,0,60805,2198603,60805,0,60805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60805,60805,0,8298823,0,0,0,5500,0,5500,0,0,60805,35891,0,0,,2132298,10533317,3171148,1670044,0,0,0,0,190958,167004,2914025,1066322,2618015,580483,0,0,60805,,,0,0,8954951,3483853,1311306,1080139,328056,0,2751597,,,-2,1578366,10533317,5396301,7612190,4816968,0,8954951
486859,,,,,,,,,,,,,,,,,,,,,,,,,97141,1400,0,0,0,0,98541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341384,0,0,0,0,0,0,0,0,0,23,46557,,,0,387964,436366,144360,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,436366,144360,0,83404,99361,0,109241,,,-2,,,,,,,
486938,,,,,,,,,,,,,,,,,,,,,,,,,1438000,267609,0,0,0,128982,1834591,128982,0,128982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128982,128982,0,12422906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12422906,2904259,2584295,0,0,0,0,3303339,751172,858401,790608,2226631,984806,0,0,0,0,0,191,0,9292821,5110881,407742,1003918,833327,0,1936953,,,-2,,,,,,,
486947,,,,,,,,,,,,,,,,,,,,,,,,,1607545,242364,0,0,0,211560,2061469,211560,0,211560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211560,211560,0,12612241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12612241,2991867,2727592,0,0,0,0,2648155,797076,1441407,767166,1944074,999815,0,0,0,0,0,194,0,9025697,5291649,374697,586137,444796,0,2328418,,,-2,,,,,,,
486956,,,,,,,,,,,,,,,,,,,,,,,,,2586722,498693,0,0,0,533354,3618769,533354,0,533354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533354,533354,0,27827786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27827786,5921974,5398221,0,0,0,0,5403955,1323350,2049553,1798453,4244645,2206004,0,0,0,0,0,428,0,17620555,10726028,707003,1279288,1291387,0,3616849,,,-2,,,,,,,
486965,,,,,,,,,,,,,,,,,,,,,,,,,357373,0,0,0,0,2907934,3265307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5432009,0,0,0,0,0,0,0,0,0,0,15927,0,0,0,5447936,2439236,2034837,0,0,0,0,956933,749959,8118,0,621489,240832,0,0,0,0,0,999437,0,5025213,3025628,435468,999437,141710,0,422970,,,-2,,,,,,,
486983,,,,,,,,,,,,,,,,,,,,,,,,,134417,0,0,0,0,9120,143537,8047,0,8047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8047,8047,0,436194,104381,0,104381,0,0,0,0,0,0,0,25083,,,0,565658,235883,122497,0,0,0,0,0,0,36976,34489,224507,71247,,,0,,,362072,0,859438,228233,16462,56628,85045,6449,466621,,,-2,,,,,,,
487047,,,,,,,,,,,,,,,,,,,,,,,,,1517191,0,2379,0,2379,0,1519570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3015570,0,0,0,0,0,0,0,0,0,0,6970,,,0,3022540,1536062,465528,0,0,0,0,358414,107049,230409,141715,435219,252554,,,0,,,0,0,2560104,966846,307250,501216,0,0,784792,,,-2,,,,,,,
487065,,,,,,,,,,,,,,,,,,,,,,,,,249257,0,0,0,0,0,249257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813051,0,0,0,0,0,0,0,0,0,0,78934,,,0,891985,355351,355351,0,0,0,0,158568,0,26100,0,158568,0,,,0,,,0,0,698587,355351,0,158568,0,0,184668,,,-2,,,,,,,
487083,,,,,,,,,,,,,,,,,,,,,,,,,115521,0,0,0,0,0,115521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386242,0,0,0,0,0,0,0,0,0,0,46447,,,0,432689,290032,112815,0,0,223674,87004,36763,14300,85075,33092,72459,28185,,,0,,,0,0,708003,275396,0,432607,0,0,0,,,-2,,,,,,,
487302,10461846,0,316804,0,917637,0,9544209,10461846,0,2796670,1527148,0,0,4323818,4007014,316804,8447853,8210553,0,237300,0,9306910,-1,9544209,2434641,746115,317900,314104,3796,45430,3544086,45430,0,45430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45430,45430,0,8446754,0,0,0,0,0,0,0,0,0,1099,0,0,,0,8447853,3805209,2150615,0,0,0,0,0,0,1593322,382825,2812022,385008,0,0,0,,,0,0,8210553,2918448,282010,716242,81886,0,4211967,0,0,3,237298,8447853,9544209,10461846,9227405,0,8210553
487348,,,,,,,,,,,,,,,,,,,,,,,,,349021,0,0,0,0,0,349021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182151,0,0,0,0,0,0,0,0,0,46498,197270,,,0,1425919,604912,275492,0,0,0,0,96892,51988,14240,14240,816172,118052,,,0,,,0,0,1532216,459772,28227,375189,26975,15141,626912,,,-2,,,,,,,
487375,,,,,,,,,,,,,,,,,,,,,,,,,3010467,81735,0,0,0,0,3092202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21222830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21222830,5435120,3648192,0,0,0,0,770092,336571,1334533,951912,4327075,2786564,0,0,0,0,0,3915263,0,15782083,7723239,1008631,891978,503370,57864,5597001,,,-2,,,,,,,
487384,,,,,,,,,,,,,,,,,,,,,,,,,2868532,71085,0,0,0,38673,2978290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8480513,0,0,0,0,0,0,0,0,0,18584,0,,,0,8499097,2331008,716231,0,0,0,0,0,0,3948368,1213185,50003,15363,,,0,,,0,0,6329379,1944779,591511,3519066,265605,8418,0,,,-2,,,,,,,
487393,,,,,,,,,,,,,,,,,,,,,,,,,3658154,85230,0,0,0,0,3743384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11009345,0,0,0,0,0,0,0,0,0,6395,0,0,,0,11015740,3732677,1383125,0,0,0,0,0,0,4093131,1516689,73630,27282,0,0,0,,,0,0,7899438,2927096,699409,4069134,186846,16953,0,,,-2,,,,,,,
487409,,,,,,,,,,,,,,,,,,,,,,,,,3521159,57645,0,0,0,5000,3583804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9229268,0,0,0,0,0,0,0,0,0,3224,0,0,,0,9232492,3006818,955715,0,0,0,0,0,0,3747542,1191153,26997,8581,0,0,0,,,0,0,6781357,2155449,713745,3681049,225328,5786,0,,,-2,,,,,,,
487418,,,,,,,,,,,,,,,,,,,,,,,,,4129890,100905,0,0,0,0,4230795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10967990,0,0,0,0,0,0,0,0,0,12944,0,0,,0,10980934,3592479,1377237,0,0,0,0,0,0,4527638,1735745,52074,19964,0,0,0,,,0,0,8172191,3132946,799329,3707940,520190,11786,0,,,-2,,,,,,,
487427,,,,,,,,,,,,,,,,,,,,,,,,,2844969,63945,0,0,0,0,2908914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8123968,0,0,0,0,0,0,0,0,0,8733,0,,,0,8132701,3578245,1205136,0,0,0,0,0,0,4232381,1425447,125886,42398,,,0,,,0,0,7936512,2672981,902250,4184537,169313,7431,0,,,-2,,,,,,,
487436,,,,,,,,,,,,,,,,,,,,,,,,,2977422,68460,0,0,0,3149,3049031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7645120,0,0,0,0,0,0,0,0,0,-1893,0,,,0,7643227,2728938,941707,0,0,0,0,0,0,4229079,1459378,194543,67134,,,0,,,0,0,7152560,2468219,803130,3661472,215711,4028,0,,,-2,,,,,,,
