UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
100654,481,28234832,5,376519,0,0,9,457605,76,8198896,23,1249813,31,1819542,106,6054560,4,277039,51,1915874,1,47300,149,6622155,15,684572,11,530957
100663,3334,221798595,0,0,0,0,177,10961323,355,44432650,654,43246691,558,43426189,245,16260076,101,6769854,512,20737336,0,0,389,17340162,273,15057062,70,3567252
100690,31,2847864,0,0,0,0,8,618868,0,0,7,1038845,5,378815,0,0,0,0,0,0,0,0,9,663986,2,147350,0,0
100706,1120,83866257,0,0,0,0,25,1099311,106,15029038,102,6144213,502,44242812,106,5175582,3,257829,108,4398158,0,0,162,7156909,6,362405,0,0
100724,553,31179146,3,156500,0,0,114,5584577,45,5674459,37,2259917,42,3042936,91,5475855,8,376039,85,3061028,6,286684,86,3658208,32,1466799,4,136144
100733,89,13842028,0,0,0,0,0,0,19,5435480,19,2105577,1,82500,22,4286994,0,0,2,104314,0,0,26,1827163,0,0,0,0
100751,4568,299022377,64,7610606,0,0,185,9496849,598,75059123,609,41194016,476,32500799,591,41499594,239,14556798,659,27671981,26,868291,778,29556590,229,13850417,114,5157313
100760,68,4667044,0,0,0,0,3,218432,20,2054739,6,371654,2,92237,3,192149,0,0,11,500255,0,0,23,1237578,0,0,0,0
100812,159,11211605,0,0,0,0,36,2437683,40,4452012,16,934833,12,784448,18,925267,0,0,0,0,0,0,25,1105702,12,571660,0,0
100830,332,20085533,0,0,0,0,21,1101720,91,8754131,23,1148523,40,2703150,48,2151688,4,243410,26,1005430,1,37950,76,2861731,0,0,2,77800
100858,4112,297608960,50,4830100,208,13923989,194,11970594,591,79430382,449,31440937,643,43261150,688,48482731,38,3979790,329,14334952,1,58100,524,23847410,346,19244152,51,2804673
