UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,APPLCN,APPLCNM,APPLCNW,ADMSSN,ADMSSNM,ADMSSNW,ENRLT,ENRLM,ENRLW,ENRLFT,ENRLFTM,ENRLFTW,ENRLPT,ENRLPTM,ENRLPTW,SATNUM,SATPCT,ACTNUM,ACTPCT,SATVR25,SATVR75,SATMT25,SATMT75,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75
231165,1,2,1,2,2,3,2,1,3,783,436,347,436,297,139,142,94,48,137,91,46,5,3,2,,,,,,,,,,,,,,
231174,1,5,1,1,1,3,5,1,3,25559,9110,16449,16233,5097,11136,2932,962,1970,2923,954,1969,9,8,1,1008,34,402,14,630,710,610,700,29,33,28,35,26,31
231411,3,3,3,3,3,3,3,3,1,402,349,53,239,216,23,159,141,18,159,141,18,,,,,,,,,,,,,,,,,
231420,1,1,5,5,5,5,5,1,5,3462,1699,1763,1652,949,703,231,152,79,227,148,79,4,4,0,48,21,30,13,460,570,450,585,17,22,,,,
231554,1,1,1,2,3,3,3,1,3,800,454,346,578,342,236,116,76,40,116,76,40,0,0,0,,,,,,,,,,,,,,
231581,1,3,1,2,5,3,5,5,3,3388,1578,1810,2544,1146,1398,398,184,214,398,184,214,,,,67,17,10,3,545,620,520,630,22,28,19,24,19,27
231624,1,5,1,2,1,3,5,2,3,17475,6630,10845,6386,2766,3620,1684,716,968,1682,715,967,2,1,1,861,51,324,19,690,750,670,770,31,34,32,35,28,33
231651,1,2,1,2,3,3,1,1,3,5240,1969,3271,2133,797,1336,438,185,253,295,124,171,143,61,82,73,17,21,5,490,630,470,600,23,29,23,32,20,27
231712,1,2,1,1,2,5,5,5,5,6699,2892,3807,5931,2479,3452,1012,462,550,1012,462,550,0,0,0,365,36,21,2,570,670,540,650,25,29,,,,
232025,1,2,1,2,5,2,3,1,3,2260,1061,1199,1971,885,1086,390,210,180,390,210,180,0,0,0,,,,,,,,,,,,,,
232043,1,3,1,2,2,3,5,1,3,1090,385,705,1038,362,676,208,77,131,207,76,131,1,1,0,7,3,9,4,490,790,550,800,25,34,23,35,28,33
232089,1,2,1,2,2,2,5,1,3,1671,945,726,1277,723,554,220,147,73,220,147,73,,,,32,15,15,7,480,590,440,590,18,24,15,23,16,24
232186,1,5,1,1,5,5,5,1,3,20527,9219,11308,18741,8205,10536,3986,2066,1920,3844,1984,1860,142,82,60,1481,37,132,3,580,670,560,680,25,30,24,32,23,28
232256,1,2,1,2,1,3,5,1,3,2907,2887,20,1070,1068,2,222,220,2,222,220,2,,,,38,17,20,9,550,650,530,610,22,25,20,24,19,25
232265,1,2,1,1,1,2,2,1,2,13192,3566,9626,10570,2714,7856,615,171,444,613,169,444,2,2,0,,,,,,,,,,,,,,
232308,1,5,1,2,1,3,3,1,3,3093,0,3093,2311,,2311,234,,234,234,,234,0,,0,,,,,,,,,,,,,,
232423,1,3,1,1,2,3,5,1,3,21176,8050,13126,18265,6565,11700,4767,2024,2743,4762,2019,2743,5,5,0,1231,26,251,5,580,660,560,650,24,29,,,,
232557,1,3,1,2,3,3,2,1,3,28448,10867,17581,28244,10775,17469,5461,2347,3114,4432,1845,2587,1029,502,527,,,,,,,,,,,,,,
232566,1,2,1,1,2,3,5,1,3,5977,1963,4014,5378,1706,3672,718,218,500,706,213,493,12,5,7,190,26,8,1,520,600,510,570,16,24,,,,
232609,1,3,1,1,2,2,3,1,3,3102,1165,1937,3005,1124,1881,336,129,207,336,129,207,0,0,0,,,,,,,,,,,,,,
232618,1,3,1,5,1,5,3,3,1,6,0,6,5,,5,3,,3,1,,1,2,,2,,,,,,,,,,,,,,
232681,1,2,1,2,2,3,5,2,3,5027,1757,3270,4118,1449,2669,654,224,430,629,222,407,25,2,23,181,28,40,6,590,680,540,640,26,31,26,33,24,28
232706,1,2,1,2,5,3,3,1,3,2375,811,1564,1987,673,1314,331,132,199,326,129,197,5,3,2,,,,,,,,,,,,,,
232937,1,2,1,2,1,3,1,1,3,6490,2239,4251,5753,1869,3884,1113,398,715,1101,393,708,12,5,7,210,19,57,5,440,553,420,530,15,20,,,,
232982,1,2,1,2,2,3,1,1,3,13586,6132,7454,13074,5842,7232,2899,1364,1535,2811,1323,1488,88,41,47,645,83,85,11,520,620,500,600,20,27,19,25,18,26
233277,1,2,1,2,2,3,5,1,3,11291,4014,7277,10762,3760,7002,1292,526,766,1291,526,765,1,0,1,317,25,40,3,470,560,480,590,19,23,15,23,17,24
233295,1,2,1,2,1,3,2,1,3,2250,1060,1190,1886,867,1019,345,157,188,343,155,188,2,2,0,,,,,,,,,,,,,,
233301,1,3,1,2,5,3,5,1,3,1161,428,730,1089,391,695,138,51,87,138,51,87,,,,35,25,12,9,470,590,440,550,22,27,21,28,20,26
233338,1,3,1,3,5,3,3,1,3,2964,1185,1779,2139,855,1284,947,354,593,937,349,588,10,5,5,,,,,,,,,,,,,,
233374,1,2,1,2,1,3,2,1,3,13955,5817,8138,4015,1812,2203,876,392,484,876,392,484,0,0,0,,,,,,,,,,,,,,
233408,1,3,1,3,3,3,3,1,1,2,0,2,2,,2,2,,2,2,,2,0,,0,,,,,,,,,,,,,,
233426,1,2,1,2,5,3,5,1,3,4953,1940,3013,3981,1505,2476,465,234,231,465,234,231,0,0,0,162,35,45,10,550,630,530,600,22,27,20,26,20,26
233541,1,3,1,5,5,1,3,1,3,2616,943,1673,1945,793,1152,509,211,298,509,211,298,0,0,0,,,,,,,,,,,,,,
233611,1,3,1,2,5,2,1,1,3,1232,523,709,1226,520,706,342,158,184,337,155,182,5,3,2,30,9,179,52,518,623,500,603,17,26,19,27,17,26
233718,1,2,1,1,1,3,5,1,3,1192,0,1192,954,,954,177,,177,177,,177,0,,0,31,18,24,14,530,630,490,630,23,27,23,26,22,26
233897,1,2,1,1,2,3,5,3,3,1016,464,552,847,374,473,329,139,190,322,136,186,7,3,4,77,23,29,9,500,630,490,600,19,25,17,24,19,25
233921,1,3,1,5,3,3,5,1,3,42054,23588,18466,23746,12583,11163,6758,3776,2982,6736,3764,2972,22,12,10,5620,83,2385,35,610,690,600,720,26,32,24,33,26,31
234030,1,5,1,2,2,1,5,1,3,17579,6363,11216,16308,5742,10566,4084,1369,2715,4041,1345,2696,43,24,19,1200,29,193,5,550,660,520,640,20,29,20,31,19,27
234076,2,2,1,1,1,3,5,3,3,47971,21411,26560,9951,4383,5568,3889,1663,2226,3889,1663,2226,0,0,0,2038,52,825,21,690,750,690,750,32,35,33,35,30,35
234085,2,2,2,1,3,3,5,3,3,1549,1272,277,990,819,171,461,399,62,461,399,62,,,,122,29,49,12,550,650,530,650,22,27,20,26,21,26
234155,1,2,1,2,1,3,5,1,3,9978,3991,5987,9587,3835,5752,920,337,583,913,336,577,7,1,6,189,21,30,3,430,530,400,510,15,21,14,18,15,17
234164,1,5,1,2,5,3,5,5,3,4006,1627,2379,3757,1526,2231,314,168,146,289,159,130,25,9,16,18,6,6,2,383,458,373,435,14,17,11,16,14,18
234173,1,2,1,1,2,3,5,5,3,2076,845,1231,1793,719,1074,341,147,194,341,147,194,0,0,0,44,13,15,4,590,680,560,700,27,31,24,32,25,29
234207,2,2,1,1,1,2,5,2,3,6621,3136,3485,1248,570,678,484,248,236,484,248,236,,,,124,26,153,32,700,750,710,780,32,35,33,35,29,34
234827,1,3,2,5,2,2,3,3,1,10767,4314,6453,9523,3737,5786,1371,657,714,1334,641,693,37,16,21,,,,,,,,,,,,,,
235024,1,3,1,2,1,1,3,1,3,666,165,501,425,106,319,98,35,63,97,35,62,1,0,1,,,,,,,,,,,,,,
235097,1,3,1,1,3,3,3,1,3,4232,1642,2590,4108,1572,2536,1305,521,784,1276,512,764,29,9,20,,,,,,,,,,,,,,
235167,1,3,1,1,3,3,5,1,3,1111,402,706,1105,399,703,234,94,140,218,89,129,16,5,11,30,13,16,7,530,630,470,570,19,27,18,26,16,24
235316,1,3,1,1,1,3,5,1,3,8853,4022,4831,6742,3036,3706,1311,587,724,1311,587,724,0,0,0,271,21,238,18,610,690,600,690,27,31,26,34,25,30
236133,1,3,1,3,5,3,5,1,3,473,148,325,454,140,314,165,58,107,157,57,100,8,1,7,32,19,14,9,495,620,490,590,24,32,22,35,22,30
236230,1,5,1,2,1,3,5,3,3,3220,1290,1929,2846,1101,1744,510,179,330,510,179,330,0,0,0,55,11,32,6,570,693,580,683,22,28,21,28,21,27
236328,1,3,1,2,1,3,5,3,3,5025,2424,2601,4437,2031,2406,409,207,202,409,207,202,0,0,0,128,31,83,20,580,700,570,670,26,32,26,34,26,30
236452,1,2,1,2,1,3,5,1,3,2653,831,1815,1900,598,1300,348,103,244,344,102,242,4,1,2,99,28,18,5,510,635,485,590,18,23,17,24,18,25
236577,1,3,1,2,1,3,1,1,3,4358,1279,3079,4007,1164,2843,579,182,397,575,181,394,4,1,3,122,21,65,11,530,660,520,640,20,28,19,26,18,27
236595,1,2,1,1,1,3,5,1,3,8539,2798,5741,7012,2270,4742,994,318,676,989,318,671,5,0,5,258,26,98,10,550,660,570,670,24,31,23,33,23,29
236939,1,3,1,1,3,3,3,1,3,18197,7399,10798,15607,6211,9396,4007,1774,2233,3872,1718,2154,135,56,79,,,,,,,,,,,,,,
236948,1,3,1,1,3,3,3,1,3,48840,21187,27653,26121,9831,16290,7252,2901,4351,7166,2870,4296,86,31,55,,,,,,,,,,,,,,
237011,1,3,1,2,3,2,5,1,3,10580,3988,6592,10167,3814,6353,2874,1172,1702,2813,1149,1664,61,23,38,468,16,93,3,560,670,530,640,22,29,21,29,21,28
237057,5,5,1,2,1,3,5,1,3,5155,2107,3048,3039,1156,1883,477,233,244,477,233,244,0,0,0,102,21,93,19,645,725,650,730,29,33,31,35,27,31
237066,1,3,1,2,5,3,5,1,3,3944,1517,2427,3607,1374,2233,534,233,301,532,233,299,2,0,2,139,26,49,9,540,640,530,640,22,28,20,28,20,27
237118,1,3,1,2,3,2,5,1,3,1736,1096,640,1155,753,402,262,182,80,262,182,80,0,0,0,37,14,27,10,460,580,440,530,18,23,16,21,16,24
237136,1,2,1,2,1,3,1,1,3,91,39,52,42,17,25,27,13,14,26,12,14,1,1,0,11,41,16,59,545,605,490,585,19,26,20,26,16,24
237181,1,2,1,1,2,2,5,1,3,2522,1729,791,1855,1248,607,167,93,74,167,93,74,,,,18,10,24,13,400,600,470,510,18,26,13,27,15,27
237215,1,3,1,2,3,3,1,1,3,1019,465,549,987,451,531,346,162,184,314,154,160,32,8,24,75,23,62,19,450,550,430,560,17,23,16,24,16,23
237312,1,3,1,3,3,3,2,1,3,1984,666,1318,1383,478,905,246,101,145,220,99,121,26,2,24,,,,,,,,,,,,,,
237330,1,3,1,2,3,3,5,1,3,1739,864,875,1663,824,839,395,192,203,390,189,201,5,3,2,193,49,145,37,460,580,430,550,18,24,18,24,16,24
237358,1,3,1,1,5,5,2,2,3,813,317,483,631,247,376,170,79,91,170,79,91,0,0,0,,,,,,,,,,,,,,
237367,1,3,1,2,3,3,1,1,3,1767,679,1088,1745,669,1076,655,273,382,625,262,363,30,11,19,302,46,224,34,460,560,440,530,17,23,16,23,16,22
