UNITID,SNHCAT,OCCUPCAT,FACSTAT,SGTYPE,HRTOTLT,HRTOTLM,HRTOTLW,HRAIANT,HRAIANM,HRAIANW,HRASIAT,HRASIAM,HRASIAW,HRBKAAT,HRBKAAM,HRBKAAW,HRHISPT,HRHISPM,HRHISPW,HRNHPIT,HRNHPIM,HRNHPIW,HRWHITT,HRWHITM,HRWHITW,HR2MORT,HR2MORM,HR2MORW,HRUNKNT,HRUNKNM,HRUNKNW,HRNRALT,HRNRALM,HRNRALW
201645,37000,370,0,-2,72,16,56,0,0,0,1,0,1,21,2,19,5,1,4,0,0,0,42,13,29,2,0,2,1,0,1,0,0,0
201654,37000,370,0,-2,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,0,0,0
201672,37000,370,0,-2,6,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
201690,37000,370,0,-2,11,2,9,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0
201885,37000,370,0,-2,38,13,25,0,0,0,1,0,1,6,3,3,1,1,0,0,0,0,28,7,21,1,1,0,1,1,0,0,0,0
201928,37000,370,0,-2,10,4,6,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0
201955,37000,370,0,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
201964,37000,370,0,-2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0
201973,37000,370,0,-2,10,1,9,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0
202046,37000,370,0,-2,2,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202073,37000,370,0,-2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
