UNITID,TUITION1,FEE1,HRCHG1,TUITION2,FEE2,HRCHG2,TUITION3,FEE3,HRCHG3,TUITION5,FEE5,HRCHG5,TUITION6,FEE6,HRCHG6,TUITION7,FEE7,HRCHG7,ISPROF1,ISPFEE1,OSPROF1,OSPFEE1,ISPROF2,ISPFEE2,OSPROF2,OSPFEE2,ISPROF3,ISPFEE3,OSPROF3,OSPFEE3,ISPROF4,ISPFEE4,OSPROF4,OSPFEE4,ISPROF5,ISPFEE5,OSPROF5,OSPFEE5,ISPROF6,ISPFEE6,OSPROF6,OSPFEE6,ISPROF7,ISPFEE7,OSPROF7,OSPFEE7,ISPROF8,ISPFEE8,OSPROF8,OSPFEE8,ISPROF9,ISPFEE9,OSPROF9,OSPFEE9,CHG1AT0,CHG1AF0,CHG1AY0,CHG1AT1,CHG1AF1,CHG1AY1,CHG1AT2,CHG1AF2,CHG1AY2,CHG1AT3,CHG1AF3,CHG1AY3,CHG1TGTD,CHG1FGTD,CHG2AT0,CHG2AF0,CHG2AY0,CHG2AT1,CHG2AF1,CHG2AY1,CHG2AT2,CHG2AF2,CHG2AY2,CHG2AT3,CHG2AF3,CHG2AY3,CHG2TGTD,CHG2FGTD,CHG3AT0,CHG3AF0,CHG3AY0,CHG3AT1,CHG3AF1,CHG3AY1,CHG3AT2,CHG3AF2,CHG3AY2,CHG3AT3,CHG3AF3,CHG3AY3,CHG3TGTD,CHG3FGTD,CHG4AY0,CHG4AY1,CHG4AY2,CHG4AY3,CHG5AY0,CHG5AY1,CHG5AY2,CHG5AY3,CHG6AY0,CHG6AY1,CHG6AY2,CHG6AY3,CHG7AY0,CHG7AY1,CHG7AY2,CHG7AY3,CHG8AY0,CHG8AY1,CHG8AY2,CHG8AY3,CHG9AY0,CHG9AY1,CHG9AY2,CHG9AY3
260789,15014,75,,15014,75,,15014,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16860,0,16860,16860,75,16935,16860,75,16935,15014,75,15089,,,16860,0,16860,16860,75,16935,16860,75,16935,15014,75,15089,,,16860,0,16860,16860,75,16935,16860,75,16935,15014,75,15089,,,1695,1695,1695,1075,,,,,,,,,13779,15084,16582,13419,4248,5274,4642,3703,4365,4698,4163,3325
260813,17920,2670,,17920,2670,,17920,2670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17066,2233,19299,17919,3560,21479,17920,2670,20590,17920,2670,20590,,,17066,2233,19299,17919,3560,21479,17920,2670,20590,17920,2670,20590,,,17066,2233,19299,17919,3560,21479,17920,2670,20590,17920,2670,20590,,,3039,3008,1919,1920,,,,,,,,,13824,13824,13824,13824,6082,6082,6082,6082,5886,5886,5886,5886
260992,18280,195,480,18280,195,480,18280,195,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18280,195,18475,19280,195,19475,18280,195,18475,18280,195,18475,,,18280,195,18475,19280,195,19475,18280,195,18475,18280,195,18475,,,18280,195,18475,19280,195,19475,18280,195,18475,18280,195,18475,,,1548,1548,1548,1548,,,,,,,,,8100,8100,8100,8100,3160,3160,3160,3160,7208,7208,7208,7208
261861,11615,1385,,11615,1385,,11615,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10962,1330,12292,10962,1330,12292,11514,1375,12889,11615,1385,13000,,,10962,1330,12292,10962,1330,12292,11514,1375,12889,11615,1385,13000,,,10962,1330,12292,10962,1330,12292,11514,1375,12889,11615,1385,13000,,,433,446,480,486,,,,,,,,,6285,6260,6360,6443,3692,3576,3633,3680,4112,3306,3359,3403
262022,,,,,,,,,,8382,138,508,8382,138,508,8382,138,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262031,3180,420,106,4770,420,159,6480,420,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2472,192,2664,2544,336,2880,2544,336,2880,2544,336,2880,,,3696,192,3888,3816,336,4152,3816,336,4152,3816,336,4152,,,5184,192,5376,5184,336,5520,5184,336,5520,5184,336,5520,,,1100,1100,1100,1100,,,,,,,,,9000,9000,9000,9000,3200,3200,3200,3870,3600,3600,3600,3600
262086,12000,480,500,12000,480,500,12000,480,500,12240,480,680,12240,480,680,12240,480,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,380,12380,12000,440,12440,12000,480,12480,12000,480,12480,,,12000,380,12380,12000,440,12440,12000,480,12480,12000,480,12480,,,12000,380,12380,12000,440,12440,12000,480,12480,12000,480,12480,,,1920,1968,1080,1125,,,,,,,,,12248,13408,14736,17253,3776,4688,4248,4761,3880,4176,3820,4275
262129,5227,1689,192,5227,1689,192,27159,2785,832,9555,1829,474,9555,1829,474,25444,2623,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5227,1689,6916,5227,1689,6916,5227,1689,6916,5227,1689,6916,,,5227,1689,6916,5227,1689,6916,5227,1689,6916,5227,1689,6916,,,27159,2785,29944,27159,2785,29944,27159,2785,29944,27159,2785,29944,,,1200,1200,1200,1200,9264,9529,9662,10542,3270,3270,3270,3270,13795,13795,14668,15574,3270,3270,3270,3270,3270,3270,3270,3270
262165,8800,625,275,8800,625,275,8800,625,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680,350,8030,7936,650,8586,8415,625,9040,8800,625,9425,,,7680,350,8030,7936,650,8586,8415,625,9040,8800,625,9425,,,7680,350,8030,7936,650,8586,8415,625,9040,8800,625,9425,,,300,300,300,300,4550,4550,4550,4800,1350,1350,1350,1400,5400,5400,5500,6600,1350,1350,1350,1400,1350,1350,1350,1400
363439,22348,0,,22348,0,,22348,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,0,15000,18000,0,18000,20636,0,20636,22348,0,22348,,,15000,0,15000,18000,0,18000,20636,0,20636,22348,0,22348,,,15000,0,15000,18000,0,18000,20636,0,20636,22348,0,22348,,,,,,,,,,,,,,,6705,6840,6975,7110,5472,5476,5580,5670,5472,5476,5580,5670
